Date,Frame,Movement,Camera_Position_x,Camera_Position_y,Camera_Position_z,Camera_Rotation_x,Camera_Rotation_y,Camera_Rotation_z,Camera_Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/29/2023 00:20:34.872360,0,start,0.80, 1.17, 1.10,0.13248, 0.06362, 0.02293, -0.98888,0.77, 1.17, 1.09,-0.32771, -0.05035, -0.01749, 0.94327,321.68, 353.89, 0.00,-0.08, 0.62, 0.78,0.99, 0.00, 0.11,0.07, 0.78, -0.62,TrackingSpace,0.9980469,0.84, 1.17, 1.10,-0.32771, -0.06570, -0.02285, 0.94221,321.64, 352.02, 0.00,-0.11, 0.62, 0.78,0.99, 0.00, 0.14,0.09, 0.78, -0.61,TrackingSpace,0.9980469,0.68, 1.43, 2.06,0.13237, 0.06353, 0.02275, -0.98890
06/29/2023 00:20:34.886570,1,start,0.80, 1.17, 1.10,0.13264, 0.06373, 0.02305, -0.98884,0.77, 1.17, 1.09,-0.32771, -0.05035, -0.01749, 0.94327,321.68, 353.89, 0.00,-0.08, 0.62, 0.78,0.99, 0.00, 0.11,0.07, 0.78, -0.62,TrackingSpace,0.9980469,0.84, 1.17, 1.10,-0.32771, -0.06570, -0.02285, 0.94221,321.64, 352.02, 0.00,-0.11, 0.62, 0.78,0.99, 0.00, 0.14,0.09, 0.78, -0.61,TrackingSpace,0.9980469,0.68, 1.43, 2.06,0.13248, 0.06362, 0.02295, -0.98888
06/29/2023 00:20:34.900770,2,start,0.80, 1.17, 1.10,0.13271, 0.06383, 0.02310, -0.98883,0.77, 1.17, 1.09,-0.32771, -0.05035, -0.01749, 0.94327,321.68, 353.89, 0.00,-0.08, 0.62, 0.78,0.99, 0.00, 0.11,0.07, 0.78, -0.62,TrackingSpace,0.9980469,0.84, 1.17, 1.10,-0.32771, -0.06570, -0.02285, 0.94221,321.64, 352.02, 0.00,-0.11, 0.62, 0.78,0.99, 0.00, 0.14,0.09, 0.78, -0.61,TrackingSpace,0.9980469,0.68, 1.43, 2.05,0.13260, 0.06373, 0.02300, -0.98885
06/29/2023 00:20:34.914388,3,start,0.80, 1.17, 1.10,0.13286, 0.06398, 0.02301, -0.98880,0.77, 1.17, 1.09,-0.32814, -0.05053, -0.01758, 0.94311,321.63, 353.87, 0.00,-0.08, 0.62, 0.78,0.99, 0.00, 0.11,0.07, 0.78, -0.62,TrackingSpace,0.9980469,0.84, 1.17, 1.10,-0.32815, -0.06587, -0.02295, 0.94205,321.59, 352.00, 0.00,-0.11, 0.62, 0.78,0.99, 0.00, 0.14,0.09, 0.78, -0.62,TrackingSpace,0.9980469,0.68, 1.43, 2.05,0.13271, 0.06385, 0.02306, -0.98883
06/29/2023 00:20:34.928715,4,start,0.80, 1.17, 1.10,0.13300, 0.06416, 0.02292, -0.98877,0.77, 1.17, 1.09,-0.32814, -0.05053, -0.01758, 0.94311,321.63, 353.87, 0.00,-0.08, 0.62, 0.78,0.99, 0.00, 0.11,0.07, 0.78, -0.62,TrackingSpace,0.9980469,0.84, 1.17, 1.10,-0.32815, -0.06587, -0.02295, 0.94205,321.59, 352.00, 0.00,-0.11, 0.62, 0.78,0.99, 0.00, 0.14,0.09, 0.78, -0.62,TrackingSpace,0.9980469,0.68, 1.44, 2.05,0.13286, 0.06398, 0.02300, -0.98880
06/29/2023 00:20:34.942681,5,start,0.80, 1.17, 1.10,0.13300, 0.06430, 0.02288, -0.98876,0.77, 1.17, 1.09,-0.32844, -0.05076, -0.01768, 0.94299,321.59, 353.84, 0.00,-0.08, 0.62, 0.78,0.99, 0.00, 0.11,0.07, 0.78, -0.62,TrackingSpace,0.9980469,0.84, 1.17, 1.10,-0.32844, -0.06619, -0.02308, 0.94192,321.55, 351.96, 0.00,-0.11, 0.62, 0.78,0.99, 0.00, 0.14,0.09, 0.78, -0.62,TrackingSpace,0.9980469,0.68, 1.44, 2.05,0.13300, 0.06417, 0.02292, -0.98877
06/29/2023 00:20:34.956408,6,start,0.80, 1.17, 1.10,0.13309, 0.06442, 0.02293, -0.98874,0.77, 1.17, 1.09,-0.32844, -0.05076, -0.01768, 0.94299,321.59, 353.84, 0.00,-0.08, 0.62, 0.78,0.99, 0.00, 0.11,0.07, 0.78, -0.62,TrackingSpace,0.9980469,0.84, 1.17, 1.10,-0.32844, -0.06619, -0.02308, 0.94192,321.55, 351.96, 0.00,-0.11, 0.62, 0.78,0.99, 0.00, 0.14,0.09, 0.78, -0.62,TrackingSpace,0.9980469,0.68, 1.44, 2.05,0.13300, 0.06428, 0.02292, -0.98876
06/29/2023 00:20:34.970722,7,start,0.80, 1.17, 1.10,0.13311, 0.06462, 0.02295, -0.98873,0.77, 1.17, 1.09,-0.32297, -0.04922, -0.01682, 0.94498,322.26, 354.04, 0.00,-0.08, 0.61, 0.79,0.99, 0.00, 0.10,0.06, 0.79, -0.61,TrackingSpace,0.9980469,0.84, 1.17, 1.10,-0.32300, -0.06677, -0.02285, 0.94376,322.21, 351.91, 0.00,-0.11, 0.61, 0.78,0.99, 0.00, 0.14,0.09, 0.79, -0.61,TrackingSpace,0.9980469,0.68, 1.44, 2.05,0.13308, 0.06443, 0.02293, -0.98874
06/29/2023 00:20:34.984723,8,start,0.80, 1.17, 1.10,0.13305, 0.06482, 0.02295, -0.98872,0.77, 1.17, 1.09,-0.32297, -0.04922, -0.01682, 0.94498,322.26, 354.04, 0.00,-0.08, 0.61, 0.79,0.99, 0.00, 0.10,0.06, 0.79, -0.61,TrackingSpace,0.9980469,0.84, 1.17, 1.10,-0.32300, -0.06677, -0.02285, 0.94376,322.21, 351.91, 0.00,-0.11, 0.61, 0.78,0.99, 0.00, 0.14,0.09, 0.79, -0.61,TrackingSpace,0.9980469,0.68, 1.44, 2.05,0.13309, 0.06462, 0.02295, -0.98873
06/29/2023 00:20:34.998894,9,start,0.80, 1.17, 1.10,0.13299, 0.06493, 0.02297, -0.98872,0.77, 1.17, 1.09,-0.32297, -0.04922, -0.01682, 0.94498,322.26, 354.04, 0.00,-0.08, 0.61, 0.79,0.99, 0.00, 0.10,0.06, 0.79, -0.61,TrackingSpace,0.9980469,0.84, 1.17, 1.10,-0.32300, -0.06677, -0.02285, 0.94376,322.21, 351.91, 0.00,-0.11, 0.61, 0.78,0.99, 0.00, 0.14,0.09, 0.79, -0.61,TrackingSpace,0.9980469,0.68, 1.44, 2.05,0.13304, 0.06479, 0.02294, -0.98873
