Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/23/2023 18:58:05.161770,0,start,-0.24, 1.08, -0.41,-0.18154, 0.69700, 0.15317, 0.67659,-0.25, 1.08, -0.47,-0.18154, 0.69700, 0.15317, 0.67659,-0.25, 1.08, -0.44,-0.18154, 0.69700, 0.15317, 0.67659,-0.03, 0.00, 0.00,0.01419, 0.01429, -0.00020, 0.99980,1.63, 1.64, 0.00,0.03, -0.03, 1.00,1.00, 0.00, -0.03,0.00, 1.00, 0.03,HeadSpace,0.9980469,0.03, 0.00, 0.00,0.01417, -0.00491, 0.00007, 0.99989,1.62, 359.44, 0.00,-0.01, -0.03, 1.00,1.00, 0.00, 0.01,0.00, 1.00, 0.03,HeadSpace,0.9980469,88.45, 47.11, -4.24,-0.18238, 0.69693, 0.15325, 0.67642
06/23/2023 18:58:05.169252,1,start,-0.24, 1.08, -0.41,-0.18020, 0.69713, 0.15291, 0.67687,-0.25, 1.08, -0.47,-0.18020, 0.69713, 0.15291, 0.67687,-0.25, 1.08, -0.44,-0.18020, 0.69713, 0.15291, 0.67687,-0.03, 0.00, 0.00,0.01305, 0.01454, -0.00019, 0.99981,1.50, 1.67, 0.00,0.03, -0.03, 1.00,1.00, 0.00, -0.03,0.00, 1.00, 0.03,HeadSpace,0.9980469,0.03, 0.00, 0.00,0.01301, -0.00467, 0.00006, 0.99990,1.49, 359.47, 0.00,-0.01, -0.03, 1.00,1.00, 0.00, 0.01,0.00, 1.00, 0.03,HeadSpace,0.9980469,88.51, 47.00, -4.20,-0.18153, 0.69701, 0.15317, 0.67658
06/23/2023 18:58:05.188795,2,start,-0.24, 1.08, -0.41,-0.17997, 0.69707, 0.15259, 0.67707,-0.25, 1.08, -0.47,-0.17997, 0.69707, 0.15259, 0.67707,-0.25, 1.08, -0.44,-0.17997, 0.69707, 0.15259, 0.67707,-0.03, 0.00, 0.00,0.01264, 0.01471, -0.00019, 0.99981,1.45, 1.69, 0.00,0.03, -0.03, 1.00,1.00, 0.00, -0.03,0.00, 1.00, 0.03,HeadSpace,0.9980469,0.03, 0.00, 0.00,0.01260, -0.00450, 0.00006, 0.99991,1.44, 359.48, 0.00,-0.01, -0.03, 1.00,1.00, 0.00, 0.01,0.00, 1.00, 0.03,HeadSpace,0.9980469,88.62, 46.79, -4.13,-0.18017, 0.69713, 0.15293, 0.67688
06/23/2023 18:58:05.205029,3,start,-0.24, 1.08, -0.41,-0.17964, 0.69736, 0.15203, 0.67698,-0.25, 1.08, -0.47,-0.17964, 0.69736, 0.15203, 0.67698,-0.24, 1.08, -0.44,-0.17964, 0.69736, 0.15203, 0.67698,-0.03, 0.00, 0.00,0.01156, 0.01224, -0.00014, 0.99986,1.33, 1.40, 0.00,0.02, -0.02, 1.00,1.00, 0.00, -0.02,0.00, 1.00, 0.02,HeadSpace,0.9980469,0.03, 0.00, 0.00,0.01154, -0.00492, 0.00006, 0.99992,1.32, 359.44, 0.00,-0.01, -0.02, 1.00,1.00, 0.00, 0.01,0.00, 1.00, 0.02,HeadSpace,0.9980469,88.66, 46.71, -4.12,-0.17989, 0.69715, 0.15256, 0.67701
06/23/2023 18:58:05.226919,4,start,-0.24, 1.08, -0.41,-0.17980, 0.69744, 0.15150, 0.67698,-0.25, 1.08, -0.47,-0.17980, 0.69744, 0.15150, 0.67698,-0.24, 1.08, -0.44,-0.17980, 0.69744, 0.15150, 0.67698,-0.03, 0.00, 0.00,0.01009, 0.01402, -0.00014, 0.99985,1.16, 1.61, 0.00,0.03, -0.02, 1.00,1.00, 0.00, -0.03,0.00, 1.00, 0.02,HeadSpace,0.9980469,0.03, 0.00, 0.00,0.01009, -0.00519, 0.00005, 0.99994,1.16, 359.41, 0.00,-0.01, -0.02, 1.00,1.00, 0.00, 0.01,0.00, 1.00, 0.02,HeadSpace,0.9980469,88.71, 46.61, -4.19,-0.18004, 0.69736, 0.15170, 0.67695
06/23/2023 18:58:05.244858,5,start,-0.24, 1.08, -0.41,-0.17937, 0.69752, 0.15143, 0.67702,-0.25, 1.08, -0.47,-0.17937, 0.69752, 0.15143, 0.67702,-0.24, 1.08, -0.44,-0.17937, 0.69752, 0.15143, 0.67702,-0.03, 0.00, 0.00,0.00974, 0.01403, -0.00014, 0.99985,1.12, 1.61, 0.00,0.03, -0.02, 1.00,1.00, 0.00, -0.03,0.00, 1.00, 0.02,HeadSpace,0.9980469,0.03, 0.00, 0.00,0.00974, -0.00517, 0.00005, 0.99994,1.12, 359.41, 0.00,-0.01, -0.02, 1.00,1.00, 0.00, 0.01,0.00, 1.00, 0.02,HeadSpace,0.9980469,88.74, 46.55, -4.20,-0.17979, 0.69747, 0.15147, 0.67695
06/23/2023 18:58:05.261695,6,start,-0.24, 1.08, -0.41,-0.17900, 0.69753, 0.15139, 0.67712,-0.25, 1.08, -0.47,-0.17900, 0.69753, 0.15139, 0.67712,-0.24, 1.08, -0.44,-0.17900, 0.69753, 0.15139, 0.67712,-0.03, 0.00, 0.00,0.01028, 0.01211, -0.00012, 0.99987,1.18, 1.39, 0.00,0.02, -0.02, 1.00,1.00, 0.00, -0.02,0.00, 1.00, 0.02,HeadSpace,0.9980469,0.03, 0.00, 0.00,0.01027, -0.00504, 0.00005, 0.99993,1.18, 359.42, 0.00,-0.01, -0.02, 1.00,1.00, 0.00, 0.01,0.00, 1.00, 0.02,HeadSpace,0.9980469,88.77, 46.50, -4.16,-0.17934, 0.69742, 0.15154, 0.67710
06/23/2023 18:58:05.278028,7,start,-0.24, 1.08, -0.41,-0.17881, 0.69766, 0.15116, 0.67709,-0.25, 1.08, -0.47,-0.17881, 0.69766, 0.15116, 0.67709,-0.24, 1.08, -0.44,-0.17881, 0.69766, 0.15116, 0.67709,-0.03, 0.00, 0.00,0.00997, 0.01199, -0.00012, 0.99988,1.14, 1.37, 0.00,0.02, -0.02, 1.00,1.00, 0.00, -0.02,0.00, 1.00, 0.02,HeadSpace,0.9980469,0.03, 0.00, 0.00,0.00996, -0.00516, 0.00005, 0.99994,1.14, 359.41, 0.00,-0.01, -0.02, 1.00,1.00, 0.00, 0.01,0.00, 1.00, 0.02,HeadSpace,0.9980469,88.80, 46.43, -4.17,-0.17897, 0.69757, 0.15137, 0.67709
06/23/2023 18:58:05.295125,8,start,-0.24, 1.08, -0.41,-0.17860, 0.69778, 0.15093, 0.67707,-0.25, 1.08, -0.47,-0.17860, 0.69778, 0.15093, 0.67707,-0.24, 1.08, -0.44,-0.17860, 0.69778, 0.15093, 0.67707,-0.03, 0.00, 0.00,0.01045, 0.01189, -0.00012, 0.99987,1.20, 1.36, 0.00,0.02, -0.02, 1.00,1.00, 0.00, -0.02,0.00, 1.00, 0.02,HeadSpace,0.9980469,0.03, 0.00, 0.00,0.01044, -0.00938, 0.00010, 0.99990,1.20, 358.93, 0.00,-0.02, -0.02, 1.00,1.00, 0.00, 0.02,0.00, 1.00, 0.02,HeadSpace,0.9980469,88.83, 46.38, -4.17,-0.17874, 0.69764, 0.15119, 0.67712
06/23/2023 18:58:05.311733,9,start,-0.24, 1.08, -0.41,-0.17843, 0.69787, 0.15075, 0.67706,-0.25, 1.08, -0.47,-0.17843, 0.69787, 0.15075, 0.67706,-0.24, 1.08, -0.44,-0.17843, 0.69787, 0.15075, 0.67706,-0.03, 0.00, 0.00,0.01021, 0.01182, -0.00012, 0.99988,1.17, 1.35, 0.00,0.02, -0.02, 1.00,1.00, 0.00, -0.02,0.00, 1.00, 0.02,HeadSpace,0.9980469,0.03, 0.00, 0.00,0.01020, -0.00945, 0.00010, 0.99990,1.17, 358.92, 0.00,-0.02, -0.02, 1.00,1.00, 0.00, 0.02,0.00, 1.00, 0.02,HeadSpace,0.9980469,88.85, 46.33, -4.21,-0.17862, 0.69780, 0.15095, 0.67705
