,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Cosine Similarity,Euclidean Error
0,06/23/2023 18:58:08.384429,229,static,-0.24,1.08,-0.41,-0.17756,0.70349,0.14335,0.67308,-0.25,1.08,-0.48,-0.17756,0.70349,0.14335,0.67308,-0.25,1.08,-0.45,-0.17756,0.70349,0.14335,0.67308,-0.03,0.0,0.0,0.08025,0.09996,-0.00809,0.99172,9.25,11.51,0.0,0.2,-0.16,0.97,0.98,0.0,-0.2,0.03,0.99,0.16,HeadSpace,0.9980469,0.03,0.0,0.0,0.08094,0.08118,-0.00661,0.99339,9.32,9.34,0.0,0.16,-0.16,0.97,0.99,0.0,-0.16,0.03,0.99,0.16,HeadSpace,0.9980469,175.5,53.34,-46.06,-0.17758,0.70349,0.14338,0.67306,0.26999999999998986,-0.239999999999991,1.4549999999999452,1.0,0.0,-175.75,-52.260000000000005,45.61,-0.26999999999998986,0.239999999999991,-1.4549999999999452,96.37515323837343,238.81372832807736
1,06/23/2023 18:58:08.398296,230,static,-0.24,1.08,-0.41,-0.17757,0.70347,0.14331,0.6731,-0.25,1.08,-0.48,-0.17757,0.70347,0.14331,0.6731,-0.25,1.08,-0.45,-0.17757,0.70347,0.14331,0.6731,-0.03,0.0,0.0,0.08201,0.09966,-0.00824,0.9916,9.46,11.48,0.0,0.2,-0.16,0.97,0.98,0.0,-0.2,0.03,0.99,0.16,HeadSpace,0.9980469,0.03,0.0,0.0,0.08264,0.08292,-0.0069,0.9931,9.51,9.55,0.0,0.16,-0.17,0.97,0.99,0.0,-0.17,0.03,0.99,0.16,HeadSpace,0.9980469,175.5,53.32,-46.05,-0.17758,0.70347,0.14334,0.67309,0.25231406690658054,-0.23132310234778375,1.3598550976295047,1.0,0.0,-175.75,-52.24,45.599999999999994,-0.25231406690658054,0.23132310234778375,-1.3598550976295047,96.44723307908012,238.54441870789645
2,06/23/2023 18:58:08.411477,231,static,-0.24,1.08,-0.41,-0.17761,0.70351,0.14319,0.67308,-0.25,1.08,-0.48,-0.17761,0.70351,0.14319,0.67308,-0.25,1.08,-0.45,-0.17761,0.70351,0.14319,0.67308,-0.03,0.0,0.0,0.08193,0.09961,-0.00823,0.99161,9.45,11.47,0.0,0.2,-0.16,0.97,0.98,0.0,-0.2,0.03,0.99,0.16,HeadSpace,0.9980469,0.03,0.0,0.0,0.08257,0.08287,-0.00689,0.99311,9.51,9.54,0.0,0.16,-0.17,0.97,0.99,0.0,-0.17,0.03,0.99,0.16,HeadSpace,0.9980469,175.5,53.31,-46.06,-0.17759,0.70349,0.1433,0.67308,0.25231406690658054,-0.23132310234778375,1.3598550976295047,1.0,0.0,-175.75,-52.230000000000004,45.61,-0.25231406690658054,0.23132310234778375,-1.3598550976295047,96.44970121380626,238.53490831289884
3,06/23/2023 18:58:08.425750,232,static,-0.24,1.08,-0.41,-0.17758,0.70355,0.14313,0.67305,-0.25,1.08,-0.48,-0.17758,0.70355,0.14313,0.67305,-0.25,1.08,-0.45,-0.17758,0.70355,0.14313,0.67305,-0.03,0.0,0.0,0.08195,0.09755,-0.00806,0.99182,9.45,11.23,0.0,0.19,-0.16,0.97,0.98,0.0,-0.19,0.03,0.99,0.16,HeadSpace,0.9980469,0.03,0.0,0.0,0.08264,0.07874,-0.00655,0.99344,9.51,9.06,0.0,0.16,-0.17,0.97,0.99,0.0,-0.16,0.03,0.99,0.16,HeadSpace,0.9980469,175.51,53.28,-46.07,-0.17759,0.70352,0.14318,0.67307,0.3124003083821144,-0.2945878939733658,1.731759806855441,1.0,0.0,-175.76,-52.2,45.62,-0.3124003083821144,0.2945878939733658,-1.731759806855441,96.72443973097978,238.62778993071407
4,06/23/2023 18:58:08.439692,233,static,-0.24,1.08,-0.41,-0.17755,0.7036,0.14312,0.67301,-0.25,1.08,-0.48,-0.17755,0.7036,0.14312,0.67301,-0.25,1.08,-0.45,-0.17755,0.7036,0.14312,0.67301,-0.03,0.0,0.0,0.08193,0.0975,-0.00805,0.99183,9.44,11.23,0.0,0.19,-0.16,0.97,0.98,0.0,-0.19,0.03,0.99,0.16,HeadSpace,0.9980469,0.03,0.0,0.0,0.08261,0.07869,-0.00654,0.99345,9.51,9.06,0.0,0.16,-0.17,0.97,0.99,0.0,-0.16,0.03,0.99,0.16,HeadSpace,0.9980469,175.51,53.26,-46.08,-0.17756,0.70355,0.14315,0.67305,0.3124003083821144,-0.2945878939733658,1.731759806855441,1.0,0.0,-175.76,-52.18,45.629999999999995,-0.3124003083821144,0.2945878939733658,-1.731759806855441,96.72650640512643,238.61328763503303
5,06/23/2023 18:58:08.453631,234,static,-0.24,1.08,-0.42,-0.17746,0.70363,0.14318,0.67298,-0.25,1.08,-0.48,-0.17746,0.70363,0.14318,0.67298,-0.25,1.08,-0.45,-0.17746,0.70363,0.14318,0.67298,-0.03,0.0,0.0,0.08193,0.09745,-0.00805,0.99183,9.44,11.22,0.0,0.19,-0.16,0.97,0.98,0.0,-0.19,0.03,0.99,0.16,HeadSpace,0.9980469,0.03,0.0,0.0,0.08261,0.07865,-0.00654,0.99345,9.51,9.05,0.0,0.16,-0.17,0.97,0.99,0.0,-0.16,0.03,0.99,0.16,HeadSpace,0.9980469,175.51,53.24,-46.1,-0.17752,0.7036,0.14312,0.67302,0.3124003083821144,-0.2945878939733658,1.731759806855441,1.0,0.0,-175.76,-52.160000000000004,45.65,-0.3124003083821144,0.2945878939733658,-1.731759806855441,96.7314504947453,238.59427530761863
6,06/23/2023 18:58:08.467542,235,static,-0.24,1.08,-0.42,-0.17738,0.70369,0.14319,0.67294,-0.25,1.08,-0.48,-0.17738,0.70369,0.14319,0.67294,-0.25,1.08,-0.45,-0.17738,0.70369,0.14319,0.67294,-0.03,0.0,0.0,0.08196,0.09735,-0.00804,0.99184,9.45,11.21,0.0,0.19,-0.16,0.97,0.98,0.0,-0.19,0.03,0.99,0.16,HeadSpace,0.9980469,0.03,0.0,0.0,0.08264,0.07863,-0.00654,0.99345,9.51,9.05,0.0,0.16,-0.17,0.97,0.99,0.0,-0.16,0.03,0.99,0.16,HeadSpace,0.9980469,175.51,53.24,-46.12,-0.17744,0.70365,0.14319,0.67297,0.3124003083821144,-0.2945878939733658,1.731759806855441,1.0,0.0,-175.76,-52.160000000000004,45.669999999999995,-0.3124003083821144,0.2945878939733658,-1.731759806855441,96.73720513459834,238.58526573049585
7,06/23/2023 18:58:08.481328,236,static,-0.24,1.08,-0.42,-0.17735,0.70377,0.14316,0.67288,-0.25,1.08,-0.48,-0.17735,0.70377,0.14316,0.67288,-0.25,1.08,-0.45,-0.17735,0.70377,0.14316,0.67288,-0.03,0.0,0.0,0.08193,0.09725,-0.00803,0.99185,9.44,11.2,0.0,0.19,-0.16,0.97,0.98,0.0,-0.19,0.03,0.99,0.16,HeadSpace,0.9980469,0.03,0.0,0.0,0.0826,0.07853,-0.00653,0.99346,9.51,9.04,0.0,0.15,-0.17,0.97,0.99,0.0,-0.16,0.03,0.99,0.16,HeadSpace,0.9980469,175.5,53.23,-46.16,-0.17738,0.70372,0.1432,0.67291,0.2384329485381374,-0.2314566476067173,1.3606406660193449,1.0,0.0,-175.75,-52.15,45.709999999999994,-0.2384329485381374,0.2314566476067173,-1.3606406660193449,97.02408516548442,238.67606092314222
8,06/23/2023 18:58:08.495024,237,static,-0.24,1.08,-0.42,-0.17743,0.7038,0.1431,0.67284,-0.25,1.08,-0.48,-0.17743,0.7038,0.1431,0.67284,-0.25,1.08,-0.45,-0.17743,0.7038,0.1431,0.67284,-0.03,0.0,0.0,0.08013,0.09728,-0.00786,0.99199,9.24,11.2,0.0,0.19,-0.16,0.97,0.98,0.0,-0.19,0.03,0.99,0.16,HeadSpace,0.9980469,0.03,0.0,0.0,0.0808,0.07849,-0.00638,0.99361,9.3,9.03,0.0,0.15,-0.16,0.97,0.99,0.0,-0.16,0.03,0.99,0.16,HeadSpace,0.9980469,175.5,53.21,-46.18,-0.17734,0.70378,0.14317,0.67287,0.25500000000002715,-0.24000000000002553,1.4550000000001548,1.0,0.0,-175.75,-52.13,45.73,-0.25500000000002715,0.24000000000002553,-1.4550000000001548,96.95373193928057,238.92061988268767
9,06/23/2023 18:58:08.509389,238,static,-0.24,1.08,-0.42,-0.17747,0.70382,0.14312,0.6728,-0.25,1.08,-0.48,-0.17747,0.70382,0.14312,0.6728,-0.25,1.08,-0.45,-0.17747,0.70382,0.14312,0.6728,-0.03,0.0,0.0,0.08019,0.09724,-0.00786,0.99199,9.24,11.2,0.0,0.19,-0.16,0.97,0.98,0.0,-0.19,0.03,0.99,0.16,HeadSpace,0.9980469,0.03,0.0,0.0,0.08086,0.07845,-0.00638,0.99361,9.3,9.03,0.0,0.15,-0.16,0.97,0.99,0.0,-0.16,0.03,0.99,0.16,HeadSpace,0.9980469,175.5,53.21,-46.2,-0.17742,0.7038,0.14313,0.67283,0.25500000000002715,-0.24000000000002553,1.4550000000001548,1.0,0.0,-175.75,-52.13,45.75,-0.25500000000002715,0.24000000000002553,-1.4550000000001548,96.9594931653609,238.91163509655658
