Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/23/2023 18:59:38.015739,0,start,-0.26, 1.05, -0.48,-0.02827, 0.66725, 0.02375, 0.74392,-0.26, 1.05, -0.54,-0.02827, 0.66725, 0.02375, 0.74392,-0.26, 1.05, -0.51,-0.02827, 0.66725, 0.02375, 0.74392,-0.26, 1.05, -0.47,-0.06608, 0.74495, 0.07463, 0.65963,348.56, 96.95, 0.00,0.97, 0.20, -0.12,-0.12, 0.00, -0.99,-0.20, 0.98, 0.02,WorldSpace,0.9980469,-0.26, 1.05, -0.54,-0.06807, 0.73205, 0.07395, 0.67379,348.46, 94.75, 0.00,0.98, 0.20, -0.08,-0.08, 0.00, -1.00,-0.20, 0.98, 0.02,WorldSpace,0.9980469,98.88, 8.40, 10.28,-0.02807, 0.66728, 0.02379, 0.74390
06/23/2023 18:59:38.023919,1,start,-0.26, 1.05, -0.48,-0.02842, 0.66724, 0.02385, 0.74392,-0.26, 1.05, -0.54,-0.02842, 0.66724, 0.02385, 0.74392,-0.26, 1.05, -0.51,-0.02842, 0.66724, 0.02385, 0.74392,-0.26, 1.05, -0.47,-0.06603, 0.74496, 0.07457, 0.65964,348.57, 96.95, 0.00,0.97, 0.20, -0.12,-0.12, 0.00, -0.99,-0.20, 0.98, 0.02,WorldSpace,0.9980469,-0.26, 1.05, -0.54,-0.06802, 0.73205, 0.07390, 0.67380,348.47, 94.75, 0.00,0.98, 0.20, -0.08,-0.08, 0.00, -1.00,-0.20, 0.98, 0.02,WorldSpace,0.9980469,98.88, 8.42, 10.29,-0.02826, 0.66725, 0.02376, 0.74392
06/23/2023 18:59:38.044306,2,start,-0.26, 1.05, -0.48,-0.02853, 0.66723, 0.02372, 0.74393,-0.26, 1.05, -0.54,-0.02853, 0.66723, 0.02372, 0.74393,-0.26, 1.05, -0.51,-0.02853, 0.66723, 0.02372, 0.74393,-0.26, 1.05, -0.47,-0.06617, 0.74496, 0.07473, 0.65960,348.54, 96.96, 0.00,0.97, 0.20, -0.12,-0.12, 0.00, -0.99,-0.20, 0.98, 0.02,WorldSpace,0.9980469,-0.26, 1.05, -0.54,-0.06816, 0.73206, 0.07405, 0.67377,348.45, 94.75, 0.00,0.98, 0.20, -0.08,-0.08, 0.00, -1.00,-0.20, 0.98, 0.02,WorldSpace,0.9980469,98.88, 8.45, 10.28,-0.02843, 0.66726, 0.02377, 0.74390
06/23/2023 18:59:38.060659,3,start,-0.26, 1.05, -0.48,-0.02866, 0.66729, 0.02352, 0.74387,-0.26, 1.05, -0.54,-0.02866, 0.66729, 0.02352, 0.74387,-0.26, 1.05, -0.51,-0.02866, 0.66729, 0.02352, 0.74387,-0.26, 1.05, -0.47,-0.06752, 0.74476, 0.07624, 0.65951,348.31, 96.95, 0.00,0.97, 0.20, -0.12,-0.12, 0.00, -0.99,-0.20, 0.98, 0.02,WorldSpace,0.9980469,-0.26, 1.05, -0.54,-0.06977, 0.73043, 0.07547, 0.67521,348.20, 94.50, 0.00,0.98, 0.20, -0.08,-0.08, 0.00, -1.00,-0.20, 0.98, 0.02,WorldSpace,0.9980469,98.88, 8.46, 10.29,-0.02853, 0.66723, 0.02372, 0.74393
06/23/2023 18:59:38.082245,4,start,-0.26, 1.05, -0.48,-0.02868, 0.66741, 0.02349, 0.74377,-0.26, 1.05, -0.54,-0.02868, 0.66741, 0.02349, 0.74377,-0.26, 1.05, -0.51,-0.02868, 0.66741, 0.02349, 0.74377,-0.26, 1.05, -0.47,-0.06746, 0.74478, 0.07618, 0.65951,348.32, 96.95, 0.00,0.97, 0.20, -0.12,-0.12, 0.00, -0.99,-0.20, 0.98, 0.02,WorldSpace,0.9980469,-0.26, 1.05, -0.54,-0.06971, 0.73045, 0.07541, 0.67520,348.21, 94.50, 0.00,0.98, 0.20, -0.08,-0.08, 0.00, -1.00,-0.20, 0.98, 0.02,WorldSpace,0.9980469,98.88, 8.45, 10.26,-0.02862, 0.66733, 0.02353, 0.74384
06/23/2023 18:59:38.100429,5,start,-0.26, 1.05, -0.48,-0.02862, 0.66745, 0.02345, 0.74373,-0.26, 1.05, -0.54,-0.02862, 0.66745, 0.02345, 0.74373,-0.26, 1.05, -0.51,-0.02862, 0.66745, 0.02345, 0.74373,-0.26, 1.05, -0.47,-0.06784, 0.74206, 0.07597, 0.66256,348.31, 96.48, 0.00,0.97, 0.20, -0.11,-0.11, 0.00, -0.99,-0.20, 0.98, 0.02,WorldSpace,0.9980469,-0.26, 1.05, -0.54,-0.07007, 0.72767, 0.07518, 0.67818,348.20, 94.03, 0.00,0.98, 0.20, -0.07,-0.07, 0.00, -1.00,-0.20, 0.98, 0.01,WorldSpace,0.9980469,98.88, 8.44, 10.25,-0.02867, 0.66739, 0.02344, 0.74378
06/23/2023 18:59:38.117097,6,start,-0.26, 1.05, -0.48,-0.02864, 0.66750, 0.02341, 0.74369,-0.26, 1.05, -0.54,-0.02864, 0.66750, 0.02341, 0.74369,-0.26, 1.05, -0.51,-0.02864, 0.66750, 0.02341, 0.74369,-0.26, 1.05, -0.47,-0.06783, 0.74205, 0.07597, 0.66256,348.31, 96.48, 0.00,0.97, 0.20, -0.11,-0.11, 0.00, -0.99,-0.20, 0.98, 0.02,WorldSpace,0.9980469,-0.26, 1.05, -0.54,-0.07006, 0.72767, 0.07517, 0.67819,348.20, 94.03, 0.00,0.98, 0.20, -0.07,-0.07, 0.00, -1.00,-0.20, 0.98, 0.01,WorldSpace,0.9980469,98.89, 8.43, 10.23,-0.02861, 0.66745, 0.02345, 0.74374
06/23/2023 18:59:38.133480,7,start,-0.26, 1.05, -0.48,-0.02874, 0.66749, 0.02344, 0.74369,-0.26, 1.05, -0.54,-0.02874, 0.66749, 0.02344, 0.74369,-0.26, 1.05, -0.51,-0.02874, 0.66749, 0.02344, 0.74369,-0.26, 1.05, -0.47,-0.06774, 0.74217, 0.07590, 0.66245,348.32, 96.50, 0.00,0.97, 0.20, -0.11,-0.11, 0.00, -0.99,-0.20, 0.98, 0.02,WorldSpace,0.9980469,-0.26, 1.05, -0.54,-0.06998, 0.72779, 0.07511, 0.67808,348.22, 94.05, 0.00,0.98, 0.20, -0.07,-0.07, 0.00, -1.00,-0.20, 0.98, 0.01,WorldSpace,0.9980469,98.89, 8.43, 10.22,-0.02865, 0.66747, 0.02342, 0.74371
06/23/2023 18:59:38.150512,8,start,-0.26, 1.05, -0.48,-0.02896, 0.66749, 0.02349, 0.74369,-0.26, 1.05, -0.54,-0.02896, 0.66749, 0.02349, 0.74369,-0.26, 1.05, -0.51,-0.02896, 0.66749, 0.02349, 0.74369,-0.26, 1.05, -0.47,-0.06768, 0.74218, 0.07583, 0.66245,348.33, 96.50, 0.00,0.97, 0.20, -0.11,-0.11, 0.00, -0.99,-0.20, 0.98, 0.02,WorldSpace,0.9980469,-0.26, 1.05, -0.54,-0.06991, 0.72780, 0.07504, 0.67808,348.23, 94.05, 0.00,0.98, 0.20, -0.07,-0.07, 0.00, -1.00,-0.20, 0.98, 0.01,WorldSpace,0.9980469,98.89, 8.45, 10.22,-0.02874, 0.66749, 0.02345, 0.74369
06/23/2023 18:59:38.167268,9,start,-0.26, 1.05, -0.48,-0.02917, 0.66750, 0.02346, 0.74367,-0.26, 1.05, -0.54,-0.02917, 0.66750, 0.02346, 0.74367,-0.26, 1.05, -0.51,-0.02917, 0.66750, 0.02346, 0.74367,-0.26, 1.05, -0.47,-0.06534, 0.74246, 0.07321, 0.66267,348.74, 96.50, 0.00,0.97, 0.20, -0.11,-0.11, 0.00, -0.99,-0.19, 0.98, 0.02,WorldSpace,0.9980469,-0.26, 1.05, -0.54,-0.06749, 0.72809, 0.07245, 0.67830,348.64, 94.06, 0.00,0.98, 0.20, -0.07,-0.07, 0.00, -1.00,-0.20, 0.98, 0.01,WorldSpace,0.9980469,98.88, 8.49, 10.22,-0.02896, 0.66749, 0.02350, 0.74369
