,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Cosine Similarity,Euclidean Error
0,06/23/2023 18:59:41.223663,228,static,-0.27,1.05,-0.48,-0.03418,0.66889,0.02073,0.74229,-0.26,1.05,-0.54,-0.03418,0.66889,0.02073,0.74229,-0.26,1.05,-0.51,-0.03418,0.66889,0.02073,0.74229,-0.27,1.05,-0.48,-0.13407,0.67192,0.12555,0.71749,338.83,86.24,0.0,0.93,0.36,0.06,0.07,0.0,-1.0,-0.36,0.93,-0.02,WorldSpace,0.9980469,-0.26,1.05,-0.54,-0.13683,0.65744,0.12311,0.73068,338.79,83.96,0.0,0.93,0.36,0.1,0.11,0.0,-0.99,-0.36,0.93,-0.04,WorldSpace,0.9980469,172.12,71.25,16.54,-0.03415,0.66884,0.02068,0.74234,1.1473936651583598,1.5967330316742039,-0.3884102564102574,1.0,0.0,-172.38,-70.2,-17.05,-1.4123936651583597,-0.5467330316742038,-0.12158974358974262,1.1836670716596622,1.3304689764496078
1,06/23/2023 18:59:41.237682,229,static,-0.27,1.05,-0.48,-0.03414,0.6689,0.02078,0.74227,-0.26,1.05,-0.54,-0.03414,0.6689,0.02078,0.74227,-0.26,1.05,-0.51,-0.03414,0.6689,0.02078,0.74227,-0.27,1.05,-0.48,-0.13409,0.67196,0.12559,0.71744,338.83,86.25,0.0,0.93,0.36,0.06,0.07,0.0,-1.0,-0.36,0.93,-0.02,WorldSpace,0.9980469,-0.26,1.05,-0.54,-0.13685,0.65747,0.12315,0.73064,338.78,83.97,0.0,0.93,0.36,0.1,0.11,0.0,-0.99,-0.36,0.93,-0.04,WorldSpace,0.9980469,172.12,71.26,16.52,-0.03416,0.66888,0.02072,0.74229,1.1473936651583598,1.5967330316742039,-0.3884102564102574,1.0,0.0,-172.38,-70.21000000000001,-17.03,-1.4123936651583597,-0.5467330316742038,-0.12158974358974262,1.1826948949455116,1.3124062355847421
2,06/23/2023 18:59:41.251327,230,static,-0.27,1.05,-0.48,-0.0341,0.66898,0.02079,0.74221,-0.26,1.05,-0.54,-0.0341,0.66898,0.02079,0.74221,-0.26,1.05,-0.51,-0.0341,0.66898,0.02079,0.74221,-0.27,1.05,-0.48,-0.13411,0.67191,0.12559,0.71748,338.83,86.24,0.0,0.93,0.36,0.06,0.07,0.0,-1.0,-0.36,0.93,-0.02,WorldSpace,0.9980469,-0.26,1.05,-0.54,-0.13687,0.65742,0.12315,0.73068,338.78,83.96,0.0,0.93,0.36,0.1,0.11,0.0,-0.99,-0.36,0.93,-0.04,WorldSpace,0.9980469,172.12,71.26,16.51,-0.03412,0.66892,0.02076,0.74226,1.1473936651583598,1.5967330316742039,-0.3884102564102574,1.0,0.0,-172.38,-70.21000000000001,-17.020000000000003,-1.4123936651583597,-0.5467330316742038,-0.12158974358974262,1.1810535840951903,1.304159648334353
3,06/23/2023 18:59:41.265518,231,static,-0.27,1.05,-0.48,-0.03401,0.669,0.0208,0.74219,-0.26,1.05,-0.54,-0.03401,0.669,0.0208,0.74219,-0.26,1.05,-0.51,-0.03401,0.669,0.0208,0.74219,-0.27,1.05,-0.48,-0.13306,0.67071,0.12411,0.71905,339.03,86.02,0.0,0.93,0.36,0.06,0.07,0.0,-1.0,-0.36,0.93,-0.02,WorldSpace,0.9980469,-0.26,1.05,-0.54,-0.13577,0.6562,0.12167,0.73223,338.99,83.73,0.0,0.93,0.36,0.1,0.11,0.0,-0.99,-0.36,0.93,-0.04,WorldSpace,0.9980469,172.12,71.26,16.49,-0.0341,0.66898,0.02079,0.74221,1.1473936651583598,1.5967330316742039,-0.3884102564102574,1.0,0.0,-172.38,-70.21000000000001,-17.0,-1.4123936651583597,-0.5467330316742038,-0.12158974358974262,1.1777877880683916,1.2876703592698973
4,06/23/2023 18:59:41.279387,232,static,-0.27,1.05,-0.48,-0.03401,0.66901,0.02078,0.74218,-0.26,1.05,-0.54,-0.03401,0.66901,0.02078,0.74218,-0.26,1.05,-0.51,-0.03401,0.66901,0.02078,0.74218,-0.27,1.05,-0.48,-0.13304,0.67071,0.12409,0.71906,339.04,86.02,0.0,0.93,0.36,0.06,0.07,0.0,-1.0,-0.36,0.93,-0.02,WorldSpace,0.9980469,-0.26,1.05,-0.54,-0.13575,0.6562,0.12165,0.73224,338.99,83.73,0.0,0.93,0.36,0.1,0.11,0.0,-0.99,-0.36,0.93,-0.04,WorldSpace,0.9980469,172.13,71.25,16.48,-0.03403,0.66901,0.02081,0.74218,1.1473936651583598,1.5967330316742039,-0.3884102564102574,1.0,0.0,-172.39,-70.2,-16.990000000000002,-1.4123936651583597,-0.5467330316742038,-0.12158974358974262,1.1726987438384624,1.2808021589622187
5,06/23/2023 18:59:41.293393,233,static,-0.27,1.05,-0.48,-0.03404,0.66907,0.02064,0.74213,-0.26,1.05,-0.54,-0.03404,0.66907,0.02064,0.74213,-0.26,1.05,-0.51,-0.03404,0.66907,0.02064,0.74213,-0.27,1.05,-0.48,-0.13305,0.6707,0.1241,0.71907,339.03,86.01,0.0,0.93,0.36,0.06,0.07,0.0,-1.0,-0.36,0.93,-0.02,WorldSpace,0.9980469,-0.26,1.05,-0.54,-0.13576,0.65618,0.12166,0.73225,338.99,83.73,0.0,0.93,0.36,0.1,0.11,0.0,-0.99,-0.36,0.93,-0.04,WorldSpace,0.9980469,172.13,71.24,16.48,-0.03401,0.66901,0.02078,0.74218,1.1473936651583598,1.5967330316742039,-0.3884102564102574,1.0,0.0,-172.39,-70.19,-16.990000000000002,-1.4123936651583597,-0.5467330316742038,-0.12158974358974262,1.1703529177823913,1.282357503488775
6,06/23/2023 18:59:41.307010,234,static,-0.27,1.05,-0.48,-0.03408,0.66903,0.02056,0.74217,-0.26,1.05,-0.54,-0.03408,0.66903,0.02056,0.74217,-0.26,1.05,-0.51,-0.03408,0.66903,0.02056,0.74217,-0.27,1.05,-0.48,-0.133,0.67079,0.12408,0.719,339.04,86.03,0.0,0.93,0.36,0.06,0.07,0.0,-1.0,-0.36,0.93,-0.02,WorldSpace,0.9980469,-0.26,1.05,-0.54,-0.1357,0.65627,0.12163,0.73218,339.0,83.74,0.0,0.93,0.36,0.1,0.11,0.0,-0.99,-0.36,0.93,-0.04,WorldSpace,0.9980469,172.15,71.21,16.45,-0.03402,0.66906,0.02065,0.74215,1.1473936651583598,1.5967330316742039,-0.3884102564102574,1.0,0.0,-172.41,-70.16,-16.96,-1.4123936651583597,-0.5467330316742038,-0.12158974358974262,1.1562016725449475,1.2619218762463114
7,06/23/2023 18:59:41.321343,235,static,-0.27,1.05,-0.48,-0.03408,0.66901,0.02054,0.74219,-0.26,1.05,-0.54,-0.03408,0.66901,0.02054,0.74219,-0.26,1.05,-0.51,-0.03408,0.66901,0.02054,0.74219,-0.27,1.05,-0.48,-0.133,0.67081,0.12409,0.71898,339.04,86.03,0.0,0.93,0.36,0.06,0.07,0.0,-1.0,-0.36,0.93,-0.02,WorldSpace,0.9980469,-0.26,1.05,-0.54,-0.1357,0.6563,0.12164,0.73216,339.0,83.74,0.0,0.93,0.36,0.1,0.11,0.0,-0.99,-0.36,0.93,-0.04,WorldSpace,0.9980469,172.15,71.21,16.45,-0.03409,0.66903,0.02057,0.74217,1.1473936651583598,1.5967330316742039,-0.3884102564102574,1.0,0.0,-172.41,-70.16,-16.96,-1.4123936651583597,-0.5467330316742038,-0.12158974358974262,1.1562016725449475,1.2619218762463114
8,06/23/2023 18:59:41.335139,236,static,-0.27,1.05,-0.48,-0.03412,0.669,0.02053,0.7422,-0.26,1.05,-0.54,-0.03412,0.669,0.02053,0.7422,-0.26,1.05,-0.51,-0.03412,0.669,0.02053,0.7422,-0.27,1.05,-0.48,-0.13432,0.67067,0.12535,0.71865,338.83,86.04,0.0,0.93,0.36,0.06,0.07,0.0,-1.0,-0.36,0.93,-0.02,WorldSpace,0.9980469,-0.26,1.05,-0.54,-0.13761,0.65302,0.12233,0.73461,338.78,83.27,0.0,0.93,0.36,0.11,0.12,0.0,-0.99,-0.36,0.93,-0.04,WorldSpace,0.9980469,172.14,71.21,16.45,-0.03415,0.66901,0.02054,0.74219,0.8657846153845054,1.4877230769230343,-0.40653182503771745,1.0,0.0,-172.39999999999998,-70.16,-16.96,-1.1307846153845054,-0.43772307692303425,-0.10346817496228256,1.0331308073856096,0.4864389735233798
9,06/23/2023 18:59:41.348647,237,static,-0.27,1.05,-0.48,-0.03414,0.66896,0.02058,0.74223,-0.26,1.05,-0.54,-0.03414,0.66896,0.02058,0.74223,-0.26,1.05,-0.51,-0.03414,0.66896,0.02058,0.74223,-0.27,1.05,-0.48,-0.13427,0.67071,0.12532,0.71862,338.83,86.05,0.0,0.93,0.36,0.06,0.07,0.0,-1.0,-0.36,0.93,-0.02,WorldSpace,0.9980469,-0.26,1.05,-0.54,-0.13756,0.65307,0.12229,0.73459,338.79,83.28,0.0,0.93,0.36,0.11,0.12,0.0,-0.99,-0.36,0.93,-0.04,WorldSpace,0.9980469,172.15,71.21,16.46,-0.03412,0.669,0.02053,0.7422,0.8657846153845054,1.4877230769230343,-0.40653182503771745,1.0,0.0,-172.41,-70.16,-16.970000000000002,-1.1307846153845054,-0.43772307692303425,-0.10346817496228256,1.0329279351110483,0.49344360724558417
