Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/23/2023 21:30:19.669401,0,start,0.14, 1.10, -0.15,-0.09477, 0.62214, 0.06446, 0.77447,0.16, 1.10, -0.21,-0.09477, 0.62214, 0.06446, 0.77447,0.15, 1.10, -0.18,-0.09477, 0.62214, 0.06446, 0.77447,0.14, 1.10, -0.15,-0.10166, 0.61170, 0.07967, 0.78048,345.16, 76.17, 0.00,0.94, 0.26, 0.23,0.24, 0.00, -0.97,-0.25, 0.97, -0.06,WorldSpace,0.9980469,0.16, 1.10, -0.21,-0.10327, 0.59764, 0.07800, 0.79125,345.13, 74.13, 0.00,0.93, 0.26, 0.26,0.27, 0.00, -0.96,-0.25, 0.97, -0.07,WorldSpace,0.9980469,95.38, 23.75, 20.29,-0.09580, 0.62328, 0.06285, 0.77356
06/23/2023 21:30:19.676712,1,start,0.14, 1.10, -0.15,-0.09317, 0.62011, 0.06635, 0.77613,0.16, 1.10, -0.21,-0.09317, 0.62011, 0.06635, 0.77613,0.15, 1.10, -0.18,-0.09317, 0.62011, 0.06635, 0.77613,0.14, 1.10, -0.15,-0.10175, 0.61264, 0.07995, 0.77969,345.13, 76.32, 0.00,0.94, 0.26, 0.23,0.24, 0.00, -0.97,-0.25, 0.97, -0.06,WorldSpace,0.9980469,0.16, 1.10, -0.21,-0.10339, 0.59860, 0.07829, 0.79048,345.10, 74.27, 0.00,0.93, 0.26, 0.26,0.27, 0.00, -0.96,-0.25, 0.97, -0.07,WorldSpace,0.9980469,95.29, 23.79, 20.62,-0.09475, 0.62212, 0.06444, 0.77449
06/23/2023 21:30:19.692955,2,start,0.14, 1.10, -0.15,-0.09341, 0.61939, 0.06563, 0.77674,0.16, 1.10, -0.21,-0.09341, 0.61939, 0.06563, 0.77674,0.15, 1.10, -0.18,-0.09341, 0.61939, 0.06563, 0.77674,0.14, 1.10, -0.15,-0.10196, 0.61091, 0.07975, 0.78104,345.12, 76.06, 0.00,0.94, 0.26, 0.23,0.24, 0.00, -0.97,-0.25, 0.97, -0.06,WorldSpace,0.9980469,0.16, 1.10, -0.21,-0.10350, 0.59686, 0.07802, 0.79181,345.11, 74.02, 0.00,0.93, 0.26, 0.27,0.28, 0.00, -0.96,-0.25, 0.97, -0.07,WorldSpace,0.9980469,95.17, 23.77, 21.19,-0.09315, 0.62006, 0.06618, 0.77619
06/23/2023 21:30:19.709643,3,start,0.14, 1.10, -0.15,-0.09422, 0.61884, 0.06529, 0.77711,0.16, 1.10, -0.20,-0.09422, 0.61884, 0.06529, 0.77711,0.15, 1.10, -0.18,-0.09422, 0.61884, 0.06529, 0.77711,0.14, 1.10, -0.15,-0.10223, 0.60632, 0.07899, 0.78466,345.15, 75.39, 0.00,0.94, 0.26, 0.24,0.25, 0.00, -0.97,-0.25, 0.97, -0.06,WorldSpace,0.9980469,0.16, 1.10, -0.21,-0.10334, 0.59559, 0.07763, 0.79282,345.15, 73.83, 0.00,0.93, 0.26, 0.27,0.28, 0.00, -0.96,-0.25, 0.97, -0.07,WorldSpace,0.9980469,95.15, 23.73, 21.34,-0.09344, 0.61942, 0.06556, 0.77672
06/23/2023 21:30:19.731243,4,start,0.14, 1.10, -0.15,-0.09528, 0.61814, 0.06600, 0.77748,0.16, 1.10, -0.20,-0.09528, 0.61814, 0.06600, 0.77748,0.15, 1.10, -0.18,-0.09528, 0.61814, 0.06600, 0.77748,0.14, 1.10, -0.15,-0.10239, 0.60503, 0.07885, 0.78564,345.15, 75.20, 0.00,0.93, 0.26, 0.25,0.26, 0.00, -0.97,-0.25, 0.97, -0.07,WorldSpace,0.9980469,0.16, 1.10, -0.21,-0.10350, 0.59429, 0.07749, 0.79379,345.14, 73.64, 0.00,0.93, 0.26, 0.27,0.28, 0.00, -0.96,-0.25, 0.97, -0.07,WorldSpace,0.9980469,95.06, 23.99, 21.45,-0.09501, 0.61874, 0.06568, 0.77706
06/23/2023 21:30:19.749402,5,start,0.14, 1.10, -0.15,-0.09648, 0.61753, 0.06642, 0.77777,0.16, 1.10, -0.20,-0.09648, 0.61753, 0.06642, 0.77777,0.15, 1.10, -0.18,-0.09648, 0.61753, 0.06642, 0.77777,0.14, 1.10, -0.15,-0.10223, 0.60496, 0.07871, 0.78573,345.17, 75.19, 0.00,0.93, 0.26, 0.25,0.26, 0.00, -0.97,-0.25, 0.97, -0.07,WorldSpace,0.9980469,0.16, 1.10, -0.21,-0.10333, 0.59422, 0.07734, 0.79388,345.17, 73.63, 0.00,0.93, 0.26, 0.27,0.28, 0.00, -0.96,-0.25, 0.97, -0.07,WorldSpace,0.9980469,94.98, 24.19, 21.58,-0.09590, 0.61809, 0.06616, 0.77743
06/23/2023 21:30:19.765984,6,start,0.14, 1.10, -0.15,-0.09778, 0.61753, 0.06602, 0.77765,0.16, 1.10, -0.20,-0.09778, 0.61753, 0.06602, 0.77765,0.15, 1.10, -0.18,-0.09778, 0.61753, 0.06602, 0.77765,0.14, 1.10, -0.15,-0.10095, 0.60820, 0.07837, 0.78343,345.32, 75.65, 0.00,0.94, 0.25, 0.24,0.25, 0.00, -0.97,-0.25, 0.97, -0.06,WorldSpace,0.9980469,0.16, 1.10, -0.21,-0.10253, 0.59243, 0.07637, 0.79541,345.31, 73.36, 0.00,0.93, 0.25, 0.28,0.29, 0.00, -0.96,-0.24, 0.97, -0.07,WorldSpace,0.9980469,94.93, 24.36, 21.64,-0.09688, 0.61769, 0.06636, 0.77760
06/23/2023 21:30:19.783014,7,start,0.14, 1.10, -0.15,-0.09839, 0.61742, 0.06562, 0.77769,0.16, 1.10, -0.20,-0.09839, 0.61742, 0.06562, 0.77769,0.15, 1.10, -0.18,-0.09839, 0.61742, 0.06562, 0.77769,0.14, 1.10, -0.15,-0.10106, 0.60827, 0.07847, 0.78335,345.30, 75.66, 0.00,0.94, 0.25, 0.24,0.25, 0.00, -0.97,-0.25, 0.97, -0.06,WorldSpace,0.9980469,0.16, 1.10, -0.21,-0.10266, 0.59250, 0.07648, 0.79533,345.29, 73.37, 0.00,0.93, 0.25, 0.28,0.29, 0.00, -0.96,-0.24, 0.97, -0.07,WorldSpace,0.9980469,94.91, 24.44, 21.62,-0.09785, 0.61760, 0.06576, 0.77760
06/23/2023 21:30:19.799201,8,start,0.14, 1.10, -0.15,-0.09823, 0.61735, 0.06569, 0.77777,0.16, 1.10, -0.20,-0.09823, 0.61735, 0.06569, 0.77777,0.15, 1.10, -0.18,-0.09823, 0.61735, 0.06569, 0.77777,0.14, 1.10, -0.14,-0.09929, 0.60751, 0.07691, 0.78432,345.57, 75.52, 0.00,0.94, 0.25, 0.24,0.25, 0.00, -0.97,-0.24, 0.97, -0.06,WorldSpace,0.9980469,0.16, 1.10, -0.21,-0.10073, 0.59343, 0.07519, 0.79501,345.56, 73.48, 0.00,0.93, 0.25, 0.28,0.28, 0.00, -0.96,-0.24, 0.97, -0.07,WorldSpace,0.9980469,94.90, 24.49, 21.62,-0.09831, 0.61754, 0.06558, 0.77761
06/23/2023 21:30:19.816008,9,start,0.14, 1.10, -0.15,-0.09812, 0.61746, 0.06554, 0.77770,0.16, 1.10, -0.21,-0.09812, 0.61746, 0.06554, 0.77770,0.15, 1.10, -0.18,-0.09812, 0.61746, 0.06554, 0.77770,0.14, 1.10, -0.14,-0.09944, 0.60719, 0.07696, 0.78454,345.55, 75.48, 0.00,0.94, 0.25, 0.24,0.25, 0.00, -0.97,-0.24, 0.97, -0.06,WorldSpace,0.9980469,0.16, 1.10, -0.21,-0.10087, 0.59312, 0.07524, 0.79522,345.54, 73.44, 0.00,0.93, 0.25, 0.28,0.29, 0.00, -0.96,-0.24, 0.97, -0.07,WorldSpace,0.9980469,94.89, 24.48, 21.67,-0.09816, 0.61738, 0.06572, 0.77775
06/23/2023 21:30:19.832640,10,start,0.14, 1.10, -0.15,-0.09801, 0.61785, 0.06480, 0.77747,0.16, 1.10, -0.21,-0.09801, 0.61785, 0.06480, 0.77747,0.15, 1.10, -0.18,-0.09801, 0.61785, 0.06480, 0.77747,0.14, 1.10, -0.14,-0.10051, 0.60617, 0.07760, 0.78513,345.41, 75.34, 0.00,0.94, 0.25, 0.24,0.25, 0.00, -0.97,-0.24, 0.97, -0.06,WorldSpace,0.9980469,0.16, 1.10, -0.21,-0.10195, 0.59207, 0.07585, 0.79580,345.40, 73.30, 0.00,0.93, 0.25, 0.28,0.29, 0.00, -0.96,-0.24, 0.97, -0.07,WorldSpace,0.9980469,94.90, 24.45, 21.65,-0.09814, 0.61746, 0.06551, 0.77770
06/23/2023 21:30:19.849067,11,start,0.14, 1.10, -0.15,-0.09765, 0.61809, 0.06422, 0.77737,0.16, 1.10, -0.21,-0.09765, 0.61809, 0.06422, 0.77737,0.15, 1.10, -0.18,-0.09765, 0.61809, 0.06422, 0.77737,0.14, 1.10, -0.14,-0.10049, 0.60641, 0.07763, 0.78495,345.41, 75.38, 0.00,0.94, 0.25, 0.24,0.25, 0.00, -0.97,-0.24, 0.97, -0.06,WorldSpace,0.9980469,0.16, 1.10, -0.21,-0.10194, 0.59231, 0.07589, 0.79563,345.40, 73.33, 0.00,0.93, 0.25, 0.28,0.29, 0.00, -0.96,-0.24, 0.97, -0.07,WorldSpace,0.9980469,94.96, 24.33, 21.54,-0.09793, 0.61790, 0.06475, 0.77744
06/23/2023 21:30:19.864346,12,start,0.14, 1.10, -0.15,-0.09727, 0.61817, 0.06414, 0.77736,0.16, 1.10, -0.21,-0.09727, 0.61817, 0.06414, 0.77736,0.15, 1.10, -0.18,-0.09727, 0.61817, 0.06414, 0.77736,0.14, 1.10, -0.14,-0.10041, 0.60643, 0.07757, 0.78495,345.42, 75.38, 0.00,0.94, 0.25, 0.24,0.25, 0.00, -0.97,-0.24, 0.97, -0.06,WorldSpace,0.9980469,0.16, 1.10, -0.21,-0.10171, 0.59402, 0.07606, 0.79436,345.41, 73.58, 0.00,0.93, 0.25, 0.27,0.28, 0.00, -0.96,-0.24, 0.97, -0.07,WorldSpace,0.9980469,94.99, 24.22, 21.51,-0.09759, 0.61810, 0.06429, 0.77737
06/23/2023 21:30:19.879763,13,start,0.14, 1.10, -0.15,-0.09735, 0.61835, 0.06395, 0.77722,0.16, 1.10, -0.21,-0.09735, 0.61835, 0.06395, 0.77722,0.15, 1.10, -0.18,-0.09735, 0.61835, 0.06395, 0.77722,0.14, 1.10, -0.14,-0.10023, 0.60630, 0.07741, 0.78509,345.45, 75.36, 0.00,0.94, 0.25, 0.24,0.25, 0.00, -0.97,-0.24, 0.97, -0.06,WorldSpace,0.9980469,0.16, 1.10, -0.21,-0.10153, 0.59389, 0.07590, 0.79450,345.43, 73.56, 0.00,0.93, 0.25, 0.27,0.28, 0.00, -0.96,-0.24, 0.97, -0.07,WorldSpace,0.9980469,95.01, 24.16, 21.50,-0.09731, 0.61819, 0.06418, 0.77733
