Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/24/2023 21:01:24.932441,0,start,0.49, 1.03, 0.02,0.05848, 0.74528, 0.05024, -0.66228,0.49, 1.03, 0.08,0.05848, 0.74528, 0.05024, -0.66228,0.49, 1.03, 0.05,0.05848, 0.74528, 0.05024, -0.66228,0.47, 1.03, 0.02,-0.01626, -0.71717, -0.01674, 0.69651,357.33, 268.33, 0.00,-1.00, 0.05, -0.03,-0.03, 0.00, 1.00,0.05, 1.00, 0.00,WorldSpace,0.9980469,0.47, 1.04, 0.08,-0.01575, -0.72820, -0.01674, 0.68497,357.37, 266.50, 0.00,-1.00, 0.05, -0.06,-0.06, 0.00, 1.00,0.05, 1.00, 0.00,WorldSpace,0.9980469,-0.50, 1.19, -0.08,0.06030, 0.74688, 0.05111, -0.66024
06/24/2023 21:01:24.940544,1,start,0.50, 1.03, 0.02,0.05680, 0.74381, 0.04824, -0.66422,0.50, 1.03, 0.08,0.05680, 0.74381, 0.04824, -0.66422,0.50, 1.03, 0.05,0.05680, 0.74381, 0.04824, -0.66422,0.47, 1.03, 0.02,-0.01669, -0.71712, -0.01718, 0.69654,357.26, 268.33, 0.00,-1.00, 0.05, -0.03,-0.03, 0.00, 1.00,0.05, 1.00, 0.00,WorldSpace,0.9980469,0.47, 1.04, 0.08,-0.01619, -0.72816, -0.01721, 0.68500,357.29, 266.50, 0.00,-1.00, 0.05, -0.06,-0.06, 0.00, 1.00,0.05, 1.00, 0.00,WorldSpace,0.9980469,-0.49, 1.18, -0.07,0.05853, 0.74534, 0.05010, -0.66221
06/24/2023 21:01:24.962893,2,start,0.51, 1.03, 0.01,0.05540, 0.74378, 0.05041, -0.66421,0.50, 1.03, 0.08,0.05540, 0.74378, 0.05041, -0.66421,0.50, 1.03, 0.05,0.05540, 0.74378, 0.05041, -0.66421,0.49, 1.03, 0.02,-0.01544, -0.71550, -0.01582, 0.69826,357.47, 268.60, 0.00,-1.00, 0.04, -0.02,-0.02, 0.00, 1.00,0.04, 1.00, 0.00,WorldSpace,0.9980469,0.48, 1.03, 0.08,-0.01480, -0.72930, -0.01578, 0.68385,357.52, 266.32, 0.00,-1.00, 0.04, -0.06,-0.06, 0.00, 1.00,0.04, 1.00, 0.00,WorldSpace,0.9980469,-0.48, 1.17, -0.07,0.05677, 0.74383, 0.04823, -0.66421
06/24/2023 21:01:24.978347,3,start,0.51, 1.03, 0.01,0.05439, 0.74385, 0.05355, -0.66397,0.50, 1.03, 0.08,0.05439, 0.74385, 0.05355, -0.66397,0.50, 1.03, 0.05,0.05439, 0.74385, 0.05355, -0.66397,0.49, 1.03, 0.01,-0.01537, -0.71726, -0.01583, 0.69646,357.47, 268.31, 0.00,-1.00, 0.04, -0.03,-0.03, 0.00, 1.00,0.04, 1.00, 0.00,WorldSpace,0.9980469,0.48, 1.03, 0.08,-0.01481, -0.72964, -0.01581, 0.68349,357.52, 266.26, 0.00,-1.00, 0.04, -0.07,-0.07, 0.00, 1.00,0.04, 1.00, 0.00,WorldSpace,0.9980469,-0.48, 1.18, -0.07,0.05532, 0.74389, 0.05093, -0.66406
06/24/2023 21:01:25.000486,4,start,0.51, 1.03, 0.01,0.05332, 0.74345, 0.05684, -0.66424,0.50, 1.03, 0.08,0.05332, 0.74345, 0.05684, -0.66424,0.51, 1.03, 0.05,0.05332, 0.74345, 0.05684, -0.66424,0.49, 1.03, 0.01,-0.01584, -0.71750, -0.01632, 0.69618,357.39, 268.27, 0.00,-1.00, 0.05, -0.03,-0.03, 0.00, 1.00,0.05, 1.00, 0.00,WorldSpace,0.9980469,0.48, 1.03, 0.08,-0.01529, -0.72988, -0.01634, 0.68321,357.44, 266.22, 0.00,-1.00, 0.04, -0.07,-0.07, 0.00, 1.00,0.04, 1.00, 0.00,WorldSpace,0.9980469,-0.48, 1.18, -0.07,0.05402, 0.74367, 0.05544, -0.66405
06/24/2023 21:01:25.018058,5,start,0.51, 1.03, 0.01,0.05370, 0.74351, 0.05831, -0.66401,0.51, 1.03, 0.08,0.05370, 0.74351, 0.05831, -0.66401,0.51, 1.03, 0.05,0.05370, 0.74351, 0.05831, -0.66401,0.50, 1.03, 0.01,-0.01543, -0.71378, -0.01573, 0.70003,357.47, 268.89, 0.00,-1.00, 0.04, -0.02,-0.02, 0.00, 1.00,0.04, 1.00, 0.00,WorldSpace,0.9980469,0.49, 1.03, 0.08,-0.01492, -0.72762, -0.01583, 0.68563,357.51, 266.60, 0.00,-1.00, 0.04, -0.06,-0.06, 0.00, 1.00,0.04, 1.00, 0.00,WorldSpace,0.9980469,-0.47, 1.18, -0.07,0.05358, 0.74357, 0.05708, -0.66406
06/24/2023 21:01:25.034723,6,start,0.51, 1.03, 0.01,0.05407, 0.74341, 0.06000, -0.66394,0.51, 1.03, 0.08,0.05407, 0.74341, 0.06000, -0.66394,0.51, 1.03, 0.05,0.05407, 0.74341, 0.06000, -0.66394,0.50, 1.03, 0.01,-0.01514, -0.71380, -0.01544, 0.70002,357.52, 268.88, 0.00,-1.00, 0.04, -0.02,-0.02, 0.00, 1.00,0.04, 1.00, 0.00,WorldSpace,0.9980469,0.49, 1.03, 0.08,-0.01463, -0.72764, -0.01552, 0.68563,357.56, 266.59, 0.00,-1.00, 0.04, -0.06,-0.06, 0.00, 1.00,0.04, 1.00, 0.00,WorldSpace,0.9980469,-0.47, 1.18, -0.07,0.05382, 0.74351, 0.05830, -0.66400
06/24/2023 21:01:25.050879,7,start,0.52, 1.03, 0.01,0.05411, 0.74298, 0.06200, -0.66424,0.51, 1.03, 0.08,0.05411, 0.74298, 0.06200, -0.66424,0.51, 1.03, 0.04,0.05411, 0.74298, 0.06200, -0.66424,0.50, 1.03, 0.01,-0.01582, -0.71230, -0.01606, 0.70152,357.42, 269.13, 0.00,-1.00, 0.05, -0.02,-0.02, 0.00, 1.00,0.05, 1.00, 0.00,WorldSpace,0.9980469,0.50, 1.03, 0.08,-0.01532, -0.72749, -0.01626, 0.68576,357.44, 266.62, 0.00,-1.00, 0.04, -0.06,-0.06, 0.00, 1.00,0.04, 1.00, 0.00,WorldSpace,0.9980469,-0.47, 1.19, -0.07,0.05411, 0.74341, 0.06007, -0.66393
06/24/2023 21:01:25.067798,8,start,0.52, 1.03, 0.01,0.05542, 0.74287, 0.06313, -0.66414,0.51, 1.02, 0.08,0.05542, 0.74287, 0.06313, -0.66414,0.51, 1.02, 0.05,0.05542, 0.74287, 0.06313, -0.66414,0.50, 1.03, 0.01,-0.01557, -0.71201, -0.01580, 0.70182,357.46, 269.17, 0.00,-1.00, 0.04, -0.01,-0.01, 0.00, 1.00,0.04, 1.00, 0.00,WorldSpace,0.9980469,0.50, 1.03, 0.08,-0.01513, -0.72721, -0.01604, 0.68606,357.47, 266.67, 0.00,-1.00, 0.04, -0.06,-0.06, 0.00, 1.00,0.04, 1.00, 0.00,WorldSpace,0.9980469,-0.47, 1.19, -0.07,0.05417, 0.74300, 0.06202, -0.66420
06/24/2023 21:01:25.084294,9,start,0.52, 1.02, 0.01,0.05760, 0.74310, 0.06341, -0.66368,0.51, 1.02, 0.08,0.05760, 0.74310, 0.06341, -0.66368,0.52, 1.02, 0.05,0.05760, 0.74310, 0.06341, -0.66368,0.51, 1.02, 0.01,-0.01556, -0.71132, -0.01576, 0.70252,357.46, 269.29, 0.00,-1.00, 0.04, -0.01,-0.01, 0.00, 1.00,0.04, 1.00, 0.00,WorldSpace,0.9980469,0.50, 1.03, 0.08,-0.01526, -0.72522, -0.01608, 0.68816,357.46, 267.00, 0.00,-1.00, 0.04, -0.05,-0.05, 0.00, 1.00,0.04, 1.00, 0.00,WorldSpace,0.9980469,-0.47, 1.19, -0.07,0.05579, 0.74295, 0.06298, -0.66404
