Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/24/2023 21:04:00.598671,0,start,0.56, 1.03, 0.02,0.05317, 0.76687, 0.07523, -0.63516,0.55, 1.02, 0.08,0.05317, 0.76687, 0.07523, -0.63516,0.56, 1.02, 0.05,0.05317, 0.76687, 0.07523, -0.63516,0.53, 1.03, 0.02,-0.09822, -0.72812, -0.10675, 0.66993,343.32, 265.23, 0.00,-0.95, 0.29, -0.08,-0.08, 0.00, 1.00,0.29, 0.96, 0.02,WorldSpace,0.9980469,0.52, 1.03, 0.08,-0.09628, -0.74329, -0.10962, 0.65287,343.22, 262.59, 0.00,-0.95, 0.29, -0.12,-0.13, 0.00, 0.99,0.29, 0.96, 0.04,WorldSpace,0.9980469,-0.42, 1.21, -0.13,0.05272, 0.76523, 0.07609, -0.63706
06/24/2023 21:04:00.607149,1,start,0.58, 1.02, 0.02,0.05356, 0.76915, 0.07388, -0.63252,0.56, 1.02, 0.08,0.05356, 0.76915, 0.07388, -0.63252,0.57, 1.02, 0.05,0.05356, 0.76915, 0.07388, -0.63252,0.53, 1.03, 0.02,-0.09855, -0.72739, -0.10689, 0.67064,343.28, 265.35, 0.00,-0.95, 0.29, -0.08,-0.08, 0.00, 1.00,0.29, 0.96, 0.02,WorldSpace,0.9980469,0.52, 1.03, 0.08,-0.09662, -0.74258, -0.10978, 0.65359,343.18, 262.71, 0.00,-0.95, 0.29, -0.12,-0.13, 0.00, 0.99,0.29, 0.96, 0.04,WorldSpace,0.9980469,-0.41, 1.21, -0.13,0.05316, 0.76690, 0.07520, -0.63513
06/24/2023 21:04:00.626283,2,start,0.58, 1.02, 0.02,0.05533, 0.77034, 0.07588, -0.63068,0.57, 1.02, 0.08,0.05533, 0.77034, 0.07588, -0.63068,0.57, 1.02, 0.05,0.05533, 0.77034, 0.07588, -0.63068,0.55, 1.03, 0.02,-0.06112, -0.73458, -0.06677, 0.67246,349.61, 264.94, 0.00,-0.98, 0.18, -0.09,-0.09, 0.00, 1.00,0.18, 0.98, 0.02,WorldSpace,0.9980469,0.54, 1.03, 0.08,-0.06013, -0.74814, -0.06844, 0.65726,349.55, 262.60, 0.00,-0.98, 0.18, -0.13,-0.13, 0.00, 0.99,0.18, 0.98, 0.02,WorldSpace,0.9980469,-0.39, 1.20, -0.14,0.05360, 0.76921, 0.07394, -0.63243
06/24/2023 21:04:00.644223,3,start,0.58, 1.02, 0.02,0.05925, 0.77107, 0.07835, -0.62913,0.57, 1.02, 0.08,0.05925, 0.77107, 0.07835, -0.62913,0.58, 1.02, 0.05,0.05925, 0.77107, 0.07835, -0.62913,0.56, 1.02, 0.02,-0.05602, -0.73558, -0.06129, 0.67233,350.47, 264.86, 0.00,-0.98, 0.17, -0.09,-0.09, 0.00, 1.00,0.16, 0.99, 0.01,WorldSpace,0.9980469,0.55, 1.02, 0.08,-0.05515, -0.74911, -0.06287, 0.65714,350.41, 262.52, 0.00,-0.98, 0.17, -0.13,-0.13, 0.00, 0.99,0.17, 0.99, 0.02,WorldSpace,0.9980469,-0.39, 1.21, -0.14,0.05550, 0.77034, 0.07606, -0.63064
06/24/2023 21:04:00.665385,4,start,0.59, 1.02, 0.02,0.06757, 0.77220, 0.07835, -0.62690,0.57, 1.02, 0.08,0.06757, 0.77220, 0.07835, -0.62690,0.58, 1.02, 0.05,0.06757, 0.77220, 0.07835, -0.62690,0.56, 1.02, 0.02,-0.05721, -0.73547, -0.06260, 0.67223,350.27, 264.85, 0.00,-0.98, 0.17, -0.09,-0.09, 0.00, 1.00,0.17, 0.99, 0.02,WorldSpace,0.9980469,0.55, 1.02, 0.08,-0.05634, -0.74901, -0.06423, 0.65702,350.20, 262.51, 0.00,-0.98, 0.17, -0.13,-0.13, 0.00, 0.99,0.17, 0.99, 0.02,WorldSpace,0.9980469,-0.38, 1.22, -0.15,0.06436, 0.77143, 0.07804, -0.62823
06/24/2023 21:04:00.683818,5,start,0.59, 1.02, 0.02,0.07276, 0.77244, 0.07975, -0.62584,0.58, 1.02, 0.08,0.07276, 0.77244, 0.07975, -0.62584,0.58, 1.02, 0.05,0.07276, 0.77244, 0.07975, -0.62584,0.57, 1.02, 0.02,-0.05854, -0.73640, -0.06425, 0.67094,350.03, 264.67, 0.00,-0.98, 0.17, -0.09,-0.09, 0.00, 1.00,0.17, 0.98, 0.02,WorldSpace,0.9980469,0.55, 1.02, 0.08,-0.05746, -0.75128, -0.06599, 0.65416,349.96, 262.09, 0.00,-0.98, 0.17, -0.14,-0.14, 0.00, 0.99,0.17, 0.98, 0.02,WorldSpace,0.9980469,-0.38, 1.23, -0.15,0.06949, 0.77208, 0.07822, -0.62685
06/24/2023 21:04:00.700119,6,start,0.59, 1.02, 0.02,0.07443, 0.77239, 0.08280, -0.62532,0.58, 1.02, 0.08,0.07443, 0.77239, 0.08280, -0.62532,0.59, 1.02, 0.05,0.07443, 0.77239, 0.08280, -0.62532,0.57, 1.02, 0.02,-0.05882, -0.73670, -0.06463, 0.67055,349.97, 264.62, 0.00,-0.98, 0.17, -0.09,-0.09, 0.00, 1.00,0.17, 0.98, 0.02,WorldSpace,0.9980469,0.55, 1.02, 0.08,-0.05768, -0.75157, -0.06631, 0.65377,349.92, 262.04, 0.00,-0.98, 0.18, -0.14,-0.14, 0.00, 0.99,0.17, 0.98, 0.02,WorldSpace,0.9980469,-0.37, 1.24, -0.15,0.07264, 0.77224, 0.08044, -0.62602
06/24/2023 21:04:00.716882,7,start,0.60, 1.02, 0.02,0.07448, 0.77223, 0.08562, -0.62513,0.58, 1.02, 0.08,0.07448, 0.77223, 0.08562, -0.62513,0.59, 1.02, 0.05,0.07448, 0.77223, 0.08562, -0.62513,0.58, 1.02, 0.02,-0.06175, -0.73909, -0.06840, 0.66727,349.43, 264.15, 0.00,-0.98, 0.18, -0.10,-0.10, 0.00, 0.99,0.18, 0.98, 0.02,WorldSpace,0.9980469,0.56, 1.02, 0.08,-0.06050, -0.75260, -0.06984, 0.65196,349.40, 261.80, 0.00,-0.97, 0.18, -0.14,-0.14, 0.00, 0.99,0.18, 0.98, 0.03,WorldSpace,0.9980469,-0.37, 1.24, -0.15,0.07413, 0.77233, 0.08304, -0.62540
06/24/2023 21:04:00.733214,8,start,0.60, 1.02, 0.02,0.07483, 0.77246, 0.08615, -0.62473,0.59, 1.02, 0.08,0.07483, 0.77246, 0.08615, -0.62473,0.59, 1.02, 0.05,0.07483, 0.77246, 0.08615, -0.62473,0.58, 1.02, 0.02,-0.06264, -0.73869, -0.06931, 0.66755,349.28, 264.21, 0.00,-0.98, 0.19, -0.10,-0.10, 0.00, 0.99,0.19, 0.98, 0.02,WorldSpace,0.9980469,0.56, 1.02, 0.08,-0.06141, -0.75220, -0.07082, 0.65223,349.24, 261.86, 0.00,-0.97, 0.19, -0.14,-0.14, 0.00, 0.99,0.18, 0.98, 0.03,WorldSpace,0.9980469,-0.36, 1.24, -0.15,0.07425, 0.77222, 0.08560, -0.62517
06/24/2023 21:04:00.750212,9,start,0.60, 1.02, 0.02,0.07565, 0.77259, 0.08641, -0.62444,0.59, 1.02, 0.08,0.07565, 0.77259, 0.08641, -0.62444,0.60, 1.02, 0.05,0.07565, 0.77259, 0.08641, -0.62444,0.59, 1.02, 0.02,-0.06384, -0.74029, -0.07101, 0.66547,349.04, 263.91, 0.00,-0.98, 0.19, -0.10,-0.11, 0.00, 0.99,0.19, 0.98, 0.02,WorldSpace,0.9980469,0.57, 1.02, 0.08,-0.06252, -0.75378, -0.07249, 0.65012,349.01, 261.55, 0.00,-0.97, 0.19, -0.14,-0.15, 0.00, 0.99,0.19, 0.98, 0.03,WorldSpace,0.9980469,-0.36, 1.24, -0.15,0.07478, 0.77248, 0.08606, -0.62472
