,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Expected Visual Angle_x,Expected Visual Angle_y,Actual Visual Angle_x,Actual Visual Angle_y,Cosine Similarity,Euclidean Error
0,06/24/2023 21:04:03.793560,227,static,0.65,1.0,0.02,0.08533,0.75963,0.1131,-0.63474,0.64,1.0,0.08,0.08533,0.75963,0.1131,-0.63474,0.65,1.0,0.05,0.08533,0.75963,0.1131,-0.63474,0.65,1.0,0.02,-0.138,-0.81245,-0.21372,0.5246,330.52,245.7,0.0,-0.79,0.49,-0.36,-0.41,0.0,0.91,0.45,0.87,0.2,WorldSpace,0.9980469,0.64,1.0,0.09,-0.13358,-0.82138,-0.21458,0.51132,330.72,243.81,0.0,-0.78,0.49,-0.39,-0.44,0.0,0.9,0.44,0.87,0.22,WorldSpace,0.9980469,-1.93,2.43,-1.15,0.08525,0.75955,0.11306,-0.63485,-1.0524500959013532,2.0595375435108396,-0.755787454713476,1.0,0.0,2.58,-1.4300000000000002,1.2,1.6974500959013532,-1.0595375435108396,0.810787454713476,1.1354430516425942,-0.8726287087605102,1.1251878501508947,-0.9176205229335719,1.6545864016823135,7.122226141938507
1,06/24/2023 21:04:03.807063,228,static,0.65,1.0,0.02,0.08529,0.75966,0.11314,-0.63469,0.64,1.0,0.08,0.08529,0.75966,0.11314,-0.63469,0.65,1.0,0.05,0.08529,0.75966,0.11314,-0.63469,0.65,1.0,0.02,-0.13799,-0.81252,-0.21377,0.52448,330.52,245.68,0.0,-0.79,0.49,-0.36,-0.41,0.0,0.91,0.45,0.87,0.2,WorldSpace,0.9980469,0.64,1.0,0.09,-0.13356,-0.82145,-0.21462,0.51119,330.72,243.79,0.0,-0.78,0.49,-0.39,-0.44,0.0,0.9,0.44,0.87,0.22,WorldSpace,0.9980469,-1.93,2.43,-1.15,0.08532,0.75964,0.11309,-0.63473,-1.0524500959013532,2.0595375435108396,-0.755787454713476,1.0,0.0,2.58,-1.4300000000000002,1.2,1.6974500959013532,-1.0595375435108396,0.810787454713476,1.1354430516425942,-0.8726287087605102,1.1251878501508947,-0.9176205229335719,1.6545864016823135,7.122226141938507
2,06/24/2023 21:04:03.821229,229,static,0.65,1.0,0.02,0.08527,0.75973,0.11309,-0.63462,0.64,1.0,0.08,0.08527,0.75973,0.11309,-0.63462,0.65,1.0,0.05,0.08527,0.75973,0.11309,-0.63462,0.65,1.0,0.02,-0.13824,-0.8126,-0.21435,0.52405,330.45,245.64,0.0,-0.79,0.49,-0.36,-0.41,0.0,0.91,0.45,0.87,0.2,WorldSpace,0.9980469,0.64,1.0,0.09,-0.13387,-0.82139,-0.21519,0.51098,330.64,243.77,0.0,-0.78,0.49,-0.39,-0.44,0.0,0.9,0.44,0.87,0.22,WorldSpace,0.9980469,-1.93,2.43,-1.15,0.08529,0.75966,0.11314,-0.63469,-1.0524500959013532,2.0595375435108396,-0.755787454713476,1.0,0.0,2.58,-1.4300000000000002,1.2,1.6974500959013532,-1.0595375435108396,0.810787454713476,1.1354430516425942,-0.8726287087605102,1.1251878501508947,-0.9176205229335719,1.6545864016823135,7.122226141938507
3,06/24/2023 21:04:03.834366,230,static,0.65,1.0,0.02,0.08526,0.75977,0.11308,-0.63459,0.64,1.0,0.08,0.08526,0.75977,0.11308,-0.63459,0.65,1.0,0.05,0.08526,0.75977,0.11308,-0.63459,0.65,1.0,0.02,-0.13821,-0.81264,-0.21433,0.52401,330.45,245.63,0.0,-0.79,0.49,-0.36,-0.41,0.0,0.91,0.45,0.87,0.2,WorldSpace,0.9980469,0.64,1.0,0.09,-0.13384,-0.82142,-0.21517,0.51094,330.64,243.76,0.0,-0.78,0.49,-0.39,-0.44,0.0,0.9,0.44,0.87,0.22,WorldSpace,0.9980469,-1.93,2.43,-1.15,0.08527,0.75973,0.11309,-0.63463,-1.0524500959013532,2.0595375435108396,-0.755787454713476,1.0,0.0,2.58,-1.4300000000000002,1.2,1.6974500959013532,-1.0595375435108396,0.810787454713476,1.1354430516425942,-0.8726287087605102,1.1251878501508947,-0.9176205229335719,1.6545864016823135,7.122226141938507
4,06/24/2023 21:04:03.846790,231,static,0.65,1.0,0.02,0.08518,0.7598,0.1131,-0.63456,0.64,1.0,0.08,0.08518,0.7598,0.1131,-0.63456,0.65,1.0,0.05,0.08518,0.7598,0.1131,-0.63456,0.65,1.0,0.02,-0.14043,-0.80778,-0.21356,0.5312,330.38,246.66,0.0,-0.8,0.49,-0.34,-0.4,0.0,0.92,0.45,0.87,0.2,WorldSpace,0.9980469,0.64,1.0,0.09,-0.13604,-0.81685,-0.21456,0.51789,330.56,244.75,0.0,-0.79,0.49,-0.37,-0.43,0.0,0.9,0.44,0.87,0.21,WorldSpace,0.9980469,-1.93,2.43,-1.15,0.08522,0.75976,0.11308,-0.6346,-1.0802850049451327,2.0633661667641836,-0.7153149789071822,1.0,0.0,2.58,-1.4300000000000002,1.2,1.7252850049451327,-1.0633661667641836,0.7703149789071823,1.1354430516425942,-0.8726287087605102,1.1508687859810036,-0.9438738015517194,1.8129871194293337,6.776483847973036
5,06/24/2023 21:04:03.863296,232,static,0.65,1.0,0.02,0.08516,0.75982,0.11318,-0.63452,0.64,1.0,0.08,0.08516,0.75982,0.11318,-0.63452,0.65,1.0,0.05,0.08516,0.75982,0.11318,-0.63452,0.65,1.0,0.02,-0.14039,-0.80781,-0.21351,0.53117,330.39,246.65,0.0,-0.8,0.49,-0.34,-0.4,0.0,0.92,0.45,0.87,0.2,WorldSpace,0.9980469,0.64,1.0,0.09,-0.13599,-0.81689,-0.21451,0.51787,330.57,244.75,0.0,-0.79,0.49,-0.37,-0.43,0.0,0.9,0.44,0.87,0.21,WorldSpace,0.9980469,-1.93,2.43,-1.15,0.08517,0.75982,0.11311,-0.63453,-1.0802850049451327,2.0633661667641836,-0.7153149789071822,1.0,0.0,2.58,-1.4300000000000002,1.2,1.7252850049451327,-1.0633661667641836,0.7703149789071823,1.1354430516425942,-0.8726287087605102,1.1508687859810036,-0.9438738015517194,1.8129871194293337,6.776483847973036
6,06/24/2023 21:04:03.877328,233,static,0.65,1.0,0.02,0.08521,0.75981,0.11328,-0.63451,0.64,1.0,0.08,0.08521,0.75981,0.11328,-0.63451,0.65,1.0,0.05,0.08521,0.75981,0.11328,-0.63451,0.65,1.0,0.02,-0.14036,-0.80782,-0.21346,0.53119,330.4,246.65,0.0,-0.8,0.49,-0.34,-0.4,0.0,0.92,0.45,0.87,0.2,WorldSpace,0.9980469,0.64,1.0,0.09,-0.13597,-0.81689,-0.21447,0.51788,330.58,244.75,0.0,-0.79,0.49,-0.37,-0.43,0.0,0.9,0.44,0.87,0.21,WorldSpace,0.9980469,-1.93,2.43,-1.15,0.08517,0.75981,0.11317,-0.63452,-1.0802850049451327,2.0633661667641836,-0.7153149789071822,1.0,0.0,2.58,-1.4300000000000002,1.2,1.7252850049451327,-1.0633661667641836,0.7703149789071823,1.1354430516425942,-0.8726287087605102,1.1508687859810036,-0.9438738015517194,1.8129871194293337,6.776483847973036
7,06/24/2023 21:04:03.890768,234,static,0.65,1.0,0.02,0.0853,0.75981,0.11339,-0.63447,0.64,1.0,0.08,0.0853,0.75981,0.11339,-0.63447,0.65,1.0,0.05,0.0853,0.75981,0.11339,-0.63447,0.65,1.0,0.02,-0.14049,-0.80783,-0.21372,0.53104,330.36,246.64,0.0,-0.8,0.49,-0.34,-0.4,0.0,0.92,0.45,0.87,0.2,WorldSpace,0.9980469,0.64,1.0,0.09,-0.13618,-0.81673,-0.21471,0.51798,330.54,244.77,0.0,-0.79,0.49,-0.37,-0.43,0.0,0.9,0.44,0.87,0.21,WorldSpace,0.9980469,-1.93,2.43,-1.15,0.08524,0.7598,0.11328,-0.63452,-1.0802850049451327,2.0633661667641836,-0.7153149789071822,1.0,0.0,2.58,-1.4300000000000002,1.2,1.7252850049451327,-1.0633661667641836,0.7703149789071823,1.1354430516425942,-0.8726287087605102,1.1508687859810036,-0.9438738015517194,1.8129871194293337,6.776483847973036
8,06/24/2023 21:04:03.904582,235,static,0.65,1.0,0.02,0.08541,0.7598,0.11351,-0.63445,0.64,1.0,0.08,0.08541,0.7598,0.11351,-0.63445,0.65,1.0,0.05,0.08541,0.7598,0.11351,-0.63445,0.65,1.0,0.02,-0.14048,-0.80783,-0.2137,0.53104,330.36,246.64,0.0,-0.8,0.49,-0.34,-0.4,0.0,0.92,0.45,0.87,0.2,WorldSpace,0.9980469,0.64,1.0,0.09,-0.13616,-0.81674,-0.2147,0.51798,330.54,244.77,0.0,-0.79,0.49,-0.37,-0.43,0.0,0.9,0.44,0.87,0.21,WorldSpace,0.9980469,-1.92,2.43,-1.15,0.08532,0.75979,0.1134,-0.63449,-1.0802850049451327,2.0633661667641836,-0.7153149789071822,1.0,0.0,2.57,-1.4300000000000002,1.2,1.7252850049451327,-1.0633661667641836,0.7703149789071823,1.1339561744393152,-0.8726287087605102,1.1508687859810036,-0.9438738015517194,1.7767060374613926,6.724918956822283
9,06/24/2023 21:04:03.918786,236,static,0.65,1.0,0.02,0.08548,0.75977,0.11364,-0.63445,0.64,1.0,0.08,0.08548,0.75977,0.11364,-0.63445,0.65,1.0,0.05,0.08548,0.75977,0.11364,-0.63445,0.65,1.0,0.02,-0.14032,-0.8081,-0.21367,0.53069,330.38,246.59,0.0,-0.8,0.49,-0.35,-0.4,0.0,0.92,0.45,0.87,0.2,WorldSpace,0.9980469,0.64,1.0,0.09,-0.13601,-0.81698,-0.21465,0.51766,330.56,244.72,0.0,-0.79,0.49,-0.37,-0.43,0.0,0.9,0.44,0.87,0.21,WorldSpace,0.9980469,-1.92,2.43,-1.15,0.08539,0.75979,0.11352,-0.63447,-1.7632885268832912,2.4843239056562494,-1.0354262442531859,1.0,0.0,2.57,-1.4300000000000002,1.2,2.4082885268832914,-1.4843239056562494,1.0904262442531858,1.1339561744393152,-0.8726287087605102,1.1456324866688565,-0.9372059542632,1.7056698057202366,2.7458200616043533
