Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/24/2023 21:18:15.419264,0,start,0.47, 1.03, -0.21,0.08134, 0.08452, 0.01407, -0.99300,0.53, 1.03, -0.20,0.08134, 0.08452, 0.01407, -0.99300,0.50, 1.03, -0.21,0.08134, 0.08452, 0.01407, -0.99300,0.47, 1.03, -0.21,-0.19464, 0.05554, 0.01104, 0.97924,337.52, 6.49, 0.00,0.10, 0.38, 0.92,0.99, 0.00, -0.11,-0.04, 0.92, -0.38,WorldSpace,0.9980469,0.53, 1.03, -0.20,-0.19629, 0.04254, 0.00852, 0.97959,337.34, 4.97, 0.00,0.08, 0.39, 0.92,1.00, 0.00, -0.09,-0.03, 0.92, -0.38,WorldSpace,0.9980469,0.45, 1.08, 0.09,0.08192, 0.08618, 0.01468, -0.99280
06/24/2023 21:18:15.426790,1,start,0.47, 1.03, -0.21,0.08046, 0.08208, 0.01309, -0.99329,0.53, 1.03, -0.20,0.08046, 0.08208, 0.01309, -0.99329,0.50, 1.03, -0.21,0.08046, 0.08208, 0.01309, -0.99329,0.47, 1.03, -0.21,-0.19525, 0.05607, 0.01118, 0.97909,337.44, 6.55, 0.00,0.11, 0.38, 0.92,0.99, 0.00, -0.11,-0.04, 0.92, -0.38,WorldSpace,0.9980469,0.53, 1.03, -0.20,-0.19690, 0.04308, 0.00866, 0.97944,337.27, 5.04, 0.00,0.08, 0.39, 0.92,1.00, 0.00, -0.09,-0.03, 0.92, -0.38,WorldSpace,0.9980469,0.45, 1.08, 0.09,0.08133, 0.08451, 0.01405, -0.99300
06/24/2023 21:18:15.444082,2,start,0.47, 1.03, -0.21,0.08077, 0.08169, 0.01266, -0.99330,0.53, 1.03, -0.20,0.08077, 0.08169, 0.01266, -0.99330,0.50, 1.03, -0.21,0.08077, 0.08169, 0.01266, -0.99330,0.47, 1.03, -0.21,-0.19417, 0.05785, 0.01147, 0.97919,337.57, 6.76, 0.00,0.11, 0.38, 0.92,0.99, 0.00, -0.12,-0.04, 0.92, -0.38,WorldSpace,0.9980469,0.53, 1.03, -0.20,-0.19581, 0.04487, 0.00897, 0.97957,337.39, 5.24, 0.00,0.08, 0.38, 0.92,1.00, 0.00, -0.09,-0.04, 0.92, -0.38,WorldSpace,0.9980469,0.45, 1.08, 0.09,0.08049, 0.08210, 0.01308, -0.99328
06/24/2023 21:18:15.461098,3,start,0.47, 1.03, -0.21,0.08118, 0.08105, 0.01283, -0.99332,0.53, 1.03, -0.20,0.08118, 0.08105, 0.01283, -0.99332,0.50, 1.03, -0.21,0.08118, 0.08105, 0.01283, -0.99332,0.47, 1.03, -0.21,-0.19385, 0.05845, 0.01157, 0.97922,337.60, 6.83, 0.00,0.11, 0.38, 0.92,0.99, 0.00, -0.12,-0.05, 0.92, -0.38,WorldSpace,0.9980469,0.53, 1.03, -0.20,-0.19543, 0.04568, 0.00911, 0.97961,337.44, 5.34, 0.00,0.09, 0.38, 0.92,1.00, 0.00, -0.09,-0.04, 0.92, -0.38,WorldSpace,0.9980469,0.45, 1.08, 0.09,0.08081, 0.08171, 0.01266, -0.99329
06/24/2023 21:18:15.483557,4,start,0.47, 1.03, -0.21,0.08139, 0.08071, 0.01358, -0.99332,0.53, 1.03, -0.20,0.08139, 0.08071, 0.01358, -0.99332,0.50, 1.03, -0.21,0.08139, 0.08071, 0.01358, -0.99332,0.47, 1.03, -0.21,-0.19420, 0.05864, 0.01163, 0.97914,337.56, 6.85, 0.00,0.11, 0.38, 0.92,0.99, 0.00, -0.12,-0.05, 0.92, -0.38,WorldSpace,0.9980469,0.53, 1.03, -0.20,-0.19579, 0.04587, 0.00917, 0.97953,337.39, 5.36, 0.00,0.09, 0.38, 0.92,1.00, 0.00, -0.09,-0.04, 0.92, -0.38,WorldSpace,0.9980469,0.45, 1.08, 0.09,0.08141, 0.08124, 0.01353, -0.99327
06/24/2023 21:18:15.500689,5,start,0.47, 1.03, -0.21,0.08135, 0.08067, 0.01408, -0.99332,0.53, 1.03, -0.20,0.08135, 0.08067, 0.01408, -0.99332,0.50, 1.03, -0.21,0.08135, 0.08067, 0.01408, -0.99332,0.47, 1.03, -0.21,-0.19802, 0.05864, 0.01187, 0.97837,337.12, 6.86, 0.00,0.11, 0.39, 0.91,0.99, 0.00, -0.12,-0.05, 0.92, -0.39,WorldSpace,0.9980469,0.53, 1.03, -0.20,-0.19942, 0.04737, 0.00965, 0.97872,336.97, 5.54, 0.00,0.09, 0.39, 0.92,1.00, 0.00, -0.10,-0.04, 0.92, -0.39,WorldSpace,0.9980469,0.45, 1.08, 0.08,0.08133, 0.08094, 0.01392, -0.99330
06/24/2023 21:18:15.517385,6,start,0.47, 1.03, -0.21,0.08119, 0.08081, 0.01429, -0.99331,0.53, 1.03, -0.20,0.08119, 0.08081, 0.01429, -0.99331,0.50, 1.03, -0.21,0.08119, 0.08081, 0.01429, -0.99331,0.47, 1.03, -0.21,-0.19812, 0.05886, 0.01192, 0.97834,337.10, 6.89, 0.00,0.11, 0.39, 0.91,0.99, 0.00, -0.12,-0.05, 0.92, -0.39,WorldSpace,0.9980469,0.53, 1.03, -0.20,-0.19952, 0.04759, 0.00970, 0.97869,336.95, 5.57, 0.00,0.09, 0.39, 0.92,1.00, 0.00, -0.10,-0.04, 0.92, -0.39,WorldSpace,0.9980469,0.45, 1.08, 0.08,0.08128, 0.08085, 0.01408, -0.99331
06/24/2023 21:18:15.534194,7,start,0.47, 1.03, -0.21,0.08158, 0.08103, 0.01415, -0.99327,0.53, 1.03, -0.20,0.08158, 0.08103, 0.01415, -0.99327,0.50, 1.03, -0.21,0.08158, 0.08103, 0.01415, -0.99327,0.47, 1.03, -0.21,-0.19803, 0.05604, 0.01134, 0.97853,337.12, 6.56, 0.00,0.11, 0.39, 0.92,0.99, 0.00, -0.11,-0.04, 0.92, -0.39,WorldSpace,0.9980469,0.53, 1.03, -0.20,-0.19938, 0.04500, 0.00917, 0.97885,336.97, 5.26, 0.00,0.08, 0.39, 0.92,1.00, 0.00, -0.09,-0.04, 0.92, -0.39,WorldSpace,0.9980469,0.45, 1.08, 0.08,0.08117, 0.08089, 0.01425, -0.99331
06/24/2023 21:18:15.550322,8,start,0.47, 1.03, -0.21,0.08233, 0.08133, 0.01411, -0.99318,0.53, 1.03, -0.20,0.08233, 0.08133, 0.01411, -0.99318,0.50, 1.03, -0.21,0.08233, 0.08133, 0.01411, -0.99318,0.47, 1.03, -0.21,-0.19777, 0.05602, 0.01132, 0.97858,337.15, 6.55, 0.00,0.11, 0.39, 0.92,0.99, 0.00, -0.11,-0.04, 0.92, -0.39,WorldSpace,0.9980469,0.53, 1.03, -0.20,-0.19911, 0.04497, 0.00915, 0.97890,337.01, 5.26, 0.00,0.08, 0.39, 0.92,1.00, 0.00, -0.09,-0.04, 0.92, -0.39,WorldSpace,0.9980469,0.45, 1.08, 0.08,0.08163, 0.08114, 0.01407, -0.99325
06/24/2023 21:18:15.567477,9,start,0.47, 1.03, -0.21,0.08317, 0.08139, 0.01411, -0.99311,0.53, 1.03, -0.20,0.08317, 0.08139, 0.01411, -0.99311,0.50, 1.03, -0.21,0.08317, 0.08139, 0.01411, -0.99311,0.47, 1.03, -0.21,-0.19433, 0.05422, 0.01076, 0.97938,337.55, 6.34, 0.00,0.10, 0.38, 0.92,0.99, 0.00, -0.11,-0.04, 0.92, -0.38,WorldSpace,0.9980469,0.53, 1.03, -0.20,-0.19542, 0.04510, 0.00900, 0.97964,337.44, 5.27, 0.00,0.08, 0.38, 0.92,1.00, 0.00, -0.09,-0.04, 0.92, -0.38,WorldSpace,0.9980469,0.45, 1.08, 0.08,0.08240, 0.08129, 0.01412, -0.99318
