,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Expected Visual Angle_x,Expected Visual Angle_y,Actual Visual Angle_x,Actual Visual Angle_y,Cosine Similarity,Euclidean Error
0,06/24/2023 21:23:12.611668,227,static,0.46,1.05,-0.04,0.20385,0.70373,0.25668,-0.63034,0.46,1.05,0.02,0.20385,0.70373,0.25668,-0.63034,0.46,1.05,-0.01,0.20385,0.70373,0.25668,-0.63034,0.46,1.05,-0.05,-0.22943,-0.48683,-0.13423,0.83207,329.17,299.34,0.0,-0.75,0.51,0.42,0.49,0.0,0.87,0.45,0.86,-0.25,WorldSpace,0.9980469,0.46,1.05,0.02,-0.2304,-0.49162,-0.1367,0.82858,328.92,298.64,0.0,-0.75,0.52,0.41,0.48,0.0,0.88,0.45,0.86,-0.25,WorldSpace,0.9980469,-0.23,1.55,0.36,0.20387,0.70374,0.25661,-0.63034,-2.2876820443267625,2.9368234584672597,1.5053022764979258,1.0,0.0,0.6900000000000001,-0.5,-0.37,2.7476820443267624,-1.8868234584672596,-1.5203022764979257,2.0630075936344627,-2.20786665607058,2.0761723270479284,-2.2490317058445513,0.34603477758214574,27.88618002542265
1,06/24/2023 21:23:12.625847,228,static,0.46,1.05,-0.04,0.20382,0.70372,0.25676,-0.63033,0.46,1.05,0.02,0.20382,0.70372,0.25676,-0.63033,0.46,1.05,-0.01,0.20382,0.70372,0.25676,-0.63033,0.46,1.05,-0.05,-0.22943,-0.48684,-0.13424,0.83206,329.17,299.34,0.0,-0.75,0.51,0.42,0.49,0.0,0.87,0.45,0.86,-0.25,WorldSpace,0.9980469,0.46,1.05,0.02,-0.2304,-0.49163,-0.13671,0.82857,328.92,298.63,0.0,-0.75,0.52,0.41,0.48,0.0,0.88,0.45,0.86,-0.25,WorldSpace,0.9980469,-0.23,1.55,0.36,0.20384,0.70374,0.25667,-0.63033,-2.2876820443267625,2.9368234584672597,1.5053022764979258,1.0,0.0,0.6900000000000001,-0.5,-0.37,2.7476820443267624,-1.8868234584672596,-1.5203022764979257,2.0630075936344627,-2.20786665607058,2.0761723270479284,-2.2490317058445513,0.34603477758214574,27.88618002542265
2,06/24/2023 21:23:12.639636,229,static,0.46,1.05,-0.04,0.20382,0.70369,0.25687,-0.63032,0.46,1.05,0.02,0.20382,0.70369,0.25687,-0.63032,0.46,1.05,-0.01,0.20382,0.70369,0.25687,-0.63032,0.46,1.05,-0.05,-0.227,-0.49106,-0.13426,0.83024,329.42,298.79,0.0,-0.75,0.51,0.41,0.48,0.0,0.88,0.45,0.86,-0.25,WorldSpace,0.9980469,0.46,1.05,0.02,-0.22793,-0.49587,-0.13671,0.82672,329.17,298.09,0.0,-0.76,0.51,0.4,0.47,0.0,0.88,0.45,0.86,-0.24,WorldSpace,0.9980469,-0.23,1.55,0.36,0.20383,0.70369,0.2568,-0.63034,-2.7576195197819633,3.2234178368561506,1.7108406581653597,1.0,0.0,0.6900000000000001,-0.5,-0.37,3.2176195197819633,-2.1734178368561503,-1.7258406581653596,2.0630075936344627,-2.20786665607058,2.063116324806218,-2.2419094617774964,0.4355915965485545,29.62011894875315
3,06/24/2023 21:23:12.653566,230,static,0.46,1.05,-0.04,0.20383,0.70367,0.25699,-0.63028,0.46,1.05,0.02,0.20383,0.70367,0.25699,-0.63028,0.46,1.05,-0.01,0.20383,0.70367,0.25699,-0.63028,0.46,1.05,-0.05,-0.22699,-0.49107,-0.13426,0.83024,329.42,298.79,0.0,-0.75,0.51,0.41,0.48,0.0,0.88,0.45,0.86,-0.25,WorldSpace,0.9980469,0.46,1.05,0.02,-0.22792,-0.49588,-0.13671,0.82672,329.17,298.09,0.0,-0.76,0.51,0.4,0.47,0.0,0.88,0.45,0.86,-0.24,WorldSpace,0.9980469,-0.23,1.55,0.36,0.20384,0.70368,0.25688,-0.63032,-2.7576195197819633,3.2234178368561506,1.7108406581653597,1.0,0.0,0.6900000000000001,-0.5,-0.37,3.2176195197819633,-2.1734178368561503,-1.7258406581653596,2.0630075936344627,-2.20786665607058,2.063116324806218,-2.2419094617774964,0.4355915965485545,29.62011894875315
4,06/24/2023 21:23:12.667700,231,static,0.46,1.05,-0.04,0.2038,0.70364,0.25707,-0.6303,0.46,1.05,0.02,0.2038,0.70364,0.25707,-0.6303,0.46,1.05,-0.01,0.2038,0.70364,0.25707,-0.6303,0.46,1.05,-0.05,-0.22702,-0.49106,-0.13428,0.83024,329.41,298.79,0.0,-0.75,0.51,0.41,0.48,0.0,0.88,0.45,0.86,-0.25,WorldSpace,0.9980469,0.46,1.05,0.02,-0.22795,-0.49587,-0.13673,0.82672,329.17,298.09,0.0,-0.76,0.51,0.4,0.47,0.0,0.88,0.45,0.86,-0.24,WorldSpace,0.9980469,-0.23,1.55,0.36,0.20384,0.70366,0.25697,-0.6303,-2.7576195197819633,3.2234178368561506,1.7108406581653597,1.0,0.0,0.6900000000000001,-0.5,-0.37,3.2176195197819633,-2.1734178368561503,-1.7258406581653596,2.0630075936344627,-2.20786665607058,2.063116324806218,-2.2419094617774964,0.4355915965485545,29.62011894875315
5,06/24/2023 21:23:12.681291,232,static,0.46,1.05,-0.04,0.20385,0.70362,0.25711,-0.63029,0.46,1.05,0.02,0.20385,0.70362,0.25711,-0.63029,0.46,1.05,-0.01,0.20385,0.70362,0.25711,-0.63029,0.46,1.05,-0.05,-0.22698,-0.49107,-0.13425,0.83025,329.42,298.79,0.0,-0.75,0.51,0.41,0.48,0.0,0.88,0.45,0.86,-0.25,WorldSpace,0.9980469,0.46,1.05,0.02,-0.22791,-0.49587,-0.1367,0.82673,329.17,298.09,0.0,-0.76,0.51,0.4,0.47,0.0,0.88,0.45,0.86,-0.24,WorldSpace,0.9980469,-0.23,1.55,0.36,0.20383,0.70365,0.25707,-0.63028,-2.7576195197819633,3.2234178368561506,1.7108406581653597,1.0,0.0,0.6900000000000001,-0.5,-0.37,3.2176195197819633,-2.1734178368561503,-1.7258406581653596,2.0630075936344627,-2.20786665607058,2.063116324806218,-2.2419094617774964,0.4355915965485545,29.62011894875315
6,06/24/2023 21:23:12.695241,233,static,0.46,1.05,-0.04,0.20386,0.70361,0.25716,-0.63028,0.46,1.05,0.02,0.20386,0.70361,0.25716,-0.63028,0.46,1.05,-0.01,0.20386,0.70361,0.25716,-0.63028,0.46,1.05,-0.05,-0.2272,-0.49181,-0.13468,0.82968,329.37,298.68,0.0,-0.75,0.51,0.41,0.48,0.0,0.88,0.45,0.86,-0.24,WorldSpace,0.9980469,0.46,1.05,0.02,-0.22812,-0.49662,-0.13713,0.82615,329.13,297.98,0.0,-0.76,0.51,0.4,0.47,0.0,0.88,0.45,0.86,-0.24,WorldSpace,0.9980469,-0.23,1.55,0.36,0.20384,0.70362,0.25712,-0.63029,-2.7576195197819633,3.2234178368561506,1.7108406581653597,1.0,0.0,0.6900000000000001,-0.5,-0.37,3.2176195197819633,-2.1734178368561503,-1.7258406581653596,2.0630075936344627,-2.20786665607058,2.063116324806218,-2.2419094617774964,0.4355915965485545,29.62011894875315
7,06/24/2023 21:23:12.709373,234,static,0.46,1.05,-0.04,0.20394,0.70354,0.25723,-0.63029,0.46,1.05,0.02,0.20394,0.70354,0.25723,-0.63029,0.46,1.05,-0.01,0.20394,0.70354,0.25723,-0.63029,0.46,1.05,-0.05,-0.22713,-0.49188,-0.13466,0.82966,329.38,298.68,0.0,-0.76,0.51,0.41,0.48,0.0,0.88,0.45,0.86,-0.24,WorldSpace,0.9980469,0.46,1.05,0.02,-0.22806,-0.49669,-0.13711,0.82613,329.14,297.97,0.0,-0.76,0.51,0.4,0.47,0.0,0.88,0.45,0.86,-0.24,WorldSpace,0.9980469,-0.23,1.55,0.36,0.20385,0.7036,0.25716,-0.63029,-4.859999999997509,4.619999999998328,2.8199999999986725,1.0,0.0,0.6900000000000001,-0.5,-0.37,5.319999999997509,-3.569999999998328,-2.8349999999986726,2.0630075936344627,-2.20786665607058,2.060412123007259,-2.2419401622309056,0.47342552112118347,32.88074156899718
8,06/24/2023 21:23:12.723204,235,static,0.46,1.05,-0.04,0.20404,0.70354,0.25727,-0.63025,0.46,1.05,0.02,0.20404,0.70354,0.25727,-0.63025,0.46,1.05,-0.01,0.20404,0.70354,0.25727,-0.63025,0.46,1.05,-0.05,-0.22715,-0.49184,-0.13466,0.82968,329.38,298.68,0.0,-0.75,0.51,0.41,0.48,0.0,0.88,0.45,0.86,-0.24,WorldSpace,0.9980469,0.46,1.05,0.02,-0.22807,-0.49666,-0.13711,0.82615,329.13,297.97,0.0,-0.76,0.51,0.4,0.47,0.0,0.88,0.45,0.86,-0.24,WorldSpace,0.9980469,-0.23,1.55,0.36,0.20396,0.70357,0.25722,-0.63026,-2.7576195197819633,3.2234178368561506,1.7108406581653597,1.0,0.0,0.6900000000000001,-0.5,-0.37,3.2176195197819633,-2.1734178368561503,-1.7258406581653596,2.0630075936344627,-2.20786665607058,2.063116324806218,-2.2419094617774964,0.4355915965485545,29.62011894875315
9,06/24/2023 21:23:12.736993,236,static,0.46,1.05,-0.04,0.20419,0.70351,0.25732,-0.63021,0.46,1.05,0.02,0.20419,0.70351,0.25732,-0.63021,0.46,1.05,-0.01,0.20419,0.70351,0.25732,-0.63021,0.46,1.05,-0.05,-0.22425,-0.49353,-0.1334,0.82966,329.75,298.51,0.0,-0.76,0.5,0.41,0.48,0.0,0.88,0.44,0.86,-0.24,WorldSpace,0.9980469,0.46,1.05,0.02,-0.22517,-0.49834,-0.13583,0.82614,329.51,297.8,0.0,-0.76,0.51,0.4,0.47,0.0,0.88,0.45,0.86,-0.24,WorldSpace,0.9980469,-0.23,1.55,0.36,0.20406,0.70354,0.25726,-0.63024,-2.3220491100702887,2.8986787172901716,1.4674590329255688,1.0,0.0,0.6900000000000001,-0.5,-0.37,2.7820491100702887,-1.8486787172901715,-1.4824590329255687,2.0630075936344627,-2.20786665607058,2.060389644148295,-2.2466959074841464,0.5342210551396771,28.66175466687651
