Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/24/2023 21:27:43.197447,0,start,0.52, 0.97, -0.01,0.21394, 0.70475, 0.27583, -0.61764,0.51, 0.96, 0.04,0.21394, 0.70475, 0.27583, -0.61764,0.51, 0.97, 0.01,0.21394, 0.70475, 0.27583, -0.61764,0.52, 0.97, -0.02,-0.22855, -0.67278, -0.23139, 0.66452,322.04, 269.29, 0.00,-0.79, 0.62, -0.01,-0.01, 0.00, 1.00,0.62, 0.79, 0.01,WorldSpace,0.9980469,0.51, 0.97, 0.04,-0.22532, -0.68401, -0.23627, 0.65233,321.89, 267.28, 0.00,-0.79, 0.62, -0.04,-0.05, 0.00, 1.00,0.62, 0.79, 0.03,WorldSpace,0.9980469,0.14, 1.29, -0.03,0.21529, 0.70408, 0.27589, -0.61791
06/24/2023 21:27:43.205365,1,start,0.52, 0.97, -0.01,0.21316, 0.70545, 0.27644, -0.61683,0.51, 0.96, 0.04,0.21316, 0.70545, 0.27644, -0.61683,0.51, 0.96, 0.02,0.21316, 0.70545, 0.27644, -0.61683,0.51, 0.97, -0.02,-0.22916, -0.67215, -0.23168, 0.66485,321.96, 269.37, 0.00,-0.79, 0.62, -0.01,-0.01, 0.00, 1.00,0.62, 0.79, 0.01,WorldSpace,0.9980469,0.51, 0.97, 0.05,-0.22545, -0.68504, -0.23731, 0.65082,321.79, 267.07, 0.00,-0.78, 0.62, -0.04,-0.05, 0.00, 1.00,0.62, 0.79, 0.03,WorldSpace,0.9980469,0.14, 1.29, -0.03,0.21401, 0.70476, 0.27586, -0.61759
06/24/2023 21:27:43.222367,2,start,0.52, 0.97, -0.01,0.21484, 0.70501, 0.27750, -0.61628,0.51, 0.96, 0.04,0.21484, 0.70501, 0.27750, -0.61628,0.52, 0.96, 0.02,0.21484, 0.70501, 0.27750, -0.61628,0.52, 0.97, -0.02,-0.22757, -0.67312, -0.23040, 0.66485,322.21, 269.29, 0.00,-0.79, 0.61, -0.01,-0.01, 0.00, 1.00,0.61, 0.79, 0.01,WorldSpace,0.9980469,0.51, 0.97, 0.05,-0.22393, -0.68596, -0.23601, 0.65085,322.03, 266.99, 0.00,-0.79, 0.62, -0.04,-0.05, 0.00, 1.00,0.61, 0.79, 0.03,WorldSpace,0.9980469,0.14, 1.29, -0.03,0.21324, 0.70541, 0.27651, -0.61682
06/24/2023 21:27:43.239771,3,start,0.52, 0.97, -0.01,0.21669, 0.70420, 0.27922, -0.61578,0.51, 0.96, 0.04,0.21669, 0.70420, 0.27922, -0.61578,0.52, 0.96, 0.02,0.21669, 0.70420, 0.27922, -0.61578,0.52, 0.97, -0.02,-0.22797, -0.67334, -0.23108, 0.66427,322.12, 269.22, 0.00,-0.79, 0.61, -0.01,-0.01, 0.00, 1.00,0.61, 0.79, 0.01,WorldSpace,0.9980469,0.51, 0.96, 0.05,-0.22430, -0.68621, -0.23672, 0.65020,321.93, 266.91, 0.00,-0.79, 0.62, -0.04,-0.05, 0.00, 1.00,0.62, 0.79, 0.03,WorldSpace,0.9980469,0.14, 1.29, -0.03,0.21492, 0.70495, 0.27758, -0.61628
06/24/2023 21:27:43.260875,4,start,0.52, 0.97, -0.01,0.21918, 0.70348, 0.28091, -0.61495,0.51, 0.96, 0.04,0.21918, 0.70348, 0.28091, -0.61495,0.52, 0.97, 0.02,0.21918, 0.70348, 0.28091, -0.61495,0.52, 0.97, -0.02,-0.22882, -0.67284, -0.23179, 0.66423,321.98, 269.26, 0.00,-0.79, 0.62, -0.01,-0.01, 0.00, 1.00,0.62, 0.79, 0.01,WorldSpace,0.9980469,0.51, 0.96, 0.05,-0.22513, -0.68574, -0.23745, 0.65015,321.80, 266.95, 0.00,-0.78, 0.62, -0.04,-0.05, 0.00, 1.00,0.62, 0.79, 0.03,WorldSpace,0.9980469,0.14, 1.30, -0.03,0.21828, 0.70377, 0.27998, -0.61536
06/24/2023 21:27:43.279541,5,start,0.52, 0.97, -0.01,0.22087, 0.70284, 0.28286, -0.61418,0.51, 0.96, 0.04,0.22087, 0.70284, 0.28286, -0.61418,0.52, 0.97, 0.02,0.22087, 0.70284, 0.28286, -0.61418,0.52, 0.97, -0.02,-0.23133, -0.67184, -0.23423, 0.66352,321.56, 269.29, 0.00,-0.78, 0.62, -0.01,-0.01, 0.00, 1.00,0.62, 0.78, 0.01,WorldSpace,0.9980469,0.51, 0.96, 0.05,-0.22756, -0.68482, -0.24000, 0.64933,321.37, 266.95, 0.00,-0.78, 0.62, -0.04,-0.05, 0.00, 1.00,0.62, 0.78, 0.03,WorldSpace,0.9980469,0.15, 1.30, -0.03,0.21964, 0.70321, 0.28153, -0.61482
06/24/2023 21:27:43.296038,6,start,0.52, 0.97, -0.01,0.22204, 0.70237, 0.28445, -0.61356,0.51, 0.96, 0.04,0.22204, 0.70237, 0.28445, -0.61356,0.52, 0.97, 0.02,0.22204, 0.70237, 0.28445, -0.61356,0.52, 0.97, -0.02,-0.23134, -0.67191, -0.23430, 0.66342,321.55, 269.27, 0.00,-0.78, 0.62, -0.01,-0.01, 0.00, 1.00,0.62, 0.78, 0.01,WorldSpace,0.9980469,0.51, 0.96, 0.05,-0.22757, -0.68489, -0.24007, 0.64923,321.37, 266.94, 0.00,-0.78, 0.62, -0.04,-0.05, 0.00, 1.00,0.62, 0.78, 0.03,WorldSpace,0.9980469,0.15, 1.30, -0.03,0.22085, 0.70279, 0.28316, -0.61411
06/24/2023 21:27:43.312744,7,start,0.52, 0.97, -0.01,0.22330, 0.70216, 0.28547, -0.61288,0.51, 0.96, 0.04,0.22330, 0.70216, 0.28547, -0.61288,0.52, 0.97, 0.02,0.22330, 0.70216, 0.28547, -0.61288,0.52, 0.97, -0.02,-0.23471, -0.66898, -0.23631, 0.66448,321.09, 269.61, 0.00,-0.78, 0.63, -0.01,-0.01, 0.00, 1.00,0.63, 0.78, 0.00,WorldSpace,0.9980469,0.51, 0.96, 0.05,-0.23041, -0.68369, -0.24294, 0.64842,320.88, 266.97, 0.00,-0.77, 0.63, -0.04,-0.05, 0.00, 1.00,0.63, 0.78, 0.03,WorldSpace,0.9980469,0.15, 1.30, -0.03,0.22213, 0.70236, 0.28449, -0.61353
06/24/2023 21:27:43.329386,8,start,0.52, 0.97, -0.01,0.22380, 0.70214, 0.28598, -0.61247,0.51, 0.96, 0.04,0.22380, 0.70214, 0.28598, -0.61247,0.52, 0.97, 0.01,0.22380, 0.70214, 0.28598, -0.61247,0.52, 0.97, -0.02,-0.23527, -0.66880, -0.23687, 0.66427,320.99, 269.61, 0.00,-0.78, 0.63, -0.01,-0.01, 0.00, 1.00,0.63, 0.78, 0.00,WorldSpace,0.9980469,0.51, 0.96, 0.05,-0.23094, -0.68352, -0.24352, 0.64820,320.78, 266.96, 0.00,-0.77, 0.63, -0.04,-0.05, 0.00, 1.00,0.63, 0.77, 0.03,WorldSpace,0.9980469,0.15, 1.30, -0.03,0.22329, 0.70215, 0.28544, -0.61291
06/24/2023 21:27:43.346088,9,start,0.52, 0.97, -0.01,0.22369, 0.70228, 0.28609, -0.61230,0.51, 0.96, 0.04,0.22369, 0.70228, 0.28609, -0.61230,0.52, 0.97, 0.01,0.22369, 0.70228, 0.28609, -0.61230,0.52, 0.97, -0.02,-0.23711, -0.66985, -0.24015, 0.66137,320.55, 269.27, 0.00,-0.77, 0.64, -0.01,-0.01, 0.00, 1.00,0.64, 0.77, 0.01,WorldSpace,0.9980469,0.51, 0.96, 0.05,-0.23262, -0.68461, -0.24684, 0.64519,320.35, 266.60, 0.00,-0.77, 0.64, -0.05,-0.06, 0.00, 1.00,0.64, 0.77, 0.04,WorldSpace,0.9980469,0.15, 1.30, -0.03,0.22374, 0.70215, 0.28599, -0.61248
