Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/24/2023 21:36:31.466911,0,start,0.20, 1.49, 0.24,0.06712, 0.70086, 0.08639, -0.70486,0.20, 1.49, 0.30,0.06712, 0.70086, 0.08639, -0.70486,0.20, 1.49, 0.27,0.06712, 0.70086, 0.08639, -0.70486,0.19, 1.49, 0.23,-0.06105, -0.70813, -0.06170, 0.70073,350.04, 269.40, 0.00,-0.98, 0.17, -0.01,-0.01, 0.00, 1.00,0.17, 0.98, 0.00,WorldSpace,0.9980469,0.19, 1.48, 0.30,-0.06044, -0.71766, -0.06278, 0.69092,350.00, 267.82, 0.00,-0.98, 0.17, -0.04,-0.04, 0.00, 1.00,0.17, 0.98, 0.01,WorldSpace,0.9980469,-0.78, 1.70, 0.27,0.06685, 0.70132, 0.08664, -0.70440
06/24/2023 21:36:31.474684,1,start,0.20, 1.49, 0.24,0.06765, 0.70026, 0.08572, -0.70548,0.20, 1.49, 0.30,0.06765, 0.70026, 0.08572, -0.70548,0.20, 1.49, 0.27,0.06765, 0.70026, 0.08572, -0.70548,0.19, 1.49, 0.23,-0.06763, -0.69392, -0.06574, 0.71385,349.18, 271.62, 0.00,-0.98, 0.19, 0.03,0.03, 0.00, 1.00,0.19, 0.98, -0.01,WorldSpace,0.9980469,0.19, 1.49, 0.30,-0.06692, -0.70524, -0.06717, 0.70260,349.12, 269.78, 0.00,-0.98, 0.19, 0.00,0.00, 0.00, 1.00,0.19, 0.98, 0.00,WorldSpace,0.9980469,-0.78, 1.70, 0.27,0.06711, 0.70087, 0.08638, -0.70485
06/24/2023 21:36:31.490829,2,start,0.20, 1.49, 0.24,0.06775, 0.70027, 0.08448, -0.70562,0.20, 1.49, 0.30,0.06775, 0.70027, 0.08448, -0.70562,0.20, 1.49, 0.27,0.06775, 0.70027, 0.08448, -0.70562,0.19, 1.49, 0.23,-0.06819, -0.69329, -0.06618, 0.71437,349.09, 271.72, 0.00,-0.98, 0.19, 0.03,0.03, 0.00, 1.00,0.19, 0.98, -0.01,WorldSpace,0.9980469,0.19, 1.49, 0.30,-0.06748, -0.70462, -0.06762, 0.70312,349.04, 269.88, 0.00,-0.98, 0.19, 0.00,0.00, 0.00, 1.00,0.19, 0.98, 0.00,WorldSpace,0.9980469,-0.78, 1.70, 0.28,0.06765, 0.70026, 0.08572, -0.70548
06/24/2023 21:36:31.507822,3,start,0.20, 1.49, 0.24,0.06775, 0.70004, 0.08394, -0.70591,0.20, 1.49, 0.30,0.06775, 0.70004, 0.08394, -0.70591,0.20, 1.49, 0.27,0.06775, 0.70004, 0.08394, -0.70591,0.19, 1.49, 0.23,-0.06960, -0.68702, -0.06639, 0.72025,348.96, 272.71, 0.00,-0.98, 0.19, 0.05,0.05, 0.00, 1.00,0.19, 0.98, -0.01,WorldSpace,0.9980469,0.19, 1.49, 0.30,-0.06860, -0.70288, -0.06842, 0.70468,348.88, 270.15, 0.00,-0.98, 0.19, 0.00,0.00, 0.00, 1.00,0.19, 0.98, 0.00,WorldSpace,0.9980469,-0.78, 1.70, 0.28,0.06774, 0.70024, 0.08445, -0.70565
06/24/2023 21:36:31.529017,4,start,0.20, 1.49, 0.24,0.06841, 0.70033, 0.08334, -0.70563,0.20, 1.49, 0.30,0.06841, 0.70033, 0.08334, -0.70563,0.20, 1.49, 0.27,0.06841, 0.70033, 0.08334, -0.70563,0.19, 1.49, 0.23,-0.06948, -0.68686, -0.06624, 0.72042,348.98, 272.73, 0.00,-0.98, 0.19, 0.05,0.05, 0.00, 1.00,0.19, 0.98, -0.01,WorldSpace,0.9980469,0.19, 1.49, 0.30,-0.06848, -0.70273, -0.06827, 0.70486,348.90, 270.17, 0.00,-0.98, 0.19, 0.00,0.00, 0.00, 1.00,0.19, 0.98, 0.00,WorldSpace,0.9980469,-0.78, 1.70, 0.28,0.06821, 0.70038, 0.08379, -0.70555
06/24/2023 21:36:31.547453,5,start,0.20, 1.49, 0.24,0.06873, 0.70038, 0.08330, -0.70555,0.20, 1.49, 0.30,0.06873, 0.70038, 0.08330, -0.70555,0.20, 1.49, 0.27,0.06873, 0.70038, 0.08330, -0.70555,0.19, 1.49, 0.23,-0.06769, -0.68685, -0.06450, 0.72076,349.27, 272.76, 0.00,-0.98, 0.19, 0.05,0.05, 0.00, 1.00,0.19, 0.98, -0.01,WorldSpace,0.9980469,0.20, 1.49, 0.30,-0.06689, -0.69979, -0.06611, 0.70813,349.21, 270.68, 0.00,-0.98, 0.19, 0.01,0.01, 0.00, 1.00,0.19, 0.98, 0.00,WorldSpace,0.9980469,-0.78, 1.70, 0.28,0.06850, 0.70050, 0.08357, -0.70543
06/24/2023 21:36:31.563978,6,start,0.20, 1.49, 0.24,0.06872, 0.70048, 0.08321, -0.70546,0.20, 1.49, 0.30,0.06872, 0.70048, 0.08321, -0.70546,0.20, 1.49, 0.27,0.06872, 0.70048, 0.08321, -0.70546,0.19, 1.49, 0.23,-0.06771, -0.68676, -0.06451, 0.72084,349.27, 272.77, 0.00,-0.98, 0.19, 0.05,0.05, 0.00, 1.00,0.19, 0.98, -0.01,WorldSpace,0.9980469,0.20, 1.49, 0.30,-0.06692, -0.69971, -0.06611, 0.70821,349.20, 270.69, 0.00,-0.98, 0.19, 0.01,0.01, 0.00, 1.00,0.19, 0.98, 0.00,WorldSpace,0.9980469,-0.78, 1.70, 0.28,0.06860, 0.70051, 0.08340, -0.70543
06/24/2023 21:36:31.580957,7,start,0.20, 1.49, 0.24,0.06860, 0.70034, 0.08320, -0.70562,0.20, 1.49, 0.30,0.06860, 0.70034, 0.08320, -0.70562,0.20, 1.49, 0.27,0.06860, 0.70034, 0.08320, -0.70562,0.19, 1.49, 0.24,-0.06902, -0.68662, -0.06575, 0.72074,349.06, 272.78, 0.00,-0.98, 0.19, 0.05,0.05, 0.00, 1.00,0.19, 0.98, -0.01,WorldSpace,0.9980469,0.20, 1.49, 0.30,-0.06817, -0.69958, -0.06735, 0.70810,349.00, 270.69, 0.00,-0.98, 0.19, 0.01,0.01, 0.00, 1.00,0.19, 0.98, 0.00,WorldSpace,0.9980469,-0.78, 1.70, 0.28,0.06868, 0.70045, 0.08319, -0.70550
06/24/2023 21:36:31.597316,8,start,0.20, 1.49, 0.24,0.06838, 0.70029, 0.08312, -0.70570,0.20, 1.49, 0.30,0.06838, 0.70029, 0.08312, -0.70570,0.20, 1.49, 0.27,0.06838, 0.70029, 0.08312, -0.70570,0.19, 1.49, 0.24,-0.06914, -0.68660, -0.06586, 0.72074,349.04, 272.78, 0.00,-0.98, 0.19, 0.05,0.05, 0.00, 1.00,0.19, 0.98, -0.01,WorldSpace,0.9980469,0.20, 1.49, 0.30,-0.06829, -0.69955, -0.06746, 0.70811,348.98, 270.70, 0.00,-0.98, 0.19, 0.01,0.01, 0.00, 1.00,0.19, 0.98, 0.00,WorldSpace,0.9980469,-0.78, 1.70, 0.28,0.06860, 0.70037, 0.08319, -0.70559
06/24/2023 21:36:31.613987,9,start,0.20, 1.49, 0.24,0.06829, 0.70031, 0.08299, -0.70570,0.20, 1.49, 0.30,0.06829, 0.70031, 0.08299, -0.70570,0.20, 1.49, 0.27,0.06829, 0.70031, 0.08299, -0.70570,0.20, 1.49, 0.24,-0.06749, -0.68662, -0.06427, 0.72102,349.30, 272.80, 0.00,-0.98, 0.19, 0.05,0.05, 0.00, 1.00,0.19, 0.98, -0.01,WorldSpace,0.9980469,0.20, 1.49, 0.30,-0.06666, -0.69956, -0.06583, 0.70841,349.25, 270.72, 0.00,-0.98, 0.19, 0.01,0.01, 0.00, 1.00,0.19, 0.98, 0.00,WorldSpace,0.9980469,-0.78, 1.70, 0.28,0.06836, 0.70029, 0.08308, -0.70570
