Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/26/2023 00:22:50.813115,0,start,0.14, 1.11, 0.05,0.04318, 0.16890, 0.00655, -0.98466,0.20, 1.11, 0.07,0.04318, 0.16890, 0.00655, -0.98466,0.17, 1.11, 0.06,0.04318, 0.16890, 0.00655, -0.98466,0.14, 1.11, 0.05,-0.05710, -0.16431, -0.00953, 0.98471,353.36, 341.05, 0.00,-0.32, 0.12, 0.94,0.95, 0.00, 0.32,0.04, 0.99, -0.11,TrackingSpace,0.9980469,0.20, 1.11, 0.07,-0.05680, -0.18593, -0.01077, 0.98086,353.37, 338.53, 0.00,-0.36, 0.12, 0.92,0.93, 0.00, 0.37,0.04, 0.99, -0.11,TrackingSpace,0.9980469,-0.16, 1.20, 1.00,0.04328, 0.16934, 0.00647, -0.98459
06/26/2023 00:22:50.820287,1,start,0.14, 1.11, 0.05,0.04293, 0.16828, 0.00671, -0.98478,0.20, 1.11, 0.07,0.04293, 0.16828, 0.00671, -0.98478,0.17, 1.11, 0.06,0.04293, 0.16828, 0.00671, -0.98478,0.14, 1.11, 0.05,-0.05710, -0.16431, -0.00953, 0.98471,353.36, 341.05, 0.00,-0.32, 0.12, 0.94,0.95, 0.00, 0.32,0.04, 0.99, -0.11,TrackingSpace,0.9980469,0.20, 1.11, 0.07,-0.05680, -0.18593, -0.01077, 0.98086,353.37, 338.53, 0.00,-0.36, 0.12, 0.92,0.93, 0.00, 0.37,0.04, 0.99, -0.11,TrackingSpace,0.9980469,-0.16, 1.20, 1.00,0.04317, 0.16892, 0.00654, -0.98466
06/26/2023 00:22:50.838164,2,start,0.14, 1.11, 0.05,0.04310, 0.16838, 0.00685, -0.98476,0.20, 1.11, 0.07,0.04310, 0.16838, 0.00685, -0.98476,0.17, 1.11, 0.06,0.04310, 0.16838, 0.00685, -0.98476,0.14, 1.11, 0.05,-0.05706, -0.16389, -0.00950, 0.98478,353.37, 341.10, 0.00,-0.32, 0.12, 0.94,0.95, 0.00, 0.32,0.04, 0.99, -0.11,TrackingSpace,0.9980469,0.20, 1.11, 0.07,-0.05677, -0.18551, -0.01074, 0.98094,353.38, 338.58, 0.00,-0.36, 0.12, 0.92,0.93, 0.00, 0.37,0.04, 0.99, -0.11,TrackingSpace,0.9980469,-0.16, 1.20, 1.00,0.04293, 0.16828, 0.00671, -0.98478
06/26/2023 00:22:50.855716,3,start,0.14, 1.11, 0.05,0.04327, 0.16841, 0.00691, -0.98474,0.20, 1.11, 0.07,0.04327, 0.16841, 0.00691, -0.98474,0.17, 1.11, 0.06,0.04327, 0.16841, 0.00691, -0.98474,0.14, 1.11, 0.05,-0.05706, -0.16389, -0.00950, 0.98478,353.37, 341.10, 0.00,-0.32, 0.12, 0.94,0.95, 0.00, 0.32,0.04, 0.99, -0.11,TrackingSpace,0.9980469,0.20, 1.11, 0.07,-0.05677, -0.18551, -0.01074, 0.98094,353.38, 338.58, 0.00,-0.36, 0.12, 0.92,0.93, 0.00, 0.37,0.04, 0.99, -0.11,TrackingSpace,0.9980469,-0.16, 1.20, 1.00,0.04303, 0.16837, 0.00685, -0.98476
06/26/2023 00:22:50.876672,4,start,0.14, 1.11, 0.05,0.04355, 0.16830, 0.00690, -0.98475,0.20, 1.11, 0.07,0.04355, 0.16830, 0.00690, -0.98475,0.17, 1.11, 0.06,0.04355, 0.16830, 0.00690, -0.98475,0.14, 1.11, 0.05,-0.05709, -0.16157, -0.00936, 0.98516,353.37, 341.37, 0.00,-0.32, 0.12, 0.94,0.95, 0.00, 0.32,0.04, 0.99, -0.11,TrackingSpace,0.9980469,0.20, 1.11, 0.07,-0.05685, -0.18122, -0.01049, 0.98174,353.37, 339.08, 0.00,-0.35, 0.12, 0.93,0.93, 0.00, 0.36,0.04, 0.99, -0.11,TrackingSpace,0.9980469,-0.16, 1.20, 1.00,0.04345, 0.16838, 0.00690, -0.98474
06/26/2023 00:22:50.895273,5,start,0.14, 1.11, 0.05,0.04393, 0.16811, 0.00728, -0.98476,0.20, 1.11, 0.07,0.04393, 0.16811, 0.00728, -0.98476,0.17, 1.11, 0.06,0.04393, 0.16811, 0.00728, -0.98476,0.14, 1.11, 0.05,-0.05709, -0.16157, -0.00936, 0.98516,353.37, 341.37, 0.00,-0.32, 0.12, 0.94,0.95, 0.00, 0.32,0.04, 0.99, -0.11,TrackingSpace,0.9980469,0.20, 1.11, 0.07,-0.05685, -0.18122, -0.01049, 0.98174,353.37, 339.08, 0.00,-0.35, 0.12, 0.93,0.93, 0.00, 0.36,0.04, 0.99, -0.11,TrackingSpace,0.9980469,-0.16, 1.20, 1.00,0.04377, 0.16829, 0.00705, -0.98474
06/26/2023 00:22:50.911499,6,start,0.14, 1.11, 0.05,0.04429, 0.16788, 0.00757, -0.98478,0.20, 1.11, 0.07,0.04429, 0.16788, 0.00757, -0.98478,0.17, 1.11, 0.06,0.04429, 0.16788, 0.00757, -0.98478,0.14, 1.11, 0.05,0.07755, -0.14542, 0.01143, 0.98626,8.99, 343.23, 0.00,-0.29, -0.16, 0.95,0.96, 0.00, 0.29,-0.05, 0.99, 0.15,TrackingSpace,0.9980469,0.20, 1.11, 0.07,0.07747, -0.15866, 0.01249, 0.98421,9.00, 341.68, 0.00,-0.31, -0.16, 0.94,0.95, 0.00, 0.31,-0.05, 0.99, 0.15,TrackingSpace,0.9980469,-0.16, 1.20, 1.00,0.04398, 0.16805, 0.00732, -0.98477
06/26/2023 00:22:50.928622,7,start,0.14, 1.11, 0.05,0.04462, 0.16767, 0.00778, -0.98480,0.20, 1.11, 0.07,0.04462, 0.16767, 0.00778, -0.98480,0.17, 1.11, 0.06,0.04462, 0.16767, 0.00778, -0.98480,0.14, 1.11, 0.05,0.07755, -0.14542, 0.01143, 0.98626,8.99, 343.23, 0.00,-0.29, -0.16, 0.95,0.96, 0.00, 0.29,-0.05, 0.99, 0.15,TrackingSpace,0.9980469,0.20, 1.11, 0.07,0.07747, -0.15866, 0.01249, 0.98421,9.00, 341.68, 0.00,-0.31, -0.16, 0.94,0.95, 0.00, 0.31,-0.05, 0.99, 0.15,TrackingSpace,0.9980469,-0.16, 1.20, 1.00,0.04435, 0.16786, 0.00757, -0.98478
06/26/2023 00:22:50.945257,8,start,0.14, 1.11, 0.05,0.04487, 0.16748, 0.00814, -0.98482,0.20, 1.11, 0.07,0.04487, 0.16748, 0.00814, -0.98482,0.17, 1.11, 0.06,0.04487, 0.16748, 0.00814, -0.98482,0.14, 1.11, 0.05,0.07716, -0.14518, 0.01136, 0.98633,8.95, 343.25, 0.00,-0.28, -0.16, 0.95,0.96, 0.00, 0.29,-0.04, 0.99, 0.15,TrackingSpace,0.9980469,0.20, 1.11, 0.07,0.07707, -0.15842, 0.01241, 0.98428,8.95, 341.71, 0.00,-0.31, -0.16, 0.94,0.95, 0.00, 0.31,-0.05, 0.99, 0.15,TrackingSpace,0.9980469,-0.16, 1.20, 1.00,0.04464, 0.16768, 0.00783, -0.98480
06/26/2023 00:22:50.961935,9,start,0.14, 1.11, 0.05,0.04521, 0.16729, 0.00842, -0.98483,0.20, 1.11, 0.07,0.04521, 0.16729, 0.00842, -0.98483,0.17, 1.11, 0.06,0.04521, 0.16729, 0.00842, -0.98483,0.14, 1.11, 0.05,0.07716, -0.14518, 0.01136, 0.98633,8.95, 343.25, 0.00,-0.28, -0.16, 0.95,0.96, 0.00, 0.29,-0.04, 0.99, 0.15,TrackingSpace,0.9980469,0.20, 1.11, 0.07,0.07707, -0.15842, 0.01241, 0.98428,8.95, 341.71, 0.00,-0.31, -0.16, 0.94,0.95, 0.00, 0.31,-0.05, 0.99, 0.15,TrackingSpace,0.9980469,-0.16, 1.20, 1.00,0.04487, 0.16748, 0.00814, -0.98482
