,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Expected Visual Angle_x,Expected Visual Angle_y,Actual Visual Angle_x,Actual Visual Angle_y,Cosine Similarity,Euclidean Error
0,06/26/2023 00:22:54.007787,227,static,0.15,1.11,0.05,0.07475,0.1177,0.01986,-0.99003,0.21,1.11,0.07,0.07475,0.1177,0.01986,-0.99003,0.18,1.11,0.06,0.07475,0.1177,0.01986,-0.99003,0.15,1.11,0.05,-0.15829,-0.23192,-0.03828,0.95901,341.25,332.81,0.0,-0.43,0.32,0.84,0.89,0.0,0.46,0.15,0.95,-0.29,TrackingSpace,0.9980469,0.21,1.11,0.07,-0.15683,-0.24668,-0.04049,0.95546,341.36,331.05,0.0,-0.46,0.32,0.83,0.88,0.0,0.48,0.15,0.95,-0.28,TrackingSpace,0.9980469,-1.2,2.17,2.72,0.07476,0.11774,0.01979,-0.99003,-0.7100000000000832,1.75000000000006,1.7300000000001563,1.0,0.0,1.38,-1.0599999999999998,-2.66,0.8900000000000832,-0.6400000000000599,-1.6700000000001562,2.6630207795989023,-2.762383292611345,2.6519461759427765,-2.7756231547974983,0.2561468421039316,6.909731365615294
1,06/26/2023 00:22:54.021732,228,static,0.15,1.11,0.05,0.07472,0.11767,0.01994,-0.99004,0.21,1.11,0.07,0.07472,0.11767,0.01994,-0.99004,0.18,1.11,0.06,0.07472,0.11767,0.01994,-0.99004,0.15,1.11,0.05,-0.15829,-0.23192,-0.03828,0.95901,341.25,332.81,0.0,-0.43,0.32,0.84,0.89,0.0,0.46,0.15,0.95,-0.29,TrackingSpace,0.9980469,0.21,1.11,0.07,-0.15683,-0.24668,-0.04049,0.95546,341.36,331.05,0.0,-0.46,0.32,0.83,0.88,0.0,0.48,0.15,0.95,-0.28,TrackingSpace,0.9980469,-1.2,2.17,2.72,0.07475,0.1177,0.01986,-0.99003,-0.7100000000000832,1.75000000000006,1.7300000000001563,1.0,0.0,1.38,-1.0599999999999998,-2.66,0.8900000000000832,-0.6400000000000599,-1.6700000000001562,2.6630207795989023,-2.762383292611345,2.6519461759427765,-2.7756231547974983,0.2561468421039316,6.909731365615294
2,06/26/2023 00:22:54.035448,229,static,0.15,1.11,0.05,0.07468,0.11768,0.01995,-0.99004,0.21,1.11,0.07,0.07468,0.11768,0.01995,-0.99004,0.18,1.11,0.06,0.07468,0.11768,0.01995,-0.99004,0.15,1.11,0.05,-0.15821,-0.2319,-0.03826,0.95902,341.26,332.81,0.0,-0.43,0.32,0.84,0.89,0.0,0.46,0.15,0.95,-0.29,TrackingSpace,0.9980469,0.21,1.11,0.07,-0.15675,-0.24666,-0.04047,0.95548,341.37,331.05,0.0,-0.46,0.32,0.83,0.88,0.0,0.48,0.15,0.95,-0.28,TrackingSpace,0.9980469,-1.2,2.17,2.72,0.07472,0.11767,0.01994,-0.99004,-0.7100000000000832,1.75000000000006,1.7300000000001563,1.0,0.0,1.38,-1.0599999999999998,-2.66,0.8900000000000832,-0.6400000000000599,-1.6700000000001562,2.6630207795989023,-2.762383292611345,2.6519461759427765,-2.7756231547974983,0.2561468421039316,6.909731365615294
3,06/26/2023 00:22:54.049412,230,static,0.15,1.11,0.05,0.07464,0.11769,0.01999,-0.99004,0.21,1.11,0.07,0.07464,0.11769,0.01999,-0.99004,0.18,1.11,0.06,0.07464,0.11769,0.01999,-0.99004,0.15,1.11,0.05,-0.15821,-0.2319,-0.03826,0.95902,341.26,332.81,0.0,-0.43,0.32,0.84,0.89,0.0,0.46,0.15,0.95,-0.29,TrackingSpace,0.9980469,0.21,1.11,0.07,-0.15675,-0.24666,-0.04047,0.95548,341.37,331.05,0.0,-0.46,0.32,0.83,0.88,0.0,0.48,0.15,0.95,-0.28,TrackingSpace,0.9980469,-1.2,2.17,2.72,0.07466,0.11768,0.01994,-0.99004,-0.7100000000000832,1.75000000000006,1.7300000000001563,1.0,0.0,1.38,-1.0599999999999998,-2.66,0.8900000000000832,-0.6400000000000599,-1.6700000000001562,2.6630207795989023,-2.762383292611345,2.6519461759427765,-2.7756231547974983,0.2561468421039316,6.909731365615294
4,06/26/2023 00:22:54.063504,231,static,0.15,1.11,0.05,0.07462,0.11767,0.02014,-0.99004,0.21,1.11,0.07,0.07462,0.11767,0.02014,-0.99004,0.18,1.11,0.06,0.07462,0.11767,0.02014,-0.99004,0.15,1.11,0.05,-0.15821,-0.2319,-0.03826,0.95902,341.26,332.81,0.0,-0.43,0.32,0.84,0.89,0.0,0.46,0.15,0.95,-0.29,TrackingSpace,0.9980469,0.21,1.11,0.07,-0.15675,-0.24666,-0.04047,0.95548,341.37,331.05,0.0,-0.46,0.32,0.83,0.88,0.0,0.48,0.15,0.95,-0.28,TrackingSpace,0.9980469,-1.2,2.17,2.72,0.07465,0.11769,0.02,-0.99004,-0.7100000000000832,1.75000000000006,1.7300000000001563,1.0,0.0,1.38,-1.0599999999999998,-2.66,0.8900000000000832,-0.6400000000000599,-1.6700000000001562,2.6630207795989023,-2.762383292611345,2.6519461759427765,-2.7756231547974983,0.2561468421039316,6.909731365615294
5,06/26/2023 00:22:54.077134,232,static,0.15,1.12,0.05,0.07463,0.11764,0.02035,-0.99004,0.21,1.11,0.07,0.07463,0.11764,0.02035,-0.99004,0.18,1.11,0.06,0.07463,0.11764,0.02035,-0.99004,0.15,1.11,0.05,-0.15797,-0.23393,-0.03855,0.95856,341.28,332.57,0.0,-0.44,0.32,0.84,0.89,0.0,0.46,0.15,0.95,-0.28,TrackingSpace,0.9980469,0.21,1.11,0.07,-0.15649,-0.24867,-0.04075,0.95499,341.39,330.81,0.0,-0.46,0.32,0.83,0.87,0.0,0.49,0.16,0.95,-0.28,TrackingSpace,0.9980469,-1.2,2.17,2.72,0.07462,0.11767,0.02013,-0.99004,-1.0750031959096598,2.002476829658339,2.388827900288417,1.0,0.0,1.38,-1.0599999999999998,-2.66,1.2550031959096597,-0.892476829658339,-2.328827900288417,2.6630207795989023,-2.762383292611345,2.647312157246101,-2.775626192837722,0.3062273367162009,1.452146418114768
6,06/26/2023 00:22:54.090578,233,static,0.15,1.12,0.05,0.07466,0.11752,0.02053,-0.99005,0.21,1.11,0.07,0.07466,0.11752,0.02053,-0.99005,0.18,1.11,0.06,0.07466,0.11752,0.02053,-0.99005,0.15,1.11,0.05,-0.15797,-0.23393,-0.03855,0.95856,341.28,332.57,0.0,-0.44,0.32,0.84,0.89,0.0,0.46,0.15,0.95,-0.28,TrackingSpace,0.9980469,0.21,1.11,0.07,-0.15649,-0.24867,-0.04075,0.95499,341.39,330.81,0.0,-0.46,0.32,0.83,0.87,0.0,0.49,0.16,0.95,-0.28,TrackingSpace,0.9980469,-1.2,2.17,2.72,0.07465,0.11764,0.02034,-0.99004,-1.0750031959096598,2.002476829658339,2.388827900288417,1.0,0.0,1.38,-1.0599999999999998,-2.66,1.2550031959096597,-0.892476829658339,-2.328827900288417,2.6630207795989023,-2.762383292611345,2.647312157246101,-2.775626192837722,0.3062273367162009,1.452146418114768
7,06/26/2023 00:22:54.104808,234,static,0.15,1.12,0.05,0.07475,0.11748,0.02054,-0.99005,0.21,1.11,0.07,0.07475,0.11748,0.02054,-0.99005,0.18,1.11,0.06,0.07475,0.11748,0.02054,-0.99005,0.15,1.11,0.05,-0.15802,-0.23381,-0.03854,0.95858,341.28,332.58,0.0,-0.44,0.32,0.84,0.89,0.0,0.46,0.15,0.95,-0.28,TrackingSpace,0.9980469,0.21,1.11,0.07,-0.15655,-0.24855,-0.04074,0.95501,341.38,330.82,0.0,-0.46,0.32,0.83,0.87,0.0,0.49,0.16,0.95,-0.28,TrackingSpace,0.9980469,-1.2,2.17,2.72,0.07466,0.11752,0.02053,-0.99005,-1.0750031959096598,2.002476829658339,2.388827900288417,1.0,0.0,1.38,-1.0599999999999998,-2.66,1.2550031959096597,-0.892476829658339,-2.328827900288417,2.6630207795989023,-2.762383292611345,2.647312157246101,-2.775626192837722,0.3062273367162009,1.452146418114768
8,06/26/2023 00:22:54.118980,235,static,0.15,1.12,0.05,0.07476,0.11745,0.02053,-0.99005,0.21,1.11,0.07,0.07476,0.11745,0.02053,-0.99005,0.18,1.11,0.06,0.07475,0.11745,0.02053,-0.99005,0.15,1.11,0.05,-0.15802,-0.23381,-0.03854,0.95858,341.28,332.58,0.0,-0.44,0.32,0.84,0.89,0.0,0.46,0.15,0.95,-0.28,TrackingSpace,0.9980469,0.21,1.11,0.07,-0.15655,-0.24855,-0.04074,0.95501,341.38,330.82,0.0,-0.46,0.32,0.83,0.87,0.0,0.49,0.16,0.95,-0.28,TrackingSpace,0.9980469,-1.2,2.17,2.72,0.07472,0.11747,0.02053,-0.99005,-1.0750031959096598,2.002476829658339,2.388827900288417,1.0,0.0,1.38,-1.0599999999999998,-2.66,1.2550031959096597,-0.892476829658339,-2.328827900288417,2.6630207795989023,-2.762383292611345,2.647312157246101,-2.775626192837722,0.3062273367162009,1.452146418114768
9,06/26/2023 00:22:54.132584,236,static,0.15,1.12,0.05,0.07486,0.11751,0.02046,-0.99004,0.21,1.11,0.07,0.07486,0.11751,0.02046,-0.99004,0.18,1.11,0.06,0.07486,0.11751,0.02046,-0.99004,0.15,1.11,0.05,-0.15802,-0.23381,-0.03854,0.95858,341.28,332.58,0.0,-0.44,0.32,0.84,0.89,0.0,0.46,0.15,0.95,-0.28,TrackingSpace,0.9980469,0.21,1.11,0.07,-0.15655,-0.24855,-0.04074,0.95501,341.38,330.82,0.0,-0.46,0.32,0.83,0.87,0.0,0.49,0.16,0.95,-0.28,TrackingSpace,0.9980469,-1.2,2.17,2.72,0.07478,0.11747,0.02053,-0.99004,-1.0750031959096598,2.002476829658339,2.388827900288417,1.0,0.0,1.38,-1.0599999999999998,-2.66,1.2550031959096597,-0.892476829658339,-2.328827900288417,2.6630207795989023,-2.762383292611345,2.647312157246101,-2.775626192837722,0.3062273367162009,1.452146418114768
