,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Cosine Similarity,Euclidean Error
0,07/20/2023 03:00:23.417760,226,static,0.79,1.55,-1.16,-0.02781,-0.02719,-7e-05,0.99924,0.85,1.55,-1.16,-0.02781,-0.02719,-7e-05,0.99924,0.82,1.55,-1.16,-0.02781,-0.02719,-7e-05,0.99924,0.79,1.55,-1.16,0.05537,-0.12704,0.0071,0.99033,6.4,345.38,0.0,-0.25,-0.11,0.96,0.97,0.0,0.25,-0.03,0.99,0.11,TrackingSpace,0.9980469,0.85,1.55,-1.16,0.05492,-0.1417,0.00787,0.98835,6.36,343.68,0.0,-0.28,-0.11,0.95,0.96,0.0,0.28,-0.03,0.99,0.11,TrackingSpace,0.9980469,-0.14,1.13,2.19,-0.02776,-0.02726,-0.00013,0.99924,0.33511338085680453,1.3486673590175215,0.5879807217254736,1.0,0.0,0.96,0.42000000000000015,-3.3499999999999996,0.48488661914319553,0.2013326409824785,-1.7479807217254735,0.7240122231263928,0.7538154528344805
1,07/20/2023 03:00:23.431665,227,static,0.79,1.55,-1.16,-0.02789,-0.02712,-3e-05,0.99924,0.85,1.55,-1.16,-0.02789,-0.02712,-3e-05,0.99924,0.82,1.55,-1.16,-0.02789,-0.02712,-3e-05,0.99924,0.79,1.55,-1.16,0.05537,-0.12704,0.0071,0.99033,6.4,345.38,0.0,-0.25,-0.11,0.96,0.97,0.0,0.25,-0.03,0.99,0.11,TrackingSpace,0.9980469,0.85,1.55,-1.16,0.05492,-0.1417,0.00787,0.98835,6.36,343.68,0.0,-0.28,-0.11,0.95,0.96,0.0,0.28,-0.03,0.99,0.11,TrackingSpace,0.9980469,-0.14,1.13,2.19,-0.02781,-0.02718,-0.00012,0.99924,0.33511338085680453,1.3486673590175215,0.5879807217254736,1.0,0.0,0.96,0.42000000000000015,-3.3499999999999996,0.48488661914319553,0.2013326409824785,-1.7479807217254735,0.7240122231263928,0.7538154528344805
2,07/20/2023 03:00:23.445623,228,static,0.79,1.55,-1.16,-0.02792,-0.02706,6e-05,0.99924,0.85,1.55,-1.16,-0.02792,-0.02706,6e-05,0.99924,0.82,1.55,-1.16,-0.02792,-0.02706,6e-05,0.99924,0.79,1.55,-1.16,0.05544,-0.12703,0.00711,0.99032,6.41,345.38,0.0,-0.25,-0.11,0.96,0.97,0.0,0.25,-0.03,0.99,0.11,TrackingSpace,0.9980469,0.85,1.55,-1.16,0.055,-0.14162,0.00788,0.98836,6.37,343.69,0.0,-0.28,-0.11,0.95,0.96,0.0,0.28,-0.03,0.99,0.11,TrackingSpace,0.9980469,-0.14,1.13,2.19,-0.0279,-0.02712,-4e-05,0.99924,0.33511338085680453,1.3486673590175215,0.5879807217254736,1.0,0.0,0.96,0.42000000000000015,-3.3499999999999996,0.48488661914319553,0.2013326409824785,-1.7479807217254735,0.7240122231263928,0.7538154528344805
3,07/20/2023 03:00:23.459277,229,static,0.79,1.55,-1.16,-0.02799,-0.02702,9e-05,0.99924,0.85,1.55,-1.16,-0.02799,-0.02702,9e-05,0.99924,0.82,1.55,-1.16,-0.02799,-0.02702,9e-05,0.99924,0.79,1.55,-1.16,0.05544,-0.12703,0.00711,0.99032,6.41,345.38,0.0,-0.25,-0.11,0.96,0.97,0.0,0.25,-0.03,0.99,0.11,TrackingSpace,0.9980469,0.85,1.55,-1.16,0.055,-0.14162,0.00788,0.98836,6.37,343.69,0.0,-0.28,-0.11,0.95,0.96,0.0,0.28,-0.03,0.99,0.11,TrackingSpace,0.9980469,-0.14,1.13,2.19,-0.02792,-0.02705,4e-05,0.99924,0.33511338085680453,1.3486673590175215,0.5879807217254736,1.0,0.0,0.96,0.42000000000000015,-3.3499999999999996,0.48488661914319553,0.2013326409824785,-1.7479807217254735,0.7240122231263928,0.7538154528344805
4,07/20/2023 03:00:23.473435,230,static,0.79,1.55,-1.16,-0.02797,-0.02697,8e-05,0.99924,0.85,1.55,-1.16,-0.02797,-0.02697,8e-05,0.99924,0.82,1.55,-1.16,-0.02797,-0.02697,8e-05,0.99924,0.79,1.55,-1.16,0.05725,-0.12876,0.00745,0.98999,6.62,345.18,0.0,-0.25,-0.12,0.96,0.97,0.0,0.26,-0.03,0.99,0.11,TrackingSpace,0.9980469,0.85,1.55,-1.16,0.05679,-0.14314,0.00823,0.98804,6.58,343.51,0.0,-0.28,-0.11,0.95,0.96,0.0,0.28,-0.03,0.99,0.11,TrackingSpace,0.9980469,-0.14,1.13,2.19,-0.02798,-0.02701,0.0001,0.99924,0.3728475530134609,1.3558339617089437,0.45204550052409687,1.0,0.0,0.96,0.42000000000000015,-3.3499999999999996,0.44715244698653916,0.1941660382910564,-1.6120455005240968,0.5457271164756735,0.5612232007453901
5,07/20/2023 03:00:23.487447,231,static,0.79,1.55,-1.16,-0.02795,-0.02689,2e-05,0.99925,0.85,1.55,-1.16,-0.02795,-0.02689,2e-05,0.99925,0.82,1.55,-1.16,-0.02795,-0.02689,2e-05,0.99925,0.79,1.55,-1.16,0.05725,-0.12876,0.00745,0.98999,6.62,345.18,0.0,-0.25,-0.12,0.96,0.97,0.0,0.26,-0.03,0.99,0.11,TrackingSpace,0.9980469,0.85,1.55,-1.16,0.05679,-0.14314,0.00823,0.98804,6.58,343.51,0.0,-0.28,-0.11,0.95,0.96,0.0,0.28,-0.03,0.99,0.11,TrackingSpace,0.9980469,-0.14,1.13,2.19,-0.02797,-0.02698,7e-05,0.99924,0.3728475530134609,1.3558339617089437,0.45204550052409687,1.0,0.0,0.96,0.42000000000000015,-3.3499999999999996,0.44715244698653916,0.1941660382910564,-1.6120455005240968,0.5457271164756735,0.5612232007453901
6,07/20/2023 03:00:23.501124,232,static,0.79,1.55,-1.17,-0.02796,-0.02684,-6e-05,0.99925,0.85,1.55,-1.16,-0.02796,-0.02684,-6e-05,0.99925,0.82,1.55,-1.16,-0.02796,-0.02684,-6e-05,0.99925,0.79,1.55,-1.16,0.05523,-0.12882,0.00719,0.9901,6.39,345.17,0.0,-0.25,-0.11,0.96,0.97,0.0,0.26,-0.03,0.99,0.11,TrackingSpace,0.9980469,0.85,1.55,-1.16,0.05479,-0.14322,0.00794,0.98814,6.35,343.51,0.0,-0.28,-0.11,0.95,0.96,0.0,0.28,-0.03,0.99,0.11,TrackingSpace,0.9980469,-0.13,1.13,2.19,-0.02796,-0.02691,1e-05,0.99925,0.33511338085680453,1.3486673590175215,0.5879807217254736,1.0,0.0,0.95,0.42000000000000015,-3.3499999999999996,0.48488661914319553,0.2013326409824785,-1.7479807217254735,0.6346418306783126,0.662800427134867
7,07/20/2023 03:00:23.515187,233,static,0.79,1.55,-1.17,-0.02801,-0.02682,-0.00012,0.99925,0.85,1.55,-1.16,-0.02801,-0.02682,-0.00012,0.99925,0.82,1.55,-1.16,-0.02801,-0.02682,-0.00012,0.99925,0.79,1.55,-1.16,0.05523,-0.12882,0.00719,0.9901,6.39,345.17,0.0,-0.25,-0.11,0.96,0.97,0.0,0.26,-0.03,0.99,0.11,TrackingSpace,0.9980469,0.85,1.55,-1.16,0.05479,-0.14322,0.00794,0.98814,6.35,343.51,0.0,-0.28,-0.11,0.95,0.96,0.0,0.28,-0.03,0.99,0.11,TrackingSpace,0.9980469,-0.13,1.13,2.19,-0.02796,-0.02684,-8e-05,0.99925,0.33511338085680453,1.3486673590175215,0.5879807217254736,1.0,0.0,0.95,0.42000000000000015,-3.3499999999999996,0.48488661914319553,0.2013326409824785,-1.7479807217254735,0.6346418306783126,0.662800427134867
8,07/20/2023 03:00:23.529242,234,static,0.79,1.55,-1.17,-0.02802,-0.02678,-9e-05,0.99925,0.85,1.55,-1.16,-0.02802,-0.02678,-9e-05,0.99925,0.82,1.55,-1.16,-0.02802,-0.02678,-9e-05,0.99925,0.79,1.55,-1.16,0.05523,-0.12882,0.00719,0.9901,6.39,345.17,0.0,-0.25,-0.11,0.96,0.97,0.0,0.26,-0.03,0.99,0.11,TrackingSpace,0.9980469,0.85,1.55,-1.16,0.05479,-0.14322,0.00794,0.98814,6.35,343.51,0.0,-0.28,-0.11,0.95,0.96,0.0,0.28,-0.03,0.99,0.11,TrackingSpace,0.9980469,-0.13,1.13,2.19,-0.028,-0.02684,-0.00011,0.99925,0.33511338085680453,1.3486673590175215,0.5879807217254736,1.0,0.0,0.95,0.42000000000000015,-3.3499999999999996,0.48488661914319553,0.2013326409824785,-1.7479807217254735,0.6346418306783126,0.662800427134867
9,07/20/2023 03:00:23.542901,235,static,0.79,1.55,-1.17,-0.02798,-0.02676,-6e-05,0.99925,0.85,1.55,-1.16,-0.02798,-0.02676,-6e-05,0.99925,0.82,1.55,-1.16,-0.02798,-0.02676,-6e-05,0.99925,0.79,1.55,-1.16,0.05708,-0.12872,0.00742,0.99001,6.6,345.18,0.0,-0.25,-0.11,0.96,0.97,0.0,0.26,-0.03,0.99,0.11,TrackingSpace,0.9980469,0.85,1.55,-1.16,0.05662,-0.14321,0.00821,0.98804,6.56,343.51,0.0,-0.28,-0.11,0.95,0.96,0.0,0.28,-0.03,0.99,0.11,TrackingSpace,0.9980469,-0.13,1.13,2.19,-0.028,-0.0268,-9e-05,0.99925,0.33511338085680453,1.3486673590175215,0.5879807217254736,1.0,0.0,0.95,0.42000000000000015,-3.3499999999999996,0.48488661914319553,0.2013326409824785,-1.7479807217254735,0.6346418306783126,0.662800427134867
