Date,Frame,Movement,Camera_Position_x,Camera_Position_y,Camera_Position_z,Camera_Rotation_x,Camera_Rotation_y,Camera_Rotation_z,Camera_Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/27/2023 22:14:24.078926,0,start,0.18, 1.33, -0.06,-0.08409, 0.66820, 0.06128, 0.73667,0.17, 1.34, -0.03,-0.05876, 0.65376, 0.05104, 0.75268,351.07, 81.95, 0.00,0.98, 0.16, 0.14,0.14, 0.00, -0.99,-0.15, 0.99, -0.02,TrackingSpace,0.9980469,0.18, 1.33, -0.10,-0.05984, 0.64035, 0.05015, 0.76410,351.04, 79.93, 0.00,0.97, 0.16, 0.17,0.17, 0.00, -0.98,-0.15, 0.99, -0.03,TrackingSpace,0.9980469,2.36, 2.96, 1.37,-0.08381, 0.66897, 0.06041, 0.73608
06/27/2023 22:14:24.084891,1,start,0.18, 1.33, -0.06,-0.08417, 0.66686, 0.06261, 0.73776,0.17, 1.34, -0.03,-0.05876, 0.65376, 0.05104, 0.75268,351.07, 81.95, 0.00,0.98, 0.16, 0.14,0.14, 0.00, -0.99,-0.15, 0.99, -0.02,TrackingSpace,0.9980469,0.18, 1.33, -0.10,-0.05984, 0.64035, 0.05015, 0.76410,351.04, 79.93, 0.00,0.97, 0.16, 0.17,0.17, 0.00, -0.98,-0.15, 0.99, -0.03,TrackingSpace,0.9980469,2.35, 2.96, 1.37,-0.08409, 0.66820, 0.06128, 0.73667
06/27/2023 22:14:24.100067,2,start,0.18, 1.33, -0.06,-0.08298, 0.66655, 0.06287, 0.73816,0.17, 1.34, -0.03,-0.05987, 0.65312, 0.05192, 0.75310,350.91, 81.87, 0.00,0.98, 0.16, 0.14,0.14, 0.00, -0.99,-0.16, 0.99, -0.02,TrackingSpace,0.9980469,0.18, 1.33, -0.10,-0.06095, 0.63969, 0.05100, 0.76451,350.88, 79.84, 0.00,0.97, 0.16, 0.17,0.18, 0.00, -0.98,-0.16, 0.99, -0.03,TrackingSpace,0.9980469,2.35, 2.96, 1.39,-0.08413, 0.66688, 0.06258, 0.73775
06/27/2023 22:14:24.117232,3,start,0.18, 1.33, -0.06,-0.08151, 0.66647, 0.06281, 0.73840,0.17, 1.34, -0.03,-0.05987, 0.65312, 0.05192, 0.75310,350.91, 81.87, 0.00,0.98, 0.16, 0.14,0.14, 0.00, -0.99,-0.16, 0.99, -0.02,TrackingSpace,0.9980469,0.18, 1.33, -0.10,-0.06095, 0.63969, 0.05100, 0.76451,350.88, 79.84, 0.00,0.97, 0.16, 0.17,0.18, 0.00, -0.98,-0.16, 0.99, -0.03,TrackingSpace,0.9980469,2.35, 2.95, 1.39,-0.08283, 0.66656, 0.06292, 0.73816
06/27/2023 22:14:24.137784,4,start,0.18, 1.33, -0.06,-0.08004, 0.66635, 0.06258, 0.73869,0.17, 1.33, -0.03,-0.06054, 0.64917, 0.05196, 0.75645,350.85, 81.27, 0.00,0.98, 0.16, 0.15,0.15, 0.00, -0.99,-0.16, 0.99, -0.02,TrackingSpace,0.9980469,0.18, 1.33, -0.09,-0.06135, 0.63887, 0.05123, 0.76515,350.83, 79.72, 0.00,0.97, 0.16, 0.18,0.18, 0.00, -0.98,-0.16, 0.99, -0.03,TrackingSpace,0.9980469,2.36, 2.94, 1.40,-0.08083, 0.66663, 0.06247, 0.73836
06/27/2023 22:14:24.157254,5,start,0.19, 1.33, -0.06,-0.07915, 0.66620, 0.06244, 0.73893,0.18, 1.33, -0.03,-0.05721, 0.64858, 0.04899, 0.75741,351.36, 81.15, 0.00,0.98, 0.15, 0.15,0.15, 0.00, -0.99,-0.15, 0.99, -0.02,TrackingSpace,0.9980469,0.18, 1.33, -0.09,-0.05796, 0.63829, 0.04829, 0.76609,351.35, 79.60, 0.00,0.97, 0.15, 0.18,0.18, 0.00, -0.98,-0.15, 0.99, -0.03,TrackingSpace,0.9980469,2.36, 2.94, 1.40,-0.07981, 0.66636, 0.06245, 0.73871
06/27/2023 22:14:24.173512,6,start,0.19, 1.33, -0.06,-0.07836, 0.66613, 0.06216, 0.73910,0.18, 1.33, -0.03,-0.05721, 0.64858, 0.04899, 0.75741,351.36, 81.15, 0.00,0.98, 0.15, 0.15,0.15, 0.00, -0.99,-0.15, 0.99, -0.02,TrackingSpace,0.9980469,0.18, 1.33, -0.09,-0.05796, 0.63829, 0.04829, 0.76609,351.35, 79.60, 0.00,0.97, 0.15, 0.18,0.18, 0.00, -0.98,-0.15, 0.99, -0.03,TrackingSpace,0.9980469,2.36, 2.93, 1.40,-0.07923, 0.66623, 0.06230, 0.73890
06/27/2023 22:14:24.190748,7,start,0.19, 1.33, -0.06,-0.07741, 0.66611, 0.06202, 0.73923,0.18, 1.33, -0.03,-0.05643, 0.64795, 0.04823, 0.75806,351.49, 81.04, 0.00,0.98, 0.15, 0.15,0.16, 0.00, -0.99,-0.15, 0.99, -0.02,TrackingSpace,0.9980469,0.19, 1.33, -0.09,-0.05714, 0.63766, 0.04752, 0.76672,351.48, 79.50, 0.00,0.97, 0.15, 0.18,0.18, 0.00, -0.98,-0.15, 0.99, -0.03,TrackingSpace,0.9980469,2.36, 2.93, 1.41,-0.07834, 0.66611, 0.06217, 0.73912
06/27/2023 22:14:24.207792,8,start,0.19, 1.33, -0.06,-0.07658, 0.66605, 0.06167, 0.73940,0.18, 1.33, -0.03,-0.05643, 0.64795, 0.04823, 0.75806,351.49, 81.04, 0.00,0.98, 0.15, 0.15,0.16, 0.00, -0.99,-0.15, 0.99, -0.02,TrackingSpace,0.9980469,0.19, 1.33, -0.09,-0.05714, 0.63766, 0.04752, 0.76672,351.48, 79.50, 0.00,0.97, 0.15, 0.18,0.18, 0.00, -0.98,-0.15, 0.99, -0.03,TrackingSpace,0.9980469,2.37, 2.92, 1.41,-0.07731, 0.66610, 0.06199, 0.73925
06/27/2023 22:14:24.224986,9,start,0.19, 1.33, -0.06,-0.07616, 0.66600, 0.06123, 0.73952,0.18, 1.33, -0.03,-0.05808, 0.65197, 0.05020, 0.75435,351.19, 81.67, 0.00,0.98, 0.15, 0.14,0.14, 0.00, -0.99,-0.15, 0.99, -0.02,TrackingSpace,0.9980469,0.19, 1.33, -0.09,-0.05903, 0.63853, 0.04922, 0.76575,351.18, 79.65, 0.00,0.97, 0.15, 0.18,0.18, 0.00, -0.98,-0.15, 0.99, -0.03,TrackingSpace,0.9980469,2.37, 2.92, 1.41,-0.07673, 0.66607, 0.06164, 0.73937
