Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/25/2023 22:40:21.385947,0,start,0.32, 1.04, -0.15,0.15013, 0.07781, 0.02351, -0.98532,0.38, 1.04, -0.14,0.15013, 0.07781, 0.02351, -0.98532,0.35, 1.04, -0.14,0.15013, 0.07781, 0.02351, -0.98532,0.31, 1.04, -0.15,-0.14881, -0.07253, -0.01094, 0.98614,342.84, 351.59, 0.00,-0.14, 0.30, 0.95,0.99, 0.00, 0.15,0.04, 0.96, -0.29,TrackingSpace,0.9980469,0.38, 1.04, -0.14,-0.14892, -0.09292, -0.01406, 0.98437,342.79, 349.22, 0.00,-0.18, 0.30, 0.94,0.98, 0.00, 0.19,0.06, 0.96, -0.29,TrackingSpace,0.9980469,-1.17, 2.89, 1.69,0.14997, 0.07755, 0.02317, -0.98537
06/25/2023 22:40:21.395420,1,start,0.32, 1.04, -0.14,0.15006, 0.07826, 0.02398, -0.98528,0.38, 1.04, -0.14,0.15006, 0.07826, 0.02398, -0.98528,0.35, 1.04, -0.14,0.15006, 0.07826, 0.02398, -0.98528,0.31, 1.04, -0.15,-0.14881, -0.07253, -0.01094, 0.98614,342.84, 351.59, 0.00,-0.14, 0.30, 0.95,0.99, 0.00, 0.15,0.04, 0.96, -0.29,TrackingSpace,0.9980469,0.38, 1.04, -0.14,-0.14892, -0.09292, -0.01406, 0.98437,342.79, 349.22, 0.00,-0.18, 0.30, 0.94,0.98, 0.00, 0.19,0.06, 0.96, -0.29,TrackingSpace,0.9980469,-1.17, 2.90, 1.69,0.15010, 0.07780, 0.02349, -0.98532
06/25/2023 22:40:21.412430,2,start,0.32, 1.04, -0.14,0.14982, 0.07866, 0.02429, -0.98528,0.38, 1.04, -0.14,0.14982, 0.07866, 0.02429, -0.98528,0.35, 1.04, -0.14,0.14982, 0.07866, 0.02429, -0.98528,0.32, 1.04, -0.15,-0.14700, -0.07066, -0.01053, 0.98655,343.05, 351.81, 0.00,-0.14, 0.29, 0.95,0.99, 0.00, 0.14,0.04, 0.96, -0.29,TrackingSpace,0.9980469,0.38, 1.04, -0.13,-0.14715, -0.09104, -0.01360, 0.98482,343.00, 349.44, 0.00,-0.18, 0.29, 0.94,0.98, 0.00, 0.18,0.05, 0.96, -0.29,TrackingSpace,0.9980469,-1.17, 2.90, 1.68,0.15006, 0.07830, 0.02395, -0.98528
06/25/2023 22:40:21.429965,3,start,0.32, 1.04, -0.14,0.14956, 0.07869, 0.02470, -0.98531,0.38, 1.04, -0.14,0.14956, 0.07869, 0.02470, -0.98531,0.35, 1.04, -0.14,0.14956, 0.07869, 0.02470, -0.98531,0.32, 1.04, -0.15,-0.14700, -0.07066, -0.01053, 0.98655,343.05, 351.81, 0.00,-0.14, 0.29, 0.95,0.99, 0.00, 0.14,0.04, 0.96, -0.29,TrackingSpace,0.9980469,0.38, 1.04, -0.13,-0.14715, -0.09104, -0.01360, 0.98482,343.00, 349.44, 0.00,-0.18, 0.29, 0.94,0.98, 0.00, 0.18,0.05, 0.96, -0.29,TrackingSpace,0.9980469,-1.17, 2.90, 1.68,0.14978, 0.07874, 0.02440, -0.98528
06/25/2023 22:40:21.451641,4,start,0.32, 1.04, -0.14,0.14897, 0.07837, 0.02527, -0.98541,0.38, 1.04, -0.14,0.14897, 0.07837, 0.02527, -0.98541,0.35, 1.04, -0.14,0.14897, 0.07837, 0.02527, -0.98541,0.32, 1.04, -0.15,-0.14496, -0.07101, -0.01043, 0.98683,343.29, 351.77, 0.00,-0.14, 0.29, 0.95,0.99, 0.00, 0.14,0.04, 0.96, -0.28,TrackingSpace,0.9980469,0.38, 1.04, -0.13,-0.14513, -0.09137, -0.01346, 0.98509,343.24, 349.40, 0.00,-0.18, 0.29, 0.94,0.98, 0.00, 0.18,0.05, 0.96, -0.28,TrackingSpace,0.9980469,-1.16, 2.90, 1.69,0.14918, 0.07843, 0.02502, -0.98538
06/25/2023 22:40:21.469868,5,start,0.32, 1.04, -0.14,0.14820, 0.07801, 0.02571, -0.98554,0.38, 1.04, -0.14,0.14820, 0.07801, 0.02571, -0.98554,0.35, 1.04, -0.14,0.14820, 0.07801, 0.02571, -0.98554,0.32, 1.04, -0.15,-0.14496, -0.07101, -0.01043, 0.98683,343.29, 351.77, 0.00,-0.14, 0.29, 0.95,0.99, 0.00, 0.14,0.04, 0.96, -0.28,TrackingSpace,0.9980469,0.38, 1.04, -0.13,-0.14513, -0.09137, -0.01346, 0.98509,343.24, 349.40, 0.00,-0.18, 0.29, 0.94,0.98, 0.00, 0.18,0.05, 0.96, -0.28,TrackingSpace,0.9980469,-1.16, 2.89, 1.69,0.14855, 0.07802, 0.02542, -0.98549
06/25/2023 22:40:21.486579,6,start,0.32, 1.04, -0.14,0.14754, 0.07758, 0.02575, -0.98567,0.38, 1.04, -0.14,0.14754, 0.07758, 0.02575, -0.98567,0.35, 1.04, -0.14,0.14754, 0.07758, 0.02575, -0.98567,0.31, 1.04, -0.15,-0.14463, -0.07319, -0.01073, 0.98672,343.32, 351.52, 0.00,-0.14, 0.29, 0.95,0.99, 0.00, 0.15,0.04, 0.96, -0.28,TrackingSpace,0.9980469,0.38, 1.04, -0.13,-0.14479, -0.09143, -0.01344, 0.98514,343.28, 349.40, 0.00,-0.18, 0.29, 0.94,0.98, 0.00, 0.18,0.05, 0.96, -0.28,TrackingSpace,0.9980469,-1.16, 2.89, 1.69,0.14793, 0.07780, 0.02550, -0.98560
06/25/2023 22:40:21.503374,7,start,0.32, 1.04, -0.14,0.14706, 0.07752, 0.02585, -0.98575,0.38, 1.04, -0.14,0.14706, 0.07752, 0.02585, -0.98575,0.35, 1.04, -0.14,0.14706, 0.07752, 0.02585, -0.98575,0.31, 1.04, -0.15,-0.14463, -0.07319, -0.01073, 0.98672,343.32, 351.52, 0.00,-0.14, 0.29, 0.95,0.99, 0.00, 0.15,0.04, 0.96, -0.28,TrackingSpace,0.9980469,0.38, 1.04, -0.13,-0.14479, -0.09143, -0.01344, 0.98514,343.28, 349.40, 0.00,-0.18, 0.29, 0.94,0.98, 0.00, 0.18,0.05, 0.96, -0.28,TrackingSpace,0.9980469,-1.16, 2.89, 1.70,0.14752, 0.07768, 0.02566, -0.98567
06/25/2023 22:40:21.518786,8,start,0.32, 1.04, -0.14,0.14674, 0.07719, 0.02605, -0.98581,0.38, 1.04, -0.14,0.14674, 0.07719, 0.02605, -0.98581,0.35, 1.04, -0.14,0.14674, 0.07719, 0.02605, -0.98581,0.31, 1.04, -0.15,-0.14784, -0.07276, -0.01091, 0.98627,342.95, 351.56, 0.00,-0.14, 0.29, 0.95,0.99, 0.00, 0.15,0.04, 0.96, -0.29,TrackingSpace,0.9980469,0.38, 1.04, -0.13,-0.14802, -0.08893, -0.01337, 0.98489,342.91, 349.68, 0.00,-0.17, 0.29, 0.94,0.98, 0.00, 0.18,0.05, 0.96, -0.29,TrackingSpace,0.9980469,-1.16, 2.89, 1.70,0.14710, 0.07740, 0.02585, -0.98575
06/25/2023 22:40:21.535928,9,start,0.32, 1.04, -0.14,0.14650, 0.07687, 0.02664, -0.98586,0.37, 1.04, -0.14,0.14650, 0.07687, 0.02664, -0.98586,0.35, 1.04, -0.14,0.14650, 0.07687, 0.02664, -0.98586,0.31, 1.04, -0.15,-0.14784, -0.07276, -0.01091, 0.98627,342.95, 351.56, 0.00,-0.14, 0.29, 0.95,0.99, 0.00, 0.15,0.04, 0.96, -0.29,TrackingSpace,0.9980469,0.38, 1.04, -0.13,-0.14802, -0.08893, -0.01337, 0.98489,342.91, 349.68, 0.00,-0.17, 0.29, 0.94,0.98, 0.00, 0.18,0.05, 0.96, -0.29,TrackingSpace,0.9980469,-1.16, 2.89, 1.70,0.14673, 0.07721, 0.02611, -0.98581
