Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/26/2023 21:47:38.853485,0,start,0.01, 1.27, -0.11,-0.13517, 0.49002, 0.05170, 0.85962,0.04, 1.27, -0.16,-0.13517, 0.49002, 0.05170, 0.85962,0.03, 1.27, -0.13,-0.13517, 0.49002, 0.05170, 0.85962,0.01, 1.27, -0.11,-0.29269, 0.28803, 0.09294, 0.90704,324.23, 35.23, 0.00,0.47, 0.58, 0.66,0.82, 0.00, -0.58,-0.34, 0.81, -0.48,TrackingSpace,0.9980469,0.04, 1.27, -0.16,-0.29210, 0.28156, 0.09043, 0.90952,324.39, 34.40, 0.00,0.46, 0.58, 0.67,0.83, 0.00, -0.56,-0.33, 0.81, -0.48,TrackingSpace,0.9980469,1.21, 3.12, 1.93,-0.13528, 0.49031, 0.05177, 0.85943
06/26/2023 21:47:38.867260,1,start,0.01, 1.27, -0.11,-0.13455, 0.48982, 0.05155, 0.85984,0.04, 1.27, -0.16,-0.13455, 0.48982, 0.05155, 0.85984,0.03, 1.27, -0.13,-0.13455, 0.48982, 0.05155, 0.85984,0.01, 1.27, -0.11,-0.29155, 0.28892, 0.09286, 0.90714,324.37, 35.33, 0.00,0.47, 0.58, 0.66,0.82, 0.00, -0.58,-0.34, 0.81, -0.48,TrackingSpace,0.9980469,0.04, 1.27, -0.16,-0.29101, 0.28243, 0.09036, 0.90960,324.52, 34.50, 0.00,0.46, 0.58, 0.67,0.82, 0.00, -0.57,-0.33, 0.81, -0.48,TrackingSpace,0.9980469,1.21, 3.11, 1.93,-0.13512, 0.49004, 0.05173, 0.85961
06/26/2023 21:47:38.881686,2,start,0.01, 1.27, -0.11,-0.13415, 0.48971, 0.05117, 0.85998,0.04, 1.27, -0.16,-0.13415, 0.48971, 0.05117, 0.85998,0.03, 1.27, -0.13,-0.13415, 0.48971, 0.05117, 0.85998,0.01, 1.27, -0.11,-0.29155, 0.28892, 0.09286, 0.90714,324.37, 35.33, 0.00,0.47, 0.58, 0.66,0.82, 0.00, -0.58,-0.34, 0.81, -0.48,TrackingSpace,0.9980469,0.04, 1.27, -0.16,-0.29101, 0.28243, 0.09036, 0.90960,324.52, 34.50, 0.00,0.46, 0.58, 0.67,0.82, 0.00, -0.57,-0.33, 0.81, -0.48,TrackingSpace,0.9980469,1.21, 3.11, 1.93,-0.13445, 0.48988, 0.05156, 0.85982
06/26/2023 21:47:38.896097,3,start,0.01, 1.27, -0.11,-0.13391, 0.48961, 0.05067, 0.86011,0.04, 1.27, -0.16,-0.13391, 0.48961, 0.05067, 0.86011,0.03, 1.27, -0.13,-0.13391, 0.48961, 0.05067, 0.86011,0.01, 1.27, -0.11,-0.29155, 0.28892, 0.09286, 0.90714,324.37, 35.33, 0.00,0.47, 0.58, 0.66,0.82, 0.00, -0.58,-0.34, 0.81, -0.48,TrackingSpace,0.9980469,0.04, 1.27, -0.16,-0.29101, 0.28243, 0.09036, 0.90960,324.52, 34.50, 0.00,0.46, 0.58, 0.67,0.82, 0.00, -0.57,-0.33, 0.81, -0.48,TrackingSpace,0.9980469,1.21, 3.11, 1.94,-0.13410, 0.48972, 0.05114, 0.85998
06/26/2023 21:47:38.909938,4,start,0.01, 1.27, -0.11,-0.13372, 0.48939, 0.05068, 0.86026,0.04, 1.27, -0.16,-0.13372, 0.48939, 0.05068, 0.86026,0.03, 1.27, -0.13,-0.13372, 0.48939, 0.05068, 0.86026,0.01, 1.27, -0.11,-0.26690, 0.39256, 0.12016, 0.87191,325.96, 48.48, 0.00,0.62, 0.56, 0.55,0.66, 0.00, -0.75,-0.42, 0.83, -0.37,TrackingSpace,0.9980469,0.04, 1.27, -0.16,-0.26783, 0.37953, 0.11578, 0.87796,326.07, 46.76, 0.00,0.60, 0.56, 0.57,0.69, 0.00, -0.73,-0.41, 0.83, -0.38,TrackingSpace,0.9980469,1.21, 3.11, 1.94,-0.13392, 0.48960, 0.05070, 0.86011
06/26/2023 21:47:38.924122,5,start,0.01, 1.27, -0.11,-0.13335, 0.48906, 0.05081, 0.86050,0.04, 1.27, -0.16,-0.13335, 0.48906, 0.05081, 0.86050,0.02, 1.27, -0.13,-0.13335, 0.48906, 0.05081, 0.86050,0.01, 1.27, -0.11,-0.26690, 0.39256, 0.12016, 0.87191,325.96, 48.48, 0.00,0.62, 0.56, 0.55,0.66, 0.00, -0.75,-0.42, 0.83, -0.37,TrackingSpace,0.9980469,0.04, 1.27, -0.16,-0.26783, 0.37953, 0.11578, 0.87796,326.07, 46.76, 0.00,0.60, 0.56, 0.57,0.69, 0.00, -0.73,-0.41, 0.83, -0.38,TrackingSpace,0.9980469,1.21, 3.11, 1.94,-0.13370, 0.48936, 0.05074, 0.86028
06/26/2023 21:47:38.938342,6,start,0.01, 1.27, -0.11,-0.13254, 0.48875, 0.05061, 0.86081,0.04, 1.27, -0.16,-0.13254, 0.48875, 0.05061, 0.86081,0.02, 1.27, -0.13,-0.13254, 0.48875, 0.05061, 0.86081,0.01, 1.27, -0.11,-0.24364, 0.44160, 0.12595, 0.85426,328.16, 54.67, 0.00,0.69, 0.53, 0.49,0.58, 0.00, -0.82,-0.43, 0.85, -0.31,TrackingSpace,0.9980469,0.04, 1.27, -0.16,-0.24590, 0.42465, 0.12101, 0.86288,328.19, 52.41, 0.00,0.67, 0.53, 0.52,0.61, 0.00, -0.79,-0.42, 0.85, -0.32,TrackingSpace,0.9980469,1.21, 3.11, 1.94,-0.13330, 0.48904, 0.05082, 0.86052
06/26/2023 21:47:38.951800,7,start,0.01, 1.27, -0.11,-0.13141, 0.48865, 0.04986, 0.86108,0.04, 1.27, -0.16,-0.13141, 0.48865, 0.04986, 0.86108,0.02, 1.27, -0.13,-0.13141, 0.48865, 0.04986, 0.86108,0.01, 1.27, -0.11,-0.24364, 0.44160, 0.12595, 0.85426,328.16, 54.67, 0.00,0.69, 0.53, 0.49,0.58, 0.00, -0.82,-0.43, 0.85, -0.31,TrackingSpace,0.9980469,0.04, 1.27, -0.16,-0.24590, 0.42465, 0.12101, 0.86288,328.19, 52.41, 0.00,0.67, 0.53, 0.52,0.61, 0.00, -0.79,-0.42, 0.85, -0.32,TrackingSpace,0.9980469,1.21, 3.10, 1.94,-0.13247, 0.48878, 0.05055, 0.86081
06/26/2023 21:47:38.965992,8,start,0.01, 1.28, -0.11,-0.13052, 0.48857, 0.04929, 0.86130,0.04, 1.27, -0.16,-0.13052, 0.48857, 0.04929, 0.86130,0.02, 1.27, -0.14,-0.13052, 0.48857, 0.04929, 0.86130,0.01, 1.27, -0.11,-0.24103, 0.44134, 0.12436, 0.85537,328.53, 54.58, 0.00,0.70, 0.52, 0.49,0.58, 0.00, -0.81,-0.43, 0.85, -0.30,TrackingSpace,0.9980469,0.04, 1.27, -0.16,-0.24326, 0.42433, 0.11947, 0.86400,328.55, 52.31, 0.00,0.68, 0.52, 0.52,0.61, 0.00, -0.79,-0.41, 0.85, -0.32,TrackingSpace,0.9980469,1.21, 3.10, 1.95,-0.13138, 0.48866, 0.04985, 0.86109
06/26/2023 21:47:38.980309,9,start,0.01, 1.28, -0.11,-0.13062, 0.48862, 0.04894, 0.86127,0.04, 1.27, -0.16,-0.13062, 0.48862, 0.04894, 0.86127,0.02, 1.27, -0.14,-0.13062, 0.48862, 0.04894, 0.86127,0.01, 1.27, -0.11,-0.24103, 0.44134, 0.12436, 0.85537,328.53, 54.58, 0.00,0.70, 0.52, 0.49,0.58, 0.00, -0.81,-0.43, 0.85, -0.30,TrackingSpace,0.9980469,0.04, 1.27, -0.16,-0.24326, 0.42433, 0.11947, 0.86400,328.55, 52.31, 0.00,0.68, 0.52, 0.52,0.61, 0.00, -0.79,-0.41, 0.85, -0.32,TrackingSpace,0.9980469,1.21, 3.09, 1.95,-0.13058, 0.48862, 0.04928, 0.86126
