,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Cosine Similarity,Euclidean Error
0,07/20/2023 14:39:49.779325,217,moving,-0.65,1.52,0.51,-0.04368,-0.71978,-0.04159,0.69157,-0.66,1.52,0.57,-0.04368,-0.71978,-0.04159,0.69157,-0.65,1.52,0.54,-0.04368,-0.71978,-0.04159,0.69157,-0.65,1.52,0.51,0.12034,0.8356,0.20265,-0.49621,332.74,241.41,0.0,-0.78,0.46,-0.43,-0.48,0.0,0.88,0.4,0.89,0.22,TrackingSpace,0.9980469,-0.66,1.52,0.57,0.11834,0.83911,0.20229,-0.49089,332.89,240.66,0.0,-0.78,0.46,-0.44,-0.49,0.0,0.87,0.4,0.89,0.22,TrackingSpace,0.9980469,-3.25,3.02,-0.87,-0.04389,-0.72002,-0.04134,0.69133,-5.657748780492957,4.470339024393282,-2.2500182926858,1.0,0.0,2.6,-1.5,1.4100000000000001,5.002748780492957,-2.950339024393282,2.7900182926858,0.701819710787897,0.6983944225310176
1,07/20/2023 14:39:49.793242,218,moving,-0.65,1.52,0.51,-0.0435,-0.71965,-0.04174,0.69171,-0.66,1.52,0.57,-0.0435,-0.71965,-0.04174,0.69171,-0.65,1.52,0.54,-0.0435,-0.71965,-0.04174,0.69171,-0.65,1.52,0.51,0.12049,0.83539,0.20274,-0.4965,332.72,241.45,0.0,-0.78,0.46,-0.42,-0.48,0.0,0.88,0.4,0.89,0.22,TrackingSpace,0.9980469,-0.66,1.52,0.57,0.11849,0.83889,0.20237,-0.49119,332.87,240.7,0.0,-0.78,0.46,-0.44,-0.49,0.0,0.87,0.4,0.89,0.22,TrackingSpace,0.9980469,-3.25,3.01,-0.86,-0.04366,-0.7198,-0.04159,0.69156,-3.1545195121977008,2.994075609757618,-0.8379878048794704,1.0,0.0,2.6,-1.4899999999999998,1.4,2.4995195121977005,-1.4740756097576182,1.3779878048794705,0.7394807618947745,0.5856977953557966
2,07/20/2023 14:39:49.807086,219,moving,-0.65,1.52,0.51,-0.04338,-0.71963,-0.0418,0.69174,-0.66,1.52,0.57,-0.04338,-0.71963,-0.0418,0.69174,-0.66,1.52,0.54,-0.04338,-0.71963,-0.0418,0.69174,-0.65,1.52,0.51,0.12049,0.83539,0.20274,-0.4965,332.72,241.45,0.0,-0.78,0.46,-0.42,-0.48,0.0,0.88,0.4,0.89,0.22,TrackingSpace,0.9980469,-0.66,1.52,0.57,0.11849,0.83889,0.20237,-0.49119,332.87,240.7,0.0,-0.78,0.46,-0.44,-0.49,0.0,0.87,0.4,0.89,0.22,TrackingSpace,0.9980469,-3.25,3.0,-0.85,-0.04354,-0.7197,-0.04171,0.69166,-3.1545195121977008,2.994075609757618,-0.8379878048794704,1.0,0.0,2.59,-1.48,1.3900000000000001,2.4995195121977005,-1.4740756097576182,1.3779878048794705,0.8239026056847717,0.660082755886232
3,07/20/2023 14:39:49.820823,220,moving,-0.65,1.52,0.51,-0.0432,-0.71957,-0.04187,0.69181,-0.66,1.52,0.57,-0.0432,-0.71957,-0.04187,0.69181,-0.66,1.52,0.54,-0.0432,-0.71957,-0.04187,0.69181,-0.65,1.52,0.51,0.12049,0.83539,0.20274,-0.4965,332.72,241.45,0.0,-0.78,0.46,-0.42,-0.48,0.0,0.88,0.4,0.89,0.22,TrackingSpace,0.9980469,-0.66,1.52,0.57,0.11849,0.83889,0.20237,-0.49119,332.87,240.7,0.0,-0.78,0.46,-0.44,-0.49,0.0,0.87,0.4,0.89,0.22,TrackingSpace,0.9980469,-3.25,3.0,-0.84,-0.04338,-0.71965,-0.04179,0.69172,-3.1545195121977008,2.994075609757618,-0.8379878048794704,1.0,0.0,2.59,-1.48,1.38,2.4995195121977005,-1.4740756097576182,1.3779878048794705,0.9145686487465181,0.8217204583413208
4,07/20/2023 14:39:49.834459,221,moving,-0.65,1.52,0.51,-0.04304,-0.71955,-0.04192,0.69184,-0.66,1.52,0.57,-0.04304,-0.71955,-0.04192,0.69184,-0.66,1.52,0.54,-0.04304,-0.71955,-0.04192,0.69184,-0.65,1.52,0.51,0.12215,0.83435,0.20513,-0.49684,332.37,241.55,0.0,-0.78,0.46,-0.42,-0.48,0.0,0.88,0.41,0.89,0.22,TrackingSpace,0.9980469,-0.66,1.52,0.57,0.12013,0.83788,0.20478,-0.49153,332.53,240.79,0.0,-0.77,0.46,-0.43,-0.49,0.0,0.87,0.4,0.89,0.23,TrackingSpace,0.9980469,-3.26,2.99,-0.83,-0.0432,-0.71957,-0.04187,0.69181,-3.804329111207182,3.389231429798586,-1.1869267926152158,1.0,0.0,2.5999999999999996,-1.4700000000000002,1.37,3.149329111207182,-1.8692314297985861,1.7269267926152159,1.251121405763639,0.9844037332757716
5,07/20/2023 14:39:49.848513,222,moving,-0.65,1.52,0.51,-0.0429,-0.71962,-0.0421,0.69177,-0.66,1.52,0.57,-0.0429,-0.71962,-0.0421,0.69177,-0.66,1.52,0.54,-0.0429,-0.71962,-0.0421,0.69177,-0.65,1.52,0.51,0.12215,0.83435,0.20513,-0.49684,332.37,241.55,0.0,-0.78,0.46,-0.42,-0.48,0.0,0.88,0.41,0.89,0.22,TrackingSpace,0.9980469,-0.66,1.52,0.57,0.12013,0.83788,0.20478,-0.49153,332.53,240.79,0.0,-0.77,0.46,-0.43,-0.49,0.0,0.87,0.4,0.89,0.23,TrackingSpace,0.9980469,-3.26,2.98,-0.82,-0.04305,-0.71956,-0.04193,0.69182,-3.804329111207182,3.389231429798586,-1.1869267926152158,1.0,0.0,2.5999999999999996,-1.46,1.3599999999999999,3.149329111207182,-1.8692314297985861,1.7269267926152159,1.444370459661507,1.1493408947714545
6,07/20/2023 14:39:49.862668,223,moving,-0.66,1.52,0.51,-0.04272,-0.71966,-0.04217,0.69173,-0.66,1.52,0.57,-0.04272,-0.71966,-0.04217,0.69173,-0.66,1.52,0.54,-0.04272,-0.71966,-0.04217,0.69173,-0.65,1.52,0.51,-0.12434,-0.83122,-0.20628,0.50106,332.13,242.16,0.0,-0.78,0.47,-0.41,-0.47,0.0,0.88,0.41,0.88,0.22,TrackingSpace,0.9980469,-0.66,1.52,0.58,0.12231,0.83479,0.20596,-0.49572,332.28,241.41,0.0,-0.78,0.47,-0.42,-0.48,0.0,0.88,0.41,0.89,0.22,TrackingSpace,0.9980469,-3.26,2.98,-0.82,-0.04291,-0.71961,-0.0421,0.69177,-6.419456770783395,4.99345472085666,-2.5220101290313233,1.0,0.0,2.5999999999999996,-1.46,1.3599999999999999,5.7644567707833945,-3.4734547208566604,3.067010129031323,1.5976642618189267,1.5772499759585472
7,07/20/2023 14:39:49.876577,224,moving,-0.66,1.52,0.51,-0.04249,-0.71966,-0.04223,0.69174,-0.66,1.52,0.57,-0.04249,-0.71966,-0.04223,0.69174,-0.66,1.52,0.54,-0.04249,-0.71966,-0.04223,0.69174,-0.65,1.52,0.51,-0.12434,-0.83122,-0.20628,0.50106,332.13,242.16,0.0,-0.78,0.47,-0.41,-0.47,0.0,0.88,0.41,0.88,0.22,TrackingSpace,0.9980469,-0.66,1.52,0.58,0.12231,0.83479,0.20596,-0.49572,332.28,241.41,0.0,-0.78,0.47,-0.42,-0.48,0.0,0.88,0.41,0.89,0.22,TrackingSpace,0.9980469,-3.26,2.97,-0.81,-0.04269,-0.71962,-0.04216,0.69177,-6.419456770783395,4.99345472085666,-2.5220101290313233,1.0,0.0,2.5999999999999996,-1.4500000000000002,1.35,5.7644567707833945,-3.4734547208566604,3.067010129031323,1.754347125409431,1.616549047834904
8,07/20/2023 14:39:49.890661,225,moving,-0.66,1.52,0.51,-0.04231,-0.71971,-0.0421,0.69171,-0.66,1.52,0.57,-0.04231,-0.71971,-0.0421,0.69171,-0.66,1.52,0.54,-0.04231,-0.71971,-0.0421,0.69171,-0.65,1.52,0.51,-0.12434,-0.83122,-0.20628,0.50106,332.13,242.16,0.0,-0.78,0.47,-0.41,-0.47,0.0,0.88,0.41,0.88,0.22,TrackingSpace,0.9980469,-0.66,1.52,0.58,0.12231,0.83479,0.20596,-0.49572,332.28,241.41,0.0,-0.78,0.47,-0.42,-0.48,0.0,0.88,0.41,0.89,0.22,TrackingSpace,0.9980469,-3.26,2.97,-0.8,-0.04249,-0.71966,-0.04223,0.69174,-6.419456770783395,4.99345472085666,-2.5220101290313233,1.0,0.0,2.5999999999999996,-1.4500000000000002,1.34,5.7644567707833945,-3.4734547208566604,3.067010129031323,1.772331464795523,1.4990226085402576
9,07/20/2023 14:39:49.904393,226,moving,-0.66,1.52,0.51,-0.04204,-0.71969,-0.04207,0.69175,-0.66,1.52,0.57,-0.04204,-0.71969,-0.04207,0.69175,-0.66,1.52,0.54,-0.04204,-0.71969,-0.04207,0.69175,-0.66,1.52,0.51,-0.1247,-0.83056,-0.20629,0.50206,332.1,242.31,0.0,-0.78,0.47,-0.41,-0.46,0.0,0.89,0.41,0.88,0.22,TrackingSpace,0.9980469,-0.66,1.52,0.58,0.12267,0.83414,0.20599,-0.49672,332.26,241.55,0.0,-0.78,0.47,-0.42,-0.48,0.0,0.88,0.41,0.89,0.22,TrackingSpace,0.9980469,-3.26,2.96,-0.79,-0.04233,-0.7197,-0.04213,0.69171,-6.12000000001218,4.810000000007339,-2.3600000000064805,1.0,0.0,2.5999999999999996,-1.44,1.33,5.4600000000121796,-3.2900000000073386,2.9050000000064804,1.9462926450658322,1.5802291807164175
