Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/20/2023 14:49:32.816346,0,start,0.68, 1.52, -0.39,-0.02588, 0.01471, -0.00638, 0.99954,0.74, 1.52, -0.39,-0.02588, 0.01471, -0.00638, 0.99954,0.71, 1.52, -0.39,-0.02588, 0.01471, -0.00638, 0.99954,0.68, 1.52, -0.39,-0.02134, -0.01974, -0.00042, 0.99958,357.55, 357.74, 0.00,-0.04, 0.04, 1.00,1.00, 0.00, 0.04,0.00, 1.00, -0.04,TrackingSpace,0.9980469,0.74, 1.52, -0.39,-0.02155, -0.03856, -0.00083, 0.99902,357.53, 355.58, 0.00,-0.08, 0.04, 1.00,1.00, 0.00, 0.08,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.49, 2.86, 2.39,-0.02588, 0.01485, -0.00666, 0.99953
07/20/2023 14:49:32.830818,1,start,0.68, 1.52, -0.39,-0.02605, 0.01466, -0.00630, 0.99953,0.74, 1.52, -0.39,-0.02605, 0.01466, -0.00630, 0.99953,0.71, 1.52, -0.39,-0.02605, 0.01466, -0.00630, 0.99953,0.68, 1.52, -0.39,-0.02134, -0.01974, -0.00042, 0.99958,357.55, 357.74, 0.00,-0.04, 0.04, 1.00,1.00, 0.00, 0.04,0.00, 1.00, -0.04,TrackingSpace,0.9980469,0.74, 1.52, -0.39,-0.02155, -0.03856, -0.00083, 0.99902,357.53, 355.58, 0.00,-0.08, 0.04, 1.00,1.00, 0.00, 0.08,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.49, 2.86, 2.39,-0.02589, 0.01473, -0.00643, 0.99954
07/20/2023 14:49:32.844379,2,start,0.68, 1.52, -0.39,-0.02611, 0.01456, -0.00609, 0.99953,0.74, 1.52, -0.39,-0.02611, 0.01456, -0.00609, 0.99953,0.71, 1.52, -0.39,-0.02611, 0.01456, -0.00609, 0.99953,0.68, 1.52, -0.39,-0.02081, -0.02422, -0.00050, 0.99949,357.61, 357.22, 0.00,-0.05, 0.04, 1.00,1.00, 0.00, 0.05,0.00, 1.00, -0.04,TrackingSpace,0.9980469,0.74, 1.52, -0.39,-0.02101, -0.04485, -0.00094, 0.99877,357.59, 354.86, 0.00,-0.09, 0.04, 1.00,1.00, 0.00, 0.09,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.49, 2.86, 2.39,-0.02606, 0.01465, -0.00631, 0.99953
07/20/2023 14:49:32.858866,3,start,0.68, 1.52, -0.39,-0.02614, 0.01453, -0.00582, 0.99954,0.74, 1.52, -0.39,-0.02614, 0.01453, -0.00582, 0.99954,0.71, 1.52, -0.39,-0.02614, 0.01453, -0.00582, 0.99954,0.68, 1.52, -0.39,-0.02081, -0.02422, -0.00050, 0.99949,357.61, 357.22, 0.00,-0.05, 0.04, 1.00,1.00, 0.00, 0.05,0.00, 1.00, -0.04,TrackingSpace,0.9980469,0.74, 1.52, -0.39,-0.02101, -0.04485, -0.00094, 0.99877,357.59, 354.86, 0.00,-0.09, 0.04, 1.00,1.00, 0.00, 0.09,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.49, 2.86, 2.39,-0.02612, 0.01457, -0.00609, 0.99953
07/20/2023 14:49:32.873024,4,start,0.68, 1.52, -0.39,-0.02608, 0.01442, -0.00546, 0.99954,0.74, 1.52, -0.39,-0.02608, 0.01442, -0.00546, 0.99954,0.71, 1.52, -0.39,-0.02608, 0.01442, -0.00546, 0.99954,0.68, 1.52, -0.39,-0.01931, -0.02447, -0.00047, 0.99951,357.79, 357.19, 0.00,-0.05, 0.04, 1.00,1.00, 0.00, 0.05,0.00, 1.00, -0.04,TrackingSpace,0.9980469,0.74, 1.52, -0.39,-0.01951, -0.04616, -0.00090, 0.99874,357.76, 354.71, 0.00,-0.09, 0.04, 0.99,1.00, 0.00, 0.09,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.49, 2.86, 2.39,-0.02615, 0.01452, -0.00579, 0.99954
07/20/2023 14:49:32.887453,5,start,0.68, 1.52, -0.39,-0.02587, 0.01438, -0.00512, 0.99955,0.74, 1.52, -0.39,-0.02587, 0.01438, -0.00512, 0.99955,0.71, 1.52, -0.39,-0.02587, 0.01438, -0.00512, 0.99955,0.68, 1.52, -0.39,-0.01931, -0.02447, -0.00047, 0.99951,357.79, 357.19, 0.00,-0.05, 0.04, 1.00,1.00, 0.00, 0.05,0.00, 1.00, -0.04,TrackingSpace,0.9980469,0.74, 1.52, -0.39,-0.01951, -0.04616, -0.00090, 0.99874,357.76, 354.71, 0.00,-0.09, 0.04, 0.99,1.00, 0.00, 0.09,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.49, 2.86, 2.39,-0.02610, 0.01444, -0.00547, 0.99954
07/20/2023 14:49:32.901396,6,start,0.68, 1.52, -0.39,-0.02555, 0.01439, -0.00486, 0.99956,0.74, 1.52, -0.39,-0.02555, 0.01439, -0.00486, 0.99956,0.71, 1.52, -0.39,-0.02555, 0.01439, -0.00486, 0.99956,0.68, 1.52, -0.39,-0.01925, -0.02247, -0.00043, 0.99956,357.79, 357.42, 0.00,-0.04, 0.04, 1.00,1.00, 0.00, 0.04,0.00, 1.00, -0.04,TrackingSpace,0.9980469,0.74, 1.52, -0.39,-0.01943, -0.04529, -0.00088, 0.99878,357.77, 354.81, 0.00,-0.09, 0.04, 1.00,1.00, 0.00, 0.09,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.49, 2.86, 2.39,-0.02585, 0.01441, -0.00511, 0.99955
07/20/2023 14:49:32.915741,7,start,0.68, 1.52, -0.39,-0.02521, 0.01434, -0.00459, 0.99957,0.74, 1.52, -0.39,-0.02521, 0.01434, -0.00459, 0.99957,0.71, 1.52, -0.39,-0.02521, 0.01434, -0.00459, 0.99957,0.68, 1.52, -0.39,-0.01925, -0.02247, -0.00043, 0.99956,357.79, 357.42, 0.00,-0.04, 0.04, 1.00,1.00, 0.00, 0.04,0.00, 1.00, -0.04,TrackingSpace,0.9980469,0.74, 1.52, -0.39,-0.01943, -0.04529, -0.00088, 0.99878,357.77, 354.81, 0.00,-0.09, 0.04, 1.00,1.00, 0.00, 0.09,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.49, 2.85, 2.39,-0.02553, 0.01440, -0.00488, 0.99956
07/20/2023 14:49:32.929711,8,start,0.68, 1.52, -0.39,-0.02495, 0.01434, -0.00437, 0.99958,0.74, 1.52, -0.39,-0.02495, 0.01434, -0.00437, 0.99958,0.71, 1.52, -0.39,-0.02495, 0.01434, -0.00437, 0.99958,0.68, 1.52, -0.39,-0.01925, -0.02247, -0.00043, 0.99956,357.79, 357.42, 0.00,-0.04, 0.04, 1.00,1.00, 0.00, 0.04,0.00, 1.00, -0.04,TrackingSpace,0.9980469,0.74, 1.52, -0.39,-0.01943, -0.04529, -0.00088, 0.99878,357.77, 354.81, 0.00,-0.09, 0.04, 1.00,1.00, 0.00, 0.09,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.50, 2.85, 2.40,-0.02521, 0.01436, -0.00459, 0.99957
07/20/2023 14:49:32.943263,9,start,0.68, 1.52, -0.39,-0.02476, 0.01437, -0.00428, 0.99958,0.74, 1.52, -0.39,-0.02476, 0.01437, -0.00428, 0.99958,0.71, 1.52, -0.39,-0.02476, 0.01437, -0.00428, 0.99958,0.68, 1.52, -0.39,-0.02291, -0.02254, -0.00052, 0.99948,357.37, 357.42, 0.00,-0.05, 0.05, 1.00,1.00, 0.00, 0.05,0.00, 1.00, -0.05,TrackingSpace,0.9980469,0.74, 1.52, -0.39,-0.02302, -0.04205, -0.00097, 0.99885,357.36, 355.18, 0.00,-0.08, 0.05, 1.00,1.00, 0.00, 0.08,0.00, 1.00, -0.05,TrackingSpace,0.9980469,-0.50, 2.85, 2.40,-0.02495, 0.01435, -0.00437, 0.99958
