,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Cosine Similarity,Euclidean Error
0,07/20/2023 14:52:45.164955,217,moving,0.58,1.5,1.52,-0.02867,-0.47578,-0.01747,0.87892,0.61,1.5,1.57,-0.02867,-0.47578,-0.01747,0.87892,0.59,1.5,1.55,-0.02867,-0.47578,-0.01747,0.87892,0.6,1.5,1.48,-0.16603,-0.60987,-0.13263,0.76348,335.46,282.76,0.0,-0.89,0.42,0.2,0.22,0.0,0.98,0.41,0.91,-0.09,TrackingSpace,0.9980469,0.64,1.5,1.53,-0.16441,-0.61497,-0.1331,0.75964,335.58,282.02,0.0,-0.89,0.41,0.19,0.21,0.0,0.98,0.4,0.91,-0.09,TrackingSpace,0.9980469,-2.38,2.86,1.99,-0.02626,-0.47079,-0.01843,0.88166,-2.971727306139914,3.174920066153299,2.292077361264781,1.0,0.0,2.9699999999999998,-1.3599999999999999,-0.43999999999999995,3.591727306139914,-1.674920066153299,-0.7870773612647812,3.5830163509227506,8.241011656092148
1,07/20/2023 14:52:45.179020,218,moving,0.57,1.5,1.53,-0.03107,-0.48048,-0.0169,0.87629,0.61,1.5,1.58,-0.03107,-0.48048,-0.0169,0.87629,0.59,1.5,1.56,-0.03107,-0.48048,-0.0169,0.87629,0.59,1.5,1.5,-0.16169,-0.62119,-0.13301,0.75517,335.83,281.12,0.0,-0.9,0.41,0.18,0.19,0.0,0.98,0.4,0.91,-0.08,TrackingSpace,0.9980469,0.62,1.5,1.55,-0.16007,-0.62622,-0.13342,0.75128,335.94,280.37,0.0,-0.9,0.41,0.16,0.18,0.0,0.98,0.4,0.91,-0.07,TrackingSpace,0.9980469,-2.39,2.86,1.96,-0.02902,-0.47568,-0.0177,0.87896,-1.8561747265097912,2.62120181985446,1.9900265821489151,1.0,0.0,2.98,-1.3599999999999999,-0.3999999999999999,2.461174726509791,-1.12120181985446,-0.46502658214891524,2.7944493713488483,6.8552085244541985
2,07/20/2023 14:52:45.192440,219,moving,0.57,1.5,1.54,-0.0327,-0.48528,-0.0158,0.87361,0.6,1.5,1.59,-0.0327,-0.48528,-0.0158,0.87361,0.58,1.5,1.56,-0.0327,-0.48528,-0.0158,0.87361,0.59,1.5,1.5,-0.16169,-0.62119,-0.13301,0.75517,335.83,281.12,0.0,-0.9,0.41,0.18,0.19,0.0,0.98,0.4,0.91,-0.08,TrackingSpace,0.9980469,0.62,1.5,1.55,-0.16007,-0.62622,-0.13342,0.75128,335.94,280.37,0.0,-0.9,0.41,0.16,0.18,0.0,0.98,0.4,0.91,-0.07,TrackingSpace,0.9980469,-2.39,2.86,1.94,-0.03107,-0.48045,-0.01691,0.87631,-1.8561747265097912,2.62120181985446,1.9900265821489151,1.0,0.0,2.97,-1.3599999999999999,-0.3799999999999999,2.461174726509791,-1.12120181985446,-0.46502658214891524,3.122819349136632,7.7099296983019725
3,07/20/2023 14:52:45.206469,220,moving,0.56,1.51,1.55,-0.03372,-0.48988,-0.01537,0.871,0.6,1.51,1.6,-0.03372,-0.48988,-0.01537,0.871,0.58,1.51,1.57,-0.03372,-0.48988,-0.01537,0.871,0.58,1.5,1.52,-0.16322,-0.62764,-0.13681,0.74881,335.41,280.06,0.0,-0.9,0.42,0.16,0.17,0.0,0.98,0.41,0.91,-0.07,TrackingSpace,0.9980469,0.61,1.5,1.57,-0.16154,-0.63267,-0.13721,0.74485,335.53,279.31,0.0,-0.9,0.41,0.15,0.16,0.0,0.99,0.41,0.91,-0.07,TrackingSpace,0.9980469,-2.4,2.85,1.92,-0.03265,-0.48525,-0.01582,0.87362,-2.6733396539466385,3.0071669826974166,2.1079799715572767,1.0,0.0,2.98,-1.34,-0.34999999999999987,3.2683396539466383,-1.5071669826974166,-0.5629799715572767,2.8281783461388508,6.603654480990148
4,07/20/2023 14:52:45.220463,221,moving,0.56,1.51,1.55,-0.03382,-0.49429,-0.01586,0.8685,0.59,1.51,1.61,-0.03382,-0.49429,-0.01586,0.8685,0.57,1.51,1.58,-0.03382,-0.49429,-0.01586,0.8685,0.58,1.5,1.52,-0.16322,-0.62764,-0.13681,0.74881,335.41,280.06,0.0,-0.9,0.42,0.16,0.17,0.0,0.98,0.41,0.91,-0.07,TrackingSpace,0.9980469,0.61,1.5,1.57,-0.16154,-0.63267,-0.13721,0.74485,335.53,279.31,0.0,-0.9,0.41,0.15,0.16,0.0,0.99,0.41,0.91,-0.07,TrackingSpace,0.9980469,-2.4,2.85,1.9,-0.03364,-0.48986,-0.01543,0.87102,-2.6733396539466385,3.0071669826974166,2.1079799715572767,1.0,0.0,2.9699999999999998,-1.34,-0.31999999999999984,3.2683396539466383,-1.5071669826974166,-0.5629799715572767,3.314502679572326,7.928100186487727
5,07/20/2023 14:52:45.234207,222,moving,0.55,1.51,1.56,-0.03428,-0.49891,-0.01644,0.86582,0.58,1.51,1.61,-0.03428,-0.49891,-0.01644,0.86582,0.57,1.51,1.59,-0.03428,-0.49891,-0.01644,0.86582,0.58,1.5,1.52,-0.16322,-0.62764,-0.13681,0.74881,335.41,280.06,0.0,-0.9,0.42,0.16,0.17,0.0,0.98,0.41,0.91,-0.07,TrackingSpace,0.9980469,0.61,1.5,1.57,-0.16154,-0.63267,-0.13721,0.74485,335.53,279.31,0.0,-0.9,0.41,0.15,0.16,0.0,0.99,0.41,0.91,-0.07,TrackingSpace,0.9980469,-2.41,2.85,1.88,-0.03375,-0.49427,-0.01589,0.86851,-2.6733396539466385,3.0071669826974166,2.1079799715572767,1.0,0.0,2.98,-1.34,-0.2899999999999998,3.2683396539466383,-1.5071669826974166,-0.5629799715572767,3.8563349619590124,9.283096379874385
6,07/20/2023 14:52:45.248244,223,moving,0.55,1.51,1.57,-0.03546,-0.50359,-0.01732,0.86304,0.58,1.51,1.62,-0.03546,-0.50359,-0.01732,0.86304,0.56,1.51,1.6,-0.03546,-0.50359,-0.01732,0.86304,0.57,1.5,1.54,-0.16375,-0.63707,-0.14099,0.7399,335.04,278.54,0.0,-0.9,0.42,0.13,0.15,0.0,0.99,0.42,0.91,-0.06,TrackingSpace,0.9980469,0.6,1.5,1.59,-0.16201,-0.64207,-0.14135,0.73588,335.17,277.79,0.0,-0.9,0.42,0.12,0.14,0.0,0.99,0.42,0.91,-0.06,TrackingSpace,0.9980469,-2.41,2.85,1.86,-0.03428,-0.4989,-0.01657,0.86582,-4.222937956191673,3.7437043795561142,2.232837591239111,1.0,0.0,2.97,-1.34,-0.26,4.807937956191673,-2.2437043795561142,-0.667837591239111,2.7117219100818266,6.304141539212999
7,07/20/2023 14:52:45.262261,224,moving,0.54,1.51,1.58,-0.03729,-0.50839,-0.01763,0.86014,0.57,1.51,1.63,-0.03729,-0.50839,-0.01763,0.86014,0.56,1.51,1.6,-0.03729,-0.50839,-0.01763,0.86014,0.57,1.5,1.54,-0.16375,-0.63707,-0.14099,0.7399,335.04,278.54,0.0,-0.9,0.42,0.13,0.15,0.0,0.99,0.42,0.91,-0.06,TrackingSpace,0.9980469,0.6,1.5,1.59,-0.16201,-0.64207,-0.14135,0.73588,335.17,277.79,0.0,-0.9,0.42,0.12,0.14,0.0,0.99,0.42,0.91,-0.06,TrackingSpace,0.9980469,-2.41,2.85,1.84,-0.0355,-0.50359,-0.01734,0.86304,-4.222937956191673,3.7437043795561142,2.232837591239111,1.0,0.0,2.97,-1.34,-0.24,4.807937956191673,-2.2437043795561142,-0.667837591239111,3.049977413712706,7.214214598325421
8,07/20/2023 14:52:45.276264,225,moving,0.54,1.51,1.58,-0.03839,-0.51305,-0.01753,0.85732,0.57,1.52,1.64,-0.03839,-0.51305,-0.01753,0.85732,0.55,1.51,1.61,-0.03839,-0.51305,-0.01753,0.85732,0.55,1.51,1.56,-0.16269,-0.64721,-0.14411,0.73067,334.9,276.93,0.0,-0.9,0.42,0.11,0.12,0.0,0.99,0.42,0.91,-0.05,TrackingSpace,0.9980469,0.59,1.51,1.61,-0.16091,-0.65216,-0.14443,0.72659,335.03,276.18,0.0,-0.9,0.42,0.1,0.11,0.0,0.99,0.42,0.91,-0.05,TrackingSpace,0.9980469,-2.42,2.85,1.82,-0.03729,-0.50839,-0.01763,0.86014,-4.2748905109470146,3.7709489051086065,2.150328467153064,1.0,0.0,2.9699999999999998,-1.34,-0.20999999999999996,4.844890510947015,-2.2609489051086067,-0.5653284671530638,2.459225294319223,5.757728250215517
9,07/20/2023 14:52:45.289946,226,moving,0.53,1.52,1.59,-0.03918,-0.51772,-0.01731,0.85448,0.56,1.52,1.65,-0.03918,-0.51772,-0.01731,0.85448,0.55,1.52,1.62,-0.03918,-0.51772,-0.01731,0.85448,0.55,1.51,1.56,-0.16269,-0.64721,-0.14411,0.73067,334.9,276.93,0.0,-0.9,0.42,0.11,0.12,0.0,0.99,0.42,0.91,-0.05,TrackingSpace,0.9980469,0.59,1.51,1.61,-0.16091,-0.65216,-0.14443,0.72659,335.03,276.18,0.0,-0.9,0.42,0.1,0.11,0.0,0.99,0.42,0.91,-0.05,TrackingSpace,0.9980469,-2.42,2.85,1.8,-0.03833,-0.51306,-0.01746,0.85732,-4.2748905109470146,3.7709489051086065,2.150328467153064,1.0,0.0,2.9699999999999998,-1.33,-0.17999999999999994,4.844890510947015,-2.2609489051086067,-0.5653284671530638,3.0049427333794108,7.08797236471521
