Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/29/2023 23:02:33.766516,0,start,0.32, 1.24, -0.01,-0.00488, -0.01052, -0.00563, 0.99992,0.39, 1.24, -0.01,-0.00488, -0.01052, -0.00563, 0.99992,0.36, 1.24, -0.01,-0.00488, -0.01052, -0.00563, 0.99992,0.33, 1.24, -0.01,-0.18218, -0.21771, -0.04140, 0.95796,338.46, 334.39, 0.00,-0.40, 0.37, 0.84,0.90, 0.00, 0.43,0.16, 0.93, -0.33,TrackingSpace,0.9980469,0.39, 1.24, -0.01,-0.18103, -0.22383, -0.04235, 0.95673,338.57, 333.67, 0.00,-0.41, 0.37, 0.83,0.90, 0.00, 0.44,0.16, 0.93, -0.33,TrackingSpace,0.9980469,-0.25, 1.69, 1.30,-0.00489, -0.01037, -0.00564, 0.99992
07/29/2023 23:02:33.780886,1,start,0.32, 1.24, -0.01,-0.00485, -0.01058, -0.00567, 0.99992,0.39, 1.24, -0.01,-0.00485, -0.01058, -0.00567, 0.99992,0.36, 1.24, -0.01,-0.00485, -0.01058, -0.00567, 0.99992,0.33, 1.24, -0.01,-0.18008, -0.21748, -0.04086, 0.95844,338.72, 334.43, 0.00,-0.40, 0.36, 0.84,0.90, 0.00, 0.43,0.16, 0.93, -0.33,TrackingSpace,0.9980469,0.39, 1.24, -0.01,-0.17894, -0.22359, -0.04180, 0.95721,338.82, 333.70, 0.00,-0.41, 0.36, 0.84,0.90, 0.00, 0.44,0.16, 0.93, -0.32,TrackingSpace,0.9980469,-0.25, 1.69, 1.30,-0.00488, -0.01057, -0.00567, 0.99992
07/29/2023 23:02:33.795045,2,start,0.32, 1.24, -0.01,-0.00488, -0.01060, -0.00563, 0.99992,0.39, 1.24, -0.01,-0.00488, -0.01060, -0.00563, 0.99992,0.36, 1.24, -0.01,-0.00488, -0.01060, -0.00563, 0.99992,0.33, 1.24, -0.01,-0.18008, -0.21748, -0.04086, 0.95844,338.72, 334.43, 0.00,-0.40, 0.36, 0.84,0.90, 0.00, 0.43,0.16, 0.93, -0.33,TrackingSpace,0.9980469,0.39, 1.24, -0.01,-0.17894, -0.22359, -0.04180, 0.95721,338.82, 333.70, 0.00,-0.41, 0.36, 0.84,0.90, 0.00, 0.44,0.16, 0.93, -0.32,TrackingSpace,0.9980469,-0.25, 1.69, 1.30,-0.00490, -0.01057, -0.00564, 0.99992
07/29/2023 23:02:33.808998,3,start,0.32, 1.24, -0.01,-0.00486, -0.01064, -0.00564, 0.99992,0.39, 1.24, -0.01,-0.00486, -0.01064, -0.00564, 0.99992,0.36, 1.24, -0.01,-0.00486, -0.01064, -0.00564, 0.99992,0.33, 1.24, -0.01,-0.18009, -0.21624, -0.04062, 0.95873,338.72, 334.58, 0.00,-0.40, 0.36, 0.84,0.90, 0.00, 0.43,0.16, 0.93, -0.33,TrackingSpace,0.9980469,0.39, 1.24, -0.01,-0.17896, -0.22235, -0.04156, 0.95750,338.83, 333.85, 0.00,-0.41, 0.36, 0.84,0.90, 0.00, 0.44,0.16, 0.93, -0.32,TrackingSpace,0.9980469,-0.25, 1.69, 1.30,-0.00488, -0.01061, -0.00563, 0.99992
07/29/2023 23:02:33.823479,4,start,0.32, 1.24, -0.01,-0.00488, -0.01062, -0.00565, 0.99992,0.39, 1.24, -0.01,-0.00488, -0.01062, -0.00565, 0.99992,0.36, 1.24, -0.01,-0.00488, -0.01062, -0.00565, 0.99992,0.33, 1.24, -0.01,-0.18009, -0.21624, -0.04062, 0.95873,338.72, 334.58, 0.00,-0.40, 0.36, 0.84,0.90, 0.00, 0.43,0.16, 0.93, -0.33,TrackingSpace,0.9980469,0.39, 1.24, -0.01,-0.17896, -0.22235, -0.04156, 0.95750,338.83, 333.85, 0.00,-0.41, 0.36, 0.84,0.90, 0.00, 0.44,0.16, 0.93, -0.32,TrackingSpace,0.9980469,-0.25, 1.69, 1.30,-0.00485, -0.01066, -0.00565, 0.99992
07/29/2023 23:02:33.837730,5,start,0.32, 1.24, -0.01,-0.00479, -0.01067, -0.00567, 0.99992,0.39, 1.24, -0.01,-0.00479, -0.01067, -0.00567, 0.99992,0.36, 1.24, -0.01,-0.00479, -0.01067, -0.00567, 0.99992,0.33, 1.24, -0.01,-0.18009, -0.21624, -0.04062, 0.95873,338.72, 334.58, 0.00,-0.40, 0.36, 0.84,0.90, 0.00, 0.43,0.16, 0.93, -0.33,TrackingSpace,0.9980469,0.39, 1.24, -0.01,-0.17896, -0.22235, -0.04156, 0.95750,338.83, 333.85, 0.00,-0.41, 0.36, 0.84,0.90, 0.00, 0.44,0.16, 0.93, -0.32,TrackingSpace,0.9980469,-0.25, 1.69, 1.30,-0.00490, -0.01062, -0.00562, 0.99992
07/29/2023 23:02:33.852014,6,start,0.32, 1.24, -0.01,-0.00460, -0.01074, -0.00566, 0.99992,0.39, 1.24, -0.01,-0.00460, -0.01074, -0.00566, 0.99992,0.36, 1.24, -0.01,-0.00460, -0.01074, -0.00566, 0.99992,0.33, 1.24, -0.01,-0.18002, -0.21625, -0.04061, 0.95874,338.73, 334.58, 0.00,-0.40, 0.36, 0.84,0.90, 0.00, 0.43,0.16, 0.93, -0.33,TrackingSpace,0.9980469,0.39, 1.24, -0.01,-0.17889, -0.22237, -0.04154, 0.95751,338.84, 333.85, 0.00,-0.41, 0.36, 0.84,0.90, 0.00, 0.44,0.16, 0.93, -0.32,TrackingSpace,0.9980469,-0.25, 1.69, 1.30,-0.00480, -0.01067, -0.00565, 0.99992
07/29/2023 23:02:33.865884,7,start,0.32, 1.24, -0.01,-0.00422, -0.01065, -0.00568, 0.99992,0.39, 1.24, -0.01,-0.00422, -0.01065, -0.00568, 0.99992,0.36, 1.24, -0.01,-0.00422, -0.01065, -0.00568, 0.99992,0.33, 1.24, -0.01,-0.18002, -0.21625, -0.04061, 0.95874,338.73, 334.58, 0.00,-0.40, 0.36, 0.84,0.90, 0.00, 0.43,0.16, 0.93, -0.33,TrackingSpace,0.9980469,0.39, 1.24, -0.01,-0.17889, -0.22237, -0.04154, 0.95751,338.84, 333.85, 0.00,-0.41, 0.36, 0.84,0.90, 0.00, 0.44,0.16, 0.93, -0.32,TrackingSpace,0.9980469,-0.25, 1.69, 1.30,-0.00459, -0.01074, -0.00567, 0.99992
07/29/2023 23:02:33.880035,8,start,0.32, 1.24, -0.01,-0.00417, -0.01059, -0.00567, 0.99992,0.39, 1.24, -0.01,-0.00417, -0.01059, -0.00567, 0.99992,0.36, 1.24, -0.01,-0.00417, -0.01059, -0.00567, 0.99992,0.33, 1.24, -0.01,-0.17866, -0.21708, -0.04045, 0.95881,338.89, 334.49, 0.00,-0.40, 0.36, 0.84,0.90, 0.00, 0.43,0.16, 0.93, -0.33,TrackingSpace,0.9980469,0.39, 1.24, -0.01,-0.17753, -0.22318, -0.04138, 0.95758,338.99, 333.76, 0.00,-0.41, 0.36, 0.84,0.90, 0.00, 0.44,0.16, 0.93, -0.32,TrackingSpace,0.9980469,-0.25, 1.69, 1.30,-0.00419, -0.01067, -0.00569, 0.99992
07/29/2023 23:02:33.893813,9,start,0.32, 1.24, -0.01,-0.00392, -0.01071, -0.00569, 0.99992,0.39, 1.24, -0.01,-0.00392, -0.01071, -0.00569, 0.99992,0.36, 1.24, -0.01,-0.00392, -0.01071, -0.00569, 0.99992,0.33, 1.24, -0.01,-0.17866, -0.21708, -0.04045, 0.95881,338.89, 334.49, 0.00,-0.40, 0.36, 0.84,0.90, 0.00, 0.43,0.16, 0.93, -0.33,TrackingSpace,0.9980469,0.39, 1.24, -0.01,-0.17753, -0.22318, -0.04138, 0.95758,338.99, 333.76, 0.00,-0.41, 0.36, 0.84,0.90, 0.00, 0.44,0.16, 0.93, -0.32,TrackingSpace,0.9980469,-0.25, 1.69, 1.30,-0.00411, -0.01059, -0.00566, 0.99992
