Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/29/2023 23:08:45.034051,0,start,0.52, 1.63, 1.32,0.02697, 0.70517, 0.04390, 0.70716,0.52, 1.64, 1.25,0.02697, 0.70517, 0.04390, 0.70716,0.52, 1.64, 1.29,0.02697, 0.70517, 0.04390, 0.70716,0.47, 1.63, 1.31,-0.06703, 0.67603, 0.06197, 0.73120,349.52, 85.51, 0.00,0.98, 0.18, 0.08,0.08, 0.00, -1.00,-0.18, 0.98, -0.01,TrackingSpace,0.9980469,0.47, 1.63, 1.24,-0.06671, 0.65919, 0.05889, 0.74670,349.79, 82.88, 0.00,0.98, 0.18, 0.12,0.12, 0.00, -0.99,-0.18, 0.98, -0.02,TrackingSpace,0.9980469,1.83, 2.04, 1.92,0.02688, 0.70396, 0.04309, 0.70842
07/29/2023 23:08:45.048409,1,start,0.53, 1.63, 1.33,0.02669, 0.70642, 0.04442, 0.70589,0.53, 1.64, 1.26,0.02669, 0.70642, 0.04442, 0.70589,0.53, 1.64, 1.29,0.02669, 0.70642, 0.04442, 0.70589,0.50, 1.63, 1.32,-0.06694, 0.67744, 0.06213, 0.72989,349.52, 85.73, 0.00,0.98, 0.18, 0.07,0.07, 0.00, -1.00,-0.18, 0.98, -0.01,TrackingSpace,0.9980469,0.50, 1.64, 1.25,-0.06655, 0.66188, 0.05918, 0.74431,349.78, 83.29, 0.00,0.98, 0.18, 0.11,0.12, 0.00, -0.99,-0.18, 0.98, -0.02,TrackingSpace,0.9980469,1.84, 2.04, 1.92,0.02690, 0.70517, 0.04387, 0.70717
07/29/2023 23:08:45.062498,2,start,0.54, 1.63, 1.33,0.02588, 0.70780, 0.04445, 0.70454,0.54, 1.64, 1.26,0.02588, 0.70780, 0.04445, 0.70454,0.54, 1.64, 1.29,0.02588, 0.70780, 0.04445, 0.70454,0.50, 1.63, 1.32,-0.06694, 0.67744, 0.06213, 0.72989,349.52, 85.73, 0.00,0.98, 0.18, 0.07,0.07, 0.00, -1.00,-0.18, 0.98, -0.01,TrackingSpace,0.9980469,0.50, 1.64, 1.25,-0.06655, 0.66188, 0.05918, 0.74431,349.78, 83.29, 0.00,0.98, 0.18, 0.11,0.12, 0.00, -0.99,-0.18, 0.98, -0.02,TrackingSpace,0.9980469,1.85, 2.05, 1.92,0.02657, 0.70644, 0.04434, 0.70589
07/29/2023 23:08:45.076361,3,start,0.55, 1.64, 1.33,0.02501, 0.70902, 0.04472, 0.70333,0.55, 1.64, 1.26,0.02501, 0.70902, 0.04472, 0.70333,0.55, 1.64, 1.30,0.02501, 0.70902, 0.04472, 0.70333,0.52, 1.63, 1.32,-0.07665, 0.67390, 0.07062, 0.73144,348.03, 85.31, 0.00,0.97, 0.21, 0.08,0.08, 0.00, -1.00,-0.21, 0.98, -0.02,TrackingSpace,0.9980469,0.52, 1.64, 1.26,-0.07626, 0.65701, 0.06708, 0.74701,348.34, 82.66, 0.00,0.97, 0.20, 0.13,0.13, 0.00, -0.99,-0.20, 0.98, -0.03,TrackingSpace,0.9980469,1.86, 2.05, 1.91,0.02584, 0.70783, 0.04440, 0.70451
07/29/2023 23:08:45.090962,4,start,0.56, 1.64, 1.33,0.02389, 0.71028, 0.04502, 0.70208,0.56, 1.64, 1.26,0.02389, 0.71028, 0.04502, 0.70208,0.56, 1.64, 1.30,0.02389, 0.71028, 0.04502, 0.70208,0.52, 1.63, 1.32,-0.07665, 0.67390, 0.07062, 0.73144,348.03, 85.31, 0.00,0.97, 0.21, 0.08,0.08, 0.00, -1.00,-0.21, 0.98, -0.02,TrackingSpace,0.9980469,0.52, 1.64, 1.26,-0.07626, 0.65701, 0.06708, 0.74701,348.34, 82.66, 0.00,0.97, 0.20, 0.13,0.13, 0.00, -0.99,-0.20, 0.98, -0.03,TrackingSpace,0.9980469,1.87, 2.05, 1.91,0.02496, 0.70902, 0.04471, 0.70332
07/29/2023 23:08:45.105179,5,start,0.57, 1.64, 1.33,0.02295, 0.71131, 0.04538, 0.70103,0.57, 1.64, 1.27,0.02295, 0.71131, 0.04538, 0.70103,0.57, 1.64, 1.30,0.02295, 0.71131, 0.04538, 0.70103,0.52, 1.63, 1.32,-0.07665, 0.67390, 0.07062, 0.73144,348.03, 85.31, 0.00,0.97, 0.21, 0.08,0.08, 0.00, -1.00,-0.21, 0.98, -0.02,TrackingSpace,0.9980469,0.52, 1.64, 1.26,-0.07626, 0.65701, 0.06708, 0.74701,348.34, 82.66, 0.00,0.97, 0.20, 0.13,0.13, 0.00, -0.99,-0.20, 0.98, -0.03,TrackingSpace,0.9980469,1.88, 2.06, 1.91,0.02387, 0.71027, 0.04501, 0.70209
07/29/2023 23:08:45.119512,6,start,0.58, 1.64, 1.34,0.02237, 0.71232, 0.04548, 0.70003,0.58, 1.64, 1.27,0.02237, 0.71232, 0.04548, 0.70003,0.58, 1.64, 1.30,0.02237, 0.71232, 0.04548, 0.70003,0.55, 1.63, 1.33,-0.11140, 0.61920, 0.08934, 0.77214,343.58, 77.45, 0.00,0.94, 0.28, 0.21,0.22, 0.00, -0.98,-0.28, 0.96, -0.06,TrackingSpace,0.9980469,0.55, 1.64, 1.26,-0.11065, 0.60414, 0.08521, 0.78455,343.94, 75.20, 0.00,0.93, 0.28, 0.25,0.26, 0.00, -0.97,-0.27, 0.96, -0.07,TrackingSpace,0.9980469,1.89, 2.06, 1.91,0.02297, 0.71128, 0.04535, 0.70107
07/29/2023 23:08:45.133426,7,start,0.59, 1.64, 1.34,0.02240, 0.71336, 0.04481, 0.69901,0.59, 1.64, 1.27,0.02240, 0.71336, 0.04481, 0.69901,0.59, 1.64, 1.30,0.02240, 0.71336, 0.04481, 0.69901,0.55, 1.63, 1.33,-0.11140, 0.61920, 0.08934, 0.77214,343.58, 77.45, 0.00,0.94, 0.28, 0.21,0.22, 0.00, -0.98,-0.28, 0.96, -0.06,TrackingSpace,0.9980469,0.55, 1.64, 1.26,-0.11065, 0.60414, 0.08521, 0.78455,343.94, 75.20, 0.00,0.93, 0.28, 0.25,0.26, 0.00, -0.97,-0.27, 0.96, -0.07,TrackingSpace,0.9980469,1.90, 2.06, 1.90,0.02242, 0.71231, 0.04538, 0.70003
07/29/2023 23:08:45.147914,8,start,0.60, 1.64, 1.34,0.02370, 0.71405, 0.04411, 0.69830,0.60, 1.64, 1.27,0.02370, 0.71405, 0.04411, 0.69830,0.60, 1.64, 1.31,0.02370, 0.71405, 0.04411, 0.69830,0.57, 1.64, 1.33,-0.14197, 0.52593, 0.08955, 0.83380,340.67, 64.48, 0.00,0.85, 0.33, 0.41,0.43, 0.00, -0.90,-0.30, 0.94, -0.14,TrackingSpace,0.9980469,0.57, 1.64, 1.27,-0.14122, 0.52096, 0.08787, 0.83722,340.85, 63.78, 0.00,0.85, 0.33, 0.42,0.44, 0.00, -0.90,-0.29, 0.94, -0.14,TrackingSpace,0.9980469,1.92, 2.06, 1.90,0.02257, 0.71332, 0.04471, 0.69904
07/29/2023 23:08:45.162084,9,start,0.61, 1.64, 1.34,0.02593, 0.71423, 0.04342, 0.69809,0.61, 1.64, 1.27,0.02593, 0.71423, 0.04342, 0.69809,0.61, 1.64, 1.31,0.02593, 0.71423, 0.04342, 0.69809,0.57, 1.64, 1.33,-0.14197, 0.52593, 0.08955, 0.83380,340.67, 64.48, 0.00,0.85, 0.33, 0.41,0.43, 0.00, -0.90,-0.30, 0.94, -0.14,TrackingSpace,0.9980469,0.57, 1.64, 1.27,-0.14122, 0.52096, 0.08787, 0.83722,340.85, 63.78, 0.00,0.85, 0.33, 0.42,0.44, 0.00, -0.90,-0.29, 0.94, -0.14,TrackingSpace,0.9980469,1.93, 2.06, 1.90,0.02391, 0.71396, 0.04403, 0.69839
