Date,Frame,Movement,Camera_Position_x,Camera_Position_y,Camera_Position_z,Camera_Rotation_x,Camera_Rotation_y,Camera_Rotation_z,Camera_Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/26/2023 20:21:52.714965,0,start,0.21, 1.23, -0.17,-0.46747, -0.02542, 0.03111, 0.88310,0.17, 1.23, -0.17,-0.66407, 0.03177, 0.02826, 0.74646,276.69, 4.87, 0.00,0.01, 0.99, 0.12,1.00, 0.00, -0.08,-0.08, 0.12, -0.99,TrackingSpace,0.9980469,0.24, 1.23, -0.17,-0.66322, -0.04686, -0.04168, 0.74579,276.71, 352.81, 0.00,-0.01, 0.99, 0.12,0.99, 0.00, 0.13,0.12, 0.12, -0.99,TrackingSpace,0.9980469,0.21, 2.36, -0.06,0.00000, 0.00000, 0.00000, 1.00000
07/26/2023 20:21:52.722160,1,start,0.21, 1.23, -0.17,-0.46824, -0.02630, 0.03105, 0.88267,0.17, 1.23, -0.17,-0.66407, 0.03177, 0.02826, 0.74646,276.69, 4.87, 0.00,0.01, 0.99, 0.12,1.00, 0.00, -0.08,-0.08, 0.12, -0.99,TrackingSpace,0.9980469,0.24, 1.23, -0.17,-0.66322, -0.04686, -0.04168, 0.74579,276.71, 352.81, 0.00,-0.01, 0.99, 0.12,0.99, 0.00, 0.13,0.12, 0.12, -0.99,TrackingSpace,0.9980469,0.21, 2.36, -0.06,0.00000, 0.00000, 0.00000, 1.00000
07/26/2023 20:21:52.743219,2,start,0.21, 1.23, -0.17,-0.46798, -0.02642, 0.03078, 0.88281,0.17, 1.23, -0.17,-0.66509, 0.01920, 0.01711, 0.74632,276.59, 2.95, 0.00,0.01, 0.99, 0.11,1.00, 0.00, -0.05,-0.05, 0.11, -0.99,TrackingSpace,0.9980469,0.24, 1.23, -0.17,-0.66301, -0.05667, -0.05045, 0.74476,276.65, 351.30, 0.00,-0.02, 0.99, 0.11,0.99, 0.00, 0.15,0.15, 0.12, -0.98,TrackingSpace,0.9980469,0.21, 2.36, -0.06,0.00000, 0.00000, 0.00000, 1.00000
07/26/2023 20:21:52.760226,3,start,0.21, 1.23, -0.17,-0.46817, -0.02668, 0.03043, 0.88271,0.17, 1.23, -0.17,-0.66509, 0.01920, 0.01711, 0.74632,276.59, 2.95, 0.00,0.01, 0.99, 0.11,1.00, 0.00, -0.05,-0.05, 0.11, -0.99,TrackingSpace,0.9980469,0.24, 1.23, -0.17,-0.66301, -0.05667, -0.05045, 0.74476,276.65, 351.30, 0.00,-0.02, 0.99, 0.11,0.99, 0.00, 0.15,0.15, 0.12, -0.98,TrackingSpace,0.9980469,0.21, 2.36, -0.06,0.00000, 0.00000, 0.00000, 1.00000
07/26/2023 20:21:52.781038,4,start,0.21, 1.23, -0.17,-0.46835, -0.02684, 0.03000, 0.88262,0.17, 1.23, -0.17,-0.66563, 0.00724, 0.00646, 0.74622,276.53, 1.11, 0.00,0.00, 0.99, 0.11,1.00, 0.00, -0.02,-0.02, 0.11, -0.99,TrackingSpace,0.9980469,0.24, 1.23, -0.17,-0.66275, -0.06300, -0.05612, 0.74407,276.62, 350.32, 0.00,-0.02, 0.99, 0.11,0.99, 0.00, 0.17,0.17, 0.12, -0.98,TrackingSpace,0.9980469,0.21, 2.36, -0.06,0.00000, 0.00000, 0.00000, 1.00000
07/26/2023 20:21:52.798442,5,start,0.21, 1.23, -0.17,-0.46875, -0.02691, 0.03009, 0.88241,0.17, 1.23, -0.17,-0.66563, 0.00724, 0.00646, 0.74622,276.53, 1.11, 0.00,0.00, 0.99, 0.11,1.00, 0.00, -0.02,-0.02, 0.11, -0.99,TrackingSpace,0.9980469,0.24, 1.23, -0.17,-0.66275, -0.06300, -0.05612, 0.74407,276.62, 350.32, 0.00,-0.02, 0.99, 0.11,0.99, 0.00, 0.17,0.17, 0.12, -0.98,TrackingSpace,0.9980469,0.21, 2.36, -0.06,0.00000, 0.00000, 0.00000, 1.00000
07/26/2023 20:21:52.814942,6,start,0.21, 1.23, -0.18,-0.46892, -0.02687, 0.03047, 0.88231,0.17, 1.23, -0.17,-0.66443, 0.00224, 0.00199, 0.74734,276.72, 0.34, 0.00,0.00, 0.99, 0.12,1.00, 0.00, -0.01,-0.01, 0.12, -0.99,TrackingSpace,0.9980469,0.24, 1.23, -0.17,-0.66086, -0.06960, -0.06176, 0.74472,276.83, 349.32, 0.00,-0.02, 0.99, 0.12,0.98, 0.00, 0.19,0.18, 0.12, -0.98,TrackingSpace,0.9980469,0.21, 2.36, -0.06,0.00000, 0.00000, 0.00000, 1.00000
07/26/2023 20:21:52.831519,7,start,0.21, 1.23, -0.18,-0.46899, -0.02675, 0.03102, 0.88225,0.17, 1.23, -0.17,-0.66443, 0.00224, 0.00199, 0.74734,276.72, 0.34, 0.00,0.00, 0.99, 0.12,1.00, 0.00, -0.01,-0.01, 0.12, -0.99,TrackingSpace,0.9980469,0.24, 1.23, -0.17,-0.66086, -0.06960, -0.06176, 0.74472,276.83, 349.32, 0.00,-0.02, 0.99, 0.12,0.98, 0.00, 0.19,0.18, 0.12, -0.98,TrackingSpace,0.9980469,0.21, 2.36, -0.06,0.00000, 0.00000, 0.00000, 1.00000
07/26/2023 20:21:52.848026,8,start,0.21, 1.23, -0.18,-0.46916, -0.02677, 0.03159, 0.88214,0.17, 1.22, -0.17,-0.66372, -0.00752, -0.00667, 0.74791,276.83, 358.85, 0.00,0.00, 0.99, 0.12,1.00, 0.00, 0.02,0.02, 0.12, -0.99,TrackingSpace,0.9980469,0.24, 1.23, -0.17,-0.66023, -0.06909, -0.06120, 0.74537,276.93, 349.41, 0.00,-0.02, 0.99, 0.12,0.98, 0.00, 0.18,0.18, 0.12, -0.98,TrackingSpace,0.9980469,0.21, 2.36, -0.06,0.00000, 0.00000, 0.00000, 1.00000
07/26/2023 20:21:52.864314,9,start,0.21, 1.23, -0.18,-0.46927, -0.02678, 0.03152, 0.88209,0.17, 1.22, -0.17,-0.66372, -0.00752, -0.00667, 0.74791,276.83, 358.85, 0.00,0.00, 0.99, 0.12,1.00, 0.00, 0.02,0.02, 0.12, -0.99,TrackingSpace,0.9980469,0.24, 1.23, -0.17,-0.66023, -0.06909, -0.06120, 0.74537,276.93, 349.41, 0.00,-0.02, 0.99, 0.12,0.98, 0.00, 0.18,0.18, 0.12, -0.98,TrackingSpace,0.9980469,0.21, 2.36, -0.06,0.00000, 0.00000, 0.00000, 1.00000
