,Date,Frame,Movement,Camera_Position_x,Camera_Position_y,Camera_Position_z,Camera_Rotation_x,Camera_Rotation_y,Camera_Rotation_z,Camera_Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Cosine Similarity,Euclidean Error
0,07/26/2023 20:36:25.028449,217,moving,-1.17,1.13,-0.16,0.40424,-0.06374,-0.00869,-0.91239,-1.2,1.13,-0.16,-0.59444,0.11477,0.08622,0.79123,286.17,16.51,0.0,0.08,0.96,0.27,0.96,0.0,-0.28,-0.27,0.28,-0.92,TrackingSpace,0.9980469,-1.14,1.13,-0.17,-0.59804,0.08762,0.066,0.79392,286.02,12.6,0.0,0.06,0.96,0.27,0.98,0.0,-0.22,-0.21,0.28,-0.94,TrackingSpace,0.9980469,-1.11,2.31,0.18,0.0,0.0,0.0,1.0,-0.9593212669682685,4.019122171946485,0.647565610859949,1.0,0.0,-0.05999999999999983,-1.1800000000000002,-0.33999999999999997,-0.21067873303173146,-2.889122171946485,-0.812565610859949,1.2715230410672915,4.542056504458966
1,07/26/2023 20:36:25.042416,218,moving,-1.17,1.13,-0.16,0.40428,-0.0637,-0.00798,-0.91238,-1.2,1.13,-0.16,-0.59242,0.11486,0.08583,0.79277,286.46,16.49,0.0,0.08,0.96,0.27,0.96,0.0,-0.28,-0.27,0.28,-0.92,TrackingSpace,0.9980469,-1.14,1.13,-0.17,-0.59693,0.07905,0.05927,0.79619,286.28,11.34,0.0,0.06,0.96,0.27,0.98,0.0,-0.2,-0.19,0.28,-0.94,TrackingSpace,0.9980469,-1.11,2.31,0.18,0.0,0.0,0.0,1.0,-0.9593212669682685,4.019122171946485,0.647565610859949,1.0,0.0,-0.05999999999999983,-1.1800000000000002,-0.33999999999999997,-0.21067873303173146,-2.889122171946485,-0.812565610859949,1.2715230410672915,4.542056504458966
2,07/26/2023 20:36:25.056332,219,moving,-1.17,1.13,-0.16,0.40455,-0.06391,-0.00722,-0.91225,-1.2,1.13,-0.16,-0.59242,0.11486,0.08583,0.79277,286.46,16.49,0.0,0.08,0.96,0.27,0.96,0.0,-0.28,-0.27,0.28,-0.92,TrackingSpace,0.9980469,-1.14,1.13,-0.17,-0.59693,0.07905,0.05927,0.79619,286.28,11.34,0.0,0.06,0.96,0.27,0.98,0.0,-0.2,-0.19,0.28,-0.94,TrackingSpace,0.9980469,-1.11,2.31,0.18,0.0,0.0,0.0,1.0,-0.9593212669682685,4.019122171946485,0.647565610859949,1.0,0.0,-0.05999999999999983,-1.1800000000000002,-0.33999999999999997,-0.21067873303173146,-2.889122171946485,-0.812565610859949,1.2715230410672915,4.542056504458966
3,07/26/2023 20:36:25.070298,220,moving,-1.17,1.13,-0.16,0.40477,-0.06409,-0.00656,-0.91215,-1.2,1.13,-0.16,-0.59242,0.11486,0.08583,0.79277,286.46,16.49,0.0,0.08,0.96,0.27,0.96,0.0,-0.28,-0.27,0.28,-0.92,TrackingSpace,0.9980469,-1.14,1.13,-0.17,-0.59693,0.07905,0.05927,0.79619,286.28,11.34,0.0,0.06,0.96,0.27,0.98,0.0,-0.2,-0.19,0.28,-0.94,TrackingSpace,0.9980469,-1.11,2.31,0.18,0.0,0.0,0.0,1.0,-0.9593212669682685,4.019122171946485,0.647565610859949,1.0,0.0,-0.05999999999999983,-1.1800000000000002,-0.33999999999999997,-0.21067873303173146,-2.889122171946485,-0.812565610859949,1.2715230410672915,4.542056504458966
4,07/26/2023 20:36:25.084179,221,moving,-1.17,1.13,-0.16,0.40513,-0.06427,-0.00627,-0.91198,-1.2,1.13,-0.16,-0.59279,0.11171,0.08349,0.79319,286.45,16.03,0.0,0.08,0.96,0.27,0.96,0.0,-0.28,-0.26,0.28,-0.92,TrackingSpace,0.9980469,-1.13,1.13,-0.17,-0.5966,0.08144,0.06103,0.79606,286.3,11.68,0.0,0.06,0.96,0.27,0.98,0.0,-0.2,-0.19,0.28,-0.94,TrackingSpace,0.9980469,-1.11,2.3,0.18,0.0,0.0,0.0,1.0,-0.9193212669682591,4.499122171946615,0.7825656108599854,1.0,0.0,-0.05999999999999983,-1.17,-0.33999999999999997,-0.24567873303174093,-3.369122171946615,-0.9475656108599855,1.294256024408025,4.554239980919263
5,07/26/2023 20:36:25.098201,222,moving,-1.17,1.13,-0.16,0.40543,-0.06422,-0.00588,-0.91185,-1.2,1.13,-0.16,-0.59279,0.11171,0.08349,0.79319,286.45,16.03,0.0,0.08,0.96,0.27,0.96,0.0,-0.28,-0.26,0.28,-0.92,TrackingSpace,0.9980469,-1.13,1.13,-0.17,-0.5966,0.08144,0.06103,0.79606,286.3,11.68,0.0,0.06,0.96,0.27,0.98,0.0,-0.2,-0.19,0.28,-0.94,TrackingSpace,0.9980469,-1.12,2.3,0.18,0.0,0.0,0.0,1.0,-0.9193212669682591,4.499122171946615,0.7825656108599854,1.0,0.0,-0.04999999999999982,-1.17,-0.33999999999999997,-0.24567873303174093,-3.369122171946615,-0.9475656108599855,1.7372839488339475,6.189175407571652
6,07/26/2023 20:36:25.111892,223,moving,-1.17,1.13,-0.16,0.40559,-0.06423,-0.00563,-0.91178,-1.2,1.13,-0.16,-0.59075,0.1141,0.08487,0.79422,286.72,16.35,0.0,0.08,0.96,0.28,0.96,0.0,-0.28,-0.27,0.29,-0.92,TrackingSpace,0.9980469,-1.13,1.13,-0.17,-0.59446,0.0859,0.06408,0.79695,286.56,12.3,0.0,0.06,0.96,0.28,0.98,0.0,-0.21,-0.2,0.29,-0.94,TrackingSpace,0.9980469,-1.12,2.3,0.17,0.0,0.0,0.0,1.0,-0.9193000000001089,4.499407999998505,0.817743999999564,1.0,0.0,-0.04999999999999982,-1.17,-0.33,-0.24569999999989112,-3.369407999998505,-0.9827439999995641,1.7256706805702453,5.445208419750978
7,07/26/2023 20:36:25.125955,224,moving,-1.17,1.13,-0.16,0.4057,-0.06416,-0.00533,-0.91174,-1.2,1.13,-0.16,-0.59075,0.1141,0.08487,0.79422,286.72,16.35,0.0,0.08,0.96,0.28,0.96,0.0,-0.28,-0.27,0.29,-0.92,TrackingSpace,0.9980469,-1.13,1.13,-0.17,-0.59446,0.0859,0.06408,0.79695,286.56,12.3,0.0,0.06,0.96,0.28,0.98,0.0,-0.21,-0.2,0.29,-0.94,TrackingSpace,0.9980469,-1.12,2.3,0.17,0.0,0.0,0.0,1.0,-0.9193000000001089,4.499407999998505,0.817743999999564,1.0,0.0,-0.04999999999999982,-1.17,-0.33,-0.24569999999989112,-3.369407999998505,-0.9827439999995641,1.7256706805702453,5.445208419750978
8,07/26/2023 20:36:25.139914,225,moving,-1.17,1.13,-0.16,0.40578,-0.06428,-0.00497,-0.91169,-1.2,1.13,-0.16,-0.58747,0.11485,0.08471,0.79656,287.18,16.41,0.0,0.08,0.96,0.28,0.96,0.0,-0.28,-0.27,0.3,-0.92,TrackingSpace,0.9980469,-1.13,1.13,-0.17,-0.59114,0.08733,0.06459,0.79922,287.02,12.47,0.0,0.06,0.96,0.29,0.98,0.0,-0.22,-0.21,0.29,-0.93,TrackingSpace,0.9980469,-1.12,2.3,0.17,0.0,0.0,0.0,1.0,-0.9537372448979196,4.027755102041358,0.6952869897960793,1.0,0.0,-0.04999999999999982,-1.17,-0.33,-0.21126275510208048,-2.8977551020413577,-0.8602869897960793,1.8196234069700017,5.240557318785653
9,07/26/2023 20:36:25.153587,226,moving,-1.17,1.13,-0.16,0.40583,-0.06432,-0.00476,-0.91167,-1.2,1.13,-0.16,-0.58747,0.11485,0.08471,0.79656,287.18,16.41,0.0,0.08,0.96,0.28,0.96,0.0,-0.28,-0.27,0.3,-0.92,TrackingSpace,0.9980469,-1.13,1.13,-0.17,-0.59114,0.08733,0.06459,0.79922,287.02,12.47,0.0,0.06,0.96,0.29,0.98,0.0,-0.22,-0.21,0.29,-0.93,TrackingSpace,0.9980469,-1.12,2.3,0.17,0.0,0.0,0.0,1.0,-0.9537372448979196,4.027755102041358,0.6952869897960793,1.0,0.0,-0.04999999999999982,-1.17,-0.33,-0.21126275510208048,-2.8977551020413577,-0.8602869897960793,1.8196234069700017,5.240557318785653
