Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/25/2023 23:46:01.416812,0,start,1.54, 1.44, 0.63,-0.11695, -0.06174, 0.00972, -0.99117,1.60, 1.44, 0.62,-0.11695, -0.06174, 0.00972, -0.99117,1.57, 1.44, 0.63,-0.11695, -0.06174, 0.00972, -0.99117,-0.03, 1.00, -10.00,0.23734, -0.01580, 0.00386, 0.97129,27.46, 358.14, 0.00,-0.03, -0.46, 0.89,1.00, 0.00, 0.03,-0.01, 0.89, 0.46,WorldSpace,0.9980469,0.03, 1.00, -10.00,0.23723, -0.02291, 0.00560, 0.97117,27.45, 357.30, 0.00,-0.04, -0.46, 0.89,1.00, 0.00, 0.05,-0.02, 0.89, 0.46,WorldSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/25/2023 23:46:01.425625,1,start,1.55, 1.44, 0.63,-0.11603, -0.06890, 0.00741, -0.99083,1.60, 1.44, 0.62,-0.11603, -0.06890, 0.00741, -0.99083,1.57, 1.44, 0.63,-0.11603, -0.06890, 0.00741, -0.99083,-0.04, 1.00, -10.00,0.23830, -0.02368, 0.00581, 0.97088,27.58, 357.21, 0.00,-0.04, -0.46, 0.89,1.00, 0.00, 0.05,-0.02, 0.89, 0.46,WorldSpace,0.9980469,0.03, 1.00, -10.00,0.23816, -0.03079, 0.00755, 0.97071,27.57, 356.37, 0.00,-0.06, -0.46, 0.88,1.00, 0.00, 0.06,-0.03, 0.89, 0.46,WorldSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/25/2023 23:46:01.444367,2,start,1.54, 1.44, 0.63,-0.11538, -0.06898, 0.00776, -0.99089,1.60, 1.44, 0.62,-0.11538, -0.06898, 0.00776, -0.99089,1.57, 1.44, 0.63,-0.11538, -0.06898, 0.00776, -0.99089,-0.03, 1.00, -10.00,0.23688, 0.05333, -0.01302, 0.96999,27.45, 6.29, 0.00,0.10, -0.46, 0.88,0.99, 0.00, -0.11,0.05, 0.89, 0.46,WorldSpace,0.9980469,0.03, 1.00, -10.00,0.23731, 0.04628, -0.01132, 0.97026,27.49, 5.46, 0.00,0.08, -0.46, 0.88,1.00, 0.00, -0.10,0.04, 0.89, 0.46,WorldSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/25/2023 23:46:01.462037,3,start,1.54, 1.44, 0.63,-0.11509, -0.06833, 0.00900, -0.99096,1.60, 1.44, 0.62,-0.11509, -0.06833, 0.00900, -0.99096,1.57, 1.44, 0.63,-0.11509, -0.06833, 0.00900, -0.99096,-0.03, 1.00, -10.00,0.23693, 0.05470, -0.01336, 0.96989,27.45, 6.46, 0.00,0.10, -0.46, 0.88,0.99, 0.00, -0.11,0.05, 0.89, 0.46,WorldSpace,0.9980469,0.03, 1.00, -10.00,0.23738, 0.04764, -0.01166, 0.97018,27.50, 5.62, 0.00,0.09, -0.46, 0.88,1.00, 0.00, -0.10,0.05, 0.89, 0.46,WorldSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/25/2023 23:46:01.483060,4,start,1.55, 1.44, 0.63,-0.11484, -0.06757, 0.00995, -0.99103,1.60, 1.44, 0.62,-0.11484, -0.06757, 0.00995, -0.99103,1.57, 1.44, 0.63,-0.11484, -0.06757, 0.00995, -0.99103,-0.03, 1.00, -10.00,0.23207, 0.10503, -0.02521, 0.96668,27.00, 12.40, 0.00,0.19, -0.45, 0.87,0.98, 0.00, -0.21,0.10, 0.89, 0.44,WorldSpace,0.9980469,0.03, 1.00, -10.00,0.23288, 0.09812, -0.02362, 0.96725,27.07, 11.59, 0.00,0.18, -0.46, 0.87,0.98, 0.00, -0.20,0.09, 0.89, 0.45,WorldSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/25/2023 23:46:01.501242,5,start,1.55, 1.44, 0.63,-0.11420, -0.06693, 0.01035, -0.99115,1.60, 1.44, 0.62,-0.11420, -0.06693, 0.01035, -0.99115,1.57, 1.44, 0.63,-0.11420, -0.06693, 0.01035, -0.99115,-0.03, 1.00, -10.00,0.23255, 0.10593, -0.02549, 0.96646,27.06, 12.51, 0.00,0.19, -0.45, 0.87,0.98, 0.00, -0.22,0.10, 0.89, 0.44,WorldSpace,0.9980469,0.03, 1.00, -10.00,0.23337, 0.09903, -0.02390, 0.96704,27.13, 11.69, 0.00,0.18, -0.46, 0.87,0.98, 0.00, -0.20,0.09, 0.89, 0.45,WorldSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/25/2023 23:46:01.517572,6,start,1.55, 1.44, 0.63,-0.11353, -0.06624, 0.01040, -0.99127,1.60, 1.44, 0.62,-0.11353, -0.06624, 0.01040, -0.99127,1.57, 1.44, 0.63,-0.11353, -0.06624, 0.01040, -0.99127,-0.03, 1.00, -10.00,0.23200, 0.11283, -0.02710, 0.96577,27.02, 13.33, 0.00,0.21, -0.45, 0.87,0.97, 0.00, -0.23,0.10, 0.89, 0.44,WorldSpace,0.9980469,0.03, 1.00, -10.00,0.23284, 0.10594, -0.02553, 0.96639,27.09, 12.51, 0.00,0.19, -0.46, 0.87,0.98, 0.00, -0.22,0.10, 0.89, 0.44,WorldSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/25/2023 23:46:01.533793,7,start,1.55, 1.44, 0.63,-0.11308, -0.06574, 0.01043, -0.99135,1.60, 1.44, 0.62,-0.11308, -0.06574, 0.01043, -0.99135,1.57, 1.44, 0.63,-0.11308, -0.06574, 0.01043, -0.99135,-0.03, 1.00, -10.00,0.23144, 0.11604, -0.02782, 0.96550,26.96, 13.71, 0.00,0.21, -0.45, 0.87,0.97, 0.00, -0.24,0.11, 0.89, 0.44,WorldSpace,0.9980469,0.03, 1.00, -10.00,0.23229, 0.10917, -0.02625, 0.96614,27.04, 12.89, 0.00,0.20, -0.45, 0.87,0.97, 0.00, -0.22,0.10, 0.89, 0.44,WorldSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/25/2023 23:46:01.550699,8,start,1.55, 1.45, 0.63,-0.11287, -0.06532, 0.01060, -0.99140,1.60, 1.44, 0.62,-0.11287, -0.06532, 0.01060, -0.99140,1.57, 1.44, 0.63,-0.11287, -0.06532, 0.01060, -0.99140,-0.03, 1.00, -10.00,0.23157, 0.11655, -0.02796, 0.96541,26.98, 13.77, 0.00,0.21, -0.45, 0.87,0.97, 0.00, -0.24,0.11, 0.89, 0.44,WorldSpace,0.9980469,0.03, 1.00, -10.00,0.23243, 0.10968, -0.02639, 0.96605,27.06, 12.95, 0.00,0.20, -0.45, 0.87,0.97, 0.00, -0.22,0.10, 0.89, 0.44,WorldSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/25/2023 23:46:01.567100,9,start,1.55, 1.45, 0.63,-0.11274, -0.06532, 0.01111, -0.99141,1.60, 1.44, 0.62,-0.11274, -0.06532, 0.01111, -0.99141,1.57, 1.44, 0.63,-0.11274, -0.06532, 0.01111, -0.99141,-0.03, 1.00, -10.00,0.23154, 0.11687, -0.02803, 0.96537,26.97, 13.81, 0.00,0.21, -0.45, 0.87,0.97, 0.00, -0.24,0.11, 0.89, 0.44,WorldSpace,0.9980469,0.03, 1.00, -10.00,0.23241, 0.10999, -0.02646, 0.96602,27.05, 12.99, 0.00,0.20, -0.45, 0.87,0.97, 0.00, -0.22,0.10, 0.89, 0.44,WorldSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/25/2023 23:46:01.583708,10,start,1.55, 1.45, 0.63,-0.11261, -0.06515, 0.01143, -0.99144,1.60, 1.44, 0.62,-0.11261, -0.06515, 0.01143, -0.99144,1.57, 1.44, 0.63,-0.11261, -0.06515, 0.01143, -0.99144,-0.03, 1.00, -10.00,0.23076, 0.11709, -0.02798, 0.96554,26.88, 13.83, 0.00,0.21, -0.45, 0.87,0.97, 0.00, -0.24,0.11, 0.89, 0.44,WorldSpace,0.9980469,0.03, 1.00, -10.00,0.23162, 0.11022, -0.02642, 0.96618,26.96, 13.02, 0.00,0.20, -0.45, 0.87,0.97, 0.00, -0.23,0.10, 0.89, 0.44,WorldSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/25/2023 23:46:01.599765,11,start,1.55, 1.45, 0.63,-0.11271, -0.06528, 0.01181, -0.99141,1.60, 1.44, 0.62,-0.11271, -0.06528, 0.01181, -0.99141,1.57, 1.44, 0.63,-0.11271, -0.06528, 0.01181, -0.99141,-0.03, 1.00, -10.00,0.23055, 0.11718, -0.02798, 0.96557,26.86, 13.84, 0.00,0.21, -0.45, 0.87,0.97, 0.00, -0.24,0.11, 0.89, 0.44,WorldSpace,0.9980469,0.03, 1.00, -10.00,0.23141, 0.11031, -0.02642, 0.96622,26.94, 13.03, 0.00,0.20, -0.45, 0.87,0.97, 0.00, -0.23,0.10, 0.89, 0.44,WorldSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
