Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
06/26/2023 00:09:56.126095,0,start,1.87, 1.34, 0.62,0.01710, 0.07893, 0.02841, -0.99633,1.93, 1.34, 0.63,0.01710, 0.07893, 0.02841, -0.99633,1.90, 1.34, 0.63,0.01710, 0.07893, 0.02841, -0.99633,1.87, 1.34, 0.62,0.14460, -0.01334, 0.00195, 0.98940,16.63, 358.46, 0.00,-0.03, -0.29, 0.96,1.00, 0.00, 0.03,-0.01, 0.96, 0.29,TrackingSpace,0.9980469,1.93, 1.34, 0.63,0.14427, -0.03115, 0.00454, 0.98904,16.60, 356.39, 0.00,-0.06, -0.29, 0.96,1.00, 0.00, 0.06,-0.02, 0.96, 0.29,TrackingSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/26/2023 00:09:56.137380,1,start,1.87, 1.34, 0.62,0.01277, 0.07474, 0.02761, -0.99674,1.93, 1.34, 0.63,0.01277, 0.07474, 0.02761, -0.99674,1.90, 1.34, 0.63,0.01277, 0.07474, 0.02761, -0.99674,1.87, 1.34, 0.62,0.14460, -0.01334, 0.00195, 0.98940,16.63, 358.46, 0.00,-0.03, -0.29, 0.96,1.00, 0.00, 0.03,-0.01, 0.96, 0.29,TrackingSpace,0.9980469,1.93, 1.34, 0.63,0.14427, -0.03115, 0.00454, 0.98904,16.60, 356.39, 0.00,-0.06, -0.29, 0.96,1.00, 0.00, 0.06,-0.02, 0.96, 0.29,TrackingSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/26/2023 00:09:56.154152,2,start,1.87, 1.34, 0.62,0.01260, 0.07495, 0.02774, -0.99672,1.93, 1.34, 0.63,0.01260, 0.07495, 0.02774, -0.99672,1.90, 1.34, 0.63,0.01260, 0.07495, 0.02774, -0.99672,1.87, 1.34, 0.62,0.14460, -0.01334, 0.00195, 0.98940,16.63, 358.46, 0.00,-0.03, -0.29, 0.96,1.00, 0.00, 0.03,-0.01, 0.96, 0.29,TrackingSpace,0.9980469,1.93, 1.34, 0.63,0.14427, -0.03115, 0.00454, 0.98904,16.60, 356.39, 0.00,-0.06, -0.29, 0.96,1.00, 0.00, 0.06,-0.02, 0.96, 0.29,TrackingSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/26/2023 00:09:56.172173,3,start,1.87, 1.34, 0.62,0.01225, 0.07543, 0.02844, -0.99667,1.93, 1.34, 0.63,0.01225, 0.07543, 0.02844, -0.99667,1.90, 1.34, 0.63,0.01225, 0.07543, 0.02844, -0.99667,1.87, 1.34, 0.62,0.14737, -0.01355, 0.00202, 0.98899,16.95, 358.43, 0.00,-0.03, -0.29, 0.96,1.00, 0.00, 0.03,-0.01, 0.96, 0.29,TrackingSpace,0.9980469,1.93, 1.34, 0.63,0.14696, -0.03339, 0.00496, 0.98857,16.91, 356.13, 0.00,-0.06, -0.29, 0.95,1.00, 0.00, 0.07,-0.02, 0.96, 0.29,TrackingSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/26/2023 00:09:56.195342,4,start,1.87, 1.34, 0.62,0.01135, 0.07599, 0.02964, -0.99660,1.93, 1.34, 0.63,0.01135, 0.07599, 0.02964, -0.99660,1.90, 1.34, 0.63,0.01135, 0.07599, 0.02964, -0.99660,1.87, 1.34, 0.62,0.14376, -0.01364, 0.00198, 0.98952,16.53, 358.42, 0.00,-0.03, -0.28, 0.96,1.00, 0.00, 0.03,-0.01, 0.96, 0.28,TrackingSpace,0.9980469,1.93, 1.34, 0.63,0.14331, -0.03340, 0.00484, 0.98910,16.49, 356.13, 0.00,-0.06, -0.28, 0.96,1.00, 0.00, 0.07,-0.02, 0.96, 0.28,TrackingSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/26/2023 00:09:56.211323,5,start,1.87, 1.34, 0.62,0.01039, 0.07612, 0.03015, -0.99659,1.93, 1.34, 0.63,0.01039, 0.07612, 0.03015, -0.99659,1.90, 1.34, 0.63,0.01039, 0.07612, 0.03015, -0.99659,1.87, 1.34, 0.62,0.14376, -0.01364, 0.00198, 0.98952,16.53, 358.42, 0.00,-0.03, -0.28, 0.96,1.00, 0.00, 0.03,-0.01, 0.96, 0.28,TrackingSpace,0.9980469,1.93, 1.34, 0.63,0.14331, -0.03340, 0.00484, 0.98910,16.49, 356.13, 0.00,-0.06, -0.28, 0.96,1.00, 0.00, 0.07,-0.02, 0.96, 0.28,TrackingSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/26/2023 00:09:56.227978,6,start,1.87, 1.34, 0.62,0.00959, 0.07614, 0.03029, -0.99659,1.93, 1.34, 0.63,0.00959, 0.07614, 0.03029, -0.99659,1.90, 1.34, 0.63,0.00959, 0.07614, 0.03029, -0.99659,1.87, 1.34, 0.62,0.14588, -0.01297, 0.00191, 0.98922,16.78, 358.50, 0.00,-0.03, -0.29, 0.96,1.00, 0.00, 0.03,-0.01, 0.96, 0.29,TrackingSpace,0.9980469,1.93, 1.34, 0.63,0.14541, -0.03267, 0.00480, 0.98882,16.73, 356.22, 0.00,-0.06, -0.29, 0.96,1.00, 0.00, 0.07,-0.02, 0.96, 0.29,TrackingSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/26/2023 00:09:56.244332,7,start,1.87, 1.34, 0.63,0.00902, 0.07624, 0.02999, -0.99660,1.93, 1.34, 0.63,0.00902, 0.07624, 0.02999, -0.99660,1.90, 1.34, 0.63,0.00902, 0.07624, 0.02999, -0.99660,1.87, 1.34, 0.62,0.14588, -0.01297, 0.00191, 0.98922,16.78, 358.50, 0.00,-0.03, -0.29, 0.96,1.00, 0.00, 0.03,-0.01, 0.96, 0.29,TrackingSpace,0.9980469,1.93, 1.34, 0.63,0.14541, -0.03267, 0.00480, 0.98882,16.73, 356.22, 0.00,-0.06, -0.29, 0.96,1.00, 0.00, 0.07,-0.02, 0.96, 0.29,TrackingSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/26/2023 00:09:56.260756,8,start,1.87, 1.34, 0.63,0.00852, 0.07623, 0.02986, -0.99661,1.93, 1.34, 0.63,0.00852, 0.07623, 0.02986, -0.99661,1.90, 1.34, 0.63,0.00852, 0.07623, 0.02986, -0.99661,1.87, 1.34, 0.62,0.14595, -0.01393, 0.00206, 0.98919,16.79, 358.39, 0.00,-0.03, -0.29, 0.96,1.00, 0.00, 0.03,-0.01, 0.96, 0.29,TrackingSpace,0.9980469,1.93, 1.34, 0.63,0.14536, -0.03573, 0.00525, 0.98872,16.73, 355.86, 0.00,-0.07, -0.29, 0.96,1.00, 0.00, 0.07,-0.02, 0.96, 0.29,TrackingSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
06/26/2023 00:09:56.277323,9,start,1.87, 1.34, 0.63,0.00798, 0.07610, 0.02988, -0.99662,1.93, 1.34, 0.63,0.00798, 0.07610, 0.02988, -0.99662,1.90, 1.34, 0.63,0.00798, 0.07610, 0.02988, -0.99662,1.87, 1.34, 0.62,0.14595, -0.01393, 0.00206, 0.98919,16.79, 358.39, 0.00,-0.03, -0.29, 0.96,1.00, 0.00, 0.03,-0.01, 0.96, 0.29,TrackingSpace,0.9980469,1.93, 1.34, 0.63,0.14536, -0.03573, 0.00525, 0.98872,16.73, 355.86, 0.00,-0.07, -0.29, 0.96,1.00, 0.00, 0.07,-0.02, 0.96, 0.29,TrackingSpace,0.9980469,1.31, 1.63, 1.33,0.00000, 0.00000, 0.00000, 1.00000
