Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/20/2023 14:45:29.959687,0,start,-0.39, 1.10, -2.29,-0.03064, 0.00677, 0.00200, 0.99951,-0.33, 1.10, -2.29,-0.03064, 0.00677, 0.00200, 0.99951,-0.36, 1.10, -2.29,-0.03064, 0.00677, 0.00200, 0.99951,-0.39, 1.10, -2.29,-0.05632, 0.05315, 0.00300, 0.99699,353.53, 6.10, 0.00,0.11, 0.11, 0.99,0.99, 0.00, -0.11,-0.01, 0.99, -0.11,TrackingSpace,0.9980469,-0.32, 1.10, -2.29,-0.05638, 0.03104, 0.00175, 0.99793,353.53, 3.56, 0.00,0.06, 0.11, 0.99,1.00, 0.00, -0.06,-0.01, 0.99, -0.11,TrackingSpace,0.9980469,-0.93, 2.05, -1.20,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 14:45:29.973428,1,start,-0.39, 1.10, -2.29,-0.03125, 0.00667, 0.00178, 0.99949,-0.33, 1.10, -2.29,-0.03125, 0.00667, 0.00178, 0.99949,-0.36, 1.10, -2.29,-0.03125, 0.00667, 0.00178, 0.99949,-0.39, 1.10, -2.29,-0.05718, 0.05287, 0.00303, 0.99696,353.43, 6.07, 0.00,0.11, 0.11, 0.99,0.99, 0.00, -0.11,-0.01, 0.99, -0.11,TrackingSpace,0.9980469,-0.32, 1.10, -2.29,-0.05729, 0.03075, 0.00177, 0.99788,353.43, 3.53, 0.00,0.06, 0.11, 0.99,1.00, 0.00, -0.06,-0.01, 0.99, -0.11,TrackingSpace,0.9980469,-0.93, 2.05, -1.20,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 14:45:29.987347,2,start,-0.39, 1.10, -2.29,-0.03196, 0.00667, 0.00138, 0.99947,-0.33, 1.10, -2.29,-0.03196, 0.00667, 0.00138, 0.99947,-0.36, 1.10, -2.29,-0.03196, 0.00667, 0.00138, 0.99947,-0.39, 1.10, -2.29,-0.05718, 0.05287, 0.00303, 0.99696,353.43, 6.07, 0.00,0.11, 0.11, 0.99,0.99, 0.00, -0.11,-0.01, 0.99, -0.11,TrackingSpace,0.9980469,-0.32, 1.10, -2.29,-0.05729, 0.03075, 0.00177, 0.99788,353.43, 3.53, 0.00,0.06, 0.11, 0.99,1.00, 0.00, -0.06,-0.01, 0.99, -0.11,TrackingSpace,0.9980469,-0.93, 2.05, -1.20,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 14:45:30.001545,3,start,-0.39, 1.10, -2.29,-0.03286, 0.00665, 0.00109, 0.99944,-0.33, 1.10, -2.29,-0.03286, 0.00665, 0.00109, 0.99944,-0.36, 1.10, -2.29,-0.03286, 0.00665, 0.00109, 0.99944,-0.39, 1.10, -2.29,-0.06298, 0.05277, 0.00333, 0.99661,352.77, 6.06, 0.00,0.10, 0.13, 0.99,0.99, 0.00, -0.11,-0.01, 0.99, -0.13,TrackingSpace,0.9980469,-0.32, 1.10, -2.29,-0.06314, 0.03169, 0.00201, 0.99750,352.76, 3.64, 0.00,0.06, 0.13, 0.99,1.00, 0.00, -0.06,-0.01, 0.99, -0.13,TrackingSpace,0.9980469,-0.93, 2.05, -1.20,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 14:45:30.015779,4,start,-0.39, 1.10, -2.29,-0.03396, 0.00650, 0.00108, 0.99940,-0.33, 1.10, -2.29,-0.03396, 0.00650, 0.00108, 0.99940,-0.36, 1.10, -2.29,-0.03396, 0.00650, 0.00108, 0.99940,-0.39, 1.10, -2.29,-0.06298, 0.05277, 0.00333, 0.99661,352.77, 6.06, 0.00,0.10, 0.13, 0.99,0.99, 0.00, -0.11,-0.01, 0.99, -0.13,TrackingSpace,0.9980469,-0.32, 1.10, -2.29,-0.06314, 0.03169, 0.00201, 0.99750,352.76, 3.64, 0.00,0.06, 0.13, 0.99,1.00, 0.00, -0.06,-0.01, 0.99, -0.13,TrackingSpace,0.9980469,-0.93, 2.05, -1.20,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 14:45:30.030029,5,start,-0.39, 1.10, -2.29,-0.03517, 0.00638, 0.00153, 0.99936,-0.33, 1.10, -2.29,-0.03517, 0.00638, 0.00153, 0.99936,-0.36, 1.10, -2.29,-0.03517, 0.00638, 0.00153, 0.99936,-0.39, 1.10, -2.29,-0.06298, 0.05277, 0.00333, 0.99661,352.77, 6.06, 0.00,0.10, 0.13, 0.99,0.99, 0.00, -0.11,-0.01, 0.99, -0.13,TrackingSpace,0.9980469,-0.32, 1.10, -2.29,-0.06314, 0.03169, 0.00201, 0.99750,352.76, 3.64, 0.00,0.06, 0.13, 0.99,1.00, 0.00, -0.06,-0.01, 0.99, -0.13,TrackingSpace,0.9980469,-0.93, 2.05, -1.20,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 14:45:30.044016,6,start,-0.39, 1.10, -2.29,-0.03656, 0.00628, 0.00201, 0.99931,-0.33, 1.10, -2.29,-0.03656, 0.00628, 0.00201, 0.99931,-0.36, 1.10, -2.29,-0.03656, 0.00628, 0.00201, 0.99931,-0.39, 1.10, -2.29,-0.06459, 0.05186, 0.00336, 0.99656,352.58, 5.96, 0.00,0.10, 0.13, 0.99,0.99, 0.00, -0.10,-0.01, 0.99, -0.13,TrackingSpace,0.9980469,-0.32, 1.10, -2.29,-0.06479, 0.02970, 0.00193, 0.99746,352.57, 3.41, 0.00,0.06, 0.13, 0.99,1.00, 0.00, -0.06,-0.01, 0.99, -0.13,TrackingSpace,0.9980469,-0.93, 2.05, -1.20,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 14:45:30.058495,7,start,-0.39, 1.10, -2.29,-0.03793, 0.00632, 0.00220, 0.99926,-0.33, 1.10, -2.29,-0.03793, 0.00632, 0.00220, 0.99926,-0.36, 1.10, -2.29,-0.03793, 0.00632, 0.00220, 0.99926,-0.39, 1.10, -2.29,-0.06459, 0.05186, 0.00336, 0.99656,352.58, 5.96, 0.00,0.10, 0.13, 0.99,0.99, 0.00, -0.10,-0.01, 0.99, -0.13,TrackingSpace,0.9980469,-0.32, 1.10, -2.29,-0.06479, 0.02970, 0.00193, 0.99746,352.57, 3.41, 0.00,0.06, 0.13, 0.99,1.00, 0.00, -0.06,-0.01, 0.99, -0.13,TrackingSpace,0.9980469,-0.93, 2.05, -1.20,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 14:45:30.072589,8,start,-0.39, 1.10, -2.29,-0.03951, 0.00636, 0.00239, 0.99920,-0.33, 1.10, -2.29,-0.03951, 0.00636, 0.00239, 0.99920,-0.36, 1.10, -2.29,-0.03951, 0.00636, 0.00239, 0.99920,-0.39, 1.10, -2.29,-0.06629, 0.05331, 0.00355, 0.99637,352.39, 6.13, 0.00,0.11, 0.13, 0.99,0.99, 0.00, -0.11,-0.01, 0.99, -0.13,TrackingSpace,0.9980469,-0.32, 1.10, -2.29,-0.06650, 0.03212, 0.00214, 0.99727,352.37, 3.69, 0.00,0.06, 0.13, 0.99,1.00, 0.00, -0.06,-0.01, 0.99, -0.13,TrackingSpace,0.9980469,-0.93, 2.05, -1.20,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 14:45:30.086577,9,start,-0.39, 1.10, -2.29,-0.04118, 0.00651, 0.00260, 0.99913,-0.33, 1.10, -2.29,-0.04118, 0.00651, 0.00260, 0.99913,-0.36, 1.10, -2.29,-0.04118, 0.00651, 0.00260, 0.99913,-0.39, 1.10, -2.29,-0.06629, 0.05331, 0.00355, 0.99637,352.39, 6.13, 0.00,0.11, 0.13, 0.99,0.99, 0.00, -0.11,-0.01, 0.99, -0.13,TrackingSpace,0.9980469,-0.32, 1.10, -2.29,-0.06650, 0.03212, 0.00214, 0.99727,352.37, 3.69, 0.00,0.06, 0.13, 0.99,1.00, 0.00, -0.06,-0.01, 0.99, -0.13,TrackingSpace,0.9980469,-0.93, 2.05, -1.20,0.00000, 0.00000, 0.00000, 1.00000
