,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Cosine Similarity,Euclidean Error
0,07/20/2023 14:56:36.628869,218,moving,0.87,1.52,-0.07,-0.05186,-0.88811,-0.24945,0.38254,0.83,1.52,-0.03,-0.05186,-0.88811,-0.24945,0.38254,0.85,1.52,-0.05,-0.05186,-0.88811,-0.24945,0.38254,0.88,1.53,-0.02,0.14847,0.8511,0.34113,-0.37043,316.32,227.04,0.0,-0.53,0.69,-0.49,-0.68,0.0,0.73,0.51,0.72,0.47,TrackingSpace,0.9980469,0.84,1.53,0.02,0.13939,0.86061,0.34651,-0.3462,316.14,223.83,0.0,-0.5,0.69,-0.52,-0.72,0.0,0.69,0.48,0.72,0.5,TrackingSpace,0.9980469,0.15,2.5,-0.73,0.0,0.0,0.0,1.0,0.1733333333333652,2.4499999999999575,-0.673333333333302,1.0,0.0,0.7,-0.98,0.6799999999999999,0.6866666666666348,-0.9199999999999575,0.673333333333302,1.4028449280919233,1.4686621480948254
1,07/20/2023 14:56:36.642593,219,moving,0.86,1.52,-0.09,-0.05104,-0.8867,-0.25323,0.38344,0.82,1.52,-0.04,-0.05104,-0.8867,-0.25323,0.38344,0.84,1.52,-0.06,-0.05104,-0.8867,-0.25323,0.38344,0.88,1.53,-0.05,0.15264,0.84679,0.34312,-0.37671,315.88,227.97,0.0,-0.53,0.7,-0.48,-0.67,0.0,0.74,0.52,0.72,0.47,TrackingSpace,0.9980469,0.83,1.52,-0.01,0.14333,0.85667,0.34888,-0.35194,315.68,224.67,0.0,-0.5,0.7,-0.51,-0.71,0.0,0.7,0.49,0.72,0.5,TrackingSpace,0.9980469,0.15,2.5,-0.72,0.0,0.0,0.0,1.0,0.0821506424679368,2.5754549772510558,-0.7728071096444599,1.0,0.0,0.69,-0.98,0.6599999999999999,0.7728493575320632,-1.0504549772510559,0.7428071096444598,1.3288940129478142,1.313393720939532
2,07/20/2023 14:56:36.656594,220,moving,0.86,1.52,-0.1,-0.05105,-0.88511,-0.25715,0.38452,0.82,1.52,-0.05,-0.05105,-0.88511,-0.25715,0.38452,0.84,1.52,-0.08,-0.05105,-0.88511,-0.25715,0.38452,0.88,1.53,-0.05,0.15264,0.84679,0.34312,-0.37671,315.88,227.97,0.0,-0.53,0.7,-0.48,-0.67,0.0,0.74,0.52,0.72,0.47,TrackingSpace,0.9980469,0.83,1.52,-0.01,0.14333,0.85667,0.34888,-0.35194,315.68,224.67,0.0,-0.5,0.7,-0.51,-0.71,0.0,0.7,0.49,0.72,0.5,TrackingSpace,0.9980469,0.15,2.49,-0.72,0.0,0.0,0.0,1.0,0.0821506424679368,2.5754549772510558,-0.7728071096444599,1.0,0.0,0.69,-0.9700000000000002,0.64,0.7728493575320632,-1.0504549772510559,0.7428071096444598,1.614159799856452,2.110142015533168
3,07/20/2023 14:56:36.670698,221,moving,0.86,1.52,-0.11,-0.05311,-0.88358,-0.26017,0.38572,0.82,1.52,-0.06,-0.05311,-0.88358,-0.26017,0.38572,0.84,1.52,-0.09,-0.05311,-0.88358,-0.26017,0.38572,0.88,1.53,-0.05,0.15264,0.84679,0.34312,-0.37671,315.88,227.97,0.0,-0.53,0.7,-0.48,-0.67,0.0,0.74,0.52,0.72,0.47,TrackingSpace,0.9980469,0.83,1.52,-0.01,0.14333,0.85667,0.34888,-0.35194,315.68,224.67,0.0,-0.5,0.7,-0.51,-0.71,0.0,0.7,0.49,0.72,0.5,TrackingSpace,0.9980469,0.15,2.49,-0.71,0.0,0.0,0.0,1.0,0.0821506424679368,2.5754549772510558,-0.7728071096444599,1.0,0.0,0.69,-0.9700000000000002,0.62,0.7728493575320632,-1.0504549772510559,0.7428071096444598,2.2982823501315384,3.298250867610986
4,07/20/2023 14:56:36.684204,222,moving,0.85,1.52,-0.12,-0.05466,-0.88199,-0.26225,0.38773,0.81,1.52,-0.08,-0.05466,-0.88199,-0.26225,0.38773,0.83,1.52,-0.1,-0.05466,-0.88199,-0.26225,0.38773,0.87,1.52,-0.08,0.1584,0.84108,0.34932,-0.3814,314.89,228.79,0.0,-0.53,0.71,-0.47,-0.66,0.0,0.75,0.53,0.71,0.47,TrackingSpace,0.9980469,0.82,1.52,-0.03,0.14906,0.85094,0.35535,-0.35694,314.67,225.51,0.0,-0.5,0.71,-0.49,-0.7,0.0,0.71,0.51,0.7,0.5,TrackingSpace,0.9980469,0.15,2.48,-0.71,0.0,0.0,0.0,1.0,-0.1680756981871948,2.9165665549778375,-0.9991088729433999,1.0,0.0,0.6799999999999999,-0.96,0.61,1.013075698187195,-1.3965665549778374,0.9441088729433998,1.4016410283902172,1.9571798314799698
5,07/20/2023 14:56:36.698319,223,moving,0.85,1.52,-0.13,-0.0547,-0.88054,-0.26394,0.38987,0.81,1.52,-0.09,-0.0547,-0.88054,-0.26394,0.38987,0.83,1.52,-0.11,-0.0547,-0.88054,-0.26394,0.38987,0.87,1.52,-0.08,0.1584,0.84108,0.34932,-0.3814,314.89,228.79,0.0,-0.53,0.71,-0.47,-0.66,0.0,0.75,0.53,0.71,0.47,TrackingSpace,0.9980469,0.82,1.52,-0.03,0.14906,0.85094,0.35535,-0.35694,314.67,225.51,0.0,-0.5,0.71,-0.49,-0.7,0.0,0.71,0.51,0.7,0.5,TrackingSpace,0.9980469,0.15,2.48,-0.7,0.0,0.0,0.0,1.0,-0.1680756981871948,2.9165665549778375,-0.9991088729433999,1.0,0.0,0.6799999999999999,-0.96,0.59,1.013075698187195,-1.3965665549778374,0.9441088729433998,2.131642522733132,3.2124513276914812
6,07/20/2023 14:56:36.712215,224,moving,0.85,1.52,-0.14,-0.05358,-0.87846,-0.26749,0.39227,0.81,1.52,-0.1,-0.05358,-0.87846,-0.26749,0.39227,0.83,1.52,-0.12,-0.05358,-0.87846,-0.26749,0.39227,0.86,1.52,-0.11,0.16494,0.83456,0.35545,-0.38725,313.86,229.78,0.0,-0.53,0.72,-0.45,-0.65,0.0,0.76,0.55,0.69,0.47,TrackingSpace,0.9980469,0.82,1.52,-0.06,0.15575,0.84425,0.36163,-0.36361,313.62,226.6,0.0,-0.5,0.72,-0.47,-0.69,0.0,0.73,0.53,0.69,0.5,TrackingSpace,0.9980469,0.15,2.48,-0.7,0.0,0.0,0.0,1.0,-0.06492890900832599,2.785002351103443,-0.8931287209200505,1.0,0.0,0.6799999999999999,-0.96,0.58,0.9049289090083259,-1.2650023511034432,0.8081287209200505,1.2346558371510632,1.9371626851114199
7,07/20/2023 14:56:36.725729,225,moving,0.84,1.53,-0.15,-0.05256,-0.87634,-0.27129,0.39454,0.8,1.52,-0.11,-0.05256,-0.87634,-0.27129,0.39454,0.82,1.52,-0.13,-0.05256,-0.87634,-0.27129,0.39454,0.86,1.52,-0.11,0.16494,0.83456,0.35545,-0.38725,313.86,229.78,0.0,-0.53,0.72,-0.45,-0.65,0.0,0.76,0.55,0.69,0.47,TrackingSpace,0.9980469,0.82,1.52,-0.06,0.15575,0.84425,0.36163,-0.36361,313.62,226.6,0.0,-0.5,0.72,-0.47,-0.69,0.0,0.73,0.53,0.69,0.5,TrackingSpace,0.9980469,0.15,2.47,-0.7,0.0,0.0,0.0,1.0,-0.06492890900832599,2.785002351103443,-0.8931287209200505,1.0,0.0,0.6699999999999999,-0.9500000000000002,0.57,0.9049289090083259,-1.2650023511034432,0.8081287209200505,1.3789864268081131,2.1167793145764904
8,07/20/2023 14:56:36.739936,226,moving,0.84,1.53,-0.16,-0.0527,-0.87392,-0.27532,0.39711,0.8,1.52,-0.12,-0.0527,-0.87392,-0.27532,0.39711,0.82,1.52,-0.14,-0.0527,-0.87392,-0.27532,0.39711,0.85,1.52,-0.13,0.17174,0.82769,0.36044,-0.39436,312.94,230.95,0.0,-0.53,0.73,-0.43,-0.63,0.0,0.78,0.57,0.68,0.46,TrackingSpace,0.9980469,0.81,1.52,-0.09,0.16235,0.83764,0.36706,-0.37049,312.67,227.72,0.0,-0.5,0.74,-0.46,-0.67,0.0,0.74,0.54,0.68,0.49,TrackingSpace,0.9980469,0.15,2.47,-0.69,0.0,0.0,0.0,1.0,0.1659741144413187,2.4678133514987777,-0.6839032697548533,1.0,0.0,0.6699999999999999,-0.9500000000000002,0.5499999999999999,0.6640258855586814,-0.9478133514987777,0.5739032697548533,1.0697785397889115,1.8390652669968943
9,07/20/2023 14:56:36.753833,227,moving,0.84,1.53,-0.17,-0.05231,-0.87138,-0.27916,0.40004,0.8,1.52,-0.13,-0.05231,-0.87138,-0.27916,0.40004,0.82,1.53,-0.15,-0.05231,-0.87138,-0.27916,0.40004,0.85,1.52,-0.13,0.17174,0.82769,0.36044,-0.39436,312.94,230.95,0.0,-0.53,0.73,-0.43,-0.63,0.0,0.78,0.57,0.68,0.46,TrackingSpace,0.9980469,0.81,1.52,-0.09,0.16235,0.83764,0.36706,-0.37049,312.67,227.72,0.0,-0.5,0.74,-0.46,-0.67,0.0,0.74,0.54,0.68,0.49,TrackingSpace,0.9980469,0.15,2.46,-0.69,0.0,0.0,0.0,1.0,0.1659741144413187,2.4678133514987777,-0.6839032697548533,1.0,0.0,0.6699999999999999,-0.9299999999999999,0.5399999999999999,0.6640258855586814,-0.9478133514987777,0.5739032697548533,1.337242982247127,2.232622892695451
10,07/20/2023 14:56:36.767689,228,moving,0.83,1.53,-0.18,-0.05342,-0.8687,-0.28299,0.40301,0.79,1.53,-0.14,-0.05342,-0.8687,-0.28299,0.40301,0.81,1.53,-0.16,-0.05342,-0.8687,-0.28299,0.40301,0.85,1.52,-0.13,0.17174,0.82769,0.36044,-0.39436,312.94,230.95,0.0,-0.53,0.73,-0.43,-0.63,0.0,0.78,0.57,0.68,0.46,TrackingSpace,0.9980469,0.81,1.52,-0.09,0.16235,0.83764,0.36706,-0.37049,312.67,227.72,0.0,-0.5,0.74,-0.46,-0.67,0.0,0.74,0.54,0.68,0.49,TrackingSpace,0.9980469,0.15,2.46,-0.68,0.0,0.0,0.0,1.0,0.1659741144413187,2.4678133514987777,-0.6839032697548533,1.0,0.0,0.66,-0.9299999999999999,0.52,0.6640258855586814,-0.9478133514987777,0.5739032697548533,1.8913843857898185,3.2721878505687214
