Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/29/2023 23:05:54.982490,0,start,0.32, 1.23, -0.46,-0.39565, -0.25537, 0.03236, 0.88159,0.38, 1.25, -0.43,-0.39565, -0.25537, 0.03236, 0.88159,0.35, 1.24, -0.44,-0.39565, -0.25537, 0.03236, 0.88159,0.32, 1.23, -0.46,-0.31622, -0.32564, -0.11657, 0.88339,320.61, 319.53, 0.00,-0.50, 0.63, 0.59,0.76, 0.00, 0.65,0.41, 0.77, -0.48,TrackingSpace,0.9980469,0.37, 1.24, -0.43,-0.30838, -0.34428, -0.12085, 0.87850,321.32, 317.20, 0.00,-0.53, 0.63, 0.57,0.73, 0.00, 0.68,0.42, 0.78, -0.46,TrackingSpace,0.9980469,-0.34, 2.08, 0.27,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:05:54.996457,1,start,0.32, 1.23, -0.46,-0.39632, -0.25356, 0.03196, 0.88182,0.38, 1.25, -0.43,-0.39632, -0.25356, 0.03196, 0.88182,0.35, 1.24, -0.44,-0.39632, -0.25356, 0.03196, 0.88182,0.32, 1.23, -0.46,-0.31622, -0.32564, -0.11657, 0.88339,320.61, 319.53, 0.00,-0.50, 0.63, 0.59,0.76, 0.00, 0.65,0.41, 0.77, -0.48,TrackingSpace,0.9980469,0.37, 1.24, -0.43,-0.30838, -0.34428, -0.12085, 0.87850,321.32, 317.20, 0.00,-0.53, 0.63, 0.57,0.73, 0.00, 0.68,0.42, 0.78, -0.46,TrackingSpace,0.9980469,-0.34, 2.08, 0.27,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:05:55.010478,2,start,0.32, 1.23, -0.46,-0.39668, -0.25178, 0.03116, 0.88220,0.38, 1.25, -0.43,-0.39668, -0.25178, 0.03116, 0.88220,0.35, 1.24, -0.44,-0.39668, -0.25178, 0.03116, 0.88220,0.32, 1.23, -0.46,-0.31688, -0.32788, -0.11777, 0.88217,320.48, 319.22, 0.00,-0.50, 0.64, 0.58,0.76, 0.00, 0.65,0.42, 0.77, -0.48,TrackingSpace,0.9980469,0.37, 1.24, -0.43,-0.30871, -0.34706, -0.12215, 0.87711,321.22, 316.82, 0.00,-0.53, 0.63, 0.57,0.73, 0.00, 0.68,0.43, 0.78, -0.46,TrackingSpace,0.9980469,-0.34, 2.08, 0.27,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:05:55.024759,3,start,0.32, 1.23, -0.46,-0.39671, -0.25023, 0.03039, 0.88266,0.38, 1.25, -0.43,-0.39671, -0.25023, 0.03039, 0.88266,0.35, 1.24, -0.44,-0.39671, -0.25023, 0.03039, 0.88266,0.32, 1.23, -0.46,-0.31688, -0.32788, -0.11777, 0.88217,320.48, 319.22, 0.00,-0.50, 0.64, 0.58,0.76, 0.00, 0.65,0.42, 0.77, -0.48,TrackingSpace,0.9980469,0.37, 1.24, -0.43,-0.30871, -0.34706, -0.12215, 0.87711,321.22, 316.82, 0.00,-0.53, 0.63, 0.57,0.73, 0.00, 0.68,0.43, 0.78, -0.46,TrackingSpace,0.9980469,-0.34, 2.08, 0.27,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:05:55.039126,4,start,0.32, 1.23, -0.46,-0.39639, -0.24877, 0.02946, 0.88324,0.38, 1.25, -0.43,-0.39639, -0.24877, 0.02946, 0.88324,0.35, 1.24, -0.44,-0.39639, -0.24877, 0.02946, 0.88324,0.32, 1.23, -0.46,-0.31688, -0.32788, -0.11777, 0.88217,320.48, 319.22, 0.00,-0.50, 0.64, 0.58,0.76, 0.00, 0.65,0.42, 0.77, -0.48,TrackingSpace,0.9980469,0.37, 1.24, -0.43,-0.30871, -0.34706, -0.12215, 0.87711,321.22, 316.82, 0.00,-0.53, 0.63, 0.57,0.73, 0.00, 0.68,0.43, 0.78, -0.46,TrackingSpace,0.9980469,-0.34, 2.08, 0.27,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:05:55.053332,5,start,0.32, 1.23, -0.46,-0.39596, -0.24745, 0.02871, 0.88383,0.38, 1.25, -0.43,-0.39596, -0.24745, 0.02871, 0.88383,0.35, 1.24, -0.44,-0.39596, -0.24745, 0.02871, 0.88383,0.32, 1.23, -0.46,-0.31867, -0.32622, -0.11784, 0.88213,320.28, 319.41, 0.00,-0.50, 0.64, 0.58,0.76, 0.00, 0.65,0.42, 0.77, -0.49,TrackingSpace,0.9980469,0.38, 1.24, -0.43,-0.31129, -0.34368, -0.12191, 0.87756,320.94, 317.23, 0.00,-0.53, 0.63, 0.57,0.73, 0.00, 0.68,0.43, 0.78, -0.46,TrackingSpace,0.9980469,-0.34, 2.08, 0.27,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:05:55.067412,6,start,0.32, 1.23, -0.46,-0.39585, -0.24613, 0.02798, 0.88428,0.38, 1.25, -0.43,-0.39585, -0.24613, 0.02798, 0.88428,0.35, 1.24, -0.44,-0.39585, -0.24613, 0.02798, 0.88428,0.32, 1.23, -0.46,-0.31867, -0.32622, -0.11784, 0.88213,320.28, 319.41, 0.00,-0.50, 0.64, 0.58,0.76, 0.00, 0.65,0.42, 0.77, -0.49,TrackingSpace,0.9980469,0.38, 1.24, -0.43,-0.31129, -0.34368, -0.12191, 0.87756,320.94, 317.23, 0.00,-0.53, 0.63, 0.57,0.73, 0.00, 0.68,0.43, 0.78, -0.46,TrackingSpace,0.9980469,-0.34, 2.08, 0.27,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:05:55.082076,7,start,0.32, 1.23, -0.46,-0.39584, -0.24503, 0.02726, 0.88461,0.38, 1.25, -0.43,-0.39584, -0.24503, 0.02726, 0.88461,0.35, 1.24, -0.44,-0.39584, -0.24503, 0.02726, 0.88461,0.32, 1.23, -0.46,-0.32382, -0.33030, -0.12179, 0.87819,319.52, 318.78, 0.00,-0.50, 0.65, 0.57,0.75, 0.00, 0.66,0.43, 0.76, -0.49,TrackingSpace,0.9980469,0.38, 1.24, -0.43,-0.31555, -0.34950, -0.12631, 0.87311,320.26, 316.37, 0.00,-0.53, 0.64, 0.56,0.72, 0.00, 0.69,0.44, 0.77, -0.46,TrackingSpace,0.9980469,-0.34, 2.08, 0.27,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:05:55.096105,8,start,0.32, 1.23, -0.46,-0.39587, -0.24373, 0.02636, 0.88498,0.38, 1.25, -0.43,-0.39587, -0.24373, 0.02636, 0.88498,0.35, 1.24, -0.44,-0.39587, -0.24373, 0.02636, 0.88498,0.32, 1.23, -0.46,-0.32382, -0.33030, -0.12179, 0.87819,319.52, 318.78, 0.00,-0.50, 0.65, 0.57,0.75, 0.00, 0.66,0.43, 0.76, -0.49,TrackingSpace,0.9980469,0.38, 1.24, -0.43,-0.31555, -0.34950, -0.12631, 0.87311,320.26, 316.37, 0.00,-0.53, 0.64, 0.56,0.72, 0.00, 0.69,0.44, 0.77, -0.46,TrackingSpace,0.9980469,-0.34, 2.08, 0.27,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:05:55.109991,9,start,0.32, 1.23, -0.46,-0.39601, -0.24231, 0.02559, 0.88533,0.38, 1.25, -0.43,-0.39601, -0.24231, 0.02559, 0.88533,0.35, 1.24, -0.44,-0.39601, -0.24231, 0.02559, 0.88533,0.32, 1.23, -0.46,-0.32525, -0.32730, -0.12113, 0.87887,319.38, 319.15, 0.00,-0.50, 0.65, 0.57,0.76, 0.00, 0.65,0.43, 0.76, -0.49,TrackingSpace,0.9980469,0.38, 1.24, -0.43,-0.31725, -0.34613, -0.12565, 0.87393,320.10, 316.79, 0.00,-0.53, 0.64, 0.56,0.73, 0.00, 0.68,0.44, 0.77, -0.47,TrackingSpace,0.9980469,-0.34, 2.08, 0.27,0.00000, 0.00000, 0.00000, 1.00000
