Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/29/2023 23:11:27.966433,0,start,0.48, 1.64, 0.82,-0.01820, -0.96284, -0.13571, 0.23281,0.42, 1.64, 0.85,-0.01820, -0.96284, -0.13571, 0.23281,0.45, 1.64, 0.84,-0.01820, -0.96284, -0.13571, 0.23281,0.42, 1.65, 0.82,0.09930, 0.88822, 0.22850, -0.38599,331.15, 226.98, 0.00,-0.64, 0.48, -0.60,-0.68, 0.00, 0.73,0.35, 0.88, 0.33,TrackingSpace,0.9980469,0.37, 1.64, 0.85,0.09762, 0.89185, 0.23144, -0.37619,330.91, 225.74, 0.00,-0.63, 0.49, -0.61,-0.70, 0.00, 0.72,0.35, 0.87, 0.34,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:27.980399,1,start,0.49, 1.64, 0.82,-0.01760, -0.96220, -0.13403, 0.23641,0.43, 1.64, 0.85,-0.01760, -0.96220, -0.13403, 0.23641,0.46, 1.64, 0.84,-0.01760, -0.96220, -0.13403, 0.23641,0.45, 1.64, 0.82,0.10059, 0.88426, 0.22388, -0.39729,331.58, 228.39, 0.00,-0.66, 0.48, -0.58,-0.66, 0.00, 0.75,0.36, 0.88, 0.32,TrackingSpace,0.9980469,0.39, 1.64, 0.85,0.09914, 0.88766, 0.22654, -0.38847,331.37, 227.27, 0.00,-0.64, 0.48, -0.60,-0.68, 0.00, 0.73,0.35, 0.88, 0.33,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:27.994741,2,start,0.51, 1.64, 0.82,-0.01691, -0.96171, -0.13118, 0.24005,0.44, 1.64, 0.86,-0.01691, -0.96171, -0.13118, 0.24005,0.47, 1.64, 0.84,-0.01691, -0.96171, -0.13118, 0.24005,0.45, 1.64, 0.82,0.10059, 0.88426, 0.22388, -0.39729,331.58, 228.39, 0.00,-0.66, 0.48, -0.58,-0.66, 0.00, 0.75,0.36, 0.88, 0.32,TrackingSpace,0.9980469,0.39, 1.64, 0.85,0.09914, 0.88766, 0.22654, -0.38847,331.37, 227.27, 0.00,-0.64, 0.48, -0.60,-0.68, 0.00, 0.73,0.35, 0.88, 0.33,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.009233,3,start,0.52, 1.64, 0.82,-0.01720, -0.96113, -0.12996, 0.24301,0.46, 1.64, 0.86,-0.01720, -0.96113, -0.12996, 0.24301,0.49, 1.64, 0.84,-0.01720, -0.96113, -0.12996, 0.24301,0.45, 1.64, 0.82,0.10059, 0.88426, 0.22388, -0.39729,331.58, 228.39, 0.00,-0.66, 0.48, -0.58,-0.66, 0.00, 0.75,0.36, 0.88, 0.32,TrackingSpace,0.9980469,0.39, 1.64, 0.85,0.09914, 0.88766, 0.22654, -0.38847,331.37, 227.27, 0.00,-0.64, 0.48, -0.60,-0.68, 0.00, 0.73,0.35, 0.88, 0.33,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.021397,4,start,0.53, 1.64, 0.83,-0.01758, -0.96070, -0.12776, 0.24582,0.47, 1.64, 0.86,-0.01758, -0.96070, -0.12776, 0.24582,0.50, 1.64, 0.84,-0.01758, -0.96070, -0.12776, 0.24582,0.48, 1.64, 0.82,0.09880, 0.88247, 0.21427, -0.40690,332.70, 229.51, 0.00,-0.68, 0.46, -0.58,-0.65, 0.00, 0.76,0.35, 0.89, 0.30,TrackingSpace,0.9980469,0.42, 1.64, 0.85,0.09707, 0.88693, 0.21755, -0.39574,332.44, 228.09, 0.00,-0.66, 0.46, -0.59,-0.67, 0.00, 0.74,0.34, 0.89, 0.31,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.035618,5,start,0.54, 1.64, 0.83,-0.01940, -0.96076, -0.12446, 0.24715,0.48, 1.64, 0.86,-0.01940, -0.96076, -0.12446, 0.24715,0.51, 1.64, 0.84,-0.01940, -0.96076, -0.12446, 0.24715,0.48, 1.64, 0.82,0.09880, 0.88247, 0.21427, -0.40690,332.70, 229.51, 0.00,-0.68, 0.46, -0.58,-0.65, 0.00, 0.76,0.35, 0.89, 0.30,TrackingSpace,0.9980469,0.42, 1.64, 0.85,0.09707, 0.88693, 0.21755, -0.39574,332.44, 228.09, 0.00,-0.66, 0.46, -0.59,-0.67, 0.00, 0.74,0.34, 0.89, 0.31,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.049854,6,start,0.55, 1.64, 0.83,-0.01813, -0.96073, -0.12080, 0.24915,0.49, 1.64, 0.86,-0.01813, -0.96073, -0.12080, 0.24915,0.52, 1.64, 0.84,-0.01813, -0.96073, -0.12080, 0.24915,0.51, 1.64, 0.83,0.09856, 0.88038, 0.20968, -0.41382,333.21, 230.35, 0.00,-0.69, 0.45, -0.57,-0.64, 0.00, 0.77,0.35, 0.89, 0.29,TrackingSpace,0.9980469,0.45, 1.64, 0.86,0.09688, 0.88496, 0.21294, -0.40263,332.94, 228.93, 0.00,-0.67, 0.45, -0.59,-0.66, 0.00, 0.75,0.34, 0.89, 0.30,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.063766,7,start,0.56, 1.65, 0.83,-0.01588, -0.96080, -0.11589, 0.25135,0.50, 1.64, 0.86,-0.01588, -0.96080, -0.11589, 0.25135,0.53, 1.64, 0.85,-0.01588, -0.96080, -0.11589, 0.25135,0.51, 1.64, 0.83,0.09856, 0.88038, 0.20968, -0.41382,333.21, 230.35, 0.00,-0.69, 0.45, -0.57,-0.64, 0.00, 0.77,0.35, 0.89, 0.29,TrackingSpace,0.9980469,0.45, 1.64, 0.86,0.09688, 0.88496, 0.21294, -0.40263,332.94, 228.93, 0.00,-0.67, 0.45, -0.59,-0.66, 0.00, 0.75,0.34, 0.89, 0.30,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.078358,8,start,0.57, 1.65, 0.83,-0.01632, -0.96089, -0.11191, 0.25278,0.51, 1.65, 0.86,-0.01632, -0.96089, -0.11191, 0.25278,0.54, 1.65, 0.85,-0.01632, -0.96089, -0.11191, 0.25278,0.51, 1.64, 0.83,0.09856, 0.88038, 0.20968, -0.41382,333.21, 230.35, 0.00,-0.69, 0.45, -0.57,-0.64, 0.00, 0.77,0.35, 0.89, 0.29,TrackingSpace,0.9980469,0.45, 1.64, 0.86,0.09688, 0.88496, 0.21294, -0.40263,332.94, 228.93, 0.00,-0.67, 0.45, -0.59,-0.66, 0.00, 0.75,0.34, 0.89, 0.30,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.092479,9,start,0.59, 1.65, 0.83,-0.01756, -0.96060, -0.11019, 0.25456,0.53, 1.65, 0.87,-0.01756, -0.96060, -0.11019, 0.25456,0.56, 1.65, 0.85,-0.01756, -0.96060, -0.11019, 0.25456,0.54, 1.64, 0.83,0.10158, 0.87396, 0.20767, -0.42748,333.27, 232.13, 0.00,-0.71, 0.45, -0.55,-0.61, 0.00, 0.79,0.36, 0.89, 0.28,TrackingSpace,0.9980469,0.48, 1.64, 0.86,0.10074, 0.87653, 0.20950, -0.42149,333.12, 231.36, 0.00,-0.70, 0.45, -0.56,-0.62, 0.00, 0.78,0.35, 0.89, 0.28,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.106613,10,start,0.60, 1.65, 0.83,-0.01921, -0.96008, -0.11103, 0.25602,0.54, 1.65, 0.87,-0.01921, -0.96008, -0.11103, 0.25602,0.57, 1.65, 0.85,-0.01921, -0.96008, -0.11103, 0.25602,0.54, 1.64, 0.83,0.10158, 0.87396, 0.20767, -0.42748,333.27, 232.13, 0.00,-0.71, 0.45, -0.55,-0.61, 0.00, 0.79,0.36, 0.89, 0.28,TrackingSpace,0.9980469,0.48, 1.64, 0.86,0.10074, 0.87653, 0.20950, -0.42149,333.12, 231.36, 0.00,-0.70, 0.45, -0.56,-0.62, 0.00, 0.78,0.35, 0.89, 0.28,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.120680,11,start,0.61, 1.65, 0.83,-0.02016, -0.95933, -0.11388, 0.25750,0.55, 1.65, 0.87,-0.02016, -0.95933, -0.11388, 0.25750,0.58, 1.65, 0.85,-0.02016, -0.95933, -0.11388, 0.25750,0.57, 1.65, 0.83,0.10133, 0.87123, 0.20277, -0.43540,333.80, 233.11, 0.00,-0.72, 0.44, -0.54,-0.60, 0.00, 0.80,0.35, 0.90, 0.27,TrackingSpace,0.9980469,0.51, 1.64, 0.86,0.10054, 0.87384, 0.20457, -0.42947,333.65, 232.35, 0.00,-0.71, 0.44, -0.55,-0.61, 0.00, 0.79,0.35, 0.90, 0.27,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.134585,12,start,0.62, 1.66, 0.83,-0.01908, -0.95845, -0.11812, 0.25895,0.56, 1.65, 0.87,-0.01908, -0.95845, -0.11812, 0.25895,0.59, 1.65, 0.85,-0.01908, -0.95845, -0.11812, 0.25895,0.57, 1.65, 0.83,0.10133, 0.87123, 0.20277, -0.43540,333.80, 233.11, 0.00,-0.72, 0.44, -0.54,-0.60, 0.00, 0.80,0.35, 0.90, 0.27,TrackingSpace,0.9980469,0.51, 1.64, 0.86,0.10054, 0.87384, 0.20457, -0.42947,333.65, 232.35, 0.00,-0.71, 0.44, -0.55,-0.61, 0.00, 0.79,0.35, 0.90, 0.27,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.148762,13,start,0.63, 1.66, 0.83,-0.01668, -0.95756, -0.12232, 0.26044,0.57, 1.65, 0.87,-0.01668, -0.95756, -0.12232, 0.26044,0.60, 1.66, 0.85,-0.01668, -0.95756, -0.12232, 0.26044,0.59, 1.65, 0.83,0.10645, 0.86640, 0.20927, -0.44070,332.84, 233.92, 0.00,-0.72, 0.46, -0.52,-0.59, 0.00, 0.81,0.37, 0.89, 0.27,TrackingSpace,0.9980469,0.54, 1.65, 0.86,0.10563, 0.86905, 0.21114, -0.43476,332.69, 233.16, 0.00,-0.71, 0.46, -0.53,-0.60, 0.00, 0.80,0.37, 0.89, 0.28,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.162716,14,start,0.64, 1.66, 0.83,-0.01466, -0.95679, -0.12592, 0.26169,0.58, 1.66, 0.87,-0.01466, -0.95679, -0.12592, 0.26169,0.61, 1.66, 0.85,-0.01466, -0.95679, -0.12592, 0.26169,0.59, 1.65, 0.83,0.10645, 0.86640, 0.20927, -0.44070,332.84, 233.92, 0.00,-0.72, 0.46, -0.52,-0.59, 0.00, 0.81,0.37, 0.89, 0.27,TrackingSpace,0.9980469,0.54, 1.65, 0.86,0.10563, 0.86905, 0.21114, -0.43476,332.69, 233.16, 0.00,-0.71, 0.46, -0.53,-0.60, 0.00, 0.80,0.37, 0.89, 0.28,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.177312,15,start,0.65, 1.66, 0.83,-0.01411, -0.95624, -0.12810, 0.26268,0.59, 1.66, 0.87,-0.01411, -0.95624, -0.12810, 0.26268,0.62, 1.66, 0.85,-0.01411, -0.95624, -0.12810, 0.26268,0.59, 1.65, 0.83,0.10645, 0.86640, 0.20927, -0.44070,332.84, 233.92, 0.00,-0.72, 0.46, -0.52,-0.59, 0.00, 0.81,0.37, 0.89, 0.27,TrackingSpace,0.9980469,0.54, 1.65, 0.86,0.10563, 0.86905, 0.21114, -0.43476,332.69, 233.16, 0.00,-0.71, 0.46, -0.53,-0.60, 0.00, 0.80,0.37, 0.89, 0.28,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.190732,16,start,0.66, 1.66, 0.83,-0.01443, -0.95571, -0.12941, 0.26395,0.60, 1.66, 0.87,-0.01443, -0.95571, -0.12941, 0.26395,0.63, 1.66, 0.85,-0.01443, -0.95571, -0.12941, 0.26395,0.62, 1.65, 0.83,0.10963, 0.86208, 0.21125, -0.44740,332.46, 234.86, 0.00,-0.73, 0.46, -0.51,-0.58, 0.00, 0.82,0.38, 0.89, 0.27,TrackingSpace,0.9980469,0.56, 1.65, 0.87,0.10885, 0.86475, 0.21320, -0.44148,332.30, 234.09, 0.00,-0.72, 0.46, -0.52,-0.59, 0.00, 0.81,0.38, 0.89, 0.27,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
07/29/2023 23:11:28.204401,17,start,0.67, 1.66, 0.83,-0.01613, -0.95538, -0.13004, 0.26471,0.61, 1.66, 0.87,-0.01613, -0.95538, -0.13004, 0.26471,0.64, 1.66, 0.85,-0.01613, -0.95538, -0.13004, 0.26471,0.62, 1.65, 0.83,0.10963, 0.86208, 0.21125, -0.44740,332.46, 234.86, 0.00,-0.73, 0.46, -0.51,-0.58, 0.00, 0.82,0.38, 0.89, 0.27,TrackingSpace,0.9980469,0.56, 1.65, 0.87,0.10885, 0.86475, 0.21320, -0.44148,332.30, 234.09, 0.00,-0.72, 0.46, -0.52,-0.59, 0.00, 0.81,0.38, 0.89, 0.27,TrackingSpace,0.9980469,-0.34, 2.13, 0.17,0.00000, 0.00000, 0.00000, 1.00000
