Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 11:31:16.228115,0,start,0.04, 1.27, 0.47,-0.00291, 0.99968, 0.01129, -0.02245,-0.02, 1.27, 0.48,-0.00291, 0.99968, 0.01129, -0.02245,0.01, 1.27, 0.48,-0.00291, 0.99968, 0.01129, -0.02245,0.04, 1.27, 0.47,0.00000, 0.99979, 0.00018, -0.02040,359.98, 182.34, 0.00,-0.04, 0.00, -1.00,-1.00, 0.00, 0.04,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.02, 1.27, 0.48,0.00000, 0.99998, 0.00023, -0.00552,359.97, 180.63, 0.00,-0.01, 0.00, -1.00,-1.00, 0.00, 0.01,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.05, 1.30, -0.77,-0.00254, 0.99968, 0.01150, -0.02218
07/31/2023 11:31:16.242396,1,start,0.04, 1.27, 0.47,-0.00325, 0.99968, 0.01088, -0.02269,-0.02, 1.27, 0.48,-0.00325, 0.99968, 0.01088, -0.02269,0.01, 1.27, 0.48,-0.00325, 0.99968, 0.01088, -0.02269,0.04, 1.27, 0.47,0.00001, 0.99976, 0.00065, -0.02190,359.93, 182.51, 0.00,-0.04, 0.00, -1.00,-1.00, 0.00, 0.04,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.02, 1.27, 0.48,0.00001, 0.99997, 0.00071, -0.00761,359.92, 180.87, 0.00,-0.02, 0.00, -1.00,-1.00, 0.00, 0.02,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.05, 1.30, -0.77,-0.00288, 0.99968, 0.01121, -0.02242
07/31/2023 11:31:16.256161,2,start,0.04, 1.27, 0.47,-0.00343, 0.99968, 0.01031, -0.02290,-0.02, 1.27, 0.48,-0.00343, 0.99968, 0.01031, -0.02290,0.01, 1.27, 0.48,-0.00343, 0.99968, 0.01031, -0.02290,0.04, 1.27, 0.47,0.00001, 0.99976, 0.00065, -0.02190,359.93, 182.51, 0.00,-0.04, 0.00, -1.00,-1.00, 0.00, 0.04,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.02, 1.27, 0.48,0.00001, 0.99997, 0.00071, -0.00761,359.92, 180.87, 0.00,-0.02, 0.00, -1.00,-1.00, 0.00, 0.02,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.05, 1.30, -0.77,-0.00321, 0.99968, 0.01081, -0.02267
07/31/2023 11:31:16.270596,3,start,0.04, 1.27, 0.47,-0.00365, 0.99967, 0.00986, -0.02326,-0.02, 1.27, 0.48,-0.00365, 0.99967, 0.00986, -0.02326,0.01, 1.27, 0.48,-0.00365, 0.99967, 0.00986, -0.02326,0.04, 1.27, 0.47,0.00001, 0.99976, 0.00065, -0.02190,359.93, 182.51, 0.00,-0.04, 0.00, -1.00,-1.00, 0.00, 0.04,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.02, 1.27, 0.48,0.00001, 0.99997, 0.00071, -0.00761,359.92, 180.87, 0.00,-0.02, 0.00, -1.00,-1.00, 0.00, 0.02,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.05, 1.30, -0.77,-0.00342, 0.99968, 0.01030, -0.02289
07/31/2023 11:31:16.284851,4,start,0.04, 1.27, 0.47,-0.00352, 0.99967, 0.00952, -0.02343,-0.02, 1.27, 0.48,-0.00352, 0.99967, 0.00952, -0.02343,0.01, 1.27, 0.48,-0.00352, 0.99967, 0.00952, -0.02343,0.04, 1.27, 0.47,0.00005, 0.99978, 0.00229, -0.02102,359.74, 182.41, 0.00,-0.04, 0.00, -1.00,-1.00, 0.00, 0.04,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.02, 1.27, 0.48,0.00002, 0.99995, 0.00237, -0.00920,359.73, 181.05, 0.00,-0.02, 0.00, -1.00,-1.00, 0.00, 0.02,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.05, 1.30, -0.77,-0.00356, 0.99968, 0.00988, -0.02321
07/31/2023 11:31:16.299132,5,start,0.04, 1.27, 0.47,-0.00342, 0.99967, 0.00932, -0.02360,-0.02, 1.27, 0.48,-0.00342, 0.99967, 0.00932, -0.02360,0.01, 1.27, 0.48,-0.00342, 0.99967, 0.00932, -0.02360,0.04, 1.27, 0.47,0.00005, 0.99978, 0.00229, -0.02102,359.74, 182.41, 0.00,-0.04, 0.00, -1.00,-1.00, 0.00, 0.04,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.02, 1.27, 0.48,0.00002, 0.99995, 0.00237, -0.00920,359.73, 181.05, 0.00,-0.02, 0.00, -1.00,-1.00, 0.00, 0.02,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.05, 1.30, -0.77,-0.00346, 0.99967, 0.00959, -0.02340
07/31/2023 11:31:16.313079,6,start,0.04, 1.27, 0.47,-0.00332, 0.99967, 0.00883, -0.02371,-0.02, 1.27, 0.48,-0.00332, 0.99967, 0.00883, -0.02371,0.01, 1.27, 0.48,-0.00332, 0.99967, 0.00883, -0.02371,0.04, 1.27, 0.47,0.00004, 0.99979, 0.00216, -0.02020,359.75, 182.32, 0.00,-0.04, 0.00, -1.00,-1.00, 0.00, 0.04,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.02, 1.27, 0.48,0.00002, 0.99995, 0.00224, -0.00929,359.74, 181.06, 0.00,-0.02, 0.00, -1.00,-1.00, 0.00, 0.02,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.05, 1.30, -0.77,-0.00341, 0.99967, 0.00932, -0.02359
07/31/2023 11:31:16.327383,7,start,0.04, 1.27, 0.47,-0.00310, 0.99968, 0.00815, -0.02370,-0.02, 1.27, 0.48,-0.00310, 0.99968, 0.00815, -0.02370,0.01, 1.27, 0.48,-0.00310, 0.99968, 0.00815, -0.02370,0.04, 1.27, 0.47,0.00004, 0.99979, 0.00216, -0.02020,359.75, 182.32, 0.00,-0.04, 0.00, -1.00,-1.00, 0.00, 0.04,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.02, 1.27, 0.48,0.00002, 0.99995, 0.00224, -0.00929,359.74, 181.06, 0.00,-0.02, 0.00, -1.00,-1.00, 0.00, 0.02,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.05, 1.29, -0.77,-0.00332, 0.99968, 0.00882, -0.02369
07/31/2023 11:31:16.341812,8,start,0.04, 1.27, 0.47,-0.00278, 0.99969, 0.00744, -0.02361,-0.02, 1.27, 0.48,-0.00278, 0.99969, 0.00744, -0.02361,0.01, 1.27, 0.47,-0.00278, 0.99969, 0.00744, -0.02361,0.04, 1.27, 0.47,0.00001, 0.99980, 0.00060, -0.02006,359.93, 182.30, 0.00,-0.04, 0.00, -1.00,-1.00, 0.00, 0.04,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.02, 1.27, 0.48,0.00000, 0.99998, 0.00070, -0.00622,359.92, 180.71, 0.00,-0.01, 0.00, -1.00,-1.00, 0.00, 0.01,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.05, 1.29, -0.77,-0.00306, 0.99968, 0.00806, -0.02364
07/31/2023 11:31:16.355375,9,start,0.04, 1.27, 0.47,-0.00240, 0.99970, 0.00686, -0.02348,-0.02, 1.27, 0.48,-0.00240, 0.99970, 0.00686, -0.02348,0.01, 1.27, 0.47,-0.00240, 0.99970, 0.00686, -0.02348,0.04, 1.27, 0.47,0.00001, 0.99980, 0.00060, -0.02006,359.93, 182.30, 0.00,-0.04, 0.00, -1.00,-1.00, 0.00, 0.04,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.02, 1.27, 0.48,0.00000, 0.99998, 0.00070, -0.00622,359.92, 180.71, 0.00,-0.01, 0.00, -1.00,-1.00, 0.00, 0.01,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.05, 1.29, -0.77,-0.00273, 0.99969, 0.00745, -0.02357
