Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 11:19:14.488497,0,start,-0.20, 1.32, 0.86,0.07815, -0.90674, -0.33149, -0.24867,-0.26, 1.32, 0.83,0.07815, -0.90674, -0.33149, -0.24867,-0.23, 1.32, 0.85,0.07815, -0.90674, -0.33149, -0.24867,-0.20, 1.32, 0.86,-0.10542, 0.89081, 0.35289, 0.26611,316.78, 146.74, 0.00,0.40, 0.68, -0.61,-0.84, 0.00, -0.55,-0.38, 0.73, 0.57,TrackingSpace,0.9980469,-0.26, 1.32, 0.83,-0.11215, 0.88568, 0.34985, 0.28391,316.89, 144.45, 0.00,0.42, 0.68, -0.59,-0.81, 0.00, -0.58,-0.40, 0.73, 0.56,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 11:19:14.502138,1,start,-0.20, 1.32, 0.86,0.07835, -0.90689, -0.33118, -0.24846,-0.26, 1.32, 0.83,0.07835, -0.90689, -0.33118, -0.24846,-0.23, 1.32, 0.85,0.07835, -0.90689, -0.33118, -0.24846,-0.20, 1.32, 0.86,-0.10650, 0.89003, 0.35227, 0.26908,316.81, 146.36, 0.00,0.40, 0.68, -0.61,-0.83, 0.00, -0.55,-0.38, 0.73, 0.57,TrackingSpace,0.9980469,-0.26, 1.32, 0.83,-0.11395, 0.88426, 0.34876, 0.28891,316.95, 143.81, 0.00,0.43, 0.68, -0.59,-0.81, 0.00, -0.59,-0.40, 0.73, 0.55,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 11:19:14.516110,2,start,-0.20, 1.32, 0.86,0.07846, -0.90701, -0.33089, -0.24838,-0.26, 1.32, 0.83,0.07846, -0.90701, -0.33089, -0.24838,-0.23, 1.32, 0.85,0.07846, -0.90701, -0.33089, -0.24838,-0.20, 1.32, 0.86,-0.10650, 0.89003, 0.35227, 0.26908,316.81, 146.36, 0.00,0.40, 0.68, -0.61,-0.83, 0.00, -0.55,-0.38, 0.73, 0.57,TrackingSpace,0.9980469,-0.26, 1.32, 0.83,-0.11395, 0.88426, 0.34876, 0.28891,316.95, 143.81, 0.00,0.43, 0.68, -0.59,-0.81, 0.00, -0.59,-0.40, 0.73, 0.55,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 11:19:14.530370,3,start,-0.20, 1.32, 0.86,0.07854, -0.90717, -0.33057, -0.24821,-0.26, 1.32, 0.83,0.07854, -0.90717, -0.33057, -0.24821,-0.23, 1.32, 0.85,0.07854, -0.90717, -0.33057, -0.24821,-0.20, 1.32, 0.86,-0.10650, 0.89003, 0.35227, 0.26908,316.81, 146.36, 0.00,0.40, 0.68, -0.61,-0.83, 0.00, -0.55,-0.38, 0.73, 0.57,TrackingSpace,0.9980469,-0.26, 1.32, 0.83,-0.11395, 0.88426, 0.34876, 0.28891,316.95, 143.81, 0.00,0.43, 0.68, -0.59,-0.81, 0.00, -0.59,-0.40, 0.73, 0.55,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 11:19:14.544414,4,start,-0.20, 1.32, 0.86,0.07844, -0.90726, -0.33038, -0.24813,-0.26, 1.32, 0.83,0.07844, -0.90726, -0.33038, -0.24813,-0.23, 1.32, 0.85,0.07844, -0.90726, -0.33038, -0.24813,-0.20, 1.32, 0.86,-0.10478, 0.89170, 0.35044, 0.26661,317.09, 146.71, 0.00,0.40, 0.68, -0.61,-0.84, 0.00, -0.55,-0.37, 0.73, 0.57,TrackingSpace,0.9980469,-0.26, 1.32, 0.83,-0.11264, 0.88560, 0.34682, 0.28764,317.23, 144.01, 0.00,0.43, 0.68, -0.59,-0.81, 0.00, -0.59,-0.40, 0.73, 0.55,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 11:19:14.558689,5,start,-0.20, 1.32, 0.86,0.07836, -0.90741, -0.33005, -0.24806,-0.26, 1.32, 0.83,0.07836, -0.90741, -0.33005, -0.24806,-0.23, 1.32, 0.85,0.07836, -0.90741, -0.33005, -0.24806,-0.20, 1.32, 0.86,-0.10478, 0.89170, 0.35044, 0.26661,317.09, 146.71, 0.00,0.40, 0.68, -0.61,-0.84, 0.00, -0.55,-0.37, 0.73, 0.57,TrackingSpace,0.9980469,-0.26, 1.32, 0.83,-0.11264, 0.88560, 0.34682, 0.28764,317.23, 144.01, 0.00,0.43, 0.68, -0.59,-0.81, 0.00, -0.59,-0.40, 0.73, 0.55,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 11:19:14.572708,6,start,-0.20, 1.32, 0.86,0.07822, -0.90746, -0.32987, -0.24817,-0.26, 1.32, 0.83,0.07822, -0.90746, -0.32987, -0.24817,-0.23, 1.32, 0.85,0.07822, -0.90746, -0.32987, -0.24817,-0.20, 1.32, 0.86,-0.10504, 0.89164, 0.34943, 0.26804,317.20, 146.54, 0.00,0.40, 0.68, -0.61,-0.83, 0.00, -0.55,-0.37, 0.73, 0.57,TrackingSpace,0.9980469,-0.26, 1.32, 0.83,-0.11240, 0.88590, 0.34601, 0.28779,317.33, 144.01, 0.00,0.43, 0.68, -0.59,-0.81, 0.00, -0.59,-0.40, 0.74, 0.55,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 11:19:14.587303,7,start,-0.20, 1.32, 0.86,0.07809, -0.90753, -0.32962, -0.24826,-0.26, 1.32, 0.83,0.07809, -0.90753, -0.32962, -0.24826,-0.23, 1.32, 0.85,0.07809, -0.90753, -0.32962, -0.24826,-0.20, 1.32, 0.86,-0.10504, 0.89164, 0.34943, 0.26804,317.20, 146.54, 0.00,0.40, 0.68, -0.61,-0.83, 0.00, -0.55,-0.37, 0.73, 0.57,TrackingSpace,0.9980469,-0.26, 1.32, 0.83,-0.11240, 0.88590, 0.34601, 0.28779,317.33, 144.01, 0.00,0.43, 0.68, -0.59,-0.81, 0.00, -0.59,-0.40, 0.74, 0.55,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 11:19:14.601302,8,start,-0.20, 1.32, 0.86,0.07794, -0.90758, -0.32943, -0.24838,-0.26, 1.32, 0.83,0.07794, -0.90758, -0.32943, -0.24838,-0.23, 1.32, 0.85,0.07794, -0.90758, -0.32943, -0.24838,-0.20, 1.32, 0.86,-0.10513, 0.89167, 0.34876, 0.26878,317.28, 146.45, 0.00,0.41, 0.68, -0.61,-0.83, 0.00, -0.55,-0.37, 0.73, 0.57,TrackingSpace,0.9980469,-0.26, 1.32, 0.83,-0.11243, 0.88595, 0.34535, 0.28842,317.41, 143.93, 0.00,0.43, 0.68, -0.60,-0.81, 0.00, -0.59,-0.40, 0.74, 0.55,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 11:19:14.614911,9,start,-0.20, 1.32, 0.86,0.07793, -0.90760, -0.32928, -0.24854,-0.26, 1.32, 0.83,0.07793, -0.90760, -0.32928, -0.24854,-0.23, 1.32, 0.85,0.07793, -0.90760, -0.32928, -0.24854,-0.20, 1.32, 0.86,-0.10513, 0.89167, 0.34876, 0.26878,317.28, 146.45, 0.00,0.41, 0.68, -0.61,-0.83, 0.00, -0.55,-0.37, 0.73, 0.57,TrackingSpace,0.9980469,-0.26, 1.32, 0.83,-0.11243, 0.88595, 0.34535, 0.28842,317.41, 143.93, 0.00,0.43, 0.68, -0.60,-0.81, 0.00, -0.59,-0.40, 0.74, 0.55,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
