,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Cosine Similarity,Actual Gaze Visual Angle_x,Actual Gaze Visual Angle_y,Expected Gaze Visual Angle_x,Expected Gaze Visual Angle_y,Euclidean Error
0,07/31/2023 15:34:52.765186,0,start,-0.22,1.21,0.52,0.00617,0.98485,0.17191,-0.02202,-0.28,1.21,0.52,0.00617,0.98485,0.17191,-0.02202,-0.25,1.21,0.52,0.00617,0.98485,0.17191,-0.02202,-0.22,1.21,0.52,0.00464,0.9853,0.1686,-0.02714,340.58,183.16,0.0,-0.05,0.33,-0.94,-1.0,0.0,0.06,0.02,0.94,0.33,TrackingSpace,0.9980469,-0.28,1.21,0.52,0.00057,0.98571,0.16844,-0.00334,340.61,180.39,0.0,-0.01,0.33,-0.94,-1.0,0.0,0.01,0.0,0.94,0.33,TrackingSpace,0.9980469,-0.3,1.63,-0.65,0.00619,0.98478,0.17229,-0.02221,-0.29500000000000226,1.705000000000024,-0.890000000000069,1.0,0.0,0.04999999999999999,-0.41999999999999993,1.17,0.04500000000000226,-0.4950000000000241,1.410000000000069,0.7045874407125902,0.03190406448502246,-0.33762223738843217,0.04270905576500414,-0.34464731561802614,0.7384258206313898
1,07/31/2023 15:34:52.779043,1,start,-0.22,1.21,0.52,0.00624,0.98492,0.17151,-0.0218,-0.28,1.21,0.52,0.00624,0.98492,0.17151,-0.0218,-0.25,1.21,0.52,0.00624,0.98492,0.17151,-0.0218,-0.22,1.21,0.52,0.00496,0.98535,0.16795,-0.02911,340.65,183.38,0.0,-0.06,0.33,-0.94,-1.0,0.0,0.06,0.02,0.94,0.33,TrackingSpace,0.9980469,-0.28,1.21,0.52,0.0009,0.9858,0.16784,-0.0053,340.68,180.62,0.0,-0.01,0.33,-0.94,-1.0,0.0,0.01,0.0,0.94,0.33,TrackingSpace,0.9980469,-0.3,1.63,-0.66,0.00616,0.98485,0.17189,-0.02201,-0.2920000000000002,1.6060000000000016,-0.6080000000000048,1.0,0.0,0.04999999999999999,-0.41999999999999993,1.1800000000000002,0.042000000000000204,-0.3960000000000017,1.1280000000000048,0.3693617033953626,0.03721685008347137,-0.3376222373884322,0.04234754902057581,-0.34194982697771004,0.38457421986651685
2,07/31/2023 15:34:52.793441,2,start,-0.22,1.21,0.52,0.00627,0.98498,0.17122,-0.02158,-0.28,1.21,0.52,0.00627,0.98498,0.17122,-0.02158,-0.25,1.21,0.52,0.00627,0.98498,0.17122,-0.02158,-0.22,1.21,0.52,0.00496,0.98535,0.16795,-0.02911,340.65,183.38,0.0,-0.06,0.33,-0.94,-1.0,0.0,0.06,0.02,0.94,0.33,TrackingSpace,0.9980469,-0.28,1.21,0.52,0.0009,0.9858,0.16784,-0.0053,340.68,180.62,0.0,-0.01,0.33,-0.94,-1.0,0.0,0.01,0.0,0.94,0.33,TrackingSpace,0.9980469,-0.3,1.63,-0.66,0.00623,0.98492,0.17152,-0.02179,-0.2920000000000002,1.6060000000000016,-0.6080000000000048,1.0,0.0,0.04999999999999999,-0.41999999999999993,1.1800000000000002,0.042000000000000204,-0.3960000000000017,1.1280000000000048,0.3693617033953626,0.03721685008347137,-0.3376222373884322,0.04234754902057581,-0.34194982697771004,0.38457421986651685
3,07/31/2023 15:34:52.807585,3,start,-0.22,1.21,0.52,0.00647,0.98501,0.17103,-0.02127,-0.28,1.21,0.52,0.00647,0.98501,0.17103,-0.02127,-0.25,1.21,0.52,0.00647,0.98501,0.17103,-0.02127,-0.22,1.21,0.52,0.00506,0.98507,0.16958,-0.02939,340.46,183.42,0.0,-0.06,0.33,-0.94,-1.0,0.0,0.06,0.02,0.94,0.33,TrackingSpace,0.9980469,-0.28,1.21,0.52,0.00072,0.98553,0.16946,-0.00418,340.49,180.49,0.0,-0.01,0.33,-0.94,-1.0,0.0,0.01,0.0,0.94,0.33,TrackingSpace,0.9980469,-0.3,1.63,-0.66,0.0063,0.98497,0.17127,-0.02153,-0.2920000000000002,1.6060000000000016,-0.6080000000000048,1.0,0.0,0.04999999999999999,-0.41999999999999993,1.1800000000000002,0.042000000000000204,-0.3960000000000017,1.1280000000000048,0.3693617033953626,0.03721685008347137,-0.3376222373884322,0.04234754902057581,-0.34194982697771004,0.38457421986651685
4,07/31/2023 15:34:52.821698,4,start,-0.22,1.21,0.52,0.00666,0.98505,0.17088,-0.02091,-0.28,1.21,0.52,0.00666,0.98505,0.17088,-0.02091,-0.25,1.21,0.52,0.00666,0.98505,0.17088,-0.02091,-0.22,1.21,0.52,0.00506,0.98507,0.16958,-0.02939,340.46,183.42,0.0,-0.06,0.33,-0.94,-1.0,0.0,0.06,0.02,0.94,0.33,TrackingSpace,0.9980469,-0.28,1.21,0.52,0.00072,0.98553,0.16946,-0.00418,340.49,180.49,0.0,-0.01,0.33,-0.94,-1.0,0.0,0.01,0.0,0.94,0.33,TrackingSpace,0.9980469,-0.3,1.63,-0.66,0.00646,0.98501,0.17109,-0.02124,-0.2920000000000002,1.6060000000000016,-0.6080000000000048,1.0,0.0,0.04999999999999999,-0.41999999999999993,1.1800000000000002,0.042000000000000204,-0.3960000000000017,1.1280000000000048,0.3693617033953626,0.03721685008347137,-0.3376222373884322,0.04234754902057581,-0.34194982697771004,0.38457421986651685
5,07/31/2023 15:34:52.836190,5,start,-0.22,1.21,0.52,0.00695,0.98507,0.17082,-0.02046,-0.28,1.21,0.52,0.00695,0.98507,0.17082,-0.02046,-0.25,1.21,0.52,0.00695,0.98507,0.17082,-0.02046,-0.22,1.21,0.52,0.00506,0.98507,0.16958,-0.02939,340.46,183.42,0.0,-0.06,0.33,-0.94,-1.0,0.0,0.06,0.02,0.94,0.33,TrackingSpace,0.9980469,-0.28,1.21,0.52,0.00072,0.98553,0.16946,-0.00418,340.49,180.49,0.0,-0.01,0.33,-0.94,-1.0,0.0,0.01,0.0,0.94,0.33,TrackingSpace,0.9980469,-0.3,1.63,-0.66,0.00667,0.98504,0.17091,-0.02086,-0.2920000000000002,1.6060000000000016,-0.6080000000000048,1.0,0.0,0.04999999999999999,-0.41999999999999993,1.1800000000000002,0.042000000000000204,-0.3960000000000017,1.1280000000000048,0.3693617033953626,0.03721685008347137,-0.3376222373884322,0.04234754902057581,-0.34194982697771004,0.38457421986651685
6,07/31/2023 15:34:52.850364,6,start,-0.22,1.21,0.52,0.00732,0.9851,0.17065,-0.02005,-0.28,1.21,0.52,0.00732,0.9851,0.17065,-0.02005,-0.25,1.21,0.52,0.00732,0.9851,0.17065,-0.02005,-0.22,1.21,0.52,0.00493,0.9852,0.16893,-0.02876,340.54,183.34,0.0,-0.05,0.33,-0.94,-1.0,0.0,0.06,0.02,0.94,0.33,TrackingSpace,0.9980469,-0.28,1.21,0.52,0.00061,0.98564,0.16879,-0.00356,340.56,180.41,0.0,-0.01,0.33,-0.94,-1.0,0.0,0.01,0.0,0.94,0.33,TrackingSpace,0.9980469,-0.3,1.63,-0.66,0.00693,0.98507,0.17082,-0.02047,-0.29500000000000226,1.705000000000024,-0.890000000000069,1.0,0.0,0.04999999999999999,-0.41999999999999993,1.1800000000000002,0.04500000000000226,-0.4950000000000241,1.410000000000069,0.6134524112785084,0.03190406448502246,-0.33762223738843217,0.04234754902057581,-0.34194982697771004,0.6477069327732163
7,07/31/2023 15:34:52.864779,7,start,-0.22,1.21,0.52,0.00766,0.98511,0.17065,-0.01962,-0.28,1.21,0.52,0.00766,0.98511,0.17065,-0.01962,-0.25,1.21,0.52,0.00766,0.98511,0.17065,-0.01962,-0.22,1.21,0.52,0.00493,0.9852,0.16893,-0.02876,340.54,183.34,0.0,-0.05,0.33,-0.94,-1.0,0.0,0.06,0.02,0.94,0.33,TrackingSpace,0.9980469,-0.28,1.21,0.52,0.00061,0.98564,0.16879,-0.00356,340.56,180.41,0.0,-0.01,0.33,-0.94,-1.0,0.0,0.01,0.0,0.94,0.33,TrackingSpace,0.9980469,-0.3,1.63,-0.66,0.00734,0.9851,0.17068,-0.02001,-0.29500000000000226,1.705000000000024,-0.890000000000069,1.0,0.0,0.04999999999999999,-0.41999999999999993,1.1800000000000002,0.04500000000000226,-0.4950000000000241,1.410000000000069,0.6134524112785084,0.03190406448502246,-0.33762223738843217,0.04234754902057581,-0.34194982697771004,0.6477069327732163
8,07/31/2023 15:34:52.878669,8,start,-0.22,1.21,0.52,0.00802,0.9851,0.17072,-0.01921,-0.28,1.21,0.52,0.00802,0.9851,0.17072,-0.01921,-0.25,1.21,0.52,0.00802,0.9851,0.17072,-0.01921,-0.22,1.21,0.52,0.00473,0.9853,0.16854,-0.02764,340.59,183.21,0.0,-0.05,0.33,-0.94,-1.0,0.0,0.06,0.02,0.94,0.33,TrackingSpace,0.9980469,-0.28,1.21,0.52,0.00045,0.98572,0.16836,-0.00262,340.61,180.31,0.0,-0.01,0.33,-0.94,-1.0,0.0,0.01,0.0,0.94,0.33,TrackingSpace,0.9980469,-0.29,1.63,-0.66,0.00767,0.98511,0.17065,-0.01963,-0.29500000000000226,1.705000000000024,-0.890000000000069,1.0,0.0,0.03999999999999998,-0.41999999999999993,1.1800000000000002,0.04500000000000226,-0.4950000000000241,1.410000000000069,0.26889553021201634,0.03190406448502246,-0.33762223738843217,0.033885329904117585,-0.34194982697771004,0.2727028984885456
9,07/31/2023 15:34:52.893095,9,start,-0.22,1.21,0.52,0.0083,0.98509,0.17079,-0.0188,-0.28,1.21,0.52,0.0083,0.98509,0.17079,-0.0188,-0.25,1.21,0.52,0.0083,0.98509,0.17079,-0.0188,-0.22,1.21,0.52,0.00473,0.9853,0.16854,-0.02764,340.59,183.21,0.0,-0.05,0.33,-0.94,-1.0,0.0,0.06,0.02,0.94,0.33,TrackingSpace,0.9980469,-0.28,1.21,0.52,0.00045,0.98572,0.16836,-0.00262,340.61,180.31,0.0,-0.01,0.33,-0.94,-1.0,0.0,0.01,0.0,0.94,0.33,TrackingSpace,0.9980469,-0.29,1.63,-0.66,0.008,0.9851,0.17071,-0.01921,-0.29500000000000226,1.705000000000024,-0.890000000000069,1.0,0.0,0.03999999999999998,-0.41999999999999993,1.1800000000000002,0.04500000000000226,-0.4950000000000241,1.410000000000069,0.26889553021201634,0.03190406448502246,-0.33762223738843217,0.033885329904117585,-0.34194982697771004,0.2727028984885456
