Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 15:41:10.021946,0,start,-0.08, 1.21, 0.59,0.00787, 0.98214, 0.18777, 0.00862,-0.14, 1.21, 0.59,0.00787, 0.98214, 0.18777, 0.00862,-0.11, 1.21, 0.59,0.00787, 0.98214, 0.18777, 0.00862,-0.08, 1.21, 0.59,-0.02969, 0.95813, 0.26353, 0.10793,329.24, 167.15, 0.00,0.19, 0.51, -0.84,-0.97, 0.00, -0.22,-0.11, 0.86, 0.50,TrackingSpace,0.9980469,-0.14, 1.21, 0.59,-0.03589, 0.95591, 0.25982, 0.13205,329.59, 164.27, 0.00,0.23, 0.51, -0.83,-0.96, 0.00, -0.27,-0.14, 0.86, 0.49,TrackingSpace,0.9980469,0.48, 2.07, -0.48,0.00779, 0.98214, 0.18779, 0.00838
07/31/2023 15:41:10.035869,1,start,-0.08, 1.21, 0.59,0.00795, 0.98215, 0.18773, 0.00871,-0.14, 1.21, 0.59,0.00795, 0.98215, 0.18773, 0.00871,-0.11, 1.21, 0.59,0.00795, 0.98215, 0.18773, 0.00871,-0.08, 1.21, 0.59,-0.02969, 0.95813, 0.26353, 0.10793,329.24, 167.15, 0.00,0.19, 0.51, -0.84,-0.97, 0.00, -0.22,-0.11, 0.86, 0.50,TrackingSpace,0.9980469,-0.14, 1.21, 0.59,-0.03589, 0.95591, 0.25982, 0.13205,329.59, 164.27, 0.00,0.23, 0.51, -0.83,-0.96, 0.00, -0.27,-0.14, 0.86, 0.49,TrackingSpace,0.9980469,0.48, 2.07, -0.48,0.00795, 0.98215, 0.18775, 0.00860
07/31/2023 15:41:10.050315,2,start,-0.08, 1.21, 0.59,0.00795, 0.98217, 0.18761, 0.00883,-0.14, 1.21, 0.59,0.00795, 0.98217, 0.18761, 0.00883,-0.11, 1.21, 0.59,0.00795, 0.98217, 0.18761, 0.00883,-0.08, 1.21, 0.59,-0.03071, 0.95731, 0.26518, 0.11087,329.03, 166.79, 0.00,0.20, 0.51, -0.83,-0.97, 0.00, -0.23,-0.12, 0.86, 0.50,TrackingSpace,0.9980469,-0.14, 1.21, 0.59,-0.03661, 0.95518, 0.26160, 0.13366,329.37, 164.07, 0.00,0.24, 0.51, -0.83,-0.96, 0.00, -0.27,-0.14, 0.86, 0.49,TrackingSpace,0.9980469,0.48, 2.07, -0.48,0.00794, 0.98215, 0.18771, 0.00869
07/31/2023 15:41:10.064484,3,start,-0.08, 1.21, 0.59,0.00789, 0.98219, 0.18753, 0.00890,-0.14, 1.21, 0.59,0.00789, 0.98219, 0.18753, 0.00890,-0.11, 1.21, 0.59,0.00789, 0.98219, 0.18753, 0.00890,-0.08, 1.21, 0.59,-0.03071, 0.95731, 0.26518, 0.11087,329.03, 166.79, 0.00,0.20, 0.51, -0.83,-0.97, 0.00, -0.23,-0.12, 0.86, 0.50,TrackingSpace,0.9980469,-0.14, 1.21, 0.59,-0.03661, 0.95518, 0.26160, 0.13366,329.37, 164.07, 0.00,0.24, 0.51, -0.83,-0.96, 0.00, -0.27,-0.14, 0.86, 0.49,TrackingSpace,0.9980469,0.48, 2.07, -0.48,0.00795, 0.98216, 0.18766, 0.00881
07/31/2023 15:41:10.078457,4,start,-0.08, 1.21, 0.59,0.00779, 0.98221, 0.18742, 0.00897,-0.14, 1.21, 0.59,0.00779, 0.98221, 0.18742, 0.00897,-0.11, 1.21, 0.59,0.00779, 0.98221, 0.18742, 0.00897,-0.08, 1.21, 0.59,-0.03096, 0.95628, 0.26923, 0.10998,328.55, 166.88, 0.00,0.19, 0.52, -0.83,-0.97, 0.00, -0.23,-0.12, 0.85, 0.51,TrackingSpace,0.9980469,-0.14, 1.21, 0.59,-0.03739, 0.95400, 0.26536, 0.13443,328.91, 163.96, 0.00,0.24, 0.52, -0.82,-0.96, 0.00, -0.28,-0.14, 0.86, 0.50,TrackingSpace,0.9980469,0.48, 2.07, -0.48,0.00791, 0.98219, 0.18752, 0.00889
07/31/2023 15:41:10.093002,5,start,-0.08, 1.21, 0.60,0.00767, 0.98222, 0.18733, 0.00904,-0.14, 1.21, 0.59,0.00767, 0.98222, 0.18733, 0.00904,-0.11, 1.21, 0.59,0.00767, 0.98222, 0.18733, 0.00904,-0.08, 1.21, 0.59,-0.03096, 0.95628, 0.26923, 0.10998,328.55, 166.88, 0.00,0.19, 0.52, -0.83,-0.97, 0.00, -0.23,-0.12, 0.85, 0.51,TrackingSpace,0.9980469,-0.14, 1.21, 0.59,-0.03739, 0.95400, 0.26536, 0.13443,328.91, 163.96, 0.00,0.24, 0.52, -0.82,-0.96, 0.00, -0.28,-0.14, 0.86, 0.50,TrackingSpace,0.9980469,0.48, 2.07, -0.48,0.00781, 0.98221, 0.18743, 0.00899
07/31/2023 15:41:10.107439,6,start,-0.08, 1.21, 0.60,0.00761, 0.98222, 0.18735, 0.00916,-0.14, 1.21, 0.59,0.00761, 0.98222, 0.18735, 0.00916,-0.11, 1.21, 0.59,0.00761, 0.98222, 0.18735, 0.00916,-0.08, 1.21, 0.59,-0.03096, 0.95628, 0.26923, 0.10998,328.55, 166.88, 0.00,0.19, 0.52, -0.83,-0.97, 0.00, -0.23,-0.12, 0.85, 0.51,TrackingSpace,0.9980469,-0.14, 1.21, 0.59,-0.03739, 0.95400, 0.26536, 0.13443,328.91, 163.96, 0.00,0.24, 0.52, -0.82,-0.96, 0.00, -0.28,-0.14, 0.86, 0.50,TrackingSpace,0.9980469,0.48, 2.07, -0.48,0.00770, 0.98222, 0.18736, 0.00906
07/31/2023 15:41:10.121472,7,start,-0.08, 1.21, 0.60,0.00759, 0.98221, 0.18739, 0.00920,-0.14, 1.21, 0.59,0.00759, 0.98221, 0.18739, 0.00920,-0.11, 1.21, 0.59,0.00759, 0.98221, 0.18739, 0.00920,-0.08, 1.21, 0.59,-0.03149, 0.95613, 0.26888, 0.11197,328.59, 166.64, 0.00,0.20, 0.52, -0.83,-0.97, 0.00, -0.23,-0.12, 0.85, 0.51,TrackingSpace,0.9980469,-0.14, 1.21, 0.59,-0.03785, 0.95383, 0.26500, 0.13624,328.95, 163.74, 0.00,0.24, 0.52, -0.82,-0.96, 0.00, -0.28,-0.14, 0.86, 0.50,TrackingSpace,0.9980469,0.48, 2.07, -0.48,0.00762, 0.98222, 0.18737, 0.00917
07/31/2023 15:41:10.135417,8,start,-0.08, 1.21, 0.60,0.00757, 0.98222, 0.18733, 0.00922,-0.14, 1.21, 0.59,0.00757, 0.98222, 0.18733, 0.00922,-0.11, 1.21, 0.59,0.00757, 0.98222, 0.18733, 0.00922,-0.08, 1.21, 0.59,-0.03149, 0.95613, 0.26888, 0.11197,328.59, 166.64, 0.00,0.20, 0.52, -0.83,-0.97, 0.00, -0.23,-0.12, 0.85, 0.51,TrackingSpace,0.9980469,-0.14, 1.21, 0.59,-0.03785, 0.95383, 0.26500, 0.13624,328.95, 163.74, 0.00,0.24, 0.52, -0.82,-0.96, 0.00, -0.28,-0.14, 0.86, 0.50,TrackingSpace,0.9980469,0.48, 2.07, -0.48,0.00756, 0.98222, 0.18737, 0.00919
07/31/2023 15:41:10.149837,9,start,-0.08, 1.21, 0.60,0.00767, 0.98224, 0.18725, 0.00921,-0.14, 1.21, 0.59,0.00767, 0.98224, 0.18725, 0.00921,-0.11, 1.21, 0.59,0.00767, 0.98224, 0.18725, 0.00921,-0.08, 1.21, 0.59,-0.03155, 0.95641, 0.26749, 0.11282,328.75, 166.55, 0.00,0.20, 0.52, -0.83,-0.97, 0.00, -0.23,-0.12, 0.85, 0.50,TrackingSpace,0.9980469,-0.14, 1.21, 0.59,-0.03767, 0.95417, 0.26375, 0.13626,329.10, 163.75, 0.00,0.24, 0.51, -0.82,-0.96, 0.00, -0.28,-0.14, 0.86, 0.49,TrackingSpace,0.9980469,0.48, 2.07, -0.48,0.00758, 0.98223, 0.18732, 0.00920
