Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 15:47:57.291930,0,start,-1.10, 1.55, -0.23,-0.01831, 0.87197, 0.06459, 0.48493,-1.14, 1.56, -0.28,-0.01831, 0.87197, 0.06459, 0.48493,-1.12, 1.55, -0.26,-0.01831, 0.87197, 0.06459, 0.48493,-1.12, 1.56, -0.22,-0.01359, 0.86426, 0.02338, 0.50231,356.90, 119.67, 0.00,0.87, 0.05, -0.49,-0.49, 0.00, -0.87,-0.05, 1.00, 0.03,TrackingSpace,0.9980469,-1.16, 1.56, -0.27,-0.01348, 0.84923, 0.02171, 0.52740,357.07, 116.32, 0.00,0.90, 0.05, -0.44,-0.44, 0.00, -0.90,-0.05, 1.00, 0.02,TrackingSpace,0.9980469,0.25, 2.12, -0.44,-0.01685, 0.87318, 0.06608, 0.48261
07/31/2023 15:47:57.306116,1,start,-1.10, 1.55, -0.23,-0.01969, 0.87094, 0.06338, 0.48690,-1.13, 1.55, -0.29,-0.01969, 0.87094, 0.06338, 0.48690,-1.11, 1.55, -0.26,-0.01969, 0.87094, 0.06338, 0.48690,-1.12, 1.56, -0.22,-0.01359, 0.86426, 0.02338, 0.50231,356.90, 119.67, 0.00,0.87, 0.05, -0.49,-0.49, 0.00, -0.87,-0.05, 1.00, 0.03,TrackingSpace,0.9980469,-1.16, 1.56, -0.27,-0.01348, 0.84923, 0.02171, 0.52740,357.07, 116.32, 0.00,0.90, 0.05, -0.44,-0.44, 0.00, -0.90,-0.05, 1.00, 0.02,TrackingSpace,0.9980469,0.26, 2.12, -0.44,-0.01832, 0.87199, 0.06471, 0.48487
07/31/2023 15:47:57.320189,2,start,-1.09, 1.55, -0.24,-0.02082, 0.86984, 0.06276, 0.48889,-1.12, 1.55, -0.29,-0.02082, 0.86984, 0.06276, 0.48889,-1.11, 1.55, -0.26,-0.02082, 0.86984, 0.06276, 0.48889,-1.11, 1.55, -0.22,-0.00338, 0.85501, 0.00558, 0.51857,359.25, 117.53, 0.00,0.89, 0.01, -0.46,-0.46, 0.00, -0.89,-0.01, 1.00, 0.01,TrackingSpace,0.9980469,-1.14, 1.56, -0.28,-0.00306, 0.84345, 0.00481, 0.53718,359.35, 115.02, 0.00,0.91, 0.01, -0.42,-0.42, 0.00, -0.91,-0.01, 1.00, 0.00,TrackingSpace,0.9980469,0.26, 2.12, -0.44,-0.01966, 0.87096, 0.06344, 0.48684
07/31/2023 15:47:57.334743,3,start,-1.09, 1.55, -0.24,-0.02165, 0.86889, 0.06248, 0.49057,-1.12, 1.55, -0.29,-0.02165, 0.86889, 0.06248, 0.49057,-1.10, 1.55, -0.27,-0.02165, 0.86889, 0.06248, 0.49057,-1.11, 1.55, -0.22,-0.00338, 0.85501, 0.00558, 0.51857,359.25, 117.53, 0.00,0.89, 0.01, -0.46,-0.46, 0.00, -0.89,-0.01, 1.00, 0.01,TrackingSpace,0.9980469,-1.14, 1.56, -0.28,-0.00306, 0.84345, 0.00481, 0.53718,359.35, 115.02, 0.00,0.91, 0.01, -0.42,-0.42, 0.00, -0.91,-0.01, 1.00, 0.00,TrackingSpace,0.9980469,0.27, 2.12, -0.43,-0.02081, 0.86986, 0.06280, 0.48885
07/31/2023 15:47:57.348972,4,start,-1.08, 1.55, -0.24,-0.02205, 0.86780, 0.06266, 0.49245,-1.11, 1.55, -0.29,-0.02205, 0.86780, 0.06266, 0.49245,-1.10, 1.55, -0.27,-0.02205, 0.86780, 0.06266, 0.49245,-1.11, 1.55, -0.22,-0.00338, 0.85501, 0.00558, 0.51857,359.25, 117.53, 0.00,0.89, 0.01, -0.46,-0.46, 0.00, -0.89,-0.01, 1.00, 0.01,TrackingSpace,0.9980469,-1.14, 1.56, -0.28,-0.00306, 0.84345, 0.00481, 0.53718,359.35, 115.02, 0.00,0.91, 0.01, -0.42,-0.42, 0.00, -0.91,-0.01, 1.00, 0.00,TrackingSpace,0.9980469,0.27, 2.12, -0.43,-0.02158, 0.86888, 0.06256, 0.49057
07/31/2023 15:47:57.363119,5,start,-1.07, 1.55, -0.25,-0.02218, 0.86667, 0.06306, 0.49439,-1.11, 1.55, -0.30,-0.02218, 0.86667, 0.06306, 0.49439,-1.09, 1.55, -0.27,-0.02218, 0.86667, 0.06306, 0.49439,-1.10, 1.55, -0.23,0.00989, 0.85104, -0.01604, 0.52476,2.16, 116.68, 0.00,0.89, -0.04, -0.45,-0.45, 0.00, -0.89,0.03, 1.00, -0.02,TrackingSpace,0.9980469,-1.13, 1.55, -0.29,0.01056, 0.83871, -0.01628, 0.54423,2.22, 114.04, 0.00,0.91, -0.04, -0.41,-0.41, 0.00, -0.91,0.04, 1.00, -0.02,TrackingSpace,0.9980469,0.28, 2.12, -0.43,-0.02201, 0.86779, 0.06270, 0.49247
07/31/2023 15:47:57.377074,6,start,-1.07, 1.55, -0.25,-0.02220, 0.86552, 0.06363, 0.49632,-1.10, 1.55, -0.30,-0.02220, 0.86552, 0.06363, 0.49632,-1.08, 1.55, -0.27,-0.02220, 0.86552, 0.06363, 0.49632,-1.10, 1.55, -0.23,0.00989, 0.85104, -0.01604, 0.52476,2.16, 116.68, 0.00,0.89, -0.04, -0.45,-0.45, 0.00, -0.89,0.03, 1.00, -0.02,TrackingSpace,0.9980469,-1.13, 1.55, -0.29,0.01056, 0.83871, -0.01628, 0.54423,2.22, 114.04, 0.00,0.91, -0.04, -0.41,-0.41, 0.00, -0.91,0.04, 1.00, -0.02,TrackingSpace,0.9980469,0.29, 2.12, -0.43,-0.02213, 0.86666, 0.06310, 0.49440
07/31/2023 15:47:57.391575,7,start,-1.06, 1.55, -0.25,-0.02213, 0.86435, 0.06403, 0.49832,-1.09, 1.55, -0.30,-0.02213, 0.86435, 0.06403, 0.49832,-1.08, 1.55, -0.28,-0.02213, 0.86435, 0.06403, 0.49832,-1.08, 1.55, -0.24,0.01876, 0.84485, -0.02969, 0.53386,4.03, 115.42, 0.00,0.90, -0.07, -0.43,-0.43, 0.00, -0.90,0.06, 1.00, -0.03,TrackingSpace,0.9980469,-1.12, 1.55, -0.30,0.01966, 0.83224, -0.02957, 0.55328,4.07, 112.77, 0.00,0.92, -0.07, -0.39,-0.39, 0.00, -0.92,0.07, 1.00, -0.03,TrackingSpace,0.9980469,0.29, 2.12, -0.42,-0.02218, 0.86552, 0.06364, 0.49631
07/31/2023 15:47:57.405739,8,start,-1.06, 1.55, -0.25,-0.02198, 0.86328, 0.06400, 0.50016,-1.09, 1.55, -0.31,-0.02198, 0.86328, 0.06400, 0.50016,-1.07, 1.55, -0.28,-0.02198, 0.86328, 0.06400, 0.50016,-1.08, 1.55, -0.24,0.01876, 0.84485, -0.02969, 0.53386,4.03, 115.42, 0.00,0.90, -0.07, -0.43,-0.43, 0.00, -0.90,0.06, 1.00, -0.03,TrackingSpace,0.9980469,-1.12, 1.55, -0.30,0.01966, 0.83224, -0.02957, 0.55328,4.07, 112.77, 0.00,0.92, -0.07, -0.39,-0.39, 0.00, -0.92,0.07, 1.00, -0.03,TrackingSpace,0.9980469,0.30, 2.12, -0.42,-0.02209, 0.86435, 0.06402, 0.49830
07/31/2023 15:47:57.419729,9,start,-1.05, 1.55, -0.26,-0.02189, 0.86221, 0.06342, 0.50208,-1.08, 1.55, -0.31,-0.02189, 0.86221, 0.06342, 0.50208,-1.06, 1.55, -0.28,-0.02189, 0.86221, 0.06342, 0.50208,-1.07, 1.55, -0.25,0.01915, 0.84154, -0.02989, 0.53903,4.07, 114.72, 0.00,0.91, -0.07, -0.42,-0.42, 0.00, -0.91,0.06, 1.00, -0.03,TrackingSpace,0.9980469,-1.10, 1.55, -0.30,0.02010, 0.82802, -0.02974, 0.55955,4.11, 111.90, 0.00,0.93, -0.07, -0.37,-0.37, 0.00, -0.93,0.07, 1.00, -0.03,TrackingSpace,0.9980469,0.31, 2.12, -0.41,-0.02193, 0.86329, 0.06387, 0.50017
