Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 15:32:25.629497,0,start,-1.29, 1.57, -0.28,0.09806, -0.64589, -0.11686, -0.74803,-1.28, 1.58, -0.34,0.09806, -0.64589, -0.11686, -0.74803,-1.29, 1.57, -0.31,0.09806, -0.64589, -0.11686, -0.74803,-1.30, 1.57, -0.26,-0.11414, 0.58963, 0.08465, 0.79507,343.66, 73.12, 0.00,0.92, 0.28, 0.28,0.29, 0.00, -0.96,-0.27, 0.96, -0.08,TrackingSpace,0.9980469,-1.29, 1.57, -0.33,-0.11430, 0.57058, 0.08059, 0.80924,343.92, 70.37, 0.00,0.91, 0.28, 0.32,0.34, 0.00, -0.94,-0.26, 0.96, -0.09,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 15:32:25.643586,1,start,-1.29, 1.57, -0.28,0.09860, -0.64281, -0.11635, -0.75069,-1.28, 1.58, -0.34,0.09860, -0.64281, -0.11635, -0.75069,-1.28, 1.57, -0.31,0.09860, -0.64281, -0.11635, -0.75069,-1.29, 1.57, -0.27,-0.11369, 0.58308, 0.08285, 0.80014,343.83, 72.16, 0.00,0.91, 0.28, 0.29,0.31, 0.00, -0.95,-0.27, 0.96, -0.09,TrackingSpace,0.9980469,-1.29, 1.57, -0.33,-0.11371, 0.56563, 0.07912, 0.81294,344.07, 69.66, 0.00,0.90, 0.27, 0.33,0.35, 0.00, -0.94,-0.26, 0.96, -0.10,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 15:32:25.657722,2,start,-1.29, 1.57, -0.29,0.09947, -0.63988, -0.11618, -0.75310,-1.28, 1.58, -0.35,0.09947, -0.63988, -0.11618, -0.75310,-1.28, 1.57, -0.32,0.09947, -0.63988, -0.11618, -0.75310,-1.29, 1.57, -0.27,-0.11369, 0.58308, 0.08285, 0.80014,343.83, 72.16, 0.00,0.91, 0.28, 0.29,0.31, 0.00, -0.95,-0.27, 0.96, -0.09,TrackingSpace,0.9980469,-1.29, 1.57, -0.33,-0.11371, 0.56563, 0.07912, 0.81294,344.07, 69.66, 0.00,0.90, 0.27, 0.33,0.35, 0.00, -0.94,-0.26, 0.96, -0.10,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 15:32:25.671995,3,start,-1.29, 1.57, -0.29,0.10056, -0.63692, -0.11625, -0.75545,-1.28, 1.58, -0.35,0.10056, -0.63692, -0.11625, -0.75545,-1.28, 1.57, -0.32,0.10056, -0.63692, -0.11625, -0.75545,-1.29, 1.57, -0.28,-0.11605, 0.58200, 0.08438, 0.80043,343.50, 72.04, 0.00,0.91, 0.28, 0.30,0.31, 0.00, -0.95,-0.27, 0.96, -0.09,TrackingSpace,0.9980469,-1.28, 1.58, -0.34,-0.11608, 0.56007, 0.07964, 0.81640,343.81, 68.90, 0.00,0.90, 0.28, 0.35,0.36, 0.00, -0.93,-0.26, 0.96, -0.10,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 15:32:25.686289,4,start,-1.28, 1.57, -0.29,0.10216, -0.63394, -0.11664, -0.75768,-1.27, 1.58, -0.35,0.10216, -0.63394, -0.11664, -0.75768,-1.28, 1.57, -0.32,0.10216, -0.63394, -0.11664, -0.75768,-1.29, 1.57, -0.28,-0.11605, 0.58200, 0.08438, 0.80043,343.50, 72.04, 0.00,0.91, 0.28, 0.30,0.31, 0.00, -0.95,-0.27, 0.96, -0.09,TrackingSpace,0.9980469,-1.28, 1.58, -0.34,-0.11608, 0.56007, 0.07964, 0.81640,343.81, 68.90, 0.00,0.90, 0.28, 0.35,0.36, 0.00, -0.93,-0.26, 0.96, -0.10,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 15:32:25.700448,5,start,-1.28, 1.57, -0.30,0.10386, -0.63092, -0.11709, -0.75990,-1.27, 1.58, -0.36,0.10386, -0.63092, -0.11709, -0.75990,-1.28, 1.57, -0.33,0.10386, -0.63092, -0.11709, -0.75990,-1.29, 1.57, -0.28,-0.11605, 0.58200, 0.08438, 0.80043,343.50, 72.04, 0.00,0.91, 0.28, 0.30,0.31, 0.00, -0.95,-0.27, 0.96, -0.09,TrackingSpace,0.9980469,-1.28, 1.58, -0.34,-0.11608, 0.56007, 0.07964, 0.81640,343.81, 68.90, 0.00,0.90, 0.28, 0.35,0.36, 0.00, -0.93,-0.26, 0.96, -0.10,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 15:32:25.714780,6,start,-1.28, 1.57, -0.30,0.10571, -0.62793, -0.11719, -0.76210,-1.27, 1.57, -0.36,0.10571, -0.62793, -0.11719, -0.76210,-1.28, 1.57, -0.33,0.10571, -0.62793, -0.11719, -0.76210,-1.29, 1.57, -0.29,-0.11782, 0.57952, 0.08515, 0.80189,343.28, 71.71, 0.00,0.91, 0.29, 0.30,0.31, 0.00, -0.95,-0.27, 0.96, -0.09,TrackingSpace,0.9980469,-1.28, 1.57, -0.35,-0.11793, 0.55801, 0.08050, 0.81746,343.58, 68.64, 0.00,0.89, 0.28, 0.35,0.36, 0.00, -0.93,-0.26, 0.96, -0.10,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 15:32:25.728865,7,start,-1.28, 1.57, -0.30,0.10763, -0.62507, -0.11683, -0.76423,-1.27, 1.57, -0.36,0.10763, -0.62507, -0.11683, -0.76423,-1.27, 1.57, -0.33,0.10763, -0.62507, -0.11683, -0.76423,-1.29, 1.57, -0.29,-0.11782, 0.57952, 0.08515, 0.80189,343.28, 71.71, 0.00,0.91, 0.29, 0.30,0.31, 0.00, -0.95,-0.27, 0.96, -0.09,TrackingSpace,0.9980469,-1.28, 1.57, -0.35,-0.11793, 0.55801, 0.08050, 0.81746,343.58, 68.64, 0.00,0.89, 0.28, 0.35,0.36, 0.00, -0.93,-0.26, 0.96, -0.10,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 15:32:25.742990,8,start,-1.28, 1.57, -0.31,0.10953, -0.62252, -0.11587, -0.76619,-1.27, 1.57, -0.36,0.10953, -0.62252, -0.11587, -0.76619,-1.27, 1.57, -0.34,0.10953, -0.62252, -0.11587, -0.76619,-1.28, 1.57, -0.29,-0.12054, 0.57437, 0.08600, 0.80509,342.97, 71.01, 0.00,0.90, 0.29, 0.31,0.33, 0.00, -0.95,-0.28, 0.96, -0.10,TrackingSpace,0.9980469,-1.27, 1.57, -0.36,-0.12071, 0.55529, 0.08187, 0.81877,343.23, 68.29, 0.00,0.89, 0.29, 0.35,0.37, 0.00, -0.93,-0.27, 0.96, -0.11,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 15:32:25.756962,9,start,-1.28, 1.57, -0.31,0.11159, -0.62021, -0.11437, -0.76799,-1.26, 1.57, -0.37,0.11159, -0.62021, -0.11437, -0.76799,-1.27, 1.57, -0.34,0.11159, -0.62021, -0.11437, -0.76799,-1.28, 1.57, -0.29,-0.12054, 0.57437, 0.08600, 0.80509,342.97, 71.01, 0.00,0.90, 0.29, 0.31,0.33, 0.00, -0.95,-0.28, 0.96, -0.10,TrackingSpace,0.9980469,-1.27, 1.57, -0.36,-0.12071, 0.55529, 0.08187, 0.81877,343.23, 68.29, 0.00,0.89, 0.29, 0.35,0.37, 0.00, -0.93,-0.27, 0.96, -0.11,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
