Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/30/2023 20:16:21.385081,0,start,0.22, 1.23, -0.57,-0.02876, 0.02692, 0.00292, 0.99922,0.28, 1.23, -0.58,-0.02876, 0.02692, 0.00292, 0.99922,0.25, 1.23, -0.58,-0.02876, 0.02692, 0.00292, 0.99922,0.22, 1.23, -0.57,-0.03488, 0.03892, 0.00136, 0.99863,356.00, 4.46, 0.00,0.08, 0.07, 0.99,1.00, 0.00, -0.08,-0.01, 1.00, -0.07,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.03483, 0.02181, 0.00076, 0.99915,356.01, 2.50, 0.00,0.04, 0.07, 1.00,1.00, 0.00, -0.04,0.00, 1.00, -0.07,TrackingSpace,0.9980469,0.31, 1.30, 0.67,-0.02880, 0.02648, 0.00293, 0.99923
07/30/2023 20:16:21.392734,1,start,0.22, 1.23, -0.57,-0.02863, 0.02734, 0.00284, 0.99921,0.28, 1.23, -0.58,-0.02863, 0.02734, 0.00284, 0.99921,0.25, 1.23, -0.58,-0.02863, 0.02734, 0.00284, 0.99921,0.22, 1.23, -0.57,-0.03488, 0.03892, 0.00136, 0.99863,356.00, 4.46, 0.00,0.08, 0.07, 0.99,1.00, 0.00, -0.08,-0.01, 1.00, -0.07,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.03483, 0.02181, 0.00076, 0.99915,356.01, 2.50, 0.00,0.04, 0.07, 1.00,1.00, 0.00, -0.04,0.00, 1.00, -0.07,TrackingSpace,0.9980469,0.31, 1.30, 0.67,-0.02879, 0.02692, 0.00290, 0.99922
07/30/2023 20:16:21.410667,2,start,0.22, 1.23, -0.57,-0.02861, 0.02713, 0.00248, 0.99922,0.28, 1.23, -0.58,-0.02861, 0.02713, 0.00248, 0.99922,0.25, 1.23, -0.58,-0.02861, 0.02713, 0.00248, 0.99922,0.22, 1.23, -0.57,-0.03759, 0.03925, 0.00148, 0.99852,355.69, 4.50, 0.00,0.08, 0.08, 0.99,1.00, 0.00, -0.08,-0.01, 1.00, -0.07,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.03755, 0.02213, 0.00083, 0.99905,355.70, 2.54, 0.00,0.04, 0.08, 1.00,1.00, 0.00, -0.04,0.00, 1.00, -0.07,TrackingSpace,0.9980469,0.32, 1.30, 0.67,-0.02860, 0.02736, 0.00291, 0.99921
07/30/2023 20:16:21.428352,3,start,0.22, 1.23, -0.57,-0.02849, 0.02674, 0.00278, 0.99923,0.28, 1.23, -0.58,-0.02849, 0.02674, 0.00278, 0.99923,0.25, 1.23, -0.57,-0.02849, 0.02674, 0.00278, 0.99923,0.22, 1.23, -0.57,-0.03759, 0.03925, 0.00148, 0.99852,355.69, 4.50, 0.00,0.08, 0.08, 0.99,1.00, 0.00, -0.08,-0.01, 1.00, -0.07,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.03755, 0.02213, 0.00083, 0.99905,355.70, 2.54, 0.00,0.04, 0.08, 1.00,1.00, 0.00, -0.04,0.00, 1.00, -0.07,TrackingSpace,0.9980469,0.32, 1.30, 0.67,-0.02863, 0.02701, 0.00246, 0.99922
07/30/2023 20:16:21.449664,4,start,0.22, 1.23, -0.57,-0.02824, 0.02687, 0.00244, 0.99924,0.28, 1.23, -0.58,-0.02824, 0.02687, 0.00244, 0.99924,0.25, 1.23, -0.57,-0.02824, 0.02687, 0.00244, 0.99924,0.22, 1.23, -0.57,-0.03479, 0.03942, 0.00137, 0.99862,356.01, 4.52, 0.00,0.08, 0.07, 0.99,1.00, 0.00, -0.08,-0.01, 1.00, -0.07,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.03476, 0.02369, 0.00082, 0.99911,356.02, 2.72, 0.00,0.05, 0.07, 1.00,1.00, 0.00, -0.05,0.00, 1.00, -0.07,TrackingSpace,0.9980469,0.31, 1.30, 0.67,-0.02831, 0.02683, 0.00260, 0.99924
07/30/2023 20:16:21.467657,5,start,0.22, 1.23, -0.57,-0.02768, 0.02694, 0.00204, 0.99925,0.28, 1.23, -0.58,-0.02768, 0.02694, 0.00204, 0.99925,0.25, 1.23, -0.57,-0.02768, 0.02694, 0.00204, 0.99925,0.22, 1.23, -0.57,-0.03539, 0.03697, 0.00131, 0.99869,355.94, 4.24, 0.00,0.07, 0.07, 0.99,1.00, 0.00, -0.07,-0.01, 1.00, -0.07,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.03536, 0.02371, 0.00084, 0.99909,355.95, 2.72, 0.00,0.05, 0.07, 1.00,1.00, 0.00, -0.05,0.00, 1.00, -0.07,TrackingSpace,0.9980469,0.31, 1.30, 0.67,-0.02818, 0.02692, 0.00235, 0.99924
07/30/2023 20:16:21.484474,6,start,0.22, 1.23, -0.57,-0.02727, 0.02747, 0.00190, 0.99925,0.28, 1.23, -0.58,-0.02727, 0.02747, 0.00190, 0.99925,0.25, 1.23, -0.57,-0.02727, 0.02747, 0.00190, 0.99925,0.22, 1.23, -0.57,-0.03539, 0.03697, 0.00131, 0.99869,355.94, 4.24, 0.00,0.07, 0.07, 0.99,1.00, 0.00, -0.07,-0.01, 1.00, -0.07,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.03536, 0.02371, 0.00084, 0.99909,355.95, 2.72, 0.00,0.05, 0.07, 1.00,1.00, 0.00, -0.05,0.00, 1.00, -0.07,TrackingSpace,0.9980469,0.32, 1.30, 0.67,-0.02764, 0.02714, 0.00206, 0.99925
07/30/2023 20:16:21.500985,7,start,0.22, 1.23, -0.57,-0.02709, 0.02774, 0.00194, 0.99925,0.28, 1.23, -0.58,-0.02709, 0.02774, 0.00194, 0.99925,0.25, 1.23, -0.57,-0.02709, 0.02774, 0.00194, 0.99925,0.22, 1.23, -0.57,-0.03497, 0.03714, 0.00130, 0.99870,355.99, 4.26, 0.00,0.07, 0.07, 0.99,1.00, 0.00, -0.07,-0.01, 1.00, -0.07,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.03495, 0.02388, 0.00084, 0.99910,355.99, 2.74, 0.00,0.05, 0.07, 1.00,1.00, 0.00, -0.05,0.00, 1.00, -0.07,TrackingSpace,0.9980469,0.32, 1.30, 0.67,-0.02733, 0.02749, 0.00194, 0.99925
07/30/2023 20:16:21.517561,8,start,0.22, 1.23, -0.57,-0.02681, 0.02800, 0.00216, 0.99925,0.28, 1.23, -0.58,-0.02681, 0.02800, 0.00216, 0.99925,0.25, 1.23, -0.57,-0.02681, 0.02800, 0.00216, 0.99925,0.22, 1.23, -0.57,-0.03497, 0.03714, 0.00130, 0.99870,355.99, 4.26, 0.00,0.07, 0.07, 0.99,1.00, 0.00, -0.07,-0.01, 1.00, -0.07,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.03495, 0.02388, 0.00084, 0.99910,355.99, 2.74, 0.00,0.05, 0.07, 1.00,1.00, 0.00, -0.05,0.00, 1.00, -0.07,TrackingSpace,0.9980469,0.32, 1.30, 0.67,-0.02700, 0.02779, 0.00196, 0.99925
07/30/2023 20:16:21.534425,9,start,0.22, 1.23, -0.57,-0.02669, 0.02827, 0.00241, 0.99924,0.28, 1.23, -0.58,-0.02669, 0.02827, 0.00241, 0.99924,0.25, 1.23, -0.57,-0.02669, 0.02827, 0.00241, 0.99924,0.22, 1.23, -0.57,-0.03612, 0.03826, 0.00138, 0.99861,355.86, 4.39, 0.00,0.08, 0.07, 0.99,1.00, 0.00, -0.08,-0.01, 1.00, -0.07,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.03611, 0.02571, 0.00093, 0.99902,355.86, 2.95, 0.00,0.05, 0.07, 1.00,1.00, 0.00, -0.05,0.00, 1.00, -0.07,TrackingSpace,0.9980469,0.32, 1.30, 0.67,-0.02686, 0.02802, 0.00219, 0.99924
