Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/30/2023 20:17:09.094841,0,start,0.22, 1.23, -0.58,-0.03288, 0.03113, 0.00443, 0.99896,0.28, 1.23, -0.58,-0.03288, 0.03113, 0.00443, 0.99896,0.25, 1.23, -0.58,-0.03288, 0.03113, 0.00443, 0.99896,0.21, 1.23, -0.57,-0.18395, -0.18477, -0.03523, 0.96477,338.41, 338.32, 0.00,-0.34, 0.37, 0.86,0.93, 0.00, 0.37,0.14, 0.93, -0.34,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.18268, -0.19088, -0.03618, 0.96378,338.53, 337.59, 0.00,-0.35, 0.37, 0.86,0.92, 0.00, 0.38,0.14, 0.93, -0.34,TrackingSpace,0.9980469,-0.23, 1.72, 0.75,-0.03287, 0.03113, 0.00442, 0.99897
07/30/2023 20:17:09.108960,1,start,0.22, 1.23, -0.58,-0.03295, 0.03111, 0.00442, 0.99896,0.28, 1.23, -0.58,-0.03295, 0.03111, 0.00442, 0.99896,0.25, 1.23, -0.58,-0.03295, 0.03111, 0.00442, 0.99896,0.21, 1.23, -0.57,-0.18138, -0.18142, -0.03407, 0.96593,338.73, 338.72, 0.00,-0.34, 0.36, 0.87,0.93, 0.00, 0.36,0.13, 0.93, -0.34,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.18015, -0.18755, -0.03501, 0.96496,338.85, 338.00, 0.00,-0.35, 0.36, 0.86,0.93, 0.00, 0.37,0.14, 0.93, -0.33,TrackingSpace,0.9980469,-0.23, 1.72, 0.75,-0.03288, 0.03112, 0.00442, 0.99897
07/30/2023 20:17:09.122876,2,start,0.22, 1.23, -0.58,-0.03300, 0.03109, 0.00440, 0.99896,0.28, 1.23, -0.58,-0.03300, 0.03109, 0.00440, 0.99896,0.25, 1.23, -0.58,-0.03300, 0.03109, 0.00440, 0.99896,0.21, 1.23, -0.57,-0.18138, -0.18142, -0.03407, 0.96593,338.73, 338.72, 0.00,-0.34, 0.36, 0.87,0.93, 0.00, 0.36,0.13, 0.93, -0.34,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.18015, -0.18755, -0.03501, 0.96496,338.85, 338.00, 0.00,-0.35, 0.36, 0.86,0.93, 0.00, 0.37,0.14, 0.93, -0.33,TrackingSpace,0.9980469,-0.23, 1.72, 0.75,-0.03295, 0.03110, 0.00442, 0.99896
07/30/2023 20:17:09.137253,3,start,0.22, 1.23, -0.58,-0.03306, 0.03110, 0.00446, 0.99896,0.28, 1.23, -0.58,-0.03306, 0.03110, 0.00446, 0.99896,0.25, 1.23, -0.58,-0.03306, 0.03110, 0.00446, 0.99896,0.21, 1.23, -0.57,-0.18221, -0.18502, -0.03493, 0.96506,338.62, 338.29, 0.00,-0.34, 0.36, 0.87,0.93, 0.00, 0.37,0.13, 0.93, -0.34,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.18096, -0.19113, -0.03588, 0.96407,338.74, 337.57, 0.00,-0.36, 0.36, 0.86,0.92, 0.00, 0.38,0.14, 0.93, -0.34,TrackingSpace,0.9980469,-0.23, 1.72, 0.75,-0.03300, 0.03109, 0.00441, 0.99896
07/30/2023 20:17:09.151557,4,start,0.22, 1.23, -0.58,-0.03314, 0.03105, 0.00456, 0.99896,0.28, 1.23, -0.58,-0.03314, 0.03105, 0.00456, 0.99896,0.25, 1.23, -0.58,-0.03314, 0.03105, 0.00456, 0.99896,0.21, 1.23, -0.57,-0.18221, -0.18502, -0.03493, 0.96506,338.62, 338.29, 0.00,-0.34, 0.36, 0.87,0.93, 0.00, 0.37,0.13, 0.93, -0.34,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.18096, -0.19113, -0.03588, 0.96407,338.74, 337.57, 0.00,-0.36, 0.36, 0.86,0.92, 0.00, 0.38,0.14, 0.93, -0.34,TrackingSpace,0.9980469,-0.23, 1.72, 0.75,-0.03307, 0.03109, 0.00449, 0.99896
07/30/2023 20:17:09.165833,5,start,0.22, 1.23, -0.58,-0.03321, 0.03094, 0.00467, 0.99896,0.28, 1.23, -0.58,-0.03321, 0.03094, 0.00467, 0.99896,0.25, 1.23, -0.58,-0.03321, 0.03094, 0.00467, 0.99896,0.21, 1.23, -0.57,-0.18221, -0.18502, -0.03493, 0.96506,338.62, 338.29, 0.00,-0.34, 0.36, 0.87,0.93, 0.00, 0.37,0.13, 0.93, -0.34,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.18096, -0.19113, -0.03588, 0.96407,338.74, 337.57, 0.00,-0.36, 0.36, 0.86,0.92, 0.00, 0.38,0.14, 0.93, -0.34,TrackingSpace,0.9980469,-0.23, 1.72, 0.75,-0.03316, 0.03102, 0.00458, 0.99896
07/30/2023 20:17:09.179800,6,start,0.22, 1.23, -0.58,-0.03323, 0.03072, 0.00462, 0.99896,0.28, 1.23, -0.58,-0.03323, 0.03072, 0.00462, 0.99896,0.25, 1.23, -0.58,-0.03323, 0.03072, 0.00462, 0.99896,0.21, 1.23, -0.57,-0.18075, -0.18061, -0.03379, 0.96621,338.81, 338.82, 0.00,-0.34, 0.36, 0.87,0.93, 0.00, 0.36,0.13, 0.93, -0.34,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.17953, -0.18674, -0.03473, 0.96524,338.93, 338.10, 0.00,-0.35, 0.36, 0.87,0.93, 0.00, 0.37,0.13, 0.93, -0.33,TrackingSpace,0.9980469,-0.23, 1.72, 0.75,-0.03321, 0.03093, 0.00467, 0.99896
07/30/2023 20:17:09.194233,7,start,0.22, 1.23, -0.58,-0.03325, 0.03056, 0.00462, 0.99897,0.28, 1.23, -0.58,-0.03325, 0.03056, 0.00462, 0.99897,0.25, 1.23, -0.58,-0.03325, 0.03056, 0.00462, 0.99897,0.21, 1.23, -0.57,-0.18075, -0.18061, -0.03379, 0.96621,338.81, 338.82, 0.00,-0.34, 0.36, 0.87,0.93, 0.00, 0.36,0.13, 0.93, -0.34,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.17953, -0.18674, -0.03473, 0.96524,338.93, 338.10, 0.00,-0.35, 0.36, 0.87,0.93, 0.00, 0.37,0.13, 0.93, -0.33,TrackingSpace,0.9980469,-0.23, 1.72, 0.75,-0.03323, 0.03072, 0.00460, 0.99897
07/30/2023 20:17:09.208315,8,start,0.22, 1.23, -0.58,-0.03324, 0.03047, 0.00463, 0.99897,0.28, 1.23, -0.58,-0.03324, 0.03047, 0.00463, 0.99897,0.25, 1.23, -0.58,-0.03324, 0.03047, 0.00463, 0.99897,0.21, 1.23, -0.57,-0.18059, -0.18445, -0.03450, 0.96549,338.81, 338.37, 0.00,-0.34, 0.36, 0.87,0.93, 0.00, 0.37,0.13, 0.93, -0.34,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.17935, -0.19056, -0.03543, 0.96450,338.93, 337.65, 0.00,-0.35, 0.36, 0.86,0.92, 0.00, 0.38,0.14, 0.93, -0.33,TrackingSpace,0.9980469,-0.23, 1.72, 0.75,-0.03324, 0.03056, 0.00461, 0.99897
07/30/2023 20:17:09.221963,9,start,0.22, 1.23, -0.58,-0.03323, 0.03042, 0.00471, 0.99897,0.28, 1.23, -0.58,-0.03323, 0.03042, 0.00471, 0.99897,0.25, 1.23, -0.58,-0.03323, 0.03042, 0.00471, 0.99897,0.21, 1.23, -0.57,-0.18059, -0.18445, -0.03450, 0.96549,338.81, 338.37, 0.00,-0.34, 0.36, 0.87,0.93, 0.00, 0.37,0.13, 0.93, -0.34,TrackingSpace,0.9980469,0.28, 1.23, -0.58,-0.17935, -0.19056, -0.03543, 0.96450,338.93, 337.65, 0.00,-0.35, 0.36, 0.86,0.92, 0.00, 0.38,0.14, 0.93, -0.33,TrackingSpace,0.9980469,-0.23, 1.72, 0.75,-0.03323, 0.03047, 0.00460, 0.99897
