Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/30/2023 20:21:10.856659,0,start,0.01, 1.52, 0.72,-0.09842, 0.66924, 0.02377, 0.73611,0.02, 1.51, 0.66,-0.09842, 0.66924, 0.02377, 0.73611,0.02, 1.51, 0.69,-0.09842, 0.66924, 0.02377, 0.73611,-0.01, 1.52, 0.72,-0.21438, 0.50199, 0.13001, 0.82773,330.96, 62.47, 0.00,0.78, 0.49, 0.40,0.46, 0.00, -0.89,-0.43, 0.87, -0.22,TrackingSpace,0.9980469,-0.01, 1.51, 0.66,-0.21473, 0.49639, 0.12822, 0.83129,331.03, 61.69, 0.00,0.77, 0.48, 0.41,0.47, 0.00, -0.88,-0.43, 0.87, -0.23,TrackingSpace,0.9980469,1.19, 2.20, 1.30,-0.09694, 0.66966, 0.02278, 0.73596
07/30/2023 20:21:10.870546,1,start,0.02, 1.52, 0.72,-0.09967, 0.66884, 0.02469, 0.73628,0.03, 1.51, 0.66,-0.09967, 0.66884, 0.02469, 0.73628,0.02, 1.51, 0.69,-0.09967, 0.66884, 0.02469, 0.73628,0.00, 1.52, 0.72,-0.21729, 0.50031, 0.13133, 0.82778,330.58, 62.30, 0.00,0.77, 0.49, 0.40,0.46, 0.00, -0.89,-0.43, 0.87, -0.23,TrackingSpace,0.9980469,0.01, 1.51, 0.66,-0.21764, 0.49470, 0.12951, 0.83135,330.66, 61.51, 0.00,0.77, 0.49, 0.42,0.48, 0.00, -0.88,-0.43, 0.87, -0.23,TrackingSpace,0.9980469,1.19, 2.21, 1.30,-0.09848, 0.66926, 0.02378, 0.73609
07/30/2023 20:21:10.885006,2,start,0.03, 1.52, 0.71,-0.10052, 0.66841, 0.02540, 0.73653,0.03, 1.51, 0.66,-0.10052, 0.66841, 0.02540, 0.73653,0.03, 1.51, 0.69,-0.10052, 0.66841, 0.02540, 0.73653,0.00, 1.52, 0.72,-0.21729, 0.50031, 0.13133, 0.82778,330.58, 62.30, 0.00,0.77, 0.49, 0.40,0.46, 0.00, -0.89,-0.43, 0.87, -0.23,TrackingSpace,0.9980469,0.01, 1.51, 0.66,-0.21764, 0.49470, 0.12951, 0.83135,330.66, 61.51, 0.00,0.77, 0.49, 0.42,0.48, 0.00, -0.88,-0.43, 0.87, -0.23,TrackingSpace,0.9980469,1.20, 2.21, 1.30,-0.09963, 0.66885, 0.02468, 0.73628
07/30/2023 20:21:10.899027,3,start,0.04, 1.51, 0.71,-0.10132, 0.66798, 0.02594, 0.73680,0.04, 1.51, 0.66,-0.10132, 0.66798, 0.02594, 0.73680,0.04, 1.51, 0.68,-0.10132, 0.66798, 0.02594, 0.73680,0.00, 1.52, 0.72,-0.21729, 0.50031, 0.13133, 0.82778,330.58, 62.30, 0.00,0.77, 0.49, 0.40,0.46, 0.00, -0.89,-0.43, 0.87, -0.23,TrackingSpace,0.9980469,0.01, 1.51, 0.66,-0.21764, 0.49470, 0.12951, 0.83135,330.66, 61.51, 0.00,0.77, 0.49, 0.42,0.48, 0.00, -0.88,-0.43, 0.87, -0.23,TrackingSpace,0.9980469,1.20, 2.21, 1.30,-0.10050, 0.66841, 0.02538, 0.73654
07/30/2023 20:21:10.913017,4,start,0.04, 1.51, 0.71,-0.10205, 0.66744, 0.02642, 0.73717,0.05, 1.51, 0.65,-0.10205, 0.66744, 0.02642, 0.73717,0.05, 1.51, 0.68,-0.10205, 0.66744, 0.02642, 0.73717,0.02, 1.52, 0.72,-0.21964, 0.49710, 0.13170, 0.82904,330.32, 61.89, 0.00,0.77, 0.50, 0.41,0.47, 0.00, -0.88,-0.44, 0.87, -0.23,TrackingSpace,0.9980469,0.02, 1.51, 0.65,-0.21997, 0.49148, 0.12985, 0.83259,330.40, 61.11, 0.00,0.76, 0.49, 0.42,0.48, 0.00, -0.88,-0.43, 0.87, -0.24,TrackingSpace,0.9980469,1.21, 2.21, 1.30,-0.10128, 0.66797, 0.02590, 0.73681
07/30/2023 20:21:10.927475,5,start,0.05, 1.51, 0.71,-0.10284, 0.66695, 0.02680, 0.73748,0.06, 1.51, 0.65,-0.10284, 0.66695, 0.02680, 0.73748,0.05, 1.51, 0.68,-0.10284, 0.66695, 0.02680, 0.73748,0.02, 1.52, 0.72,-0.21964, 0.49710, 0.13170, 0.82904,330.32, 61.89, 0.00,0.77, 0.50, 0.41,0.47, 0.00, -0.88,-0.44, 0.87, -0.23,TrackingSpace,0.9980469,0.02, 1.51, 0.65,-0.21997, 0.49148, 0.12985, 0.83259,330.40, 61.11, 0.00,0.76, 0.49, 0.42,0.48, 0.00, -0.88,-0.43, 0.87, -0.24,TrackingSpace,0.9980469,1.21, 2.21, 1.30,-0.10199, 0.66744, 0.02641, 0.73718
07/30/2023 20:21:10.941753,6,start,0.06, 1.51, 0.71,-0.10376, 0.66651, 0.02681, 0.73775,0.06, 1.51, 0.65,-0.10376, 0.66651, 0.02681, 0.73775,0.06, 1.51, 0.68,-0.10376, 0.66651, 0.02681, 0.73775,0.03, 1.51, 0.72,-0.22205, 0.49294, 0.13174, 0.83087,330.07, 61.36, 0.00,0.76, 0.50, 0.42,0.48, 0.00, -0.88,-0.44, 0.87, -0.24,TrackingSpace,0.9980469,0.04, 1.51, 0.65,-0.22236, 0.48731, 0.12986, 0.83440,330.16, 60.57, 0.00,0.76, 0.50, 0.43,0.49, 0.00, -0.87,-0.43, 0.87, -0.24,TrackingSpace,0.9980469,1.22, 2.22, 1.30,-0.10279, 0.66701, 0.02669, 0.73744
07/30/2023 20:21:10.955996,7,start,0.06, 1.51, 0.71,-0.10483, 0.66599, 0.02703, 0.73806,0.07, 1.51, 0.65,-0.10483, 0.66599, 0.02703, 0.73806,0.07, 1.51, 0.68,-0.10483, 0.66599, 0.02703, 0.73806,0.03, 1.51, 0.72,-0.22205, 0.49294, 0.13174, 0.83087,330.07, 61.36, 0.00,0.76, 0.50, 0.42,0.48, 0.00, -0.88,-0.44, 0.87, -0.24,TrackingSpace,0.9980469,0.04, 1.51, 0.65,-0.22236, 0.48731, 0.12986, 0.83440,330.16, 60.57, 0.00,0.76, 0.50, 0.43,0.49, 0.00, -0.87,-0.43, 0.87, -0.24,TrackingSpace,0.9980469,1.22, 2.22, 1.30,-0.10384, 0.66649, 0.02677, 0.73777
07/30/2023 20:21:10.971000,8,start,0.07, 1.51, 0.71,-0.10546, 0.66534, 0.02752, 0.73854,0.08, 1.51, 0.65,-0.10546, 0.66534, 0.02752, 0.73854,0.08, 1.51, 0.68,-0.10546, 0.66534, 0.02752, 0.73854,0.03, 1.51, 0.72,-0.22205, 0.49294, 0.13174, 0.83087,330.07, 61.36, 0.00,0.76, 0.50, 0.42,0.48, 0.00, -0.88,-0.44, 0.87, -0.24,TrackingSpace,0.9980469,0.04, 1.51, 0.65,-0.22236, 0.48731, 0.12986, 0.83440,330.16, 60.57, 0.00,0.76, 0.50, 0.43,0.49, 0.00, -0.87,-0.43, 0.87, -0.24,TrackingSpace,0.9980469,1.23, 2.22, 1.30,-0.10483, 0.66597, 0.02706, 0.73808
07/30/2023 20:21:10.984116,9,start,0.08, 1.51, 0.71,-0.10530, 0.66470, 0.02707, 0.73915,0.09, 1.51, 0.65,-0.10530, 0.66470, 0.02707, 0.73915,0.08, 1.51, 0.68,-0.10530, 0.66470, 0.02707, 0.73915,0.05, 1.51, 0.71,-0.22457, 0.49017, 0.13234, 0.83174,329.78, 61.02, 0.00,0.76, 0.50, 0.42,0.48, 0.00, -0.87,-0.44, 0.86, -0.24,TrackingSpace,0.9980469,0.06, 1.51, 0.65,-0.22487, 0.48453, 0.13045, 0.83525,329.86, 60.24, 0.00,0.75, 0.50, 0.43,0.50, 0.00, -0.87,-0.44, 0.86, -0.25,TrackingSpace,0.9980469,1.24, 2.22, 1.30,-0.10532, 0.66531, 0.02743, 0.73859
