Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/30/2023 20:19:00.579947,0,start,0.19, 1.19, -1.02,-0.28328, -0.22465, -0.09241, 0.92776,0.24, 1.19, -0.99,-0.28328, -0.22465, -0.09241, 0.92776,0.21, 1.19, -1.01,-0.28328, -0.22465, -0.09241, 0.92776,0.18, 1.19, -1.02,-0.36419, -0.28072, -0.11612, 0.88039,315.05, 324.63, 0.00,-0.41, 0.71, 0.58,0.82, 0.00, 0.58,0.41, 0.71, -0.58,TrackingSpace,0.9980469,0.24, 1.19, -0.99,-0.35957, -0.30482, -0.12556, 0.87294,315.23, 321.50, 0.00,-0.44, 0.70, 0.56,0.78, 0.00, 0.62,0.44, 0.71, -0.55,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:19:00.593930,1,start,0.19, 1.19, -1.02,-0.28340, -0.22403, -0.09251, 0.92787,0.24, 1.19, -0.99,-0.28340, -0.22403, -0.09251, 0.92787,0.21, 1.19, -1.01,-0.28340, -0.22403, -0.09251, 0.92787,0.18, 1.19, -1.02,-0.36419, -0.28072, -0.11612, 0.88039,315.05, 324.63, 0.00,-0.41, 0.71, 0.58,0.82, 0.00, 0.58,0.41, 0.71, -0.58,TrackingSpace,0.9980469,0.24, 1.19, -0.99,-0.35957, -0.30482, -0.12556, 0.87294,315.23, 321.50, 0.00,-0.44, 0.70, 0.56,0.78, 0.00, 0.62,0.44, 0.71, -0.55,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:19:00.607880,2,start,0.19, 1.19, -1.02,-0.28319, -0.22348, -0.09281, 0.92803,0.24, 1.19, -0.99,-0.28319, -0.22348, -0.09281, 0.92803,0.21, 1.19, -1.01,-0.28319, -0.22348, -0.09281, 0.92803,0.18, 1.19, -1.02,-0.36013, -0.28178, -0.11507, 0.88185,315.57, 324.56, 0.00,-0.41, 0.70, 0.58,0.81, 0.00, 0.58,0.41, 0.71, -0.57,TrackingSpace,0.9980469,0.24, 1.19, -0.99,-0.35537, -0.30667, -0.12467, 0.87414,315.75, 321.34, 0.00,-0.45, 0.70, 0.56,0.78, 0.00, 0.62,0.44, 0.72, -0.54,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:19:00.622408,3,start,0.19, 1.19, -1.02,-0.28279, -0.22293, -0.09300, 0.92827,0.24, 1.19, -0.99,-0.28279, -0.22293, -0.09300, 0.92827,0.21, 1.19, -1.01,-0.28279, -0.22293, -0.09300, 0.92827,0.18, 1.19, -1.02,-0.36013, -0.28178, -0.11507, 0.88185,315.57, 324.56, 0.00,-0.41, 0.70, 0.58,0.81, 0.00, 0.58,0.41, 0.71, -0.57,TrackingSpace,0.9980469,0.24, 1.19, -0.99,-0.35537, -0.30667, -0.12467, 0.87414,315.75, 321.34, 0.00,-0.45, 0.70, 0.56,0.78, 0.00, 0.62,0.44, 0.72, -0.54,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:19:00.636578,4,start,0.19, 1.19, -1.02,-0.28229, -0.22239, -0.09326, 0.92853,0.24, 1.19, -0.99,-0.28229, -0.22239, -0.09326, 0.92853,0.21, 1.19, -1.01,-0.28229, -0.22239, -0.09326, 0.92853,0.19, 1.19, -1.02,-0.36040, -0.28131, -0.11496, 0.88191,315.54, 324.62, 0.00,-0.41, 0.70, 0.58,0.82, 0.00, 0.58,0.41, 0.71, -0.57,TrackingSpace,0.9980469,0.24, 1.19, -0.99,-0.35564, -0.30620, -0.12457, 0.87421,315.73, 321.39, 0.00,-0.45, 0.70, 0.56,0.78, 0.00, 0.62,0.44, 0.72, -0.55,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:19:00.650949,5,start,0.19, 1.19, -1.02,-0.28173, -0.22191, -0.09343, 0.92879,0.24, 1.19, -0.99,-0.28173, -0.22191, -0.09343, 0.92879,0.21, 1.19, -1.01,-0.28173, -0.22191, -0.09343, 0.92879,0.19, 1.19, -1.02,-0.36040, -0.28131, -0.11496, 0.88191,315.54, 324.62, 0.00,-0.41, 0.70, 0.58,0.82, 0.00, 0.58,0.41, 0.71, -0.57,TrackingSpace,0.9980469,0.24, 1.19, -0.99,-0.35564, -0.30620, -0.12457, 0.87421,315.73, 321.39, 0.00,-0.45, 0.70, 0.56,0.78, 0.00, 0.62,0.44, 0.72, -0.55,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:19:00.665341,6,start,0.19, 1.19, -1.02,-0.28112, -0.22149, -0.09355, 0.92907,0.24, 1.19, -0.99,-0.28112, -0.22149, -0.09355, 0.92907,0.21, 1.19, -1.01,-0.28112, -0.22149, -0.09355, 0.92907,0.19, 1.19, -1.02,-0.36040, -0.28131, -0.11496, 0.88191,315.54, 324.62, 0.00,-0.41, 0.70, 0.58,0.82, 0.00, 0.58,0.41, 0.71, -0.57,TrackingSpace,0.9980469,0.24, 1.19, -0.99,-0.35564, -0.30620, -0.12457, 0.87421,315.73, 321.39, 0.00,-0.45, 0.70, 0.56,0.78, 0.00, 0.62,0.44, 0.72, -0.55,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:19:00.679482,7,start,0.19, 1.19, -1.02,-0.28048, -0.22125, -0.09344, 0.92932,0.24, 1.19, -0.99,-0.28048, -0.22125, -0.09344, 0.92932,0.21, 1.19, -1.01,-0.28048, -0.22125, -0.09344, 0.92932,0.19, 1.19, -1.02,-0.35940, -0.28467, -0.11612, 0.88109,315.62, 324.19, 0.00,-0.42, 0.70, 0.58,0.81, 0.00, 0.59,0.41, 0.71, -0.57,TrackingSpace,0.9980469,0.24, 1.19, -0.99,-0.35467, -0.30886, -0.12540, 0.87355,315.81, 321.06, 0.00,-0.45, 0.70, 0.56,0.78, 0.00, 0.63,0.44, 0.72, -0.54,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:19:00.693527,8,start,0.19, 1.19, -1.02,-0.27976, -0.22106, -0.09346, 0.92959,0.24, 1.19, -0.99,-0.27976, -0.22106, -0.09346, 0.92959,0.21, 1.19, -1.00,-0.27976, -0.22106, -0.09346, 0.92959,0.19, 1.19, -1.02,-0.35940, -0.28467, -0.11612, 0.88109,315.62, 324.19, 0.00,-0.42, 0.70, 0.58,0.81, 0.00, 0.59,0.41, 0.71, -0.57,TrackingSpace,0.9980469,0.24, 1.19, -0.99,-0.35467, -0.30886, -0.12540, 0.87355,315.81, 321.06, 0.00,-0.45, 0.70, 0.56,0.78, 0.00, 0.63,0.44, 0.72, -0.54,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:19:00.707438,9,start,0.19, 1.19, -1.02,-0.27894, -0.22089, -0.09335, 0.92988,0.24, 1.19, -0.99,-0.27894, -0.22089, -0.09335, 0.92988,0.21, 1.19, -1.00,-0.27894, -0.22089, -0.09335, 0.92988,0.19, 1.19, -1.02,-0.35937, -0.28603, -0.11673, 0.88057,315.60, 324.01, 0.00,-0.42, 0.70, 0.58,0.81, 0.00, 0.59,0.41, 0.71, -0.57,TrackingSpace,0.9980469,0.24, 1.19, -0.99,-0.35466, -0.30984, -0.12585, 0.87314,315.79, 320.93, 0.00,-0.45, 0.70, 0.56,0.78, 0.00, 0.63,0.44, 0.72, -0.54,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
