Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/30/2023 20:22:46.889485,0,start,-0.26, 1.54, -1.36,0.09259, 0.05455, 0.02926, -0.99378,-0.20, 1.54, -1.35,0.09259, 0.05455, 0.02926, -0.99378,-0.23, 1.54, -1.36,0.09259, 0.05455, 0.02926, -0.99378,-0.25, 1.54, -1.36,-0.23693, -0.01715, -0.00418, 0.97137,332.58, 357.98, 0.00,-0.03, 0.46, 0.89,1.00, 0.00, 0.04,0.02, 0.89, -0.46,TrackingSpace,0.9980469,-0.19, 1.54, -1.35,-0.23780, -0.03371, -0.00826, 0.97069,332.47, 356.02, 0.00,-0.06, 0.46, 0.88,1.00, 0.00, 0.07,0.03, 0.89, -0.46,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:22:46.903870,1,start,-0.26, 1.54, -1.36,0.09320, 0.05403, 0.03034, -0.99372,-0.20, 1.54, -1.35,0.09320, 0.05403, 0.03034, -0.99372,-0.23, 1.54, -1.36,0.09320, 0.05403, 0.03034, -0.99372,-0.25, 1.54, -1.36,-0.23693, -0.01715, -0.00418, 0.97137,332.58, 357.98, 0.00,-0.03, 0.46, 0.89,1.00, 0.00, 0.04,0.02, 0.89, -0.46,TrackingSpace,0.9980469,-0.19, 1.54, -1.35,-0.23780, -0.03371, -0.00826, 0.97069,332.47, 356.02, 0.00,-0.06, 0.46, 0.88,1.00, 0.00, 0.07,0.03, 0.89, -0.46,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:22:46.917282,2,start,-0.26, 1.54, -1.36,0.09383, 0.05327, 0.03151, -0.99366,-0.20, 1.54, -1.35,0.09383, 0.05327, 0.03151, -0.99366,-0.23, 1.54, -1.35,0.09383, 0.05327, 0.03151, -0.99366,-0.26, 1.54, -1.36,-0.23003, -0.01931, -0.00457, 0.97298,333.40, 357.73, 0.00,-0.04, 0.45, 0.89,1.00, 0.00, 0.04,0.02, 0.89, -0.45,TrackingSpace,0.9980469,-0.19, 1.54, -1.35,-0.23094, -0.03688, -0.00876, 0.97223,333.28, 355.66, 0.00,-0.07, 0.45, 0.89,1.00, 0.00, 0.08,0.03, 0.89, -0.45,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:22:46.931840,3,start,-0.26, 1.54, -1.36,0.09428, 0.05249, 0.03237, -0.99363,-0.21, 1.54, -1.35,0.09428, 0.05249, 0.03237, -0.99363,-0.24, 1.54, -1.35,0.09428, 0.05249, 0.03237, -0.99363,-0.26, 1.54, -1.36,-0.23003, -0.01931, -0.00457, 0.97298,333.40, 357.73, 0.00,-0.04, 0.45, 0.89,1.00, 0.00, 0.04,0.02, 0.89, -0.45,TrackingSpace,0.9980469,-0.19, 1.54, -1.35,-0.23094, -0.03688, -0.00876, 0.97223,333.28, 355.66, 0.00,-0.07, 0.45, 0.89,1.00, 0.00, 0.08,0.03, 0.89, -0.45,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:22:46.945823,4,start,-0.27, 1.54, -1.36,0.09425, 0.05153, 0.03323, -0.99366,-0.21, 1.54, -1.35,0.09425, 0.05153, 0.03323, -0.99366,-0.24, 1.54, -1.35,0.09425, 0.05153, 0.03323, -0.99366,-0.26, 1.54, -1.36,-0.23029, -0.01701, -0.00403, 0.97297,333.37, 358.00, 0.00,-0.03, 0.45, 0.89,1.00, 0.00, 0.03,0.02, 0.89, -0.45,TrackingSpace,0.9980469,-0.20, 1.54, -1.35,-0.23130, -0.03459, -0.00823, 0.97223,333.24, 355.93, 0.00,-0.06, 0.45, 0.89,1.00, 0.00, 0.07,0.03, 0.89, -0.45,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:22:46.959767,5,start,-0.27, 1.54, -1.36,0.09370, 0.05053, 0.03427, -0.99373,-0.21, 1.54, -1.35,0.09370, 0.05053, 0.03427, -0.99373,-0.24, 1.54, -1.35,0.09370, 0.05053, 0.03427, -0.99373,-0.26, 1.54, -1.36,-0.23029, -0.01701, -0.00403, 0.97297,333.37, 358.00, 0.00,-0.03, 0.45, 0.89,1.00, 0.00, 0.03,0.02, 0.89, -0.45,TrackingSpace,0.9980469,-0.20, 1.54, -1.35,-0.23130, -0.03459, -0.00823, 0.97223,333.24, 355.93, 0.00,-0.06, 0.45, 0.89,1.00, 0.00, 0.07,0.03, 0.89, -0.45,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:22:46.974467,6,start,-0.27, 1.54, -1.36,0.09292, 0.04931, 0.03572, -0.99381,-0.21, 1.54, -1.35,0.09292, 0.04931, 0.03572, -0.99381,-0.24, 1.54, -1.35,0.09292, 0.04931, 0.03572, -0.99381,-0.27, 1.54, -1.36,-0.22766, -0.01057, -0.00247, 0.97368,333.68, 358.76, 0.00,-0.02, 0.44, 0.90,1.00, 0.00, 0.02,0.01, 0.90, -0.44,TrackingSpace,0.9980469,-0.20, 1.54, -1.35,-0.22880, -0.02751, -0.00647, 0.97306,333.54, 356.76, 0.00,-0.05, 0.45, 0.89,1.00, 0.00, 0.06,0.03, 0.90, -0.44,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:22:46.988478,7,start,-0.28, 1.54, -1.36,0.09214, 0.04780, 0.03752, -0.99389,-0.22, 1.53, -1.35,0.09214, 0.04780, 0.03752, -0.99389,-0.25, 1.54, -1.35,0.09214, 0.04780, 0.03752, -0.99389,-0.27, 1.54, -1.36,-0.22766, -0.01057, -0.00247, 0.97368,333.68, 358.76, 0.00,-0.02, 0.44, 0.90,1.00, 0.00, 0.02,0.01, 0.90, -0.44,TrackingSpace,0.9980469,-0.20, 1.54, -1.35,-0.22880, -0.02751, -0.00647, 0.97306,333.54, 356.76, 0.00,-0.05, 0.45, 0.89,1.00, 0.00, 0.06,0.03, 0.90, -0.44,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:22:47.003157,8,start,-0.28, 1.54, -1.36,0.09167, 0.04594, 0.03940, -0.99395,-0.22, 1.53, -1.35,0.09167, 0.04594, 0.03940, -0.99395,-0.25, 1.54, -1.35,0.09167, 0.04594, 0.03940, -0.99395,-0.27, 1.54, -1.36,-0.22766, -0.01057, -0.00247, 0.97368,333.68, 358.76, 0.00,-0.02, 0.44, 0.90,1.00, 0.00, 0.02,0.01, 0.90, -0.44,TrackingSpace,0.9980469,-0.20, 1.54, -1.35,-0.22880, -0.02751, -0.00647, 0.97306,333.54, 356.76, 0.00,-0.05, 0.45, 0.89,1.00, 0.00, 0.06,0.03, 0.90, -0.44,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 20:22:47.016901,9,start,-0.28, 1.54, -1.35,0.09119, 0.04392, 0.04107, -0.99402,-0.22, 1.53, -1.35,0.09119, 0.04392, 0.04107, -0.99402,-0.25, 1.54, -1.35,0.09119, 0.04392, 0.04107, -0.99402,-0.27, 1.54, -1.36,-0.22447, -0.00726, -0.00167, 0.97445,334.06, 359.15, 0.00,-0.01, 0.44, 0.90,1.00, 0.00, 0.01,0.01, 0.90, -0.44,TrackingSpace,0.9980469,-0.21, 1.53, -1.35,-0.22572, -0.02417, -0.00560, 0.97388,333.90, 357.16, 0.00,-0.04, 0.44, 0.90,1.00, 0.00, 0.05,0.02, 0.90, -0.44,TrackingSpace,0.9980469,-0.30, 2.00, -0.34,0.00000, 0.00000, 0.00000, 1.00000
