Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 18:19:26.407297,0,start,-0.15, 1.24, 0.68,-0.00099, 0.99548, 0.09490, 0.00298,-0.21, 1.24, 0.67,-0.00099, 0.99548, 0.09490, 0.00298,-0.18, 1.24, 0.67,-0.00099, 0.99548, 0.09490, 0.00298,-0.15, 1.24, 0.67,0.00095, 0.99700, 0.07644, -0.01242,351.23, 181.43, 0.00,-0.02, 0.15, -0.99,-1.00, 0.00, 0.02,0.00, 0.99, 0.15,TrackingSpace,0.9980469,-0.21, 1.24, 0.67,-0.00046, 0.99705, 0.07649, 0.00593,351.23, 179.32, 0.00,0.01, 0.15, -0.99,-1.00, 0.00, -0.01,0.00, 0.99, 0.15,TrackingSpace,0.9980469,-0.17, 1.48, -0.55,-0.00088, 0.99548, 0.09491, 0.00296
07/31/2023 18:19:26.421338,1,start,-0.15, 1.24, 0.68,-0.00102, 0.99548, 0.09494, 0.00305,-0.21, 1.24, 0.67,-0.00102, 0.99548, 0.09494, 0.00305,-0.18, 1.24, 0.67,-0.00102, 0.99548, 0.09494, 0.00305,-0.15, 1.24, 0.67,0.00110, 0.99673, 0.07956, -0.01374,350.87, 181.58, 0.00,-0.03, 0.16, -0.99,-1.00, 0.00, 0.03,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.21, 1.24, 0.67,-0.00047, 0.99681, 0.07963, 0.00589,350.87, 179.32, 0.00,0.01, 0.16, -0.99,-1.00, 0.00, -0.01,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.17, 1.48, -0.55,-0.00099, 0.99548, 0.09491, 0.00299
07/31/2023 18:19:26.435490,2,start,-0.15, 1.24, 0.68,-0.00098, 0.99548, 0.09494, 0.00311,-0.21, 1.24, 0.67,-0.00098, 0.99548, 0.09494, 0.00311,-0.18, 1.24, 0.67,-0.00098, 0.99548, 0.09494, 0.00311,-0.15, 1.24, 0.67,0.00110, 0.99673, 0.07956, -0.01374,350.87, 181.58, 0.00,-0.03, 0.16, -0.99,-1.00, 0.00, 0.03,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.21, 1.24, 0.67,-0.00047, 0.99681, 0.07963, 0.00589,350.87, 179.32, 0.00,0.01, 0.16, -0.99,-1.00, 0.00, -0.01,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.17, 1.48, -0.55,-0.00102, 0.99548, 0.09493, 0.00307
07/31/2023 18:19:26.449489,3,start,-0.15, 1.24, 0.68,-0.00091, 0.99547, 0.09502, 0.00321,-0.21, 1.24, 0.67,-0.00091, 0.99547, 0.09502, 0.00321,-0.18, 1.24, 0.67,-0.00091, 0.99547, 0.09502, 0.00321,-0.15, 1.24, 0.67,0.00118, 0.99672, 0.07961, -0.01478,350.87, 181.70, 0.00,-0.03, 0.16, -0.99,-1.00, 0.00, 0.03,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.21, 1.24, 0.67,-0.00035, 0.99681, 0.07970, 0.00435,350.86, 179.50, 0.00,0.01, 0.16, -0.99,-1.00, 0.00, -0.01,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.17, 1.48, -0.55,-0.00099, 0.99548, 0.09496, 0.00310
07/31/2023 18:19:26.464009,4,start,-0.15, 1.24, 0.68,-0.00084, 0.99547, 0.09503, 0.00331,-0.21, 1.24, 0.67,-0.00084, 0.99547, 0.09503, 0.00331,-0.18, 1.24, 0.67,-0.00084, 0.99547, 0.09503, 0.00331,-0.15, 1.24, 0.67,0.00118, 0.99672, 0.07961, -0.01478,350.87, 181.70, 0.00,-0.03, 0.16, -0.99,-1.00, 0.00, 0.03,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.21, 1.24, 0.67,-0.00035, 0.99681, 0.07970, 0.00435,350.86, 179.50, 0.00,0.01, 0.16, -0.99,-1.00, 0.00, -0.01,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.17, 1.48, -0.55,-0.00091, 0.99547, 0.09501, 0.00321
07/31/2023 18:19:26.478456,5,start,-0.15, 1.24, 0.68,-0.00082, 0.99547, 0.09497, 0.00335,-0.21, 1.24, 0.67,-0.00082, 0.99547, 0.09497, 0.00335,-0.18, 1.24, 0.67,-0.00082, 0.99547, 0.09497, 0.00335,-0.15, 1.24, 0.67,0.00118, 0.99672, 0.07961, -0.01478,350.87, 181.70, 0.00,-0.03, 0.16, -0.99,-1.00, 0.00, 0.03,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.21, 1.24, 0.67,-0.00035, 0.99681, 0.07970, 0.00435,350.86, 179.50, 0.00,0.01, 0.16, -0.99,-1.00, 0.00, -0.01,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.17, 1.48, -0.55,-0.00084, 0.99547, 0.09503, 0.00331
07/31/2023 18:19:26.491995,6,start,-0.15, 1.24, 0.68,-0.00088, 0.99548, 0.09494, 0.00341,-0.21, 1.24, 0.67,-0.00088, 0.99548, 0.09494, 0.00341,-0.18, 1.24, 0.67,-0.00088, 0.99548, 0.09494, 0.00341,-0.15, 1.24, 0.67,0.00108, 0.99673, 0.07969, -0.01353,350.86, 181.56, 0.00,-0.03, 0.16, -0.99,-1.00, 0.00, 0.03,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.21, 1.24, 0.67,-0.00047, 0.99680, 0.07976, 0.00587,350.85, 179.33, 0.00,0.01, 0.16, -0.99,-1.00, 0.00, -0.01,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.17, 1.48, -0.55,-0.00085, 0.99547, 0.09498, 0.00335
07/31/2023 18:19:26.506185,7,start,-0.15, 1.24, 0.68,-0.00089, 0.99548, 0.09487, 0.00337,-0.21, 1.24, 0.67,-0.00089, 0.99548, 0.09487, 0.00337,-0.18, 1.24, 0.67,-0.00089, 0.99548, 0.09487, 0.00337,-0.15, 1.24, 0.67,0.00108, 0.99673, 0.07969, -0.01353,350.86, 181.56, 0.00,-0.03, 0.16, -0.99,-1.00, 0.00, 0.03,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.21, 1.24, 0.67,-0.00047, 0.99680, 0.07976, 0.00587,350.85, 179.33, 0.00,0.01, 0.16, -0.99,-1.00, 0.00, -0.01,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.17, 1.48, -0.55,-0.00083, 0.99548, 0.09492, 0.00339
07/31/2023 18:19:26.520179,8,start,-0.15, 1.24, 0.68,-0.00086, 0.99549, 0.09484, 0.00338,-0.21, 1.24, 0.67,-0.00086, 0.99549, 0.09484, 0.00338,-0.18, 1.24, 0.67,-0.00086, 0.99549, 0.09484, 0.00338,-0.15, 1.24, 0.67,0.00109, 0.99681, 0.07864, -0.01381,350.98, 181.59, 0.00,-0.03, 0.16, -0.99,-1.00, 0.00, 0.03,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.21, 1.24, 0.67,-0.00040, 0.99688, 0.07872, 0.00506,350.97, 179.42, 0.00,0.01, 0.16, -0.99,-1.00, 0.00, -0.01,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.17, 1.48, -0.55,-0.00090, 0.99548, 0.09486, 0.00338
07/31/2023 18:19:26.533953,9,start,-0.15, 1.24, 0.68,-0.00088, 0.99549, 0.09479, 0.00336,-0.21, 1.24, 0.67,-0.00088, 0.99549, 0.09479, 0.00336,-0.18, 1.24, 0.67,-0.00088, 0.99549, 0.09479, 0.00336,-0.15, 1.24, 0.67,0.00109, 0.99681, 0.07864, -0.01381,350.98, 181.59, 0.00,-0.03, 0.16, -0.99,-1.00, 0.00, 0.03,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.21, 1.24, 0.67,-0.00040, 0.99688, 0.07872, 0.00506,350.97, 179.42, 0.00,0.01, 0.16, -0.99,-1.00, 0.00, -0.01,0.00, 0.99, 0.16,TrackingSpace,0.9980469,-0.17, 1.48, -0.55,-0.00086, 0.99549, 0.09484, 0.00338
