Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 18:21:48.923097,0,start,-0.16, 1.20, 0.65,0.00616, 0.99032, 0.13458, -0.03342,-0.22, 1.20, 0.66,0.00616, 0.99032, 0.13458, -0.03342,-0.19, 1.20, 0.65,0.00616, 0.99032, 0.13458, -0.03342,-0.16, 1.20, 0.65,0.01076, 0.98878, 0.11931, -0.08918,346.24, 190.31, 0.00,-0.17, 0.24, -0.96,-0.98, 0.00, 0.18,0.04, 0.97, 0.23,TrackingSpace,0.9980469,-0.22, 1.20, 0.66,0.00833, 0.99037, 0.11987, -0.06879,346.20, 187.95, 0.00,-0.13, 0.24, -0.96,-0.99, 0.00, 0.14,0.03, 0.97, 0.24,TrackingSpace,0.9980469,0.29, 1.95, -0.55,0.00629, 0.99032, 0.13454, -0.03352
07/31/2023 18:21:48.937069,1,start,-0.16, 1.20, 0.65,0.00604, 0.99030, 0.13476, -0.03337,-0.22, 1.20, 0.66,0.00604, 0.99030, 0.13476, -0.03337,-0.19, 1.20, 0.65,0.00604, 0.99030, 0.13476, -0.03337,-0.16, 1.20, 0.65,0.01076, 0.98878, 0.11931, -0.08918,346.24, 190.31, 0.00,-0.17, 0.24, -0.96,-0.98, 0.00, 0.18,0.04, 0.97, 0.23,TrackingSpace,0.9980469,-0.22, 1.20, 0.66,0.00833, 0.99037, 0.11987, -0.06879,346.20, 187.95, 0.00,-0.13, 0.24, -0.96,-0.99, 0.00, 0.14,0.03, 0.97, 0.24,TrackingSpace,0.9980469,0.29, 1.95, -0.55,0.00620, 0.99032, 0.13460, -0.03338
07/31/2023 18:21:48.951093,2,start,-0.16, 1.20, 0.65,0.00600, 0.99028, 0.13494, -0.03332,-0.22, 1.20, 0.66,0.00600, 0.99028, 0.13494, -0.03332,-0.19, 1.20, 0.65,0.00600, 0.99028, 0.13494, -0.03332,-0.16, 1.20, 0.65,0.01077, 0.98875, 0.11971, -0.08899,346.19, 190.29, 0.00,-0.17, 0.24, -0.96,-0.98, 0.00, 0.18,0.04, 0.97, 0.23,TrackingSpace,0.9980469,-0.22, 1.20, 0.66,0.00833, 0.99033, 0.12027, -0.06859,346.15, 187.92, 0.00,-0.13, 0.24, -0.96,-0.99, 0.00, 0.14,0.03, 0.97, 0.24,TrackingSpace,0.9980469,0.29, 1.95, -0.55,0.00606, 0.99029, 0.13478, -0.03337
07/31/2023 18:21:48.965623,3,start,-0.16, 1.20, 0.65,0.00578, 0.99026, 0.13511, -0.03328,-0.22, 1.20, 0.66,0.00578, 0.99026, 0.13511, -0.03328,-0.19, 1.20, 0.65,0.00578, 0.99026, 0.13511, -0.03328,-0.16, 1.20, 0.65,0.01077, 0.98875, 0.11971, -0.08899,346.19, 190.29, 0.00,-0.17, 0.24, -0.96,-0.98, 0.00, 0.18,0.04, 0.97, 0.23,TrackingSpace,0.9980469,-0.22, 1.20, 0.66,0.00833, 0.99033, 0.12027, -0.06859,346.15, 187.92, 0.00,-0.13, 0.24, -0.96,-0.99, 0.00, 0.14,0.03, 0.97, 0.24,TrackingSpace,0.9980469,0.29, 1.96, -0.55,0.00600, 0.99027, 0.13496, -0.03330
07/31/2023 18:21:48.979720,4,start,-0.16, 1.20, 0.65,0.00565, 0.99024, 0.13527, -0.03321,-0.22, 1.20, 0.66,0.00565, 0.99024, 0.13527, -0.03321,-0.19, 1.20, 0.65,0.00565, 0.99024, 0.13527, -0.03321,-0.16, 1.20, 0.65,0.01077, 0.98875, 0.11971, -0.08899,346.19, 190.29, 0.00,-0.17, 0.24, -0.96,-0.98, 0.00, 0.18,0.04, 0.97, 0.23,TrackingSpace,0.9980469,-0.22, 1.20, 0.66,0.00833, 0.99033, 0.12027, -0.06859,346.15, 187.92, 0.00,-0.13, 0.24, -0.96,-0.99, 0.00, 0.14,0.03, 0.97, 0.24,TrackingSpace,0.9980469,0.29, 1.96, -0.55,0.00581, 0.99025, 0.13513, -0.03328
07/31/2023 18:21:48.993839,5,start,-0.16, 1.20, 0.65,0.00543, 0.99023, 0.13535, -0.03319,-0.22, 1.20, 0.66,0.00543, 0.99023, 0.13535, -0.03319,-0.19, 1.20, 0.65,0.00543, 0.99023, 0.13535, -0.03319,-0.16, 1.20, 0.65,0.01048, 0.98895, 0.12009, -0.08628,346.15, 189.97, 0.00,-0.17, 0.24, -0.96,-0.98, 0.00, 0.17,0.04, 0.97, 0.24,TrackingSpace,0.9980469,-0.22, 1.20, 0.66,0.00814, 0.99041, 0.12062, -0.06685,346.11, 187.72, 0.00,-0.13, 0.24, -0.96,-0.99, 0.00, 0.13,0.03, 0.97, 0.24,TrackingSpace,0.9980469,0.29, 1.96, -0.55,0.00564, 0.99023, 0.13529, -0.03320
07/31/2023 18:21:49.007637,6,start,-0.16, 1.20, 0.65,0.00544, 0.99023, 0.13533, -0.03318,-0.22, 1.20, 0.66,0.00544, 0.99023, 0.13533, -0.03318,-0.19, 1.20, 0.65,0.00544, 0.99023, 0.13533, -0.03318,-0.16, 1.20, 0.65,0.01048, 0.98895, 0.12009, -0.08628,346.15, 189.97, 0.00,-0.17, 0.24, -0.96,-0.98, 0.00, 0.17,0.04, 0.97, 0.24,TrackingSpace,0.9980469,-0.22, 1.20, 0.66,0.00814, 0.99041, 0.12062, -0.06685,346.11, 187.72, 0.00,-0.13, 0.24, -0.96,-0.99, 0.00, 0.13,0.03, 0.97, 0.24,TrackingSpace,0.9980469,0.29, 1.96, -0.55,0.00546, 0.99023, 0.13533, -0.03318
07/31/2023 18:21:49.021889,7,start,-0.16, 1.20, 0.65,0.00552, 0.99024, 0.13522, -0.03320,-0.22, 1.20, 0.66,0.00552, 0.99024, 0.13522, -0.03320,-0.19, 1.20, 0.65,0.00552, 0.99024, 0.13522, -0.03320,-0.16, 1.20, 0.65,0.01032, 0.98915, 0.11872, -0.08594,346.31, 189.93, 0.00,-0.17, 0.24, -0.96,-0.99, 0.00, 0.17,0.04, 0.97, 0.23,TrackingSpace,0.9980469,-0.22, 1.20, 0.66,0.00788, 0.99067, 0.11927, -0.06547,346.27, 187.56, 0.00,-0.13, 0.24, -0.96,-0.99, 0.00, 0.13,0.03, 0.97, 0.24,TrackingSpace,0.9980469,0.29, 1.96, -0.55,0.00546, 0.99023, 0.13531, -0.03319
07/31/2023 18:21:49.035896,8,start,-0.16, 1.20, 0.65,0.00563, 0.99026, 0.13510, -0.03322,-0.22, 1.20, 0.66,0.00563, 0.99026, 0.13510, -0.03322,-0.19, 1.20, 0.65,0.00563, 0.99026, 0.13510, -0.03322,-0.16, 1.20, 0.65,0.01032, 0.98915, 0.11872, -0.08594,346.31, 189.93, 0.00,-0.17, 0.24, -0.96,-0.99, 0.00, 0.17,0.04, 0.97, 0.23,TrackingSpace,0.9980469,-0.22, 1.20, 0.66,0.00788, 0.99067, 0.11927, -0.06547,346.27, 187.56, 0.00,-0.13, 0.24, -0.96,-0.99, 0.00, 0.13,0.03, 0.97, 0.24,TrackingSpace,0.9980469,0.29, 1.96, -0.55,0.00554, 0.99025, 0.13521, -0.03318
07/31/2023 18:21:49.049672,9,start,-0.16, 1.20, 0.65,0.00559, 0.99027, 0.13499, -0.03324,-0.22, 1.20, 0.66,0.00559, 0.99027, 0.13499, -0.03324,-0.19, 1.20, 0.65,0.00559, 0.99027, 0.13499, -0.03324,-0.16, 1.20, 0.65,0.01032, 0.98915, 0.11872, -0.08594,346.31, 189.93, 0.00,-0.17, 0.24, -0.96,-0.99, 0.00, 0.17,0.04, 0.97, 0.23,TrackingSpace,0.9980469,-0.22, 1.20, 0.66,0.00788, 0.99067, 0.11927, -0.06547,346.27, 187.56, 0.00,-0.13, 0.24, -0.96,-0.99, 0.00, 0.13,0.03, 0.97, 0.24,TrackingSpace,0.9980469,0.29, 1.96, -0.55,0.00564, 0.99026, 0.13510, -0.03322
