Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 18:25:21.472138,0,start,-0.15, 1.50, 0.61,-0.01061, -0.73133, -0.07615, 0.67768,-0.16, 1.49, 0.67,-0.01061, -0.73133, -0.07615, 0.67768,-0.15, 1.50, 0.64,-0.01061, -0.73133, -0.07615, 0.67768,-0.15, 1.50, 0.61,-0.10504, -0.81769, -0.15804, 0.54348,338.12, 247.22, 0.00,-0.86, 0.37, -0.36,-0.39, 0.00, 0.92,0.34, 0.93, 0.14,TrackingSpace,0.9980469,-0.15, 1.49, 0.67,-0.10321, -0.82342, -0.15889, 0.53487,338.16, 246.01, 0.00,-0.85, 0.37, -0.38,-0.41, 0.00, 0.91,0.34, 0.93, 0.15,TrackingSpace,0.9980469,-1.37, 2.12, 0.04,-0.00968, -0.73109, -0.07695, 0.67786
07/31/2023 18:25:21.486243,1,start,-0.15, 1.50, 0.61,-0.01160, -0.73143, -0.07534, 0.67764,-0.16, 1.49, 0.67,-0.01160, -0.73143, -0.07534, 0.67764,-0.16, 1.50, 0.64,-0.01160, -0.73143, -0.07534, 0.67764,-0.15, 1.50, 0.61,-0.10504, -0.81769, -0.15804, 0.54348,338.12, 247.22, 0.00,-0.86, 0.37, -0.36,-0.39, 0.00, 0.92,0.34, 0.93, 0.14,TrackingSpace,0.9980469,-0.15, 1.49, 0.67,-0.10321, -0.82342, -0.15889, 0.53487,338.16, 246.01, 0.00,-0.85, 0.37, -0.38,-0.41, 0.00, 0.91,0.34, 0.93, 0.15,TrackingSpace,0.9980469,-1.37, 2.12, 0.04,-0.01061, -0.73133, -0.07615, 0.67768
07/31/2023 18:25:21.500078,2,start,-0.15, 1.50, 0.62,-0.01274, -0.73147, -0.07461, 0.67766,-0.16, 1.50, 0.67,-0.01274, -0.73147, -0.07461, 0.67766,-0.16, 1.50, 0.65,-0.01274, -0.73147, -0.07461, 0.67766,-0.15, 1.50, 0.61,-0.10384, -0.81905, -0.15692, 0.54198,338.31, 246.99, 0.00,-0.86, 0.37, -0.36,-0.39, 0.00, 0.92,0.34, 0.93, 0.14,TrackingSpace,0.9980469,-0.16, 1.49, 0.67,-0.10203, -0.82465, -0.15770, 0.53354,338.35, 245.80, 0.00,-0.85, 0.37, -0.38,-0.41, 0.00, 0.91,0.34, 0.93, 0.15,TrackingSpace,0.9980469,-1.38, 2.12, 0.04,-0.01161, -0.73143, -0.07533, 0.67765
07/31/2023 18:25:21.515009,3,start,-0.16, 1.50, 0.62,-0.01355, -0.73123, -0.07441, 0.67792,-0.16, 1.50, 0.68,-0.01355, -0.73123, -0.07441, 0.67792,-0.16, 1.50, 0.65,-0.01355, -0.73123, -0.07441, 0.67792,-0.15, 1.50, 0.61,-0.10384, -0.81905, -0.15692, 0.54198,338.31, 246.99, 0.00,-0.86, 0.37, -0.36,-0.39, 0.00, 0.92,0.34, 0.93, 0.14,TrackingSpace,0.9980469,-0.16, 1.49, 0.67,-0.10203, -0.82465, -0.15770, 0.53354,338.35, 245.80, 0.00,-0.85, 0.37, -0.38,-0.41, 0.00, 0.91,0.34, 0.93, 0.15,TrackingSpace,0.9980469,-1.38, 2.12, 0.04,-0.01274, -0.73146, -0.07462, 0.67767
07/31/2023 18:25:21.528881,4,start,-0.16, 1.50, 0.62,-0.01400, -0.73085, -0.07449, 0.67832,-0.16, 1.50, 0.68,-0.01400, -0.73085, -0.07449, 0.67832,-0.16, 1.50, 0.65,-0.01400, -0.73085, -0.07449, 0.67832,-0.15, 1.50, 0.61,-0.10340, -0.81983, -0.15670, 0.54096,338.36, 246.84, 0.00,-0.85, 0.37, -0.37,-0.39, 0.00, 0.92,0.34, 0.93, 0.15,TrackingSpace,0.9980469,-0.16, 1.49, 0.68,-0.10159, -0.82533, -0.15741, 0.53266,338.40, 245.68, 0.00,-0.85, 0.37, -0.38,-0.41, 0.00, 0.91,0.34, 0.93, 0.15,TrackingSpace,0.9980469,-1.38, 2.12, 0.04,-0.01351, -0.73118, -0.07448, 0.67797
07/31/2023 18:25:21.542861,5,start,-0.16, 1.50, 0.62,-0.01434, -0.73057, -0.07444, 0.67862,-0.16, 1.50, 0.68,-0.01434, -0.73057, -0.07444, 0.67862,-0.16, 1.50, 0.65,-0.01434, -0.73057, -0.07444, 0.67862,-0.15, 1.50, 0.61,-0.10340, -0.81983, -0.15670, 0.54096,338.36, 246.84, 0.00,-0.85, 0.37, -0.37,-0.39, 0.00, 0.92,0.34, 0.93, 0.15,TrackingSpace,0.9980469,-0.16, 1.49, 0.68,-0.10159, -0.82533, -0.15741, 0.53266,338.40, 245.68, 0.00,-0.85, 0.37, -0.38,-0.41, 0.00, 0.91,0.34, 0.93, 0.15,TrackingSpace,0.9980469,-1.38, 2.12, 0.04,-0.01393, -0.73084, -0.07454, 0.67833
07/31/2023 18:25:21.556800,6,start,-0.16, 1.50, 0.62,-0.01464, -0.73041, -0.07430, 0.67880,-0.16, 1.50, 0.68,-0.01464, -0.73041, -0.07430, 0.67880,-0.16, 1.50, 0.65,-0.01464, -0.73041, -0.07430, 0.67880,-0.16, 1.50, 0.61,-0.10463, -0.81840, -0.15782, 0.54256,338.17, 247.09, 0.00,-0.86, 0.37, -0.36,-0.39, 0.00, 0.92,0.34, 0.93, 0.14,TrackingSpace,0.9980469,-0.16, 1.49, 0.68,-0.10296, -0.82344, -0.15846, 0.53501,338.21, 246.03, 0.00,-0.85, 0.37, -0.38,-0.41, 0.00, 0.91,0.34, 0.93, 0.15,TrackingSpace,0.9980469,-1.38, 2.12, 0.04,-0.01429, -0.73060, -0.07442, 0.67859
07/31/2023 18:25:21.571276,7,start,-0.16, 1.50, 0.62,-0.01495, -0.72999, -0.07413, 0.67926,-0.17, 1.50, 0.68,-0.01495, -0.72999, -0.07413, 0.67926,-0.16, 1.50, 0.65,-0.01495, -0.72999, -0.07413, 0.67926,-0.16, 1.50, 0.61,-0.10463, -0.81840, -0.15782, 0.54256,338.17, 247.09, 0.00,-0.86, 0.37, -0.36,-0.39, 0.00, 0.92,0.34, 0.93, 0.14,TrackingSpace,0.9980469,-0.16, 1.49, 0.68,-0.10296, -0.82344, -0.15846, 0.53501,338.21, 246.03, 0.00,-0.85, 0.37, -0.38,-0.41, 0.00, 0.91,0.34, 0.93, 0.15,TrackingSpace,0.9980469,-1.38, 2.12, 0.05,-0.01460, -0.73041, -0.07431, 0.67880
07/31/2023 18:25:21.585670,8,start,-0.16, 1.51, 0.63,-0.01540, -0.72957, -0.07379, 0.67974,-0.17, 1.50, 0.69,-0.01540, -0.72957, -0.07379, 0.67974,-0.16, 1.50, 0.66,-0.01540, -0.72957, -0.07379, 0.67974,-0.16, 1.50, 0.61,-0.10463, -0.81840, -0.15782, 0.54256,338.17, 247.09, 0.00,-0.86, 0.37, -0.36,-0.39, 0.00, 0.92,0.34, 0.93, 0.14,TrackingSpace,0.9980469,-0.16, 1.49, 0.68,-0.10296, -0.82344, -0.15846, 0.53501,338.21, 246.03, 0.00,-0.85, 0.37, -0.38,-0.41, 0.00, 0.91,0.34, 0.93, 0.15,TrackingSpace,0.9980469,-1.38, 2.12, 0.05,-0.01495, -0.72999, -0.07410, 0.67926
07/31/2023 18:25:21.599380,9,start,-0.16, 1.51, 0.63,-0.01581, -0.72915, -0.07301, 0.68026,-0.17, 1.50, 0.69,-0.01581, -0.72915, -0.07301, 0.68026,-0.17, 1.50, 0.66,-0.01581, -0.72915, -0.07301, 0.68026,-0.16, 1.50, 0.62,-0.10545, -0.81797, -0.15893, 0.54272,338.01, 247.13, 0.00,-0.85, 0.37, -0.36,-0.39, 0.00, 0.92,0.35, 0.93, 0.15,TrackingSpace,0.9980469,-0.16, 1.50, 0.68,-0.10378, -0.82295, -0.15955, 0.53528,338.06, 246.08, 0.00,-0.85, 0.37, -0.38,-0.41, 0.00, 0.91,0.34, 0.93, 0.15,TrackingSpace,0.9980469,-1.39, 2.12, 0.05,-0.01538, -0.72956, -0.07380, 0.67974
