Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 18:23:34.337170,0,start,-0.27, 1.16, 0.86,-0.04691, 0.94682, 0.27679, 0.15721,-0.32, 1.16, 0.85,-0.04691, 0.94682, 0.27679, 0.15721,-0.30, 1.16, 0.85,-0.04691, 0.94682, 0.27679, 0.15721,-0.27, 1.16, 0.86,-0.11585, 0.87999, 0.36809, 0.27696,314.60, 145.06, 0.00,0.40, 0.71, -0.58,-0.82, 0.00, -0.57,-0.41, 0.70, 0.58,TrackingSpace,0.9980469,-0.33, 1.16, 0.84,-0.12190, 0.87567, 0.36346, 0.29368,314.92, 142.92, 0.00,0.43, 0.71, -0.56,-0.80, 0.00, -0.60,-0.43, 0.71, 0.56,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:23:34.350967,1,start,-0.27, 1.16, 0.86,-0.04610, 0.94698, 0.27616, 0.15761,-0.32, 1.16, 0.84,-0.04610, 0.94698, 0.27616, 0.15761,-0.30, 1.16, 0.85,-0.04610, 0.94698, 0.27616, 0.15761,-0.27, 1.16, 0.86,-0.11585, 0.87999, 0.36809, 0.27696,314.60, 145.06, 0.00,0.40, 0.71, -0.58,-0.82, 0.00, -0.57,-0.41, 0.70, 0.58,TrackingSpace,0.9980469,-0.33, 1.16, 0.84,-0.12190, 0.87567, 0.36346, 0.29368,314.92, 142.92, 0.00,0.43, 0.71, -0.56,-0.80, 0.00, -0.60,-0.43, 0.71, 0.56,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:23:34.365429,2,start,-0.27, 1.16, 0.86,-0.04565, 0.94724, 0.27513, 0.15799,-0.32, 1.16, 0.84,-0.04565, 0.94724, 0.27513, 0.15799,-0.30, 1.16, 0.85,-0.04565, 0.94724, 0.27513, 0.15799,-0.27, 1.16, 0.86,-0.11963, 0.87608, 0.37330, 0.28076,313.84, 144.46, 0.00,0.40, 0.72, -0.56,-0.81, 0.00, -0.58,-0.42, 0.69, 0.59,TrackingSpace,0.9980469,-0.33, 1.16, 0.84,-0.12580, 0.87169, 0.36838, 0.29769,314.18, 142.29, 0.00,0.43, 0.72, -0.55,-0.79, 0.00, -0.61,-0.44, 0.70, 0.57,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:23:34.379511,3,start,-0.27, 1.16, 0.86,-0.04519, 0.94742, 0.27425, 0.15853,-0.32, 1.16, 0.84,-0.04519, 0.94742, 0.27425, 0.15853,-0.30, 1.16, 0.85,-0.04519, 0.94742, 0.27425, 0.15853,-0.27, 1.16, 0.86,-0.11963, 0.87608, 0.37330, 0.28076,313.84, 144.46, 0.00,0.40, 0.72, -0.56,-0.81, 0.00, -0.58,-0.42, 0.69, 0.59,TrackingSpace,0.9980469,-0.33, 1.16, 0.84,-0.12580, 0.87169, 0.36838, 0.29769,314.18, 142.29, 0.00,0.43, 0.72, -0.55,-0.79, 0.00, -0.61,-0.44, 0.70, 0.57,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:23:34.393358,4,start,-0.27, 1.16, 0.86,-0.04519, 0.94763, 0.27325, 0.15906,-0.32, 1.16, 0.84,-0.04519, 0.94763, 0.27325, 0.15906,-0.30, 1.16, 0.85,-0.04519, 0.94763, 0.27325, 0.15906,-0.26, 1.16, 0.86,-0.11704, 0.87807, 0.37374, 0.27497,313.89, 145.22, 0.00,0.40, 0.72, -0.57,-0.82, 0.00, -0.57,-0.41, 0.69, 0.59,TrackingSpace,0.9980469,-0.33, 1.16, 0.84,-0.12413, 0.87314, 0.36825, 0.29431,314.26, 142.74, 0.00,0.42, 0.72, -0.56,-0.80, 0.00, -0.61,-0.43, 0.70, 0.57,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:23:34.407881,5,start,-0.27, 1.16, 0.86,-0.04542, 0.94772, 0.27265, 0.15942,-0.32, 1.16, 0.84,-0.04542, 0.94772, 0.27265, 0.15942,-0.30, 1.16, 0.85,-0.04542, 0.94772, 0.27265, 0.15942,-0.26, 1.16, 0.86,-0.11704, 0.87807, 0.37374, 0.27497,313.89, 145.22, 0.00,0.40, 0.72, -0.57,-0.82, 0.00, -0.57,-0.41, 0.69, 0.59,TrackingSpace,0.9980469,-0.33, 1.16, 0.84,-0.12413, 0.87314, 0.36825, 0.29431,314.26, 142.74, 0.00,0.42, 0.72, -0.56,-0.80, 0.00, -0.61,-0.43, 0.70, 0.57,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:23:34.422142,6,start,-0.27, 1.16, 0.86,-0.04619, 0.94768, 0.27247, 0.15976,-0.32, 1.16, 0.84,-0.04619, 0.94768, 0.27247, 0.15976,-0.30, 1.16, 0.85,-0.04619, 0.94768, 0.27247, 0.15976,-0.26, 1.16, 0.86,-0.11573, 0.87926, 0.37289, 0.27289,314.04, 145.52, 0.00,0.39, 0.72, -0.57,-0.82, 0.00, -0.57,-0.41, 0.70, 0.59,TrackingSpace,0.9980469,-0.33, 1.16, 0.84,-0.12362, 0.87376, 0.36679, 0.29450,314.46, 142.75, 0.00,0.42, 0.71, -0.56,-0.80, 0.00, -0.61,-0.43, 0.70, 0.57,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:23:34.436348,7,start,-0.27, 1.16, 0.86,-0.04665, 0.94753, 0.27274, 0.16011,-0.32, 1.16, 0.84,-0.04665, 0.94753, 0.27274, 0.16011,-0.30, 1.16, 0.85,-0.04665, 0.94753, 0.27274, 0.16011,-0.26, 1.16, 0.86,-0.11573, 0.87926, 0.37289, 0.27289,314.04, 145.52, 0.00,0.39, 0.72, -0.57,-0.82, 0.00, -0.57,-0.41, 0.70, 0.59,TrackingSpace,0.9980469,-0.33, 1.16, 0.84,-0.12362, 0.87376, 0.36679, 0.29450,314.46, 142.75, 0.00,0.42, 0.71, -0.56,-0.80, 0.00, -0.61,-0.43, 0.70, 0.57,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:23:34.450548,8,start,-0.27, 1.16, 0.86,-0.04683, 0.94735, 0.27307, 0.16052,-0.32, 1.16, 0.84,-0.04683, 0.94735, 0.27307, 0.16052,-0.30, 1.16, 0.85,-0.04683, 0.94735, 0.27307, 0.16052,-0.26, 1.16, 0.86,-0.11573, 0.87926, 0.37289, 0.27289,314.04, 145.52, 0.00,0.39, 0.72, -0.57,-0.82, 0.00, -0.57,-0.41, 0.70, 0.59,TrackingSpace,0.9980469,-0.33, 1.16, 0.84,-0.12362, 0.87376, 0.36679, 0.29450,314.46, 142.75, 0.00,0.42, 0.71, -0.56,-0.80, 0.00, -0.61,-0.43, 0.70, 0.57,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:23:34.464826,9,start,-0.27, 1.16, 0.86,-0.04673, 0.94727, 0.27299, 0.16115,-0.32, 1.16, 0.84,-0.04673, 0.94727, 0.27299, 0.16115,-0.30, 1.16, 0.85,-0.04673, 0.94727, 0.27299, 0.16115,-0.26, 1.16, 0.86,-0.11570, 0.87944, 0.37196, 0.27356,314.15, 145.44, 0.00,0.40, 0.72, -0.57,-0.82, 0.00, -0.57,-0.41, 0.70, 0.59,TrackingSpace,0.9980469,-0.33, 1.16, 0.84,-0.12317, 0.87423, 0.36622, 0.29402,314.54, 142.82, 0.00,0.42, 0.71, -0.56,-0.80, 0.00, -0.60,-0.43, 0.70, 0.57,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
