Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 18:26:53.185888,0,start,-0.23, 1.50, 0.81,-0.07793, 0.97625, 0.19407, 0.05657,-0.29, 1.49, 0.81,-0.07793, 0.97625, 0.19407, 0.05657,-0.26, 1.50, 0.81,-0.07793, 0.97625, 0.19407, 0.05657,-0.21, 1.50, 0.80,-0.07219, 0.92641, 0.28633, 0.23358,325.65, 151.70, 0.00,0.39, 0.56, -0.73,-0.88, 0.00, -0.47,-0.27, 0.83, 0.50,TrackingSpace,0.9980469,-0.28, 1.49, 0.79,-0.07412, 0.92487, 0.28518, 0.24039,325.73, 150.86, 0.00,0.40, 0.56, -0.72,-0.87, 0.00, -0.49,-0.27, 0.83, 0.49,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:26:53.199872,1,start,-0.24, 1.50, 0.82,-0.07933, 0.97652, 0.19173, 0.05785,-0.29, 1.49, 0.81,-0.07933, 0.97652, 0.19173, 0.05785,-0.27, 1.50, 0.81,-0.07933, 0.97652, 0.19173, 0.05785,-0.22, 1.50, 0.81,-0.07000, 0.92900, 0.27842, 0.23356,326.63, 151.78, 0.00,0.39, 0.55, -0.74,-0.88, 0.00, -0.47,-0.26, 0.84, 0.48,TrackingSpace,0.9980469,-0.28, 1.49, 0.80,-0.07328, 0.92624, 0.27650, 0.24548,326.76, 150.31, 0.00,0.41, 0.55, -0.73,-0.87, 0.00, -0.50,-0.27, 0.84, 0.48,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:26:53.214429,2,start,-0.24, 1.50, 0.82,-0.08087, 0.97679, 0.18904, 0.06008,-0.30, 1.49, 0.81,-0.08087, 0.97679, 0.18904, 0.06008,-0.27, 1.50, 0.81,-0.08087, 0.97679, 0.18904, 0.06008,-0.22, 1.50, 0.81,-0.07000, 0.92900, 0.27842, 0.23356,326.63, 151.78, 0.00,0.39, 0.55, -0.74,-0.88, 0.00, -0.47,-0.26, 0.84, 0.48,TrackingSpace,0.9980469,-0.28, 1.49, 0.80,-0.07328, 0.92624, 0.27650, 0.24548,326.76, 150.31, 0.00,0.41, 0.55, -0.73,-0.87, 0.00, -0.50,-0.27, 0.84, 0.48,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:26:53.228861,3,start,-0.24, 1.50, 0.82,-0.08320, 0.97700, 0.18621, 0.06218,-0.30, 1.49, 0.81,-0.08320, 0.97700, 0.18621, 0.06218,-0.27, 1.50, 0.82,-0.08320, 0.97700, 0.18621, 0.06218,-0.23, 1.50, 0.81,-0.07507, 0.92480, 0.27179, 0.25544,327.24, 149.12, 0.00,0.43, 0.54, -0.72,-0.86, 0.00, -0.51,-0.28, 0.84, 0.46,TrackingSpace,0.9980469,-0.29, 1.49, 0.80,-0.07700, 0.92297, 0.27050, 0.26274,327.33, 148.22, 0.00,0.44, 0.54, -0.72,-0.85, 0.00, -0.53,-0.28, 0.84, 0.46,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:26:53.243516,4,start,-0.25, 1.50, 0.82,-0.08526, 0.97723, 0.18332, 0.06443,-0.30, 1.49, 0.81,-0.08526, 0.97723, 0.18332, 0.06443,-0.27, 1.50, 0.82,-0.08526, 0.97723, 0.18332, 0.06443,-0.23, 1.50, 0.81,-0.07507, 0.92480, 0.27179, 0.25544,327.24, 149.12, 0.00,0.43, 0.54, -0.72,-0.86, 0.00, -0.51,-0.28, 0.84, 0.46,TrackingSpace,0.9980469,-0.29, 1.49, 0.80,-0.07700, 0.92297, 0.27050, 0.26274,327.33, 148.22, 0.00,0.44, 0.54, -0.72,-0.85, 0.00, -0.53,-0.28, 0.84, 0.46,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:26:53.257562,5,start,-0.25, 1.50, 0.82,-0.08629, 0.97765, 0.17955, 0.06718,-0.31, 1.49, 0.81,-0.08629, 0.97765, 0.17955, 0.06718,-0.28, 1.49, 0.82,-0.08629, 0.97765, 0.17955, 0.06718,-0.24, 1.50, 0.82,-0.07663, 0.92299, 0.25243, 0.28018,329.41, 146.23, 0.00,0.48, 0.51, -0.72,-0.83, 0.00, -0.56,-0.28, 0.86, 0.42,TrackingSpace,0.9980469,-0.30, 1.49, 0.81,-0.07814, 0.92124, 0.25130, 0.28645,329.48, 145.45, 0.00,0.49, 0.51, -0.71,-0.82, 0.00, -0.57,-0.29, 0.86, 0.42,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:26:53.271946,6,start,-0.25, 1.50, 0.83,-0.08686, 0.97804, 0.17594, 0.07020,-0.31, 1.49, 0.82,-0.08686, 0.97804, 0.17594, 0.07020,-0.28, 1.50, 0.82,-0.08686, 0.97804, 0.17594, 0.07020,-0.24, 1.50, 0.82,-0.07663, 0.92299, 0.25243, 0.28018,329.41, 146.23, 0.00,0.48, 0.51, -0.72,-0.83, 0.00, -0.56,-0.28, 0.86, 0.42,TrackingSpace,0.9980469,-0.30, 1.49, 0.81,-0.07814, 0.92124, 0.25130, 0.28645,329.48, 145.45, 0.00,0.49, 0.51, -0.71,-0.82, 0.00, -0.57,-0.29, 0.86, 0.42,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:26:53.286350,7,start,-0.25, 1.50, 0.83,-0.08810, 0.97848, 0.17171, 0.07306,-0.31, 1.49, 0.82,-0.08810, 0.97848, 0.17171, 0.07306,-0.28, 1.50, 0.82,-0.08810, 0.97848, 0.17171, 0.07306,-0.24, 1.50, 0.82,-0.07663, 0.92299, 0.25243, 0.28018,329.41, 146.23, 0.00,0.48, 0.51, -0.72,-0.83, 0.00, -0.56,-0.28, 0.86, 0.42,TrackingSpace,0.9980469,-0.30, 1.49, 0.81,-0.07814, 0.92124, 0.25130, 0.28645,329.48, 145.45, 0.00,0.49, 0.51, -0.71,-0.82, 0.00, -0.57,-0.29, 0.86, 0.42,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:26:53.300765,8,start,-0.26, 1.50, 0.83,-0.09065, 0.97877, 0.16774, 0.07517,-0.31, 1.49, 0.82,-0.09065, 0.97877, 0.16774, 0.07517,-0.29, 1.50, 0.82,-0.09065, 0.97877, 0.16774, 0.07517,-0.24, 1.50, 0.82,-0.07615, 0.92323, 0.24823, 0.28324,329.90, 145.89, 0.00,0.49, 0.50, -0.72,-0.83, 0.00, -0.56,-0.28, 0.87, 0.42,TrackingSpace,0.9980469,-0.31, 1.49, 0.81,-0.07765, 0.92145, 0.24717, 0.28948,329.97, 145.12, 0.00,0.50, 0.50, -0.71,-0.82, 0.00, -0.57,-0.29, 0.87, 0.41,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 18:26:53.315039,9,start,-0.26, 1.50, 0.83,-0.09295, 0.97910, 0.16371, 0.07694,-0.32, 1.49, 0.82,-0.09295, 0.97910, 0.16371, 0.07694,-0.29, 1.50, 0.83,-0.09295, 0.97910, 0.16371, 0.07694,-0.24, 1.50, 0.82,-0.07615, 0.92323, 0.24823, 0.28324,329.90, 145.89, 0.00,0.49, 0.50, -0.72,-0.83, 0.00, -0.56,-0.28, 0.87, 0.42,TrackingSpace,0.9980469,-0.31, 1.49, 0.81,-0.07765, 0.92145, 0.24717, 0.28948,329.97, 145.12, 0.00,0.50, 0.50, -0.71,-0.82, 0.00, -0.57,-0.29, 0.87, 0.41,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
