Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/30/2023 21:43:57.049082,0,start,-0.04, 1.30, 0.49,0.02033, 0.99836, 0.05267, -0.00913,-0.11, 1.30, 0.49,0.02033, 0.99836, 0.05267, -0.00913,-0.07, 1.30, 0.49,0.02033, 0.99836, 0.05267, -0.00913,-0.04, 1.30, 0.49,-0.00323, 0.99671, 0.05169, 0.06226,354.06, 172.85, 0.00,0.12, 0.10, -0.99,-0.99, 0.00, -0.12,-0.01, 0.99, 0.10,TrackingSpace,0.9980469,-0.11, 1.30, 0.49,-0.00425, 0.99519, 0.05038, 0.08387,354.20, 170.37, 0.00,0.17, 0.10, -0.98,-0.99, 0.00, -0.17,-0.02, 0.99, 0.10,TrackingSpace,0.9980469,0.48, 1.83, -0.80,0.02033, 0.99836, 0.05277, -0.00920
07/30/2023 21:43:57.062948,1,start,-0.04, 1.30, 0.49,0.02021, 0.99837, 0.05253, -0.00916,-0.11, 1.30, 0.49,0.02021, 0.99837, 0.05253, -0.00916,-0.07, 1.30, 0.49,0.02021, 0.99837, 0.05253, -0.00916,-0.04, 1.30, 0.49,-0.00309, 0.99685, 0.05035, 0.06115,354.22, 172.98, 0.00,0.12, 0.10, -0.99,-0.99, 0.00, -0.12,-0.01, 0.99, 0.10,TrackingSpace,0.9980469,-0.11, 1.30, 0.49,-0.00413, 0.99526, 0.04898, 0.08394,354.36, 170.36, 0.00,0.17, 0.10, -0.98,-0.99, 0.00, -0.17,-0.02, 1.00, 0.10,TrackingSpace,0.9980469,0.48, 1.83, -0.80,0.02030, 0.99837, 0.05261, -0.00913
07/30/2023 21:43:57.077317,2,start,-0.04, 1.30, 0.49,0.02028, 0.99837, 0.05256, -0.00920,-0.11, 1.30, 0.49,0.02028, 0.99837, 0.05256, -0.00920,-0.07, 1.30, 0.49,0.02028, 0.99837, 0.05256, -0.00920,-0.04, 1.30, 0.49,-0.00309, 0.99685, 0.05035, 0.06115,354.22, 172.98, 0.00,0.12, 0.10, -0.99,-0.99, 0.00, -0.12,-0.01, 0.99, 0.10,TrackingSpace,0.9980469,-0.11, 1.30, 0.49,-0.00413, 0.99526, 0.04898, 0.08394,354.36, 170.36, 0.00,0.17, 0.10, -0.98,-0.99, 0.00, -0.17,-0.02, 1.00, 0.10,TrackingSpace,0.9980469,0.48, 1.83, -0.80,0.02020, 0.99837, 0.05254, -0.00914
07/30/2023 21:43:57.091454,3,start,-0.04, 1.30, 0.49,0.02046, 0.99836, 0.05267, -0.00931,-0.11, 1.30, 0.49,0.02046, 0.99836, 0.05267, -0.00931,-0.07, 1.30, 0.49,0.02046, 0.99836, 0.05267, -0.00931,-0.04, 1.30, 0.49,-0.00322, 0.99673, 0.05207, 0.06167,354.02, 172.92, 0.00,0.12, 0.10, -0.99,-0.99, 0.00, -0.12,-0.01, 0.99, 0.10,TrackingSpace,0.9980469,-0.11, 1.30, 0.49,-0.00429, 0.99515, 0.05070, 0.08414,354.17, 170.33, 0.00,0.17, 0.10, -0.98,-0.99, 0.00, -0.17,-0.02, 0.99, 0.10,TrackingSpace,0.9980469,0.48, 1.83, -0.80,0.02028, 0.99837, 0.05256, -0.00920
07/30/2023 21:43:57.105498,4,start,-0.04, 1.30, 0.49,0.02066, 0.99835, 0.05277, -0.00941,-0.11, 1.30, 0.49,0.02066, 0.99835, 0.05277, -0.00941,-0.07, 1.30, 0.49,0.02066, 0.99835, 0.05277, -0.00941,-0.04, 1.30, 0.49,-0.00322, 0.99673, 0.05207, 0.06167,354.02, 172.92, 0.00,0.12, 0.10, -0.99,-0.99, 0.00, -0.12,-0.01, 0.99, 0.10,TrackingSpace,0.9980469,-0.11, 1.30, 0.49,-0.00429, 0.99515, 0.05070, 0.08414,354.17, 170.33, 0.00,0.17, 0.10, -0.98,-0.99, 0.00, -0.17,-0.02, 0.99, 0.10,TrackingSpace,0.9980469,0.48, 1.83, -0.80,0.02046, 0.99836, 0.05266, -0.00932
07/30/2023 21:43:57.119938,5,start,-0.04, 1.30, 0.49,0.02067, 0.99835, 0.05277, -0.00966,-0.11, 1.30, 0.49,0.02067, 0.99835, 0.05277, -0.00966,-0.07, 1.30, 0.49,0.02067, 0.99835, 0.05277, -0.00966,-0.04, 1.30, 0.49,-0.00308, 0.99686, 0.05038, 0.06094,354.21, 173.00, 0.00,0.12, 0.10, -0.99,-0.99, 0.00, -0.12,-0.01, 0.99, 0.10,TrackingSpace,0.9980469,-0.11, 1.30, 0.49,-0.00413, 0.99526, 0.04899, 0.08394,354.36, 170.36, 0.00,0.17, 0.10, -0.98,-0.99, 0.00, -0.17,-0.02, 1.00, 0.10,TrackingSpace,0.9980469,0.48, 1.83, -0.80,0.02066, 0.99835, 0.05276, -0.00944
07/30/2023 21:43:57.134222,6,start,-0.04, 1.30, 0.49,0.02061, 0.99835, 0.05274, -0.00981,-0.11, 1.30, 0.49,0.02061, 0.99835, 0.05274, -0.00981,-0.07, 1.30, 0.49,0.02061, 0.99835, 0.05274, -0.00981,-0.04, 1.30, 0.49,-0.00308, 0.99686, 0.05038, 0.06094,354.21, 173.00, 0.00,0.12, 0.10, -0.99,-0.99, 0.00, -0.12,-0.01, 0.99, 0.10,TrackingSpace,0.9980469,-0.11, 1.30, 0.49,-0.00413, 0.99526, 0.04899, 0.08394,354.36, 170.36, 0.00,0.17, 0.10, -0.98,-0.99, 0.00, -0.17,-0.02, 1.00, 0.10,TrackingSpace,0.9980469,0.48, 1.83, -0.80,0.02064, 0.99835, 0.05275, -0.00974
07/30/2023 21:43:57.148235,7,start,-0.04, 1.30, 0.49,0.02061, 0.99835, 0.05272, -0.00987,-0.11, 1.30, 0.49,0.02061, 0.99835, 0.05272, -0.00987,-0.07, 1.30, 0.49,0.02061, 0.99835, 0.05272, -0.00987,-0.04, 1.30, 0.49,-0.00308, 0.99686, 0.05038, 0.06094,354.21, 173.00, 0.00,0.12, 0.10, -0.99,-0.99, 0.00, -0.12,-0.01, 0.99, 0.10,TrackingSpace,0.9980469,-0.11, 1.30, 0.49,-0.00413, 0.99526, 0.04899, 0.08394,354.36, 170.36, 0.00,0.17, 0.10, -0.98,-0.99, 0.00, -0.17,-0.02, 1.00, 0.10,TrackingSpace,0.9980469,0.48, 1.83, -0.80,0.02060, 0.99835, 0.05275, -0.00979
07/30/2023 21:43:57.162795,8,start,-0.04, 1.30, 0.49,0.02069, 0.99835, 0.05261, -0.00978,-0.11, 1.30, 0.49,0.02069, 0.99835, 0.05261, -0.00978,-0.07, 1.30, 0.49,0.02069, 0.99835, 0.05261, -0.00978,-0.04, 1.30, 0.49,-0.00293, 0.99699, 0.04824, 0.06055,354.46, 173.05, 0.00,0.12, 0.10, -0.99,-0.99, 0.00, -0.12,-0.01, 1.00, 0.10,TrackingSpace,0.9980469,-0.11, 1.30, 0.49,-0.00384, 0.99556, 0.04700, 0.08143,354.59, 170.65, 0.00,0.16, 0.09, -0.98,-0.99, 0.00, -0.16,-0.02, 1.00, 0.09,TrackingSpace,0.9980469,0.48, 1.83, -0.80,0.02063, 0.99835, 0.05270, -0.00986
07/30/2023 21:43:57.176949,9,start,-0.04, 1.30, 0.49,0.02075, 0.99836, 0.05252, -0.00966,-0.11, 1.30, 0.49,0.02075, 0.99836, 0.05252, -0.00966,-0.07, 1.30, 0.49,0.02075, 0.99836, 0.05252, -0.00966,-0.04, 1.30, 0.49,-0.00293, 0.99699, 0.04824, 0.06055,354.46, 173.05, 0.00,0.12, 0.10, -0.99,-0.99, 0.00, -0.12,-0.01, 1.00, 0.10,TrackingSpace,0.9980469,-0.11, 1.30, 0.49,-0.00384, 0.99556, 0.04700, 0.08143,354.59, 170.65, 0.00,0.16, 0.09, -0.98,-0.99, 0.00, -0.16,-0.02, 1.00, 0.09,TrackingSpace,0.9980469,0.48, 1.83, -0.80,0.02070, 0.99835, 0.05260, -0.00977
