Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/30/2023 21:48:42.443399,0,start,1.20, 1.64, 0.52,-0.00025, -0.92157, -0.02325, -0.38751,1.15, 1.64, 0.47,-0.00025, -0.92157, -0.02325, -0.38751,1.18, 1.64, 0.49,-0.00025, -0.92157, -0.02325, -0.38751,1.18, 1.64, 0.55,-0.01133, 0.94092, 0.03165, 0.33696,356.15, 140.59, 0.00,0.63, 0.07, -0.77,-0.77, 0.00, -0.63,-0.04, 1.00, 0.05,TrackingSpace,0.9980469,1.14, 1.64, 0.50,-0.01192, 0.93394, 0.03128, 0.35585,356.16, 138.28, 0.00,0.66, 0.07, -0.74,-0.75, 0.00, -0.67,-0.04, 1.00, 0.05,TrackingSpace,0.9980469,2.51, 2.10, 0.01,0.00033, -0.91879, -0.02363, -0.39405
07/30/2023 21:48:42.457305,1,start,1.20, 1.64, 0.51,-0.00062, -0.92429, -0.02319, -0.38099,1.16, 1.64, 0.46,-0.00062, -0.92429, -0.02319, -0.38099,1.18, 1.64, 0.49,-0.00062, -0.92429, -0.02319, -0.38099,1.19, 1.64, 0.53,-0.00967, 0.94868, 0.02915, 0.31474,356.48, 143.29, 0.00,0.60, 0.06, -0.80,-0.80, 0.00, -0.60,-0.04, 1.00, 0.05,TrackingSpace,0.9980469,1.15, 1.64, 0.48,-0.01019, 0.94233, 0.02881, 0.33330,356.50, 141.04, 0.00,0.63, 0.06, -0.78,-0.78, 0.00, -0.63,-0.04, 1.00, 0.05,TrackingSpace,0.9980469,2.51, 2.10, -0.02,-0.00020, -0.92157, -0.02324, -0.38752
07/30/2023 21:48:42.471719,2,start,1.21, 1.64, 0.50,-0.00085, -0.92699, -0.02325, -0.37435,1.16, 1.64, 0.45,-0.00085, -0.92699, -0.02325, -0.37435,1.18, 1.64, 0.48,-0.00085, -0.92699, -0.02325, -0.37435,1.19, 1.64, 0.53,-0.00967, 0.94868, 0.02915, 0.31474,356.48, 143.29, 0.00,0.60, 0.06, -0.80,-0.80, 0.00, -0.60,-0.04, 1.00, 0.05,TrackingSpace,0.9980469,1.15, 1.64, 0.48,-0.01019, 0.94233, 0.02881, 0.33330,356.50, 141.04, 0.00,0.63, 0.06, -0.78,-0.78, 0.00, -0.63,-0.04, 1.00, 0.05,TrackingSpace,0.9980469,2.50, 2.10, -0.05,-0.00062, -0.92429, -0.02322, -0.38099
07/30/2023 21:48:42.486203,3,start,1.21, 1.64, 0.49,-0.00072, -0.92968, -0.02331, -0.36764,1.16, 1.64, 0.45,-0.00072, -0.92968, -0.02331, -0.36764,1.19, 1.64, 0.47,-0.00072, -0.92968, -0.02331, -0.36764,1.19, 1.64, 0.53,-0.00967, 0.94868, 0.02915, 0.31474,356.48, 143.29, 0.00,0.60, 0.06, -0.80,-0.80, 0.00, -0.60,-0.04, 1.00, 0.05,TrackingSpace,0.9980469,1.15, 1.64, 0.48,-0.01019, 0.94233, 0.02881, 0.33330,356.50, 141.04, 0.00,0.63, 0.06, -0.78,-0.78, 0.00, -0.63,-0.04, 1.00, 0.05,TrackingSpace,0.9980469,2.50, 2.10, -0.07,-0.00075, -0.92698, -0.02327, -0.37438
07/30/2023 21:48:42.499876,4,start,1.22, 1.64, 0.49,-0.00060, -0.93232, -0.02311, -0.36088,1.17, 1.64, 0.44,-0.00060, -0.93232, -0.02311, -0.36088,1.19, 1.64, 0.46,-0.00060, -0.93232, -0.02311, -0.36088,1.20, 1.64, 0.51,-0.00892, 0.95390, 0.02849, 0.29865,356.58, 145.23, 0.00,0.57, 0.06, -0.82,-0.82, 0.00, -0.57,-0.03, 1.00, 0.05,TrackingSpace,0.9980469,1.15, 1.64, 0.47,-0.00942, 0.94786, 0.02815, 0.31731,356.60, 142.98, 0.00,0.60, 0.06, -0.80,-0.80, 0.00, -0.60,-0.04, 1.00, 0.05,TrackingSpace,0.9980469,2.49, 2.10, -0.10,-0.00065, -0.92969, -0.02330, -0.36761
07/30/2023 21:48:42.514541,5,start,1.22, 1.64, 0.48,-0.00101, -0.93489, -0.02299, -0.35418,1.17, 1.64, 0.43,-0.00101, -0.93489, -0.02299, -0.35418,1.19, 1.64, 0.46,-0.00101, -0.93489, -0.02299, -0.35418,1.20, 1.64, 0.51,-0.00892, 0.95390, 0.02849, 0.29865,356.58, 145.23, 0.00,0.57, 0.06, -0.82,-0.82, 0.00, -0.57,-0.03, 1.00, 0.05,TrackingSpace,0.9980469,1.15, 1.64, 0.47,-0.00942, 0.94786, 0.02815, 0.31731,356.60, 142.98, 0.00,0.60, 0.06, -0.80,-0.80, 0.00, -0.60,-0.04, 1.00, 0.05,TrackingSpace,0.9980469,2.49, 2.10, -0.12,-0.00065, -0.93234, -0.02313, -0.36085
07/30/2023 21:48:42.528534,6,start,1.22, 1.64, 0.47,-0.00174, -0.93739, -0.02292, -0.34753,1.17, 1.64, 0.43,-0.00174, -0.93739, -0.02292, -0.34753,1.20, 1.64, 0.45,-0.00174, -0.93739, -0.02292, -0.34753,1.21, 1.64, 0.50,-0.00849, 0.95763, 0.02838, 0.28648,356.61, 146.69, 0.00,0.55, 0.06, -0.83,-0.84, 0.00, -0.55,-0.03, 1.00, 0.05,TrackingSpace,0.9980469,1.16, 1.64, 0.45,-0.00895, 0.95237, 0.02807, 0.30352,356.62, 144.65, 0.00,0.58, 0.06, -0.81,-0.82, 0.00, -0.58,-0.03, 1.00, 0.05,TrackingSpace,0.9980469,2.49, 2.09, -0.15,-0.00111, -0.93490, -0.02297, -0.35416
07/30/2023 21:48:42.542046,7,start,1.23, 1.63, 0.46,-0.00272, -0.93979, -0.02299, -0.34098,1.18, 1.64, 0.42,-0.00272, -0.93979, -0.02299, -0.34098,1.20, 1.64, 0.44,-0.00272, -0.93979, -0.02299, -0.34098,1.21, 1.64, 0.50,-0.00849, 0.95763, 0.02838, 0.28648,356.61, 146.69, 0.00,0.55, 0.06, -0.83,-0.84, 0.00, -0.55,-0.03, 1.00, 0.05,TrackingSpace,0.9980469,1.16, 1.64, 0.45,-0.00895, 0.95237, 0.02807, 0.30352,356.62, 144.65, 0.00,0.58, 0.06, -0.81,-0.82, 0.00, -0.58,-0.03, 1.00, 0.05,TrackingSpace,0.9980469,2.48, 2.09, -0.18,-0.00182, -0.93739, -0.02299, -0.34752
07/30/2023 21:48:42.556546,8,start,1.23, 1.63, 0.46,-0.00358, -0.94210, -0.02293, -0.33452,1.18, 1.64, 0.41,-0.00358, -0.94210, -0.02293, -0.33452,1.21, 1.63, 0.44,-0.00358, -0.94210, -0.02293, -0.33452,1.22, 1.64, 0.48,-0.00795, 0.96218, 0.02824, 0.27083,356.64, 148.56, 0.00,0.52, 0.06, -0.85,-0.85, 0.00, -0.52,-0.03, 1.00, 0.05,TrackingSpace,0.9980469,1.17, 1.64, 0.44,-0.00851, 0.95596, 0.02784, 0.29206,356.66, 146.02, 0.00,0.56, 0.06, -0.83,-0.83, 0.00, -0.56,-0.03, 1.00, 0.05,TrackingSpace,0.9980469,2.48, 2.09, -0.20,-0.00276, -0.93978, -0.02295, -0.34099
07/30/2023 21:48:42.570785,9,start,1.24, 1.63, 0.45,-0.00477, -0.94431, -0.02266, -0.32825,1.18, 1.63, 0.41,-0.00477, -0.94431, -0.02266, -0.32825,1.21, 1.63, 0.43,-0.00477, -0.94431, -0.02266, -0.32825,1.22, 1.64, 0.48,-0.00795, 0.96218, 0.02824, 0.27083,356.64, 148.56, 0.00,0.52, 0.06, -0.85,-0.85, 0.00, -0.52,-0.03, 1.00, 0.05,TrackingSpace,0.9980469,1.17, 1.64, 0.44,-0.00851, 0.95596, 0.02784, 0.29206,356.66, 146.02, 0.00,0.56, 0.06, -0.83,-0.83, 0.00, -0.56,-0.03, 1.00, 0.05,TrackingSpace,0.9980469,2.47, 2.09, -0.22,-0.00367, -0.94209, -0.02292, -0.33456
