Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/30/2023 21:46:53.453902,0,start,0.08, 1.24, 0.84,-0.03607, -0.90151, -0.38424, -0.19582,0.02, 1.26, 0.82,-0.03607, -0.90151, -0.38424, -0.19582,0.05, 1.25, 0.83,-0.03607, -0.90151, -0.38424, -0.19582,0.08, 1.24, 0.84,-0.11566, 0.88062, 0.36510, 0.27897,314.96, 144.84, 0.00,0.41, 0.71, -0.58,-0.82, 0.00, -0.58,-0.41, 0.71, 0.58,TrackingSpace,0.9980469,0.02, 1.26, 0.82,-0.12230, 0.87614, 0.35646, 0.30061,315.72, 142.13, 0.00,0.44, 0.70, -0.57,-0.79, 0.00, -0.61,-0.43, 0.72, 0.55,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:46:53.467744,1,start,0.08, 1.24, 0.84,-0.03560, -0.90105, -0.38559, -0.19537,0.02, 1.26, 0.82,-0.03560, -0.90105, -0.38559, -0.19537,0.05, 1.25, 0.83,-0.03560, -0.90105, -0.38559, -0.19537,0.08, 1.24, 0.84,-0.11341, 0.88265, 0.36379, 0.27516,315.20, 145.37, 0.00,0.40, 0.70, -0.58,-0.82, 0.00, -0.57,-0.40, 0.71, 0.58,TrackingSpace,0.9980469,0.02, 1.26, 0.82,-0.12084, 0.87764, 0.35433, 0.29932,316.03, 142.34, 0.00,0.44, 0.69, -0.57,-0.79, 0.00, -0.61,-0.42, 0.72, 0.55,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:46:53.482224,2,start,0.08, 1.24, 0.84,-0.03474, -0.90047, -0.38722, -0.19497,0.02, 1.26, 0.82,-0.03474, -0.90047, -0.38722, -0.19497,0.05, 1.25, 0.83,-0.03474, -0.90047, -0.38722, -0.19497,0.08, 1.24, 0.84,-0.11341, 0.88265, 0.36379, 0.27516,315.20, 145.37, 0.00,0.40, 0.70, -0.58,-0.82, 0.00, -0.57,-0.40, 0.71, 0.58,TrackingSpace,0.9980469,0.02, 1.26, 0.82,-0.12084, 0.87764, 0.35433, 0.29932,316.03, 142.34, 0.00,0.44, 0.69, -0.57,-0.79, 0.00, -0.61,-0.42, 0.72, 0.55,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:46:53.496272,3,start,0.08, 1.24, 0.84,-0.03269, -0.90003, -0.38877, -0.19427,0.01, 1.26, 0.82,-0.03269, -0.90003, -0.38877, -0.19427,0.05, 1.25, 0.83,-0.03269, -0.90003, -0.38877, -0.19427,0.08, 1.24, 0.84,-0.11682, 0.87944, 0.36663, 0.28022,314.74, 144.65, 0.00,0.41, 0.71, -0.57,-0.82, 0.00, -0.58,-0.41, 0.70, 0.58,TrackingSpace,0.9980469,0.02, 1.26, 0.82,-0.12378, 0.87470, 0.35774, 0.30265,315.51, 141.83, 0.00,0.44, 0.70, -0.56,-0.79, 0.00, -0.62,-0.43, 0.71, 0.55,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:46:53.510508,4,start,0.08, 1.24, 0.84,-0.02985, -0.89965, -0.39028, -0.19341,0.01, 1.26, 0.82,-0.02985, -0.89965, -0.39028, -0.19341,0.05, 1.25, 0.83,-0.02985, -0.89965, -0.39028, -0.19341,0.08, 1.24, 0.84,-0.11682, 0.87944, 0.36663, 0.28022,314.74, 144.65, 0.00,0.41, 0.71, -0.57,-0.82, 0.00, -0.58,-0.41, 0.70, 0.58,TrackingSpace,0.9980469,0.02, 1.26, 0.82,-0.12378, 0.87470, 0.35774, 0.30265,315.51, 141.83, 0.00,0.44, 0.70, -0.56,-0.79, 0.00, -0.62,-0.43, 0.71, 0.55,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:46:53.524651,5,start,0.08, 1.24, 0.84,-0.02613, -0.89937, -0.39175, -0.19231,0.01, 1.26, 0.82,-0.02613, -0.89937, -0.39175, -0.19231,0.05, 1.25, 0.83,-0.02613, -0.89937, -0.39175, -0.19231,0.08, 1.24, 0.84,-0.11728, 0.87869, 0.36898, 0.27930,314.44, 144.73, 0.00,0.40, 0.71, -0.57,-0.82, 0.00, -0.58,-0.41, 0.70, 0.58,TrackingSpace,0.9980469,0.02, 1.26, 0.82,-0.12475, 0.87365, 0.35962, 0.30307,315.25, 141.74, 0.00,0.44, 0.70, -0.56,-0.79, 0.00, -0.62,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:46:53.538982,6,start,0.08, 1.24, 0.84,-0.02281, -0.89917, -0.39290, -0.19134,0.01, 1.26, 0.82,-0.02281, -0.89917, -0.39290, -0.19134,0.05, 1.25, 0.83,-0.02281, -0.89917, -0.39290, -0.19134,0.08, 1.24, 0.84,-0.11728, 0.87869, 0.36898, 0.27930,314.44, 144.73, 0.00,0.40, 0.71, -0.57,-0.82, 0.00, -0.58,-0.41, 0.70, 0.58,TrackingSpace,0.9980469,0.02, 1.26, 0.82,-0.12475, 0.87365, 0.35962, 0.30307,315.25, 141.74, 0.00,0.44, 0.70, -0.56,-0.79, 0.00, -0.62,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:46:53.553375,7,start,0.08, 1.24, 0.84,-0.02000, -0.89913, -0.39353, -0.19052,0.01, 1.26, 0.82,-0.02000, -0.89913, -0.39353, -0.19052,0.04, 1.25, 0.83,-0.02000, -0.89913, -0.39353, -0.19052,0.08, 1.24, 0.84,-0.11728, 0.87869, 0.36898, 0.27930,314.44, 144.73, 0.00,0.40, 0.71, -0.57,-0.82, 0.00, -0.58,-0.41, 0.70, 0.58,TrackingSpace,0.9980469,0.02, 1.26, 0.82,-0.12475, 0.87365, 0.35962, 0.30307,315.25, 141.74, 0.00,0.44, 0.70, -0.56,-0.79, 0.00, -0.62,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:46:53.567368,8,start,0.08, 1.24, 0.84,-0.01795, -0.89916, -0.39381, -0.18999,0.01, 1.26, 0.82,-0.01795, -0.89916, -0.39381, -0.18999,0.04, 1.25, 0.83,-0.01795, -0.89916, -0.39381, -0.18999,0.08, 1.24, 0.84,-0.11757, 0.87843, 0.36915, 0.27976,314.41, 144.67, 0.00,0.40, 0.71, -0.57,-0.82, 0.00, -0.58,-0.41, 0.70, 0.58,TrackingSpace,0.9980469,0.02, 1.26, 0.82,-0.12482, 0.87352, 0.36025, 0.30265,315.18, 141.78, 0.00,0.44, 0.70, -0.56,-0.79, 0.00, -0.62,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:46:53.581868,9,start,0.08, 1.24, 0.84,-0.01625, -0.89930, -0.39361, -0.18989,0.01, 1.26, 0.82,-0.01625, -0.89930, -0.39361, -0.18989,0.04, 1.25, 0.83,-0.01625, -0.89930, -0.39361, -0.18989,0.08, 1.24, 0.84,-0.11757, 0.87843, 0.36915, 0.27976,314.41, 144.67, 0.00,0.40, 0.71, -0.57,-0.82, 0.00, -0.58,-0.41, 0.70, 0.58,TrackingSpace,0.9980469,0.02, 1.26, 0.82,-0.12482, 0.87352, 0.36025, 0.30265,315.18, 141.78, 0.00,0.44, 0.70, -0.56,-0.79, 0.00, -0.62,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
