Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/30/2023 21:51:07.370675,0,start,0.90, 1.69, 0.53,-0.01148, -0.91758, -0.22789, 0.32555,0.84, 1.68, 0.57,-0.01148, -0.91758, -0.22789, 0.32555,0.87, 1.69, 0.55,-0.01148, -0.91758, -0.22789, 0.32555,0.90, 1.69, 0.55,0.10820, 0.87824, 0.23692, -0.40108,329.81, 229.09, 0.00,-0.65, 0.50, -0.57,-0.65, 0.00, 0.76,0.38, 0.86, 0.33,TrackingSpace,0.9980469,0.84, 1.68, 0.59,0.10483, 0.88527, 0.24243, -0.38281,329.37, 226.77, 0.00,-0.63, 0.51, -0.59,-0.68, 0.00, 0.73,0.37, 0.86, 0.35,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:51:07.384464,1,start,0.90, 1.69, 0.53,-0.01197, -0.91410, -0.22844, 0.33481,0.84, 1.68, 0.57,-0.01197, -0.91410, -0.22844, 0.33481,0.87, 1.69, 0.55,-0.01197, -0.91410, -0.22844, 0.33481,0.90, 1.69, 0.55,0.10820, 0.87824, 0.23692, -0.40108,329.81, 229.09, 0.00,-0.65, 0.50, -0.57,-0.65, 0.00, 0.76,0.38, 0.86, 0.33,TrackingSpace,0.9980469,0.84, 1.68, 0.59,0.10483, 0.88527, 0.24243, -0.38281,329.37, 226.77, 0.00,-0.63, 0.51, -0.59,-0.68, 0.00, 0.73,0.37, 0.86, 0.35,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:51:07.398807,2,start,0.90, 1.69, 0.52,-0.01386, -0.91034, -0.22923, 0.34430,0.84, 1.68, 0.57,-0.01386, -0.91034, -0.22923, 0.34430,0.87, 1.69, 0.55,-0.01386, -0.91034, -0.22923, 0.34430,0.90, 1.69, 0.54,0.11159, 0.87119, 0.23281, -0.41759,330.08, 231.22, 0.00,-0.68, 0.50, -0.54,-0.63, 0.00, 0.78,0.39, 0.87, 0.31,TrackingSpace,0.9980469,0.84, 1.68, 0.58,0.10815, 0.87922, 0.23916, -0.39758,329.57, 228.66, 0.00,-0.65, 0.51, -0.57,-0.66, 0.00, 0.75,0.38, 0.86, 0.33,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:51:07.413207,3,start,0.90, 1.69, 0.52,-0.01605, -0.90660, -0.22940, 0.35383,0.84, 1.68, 0.57,-0.01605, -0.90660, -0.22940, 0.35383,0.87, 1.69, 0.54,-0.01605, -0.90660, -0.22940, 0.35383,0.90, 1.69, 0.54,0.11159, 0.87119, 0.23281, -0.41759,330.08, 231.22, 0.00,-0.68, 0.50, -0.54,-0.63, 0.00, 0.78,0.39, 0.87, 0.31,TrackingSpace,0.9980469,0.84, 1.68, 0.58,0.10815, 0.87922, 0.23916, -0.39758,329.57, 228.66, 0.00,-0.65, 0.51, -0.57,-0.66, 0.00, 0.75,0.38, 0.86, 0.33,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:51:07.426823,4,start,0.89, 1.69, 0.52,-0.01859, -0.90276, -0.22930, 0.36345,0.84, 1.68, 0.56,-0.01859, -0.90276, -0.22930, 0.36345,0.87, 1.69, 0.54,-0.01859, -0.90276, -0.22930, 0.36345,0.89, 1.69, 0.53,0.11171, 0.86846, 0.22778, -0.42593,330.61, 232.25, 0.00,-0.69, 0.49, -0.53,-0.61, 0.00, 0.79,0.39, 0.87, 0.30,TrackingSpace,0.9980469,0.84, 1.68, 0.57,0.10826, 0.87702, 0.23428, -0.40526,330.09, 229.60, 0.00,-0.66, 0.50, -0.56,-0.65, 0.00, 0.76,0.38, 0.87, 0.32,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:51:07.441195,5,start,0.89, 1.69, 0.51,-0.02102, -0.89899, -0.22837, 0.37313,0.84, 1.68, 0.56,-0.02102, -0.89899, -0.22837, 0.37313,0.87, 1.69, 0.54,-0.02102, -0.89899, -0.22837, 0.37313,0.89, 1.69, 0.53,0.11171, 0.86846, 0.22778, -0.42593,330.61, 232.25, 0.00,-0.69, 0.49, -0.53,-0.61, 0.00, 0.79,0.39, 0.87, 0.30,TrackingSpace,0.9980469,0.84, 1.68, 0.57,0.10826, 0.87702, 0.23428, -0.40526,330.09, 229.60, 0.00,-0.66, 0.50, -0.56,-0.65, 0.00, 0.76,0.38, 0.87, 0.32,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:51:07.455535,6,start,0.89, 1.69, 0.51,-0.02410, -0.89541, -0.22676, 0.38242,0.85, 1.68, 0.56,-0.02410, -0.89541, -0.22676, 0.38242,0.87, 1.69, 0.53,-0.02410, -0.89541, -0.22676, 0.38242,0.89, 1.69, 0.53,0.11171, 0.86846, 0.22778, -0.42593,330.61, 232.25, 0.00,-0.69, 0.49, -0.53,-0.61, 0.00, 0.79,0.39, 0.87, 0.30,TrackingSpace,0.9980469,0.84, 1.68, 0.57,0.10826, 0.87702, 0.23428, -0.40526,330.09, 229.60, 0.00,-0.66, 0.50, -0.56,-0.65, 0.00, 0.76,0.38, 0.87, 0.32,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:51:07.469715,7,start,0.89, 1.69, 0.50,-0.02779, -0.89212, -0.22427, 0.39123,0.85, 1.68, 0.55,-0.02779, -0.89212, -0.22427, 0.39123,0.87, 1.69, 0.53,-0.02779, -0.89212, -0.22427, 0.39123,0.89, 1.69, 0.52,0.11540, 0.86340, 0.22945, -0.43424,330.23, 233.40, 0.00,-0.70, 0.50, -0.52,-0.60, 0.00, 0.80,0.40, 0.87, 0.30,TrackingSpace,0.9980469,0.84, 1.68, 0.56,0.11203, 0.87181, 0.23555, -0.41462,329.76, 230.87, 0.00,-0.67, 0.50, -0.55,-0.63, 0.00, 0.78,0.39, 0.86, 0.32,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:51:07.483857,8,start,0.89, 1.69, 0.50,-0.03117, -0.88886, -0.22182, 0.39969,0.85, 1.69, 0.55,-0.03117, -0.88886, -0.22182, 0.39969,0.87, 1.69, 0.52,-0.03117, -0.88886, -0.22182, 0.39969,0.89, 1.69, 0.52,0.11540, 0.86340, 0.22945, -0.43424,330.23, 233.40, 0.00,-0.70, 0.50, -0.52,-0.60, 0.00, 0.80,0.40, 0.87, 0.30,TrackingSpace,0.9980469,0.84, 1.68, 0.56,0.11203, 0.87181, 0.23555, -0.41462,329.76, 230.87, 0.00,-0.67, 0.50, -0.55,-0.63, 0.00, 0.78,0.39, 0.86, 0.32,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
07/30/2023 21:51:07.498200,9,start,0.90, 1.69, 0.49,-0.03400, -0.88573, -0.21961, 0.40755,0.85, 1.69, 0.55,-0.03400, -0.88573, -0.21961, 0.40755,0.87, 1.69, 0.52,-0.03400, -0.88573, -0.21961, 0.40755,0.89, 1.69, 0.51,0.11686, 0.86230, 0.23174, -0.43483,329.91, 233.52, 0.00,-0.70, 0.50, -0.51,-0.59, 0.00, 0.80,0.40, 0.87, 0.30,TrackingSpace,0.9980469,0.85, 1.68, 0.56,0.11308, 0.87113, 0.23762, -0.41458,329.49, 230.90, 0.00,-0.67, 0.51, -0.54,-0.63, 0.00, 0.78,0.39, 0.86, 0.32,TrackingSpace,0.9980469,0.50, 2.00, 0.24,0.00000, 0.00000, 0.00000, 1.00000
