,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Cosine Similarity,Actual Gaze Visual Angle_x,Actual Gaze Visual Angle_y,Expected Gaze Visual Angle_x,Expected Gaze Visual Angle_y,Euclidean Error
0,07/31/2023 10:30:37.045292,0,start,-1.05,1.84,0.03,-0.31875,0.64729,0.29189,0.62786,-1.05,1.83,-0.03,-0.31875,0.64729,0.29189,0.62786,-1.05,1.84,0.0,-0.31875,0.64729,0.29189,0.62786,-1.05,1.84,0.03,-0.40972,0.5884,0.46137,0.52253,283.8,96.79,0.0,0.24,0.97,-0.03,-0.12,0.0,-0.99,-0.96,0.24,0.11,TrackingSpace,0.9980469,-1.05,1.83,-0.03,-0.42793,0.5671,0.44532,0.54495,283.72,92.28,0.0,0.24,0.97,-0.01,-0.04,0.0,-1.0,-0.97,0.24,0.04,TrackingSpace,0.9980469,-0.94,2.65,0.0,0.0,0.0,0.0,1.0,-0.3276685027542218,4.754423134701687,-0.06024286429643712,1.0,0.0,-0.1100000000000001,-0.8099999999999998,0.0,-0.7223314972457782,-2.9194231347016872,0.06024286429643712,6.269089153726538,-1.4875883144798518,-1.5501640604173808,-1.5707963267948966,-1.5707963267948966,4.911843812504166
1,07/31/2023 10:30:37.059251,1,start,-1.05,1.84,0.03,-0.31721,0.64743,0.2902,0.62928,-1.05,1.83,-0.03,-0.31721,0.64743,0.2902,0.62928,-1.05,1.84,0.0,-0.31721,0.64743,0.2902,0.62928,-1.05,1.84,0.03,-0.40972,0.5884,0.46137,0.52253,283.8,96.79,0.0,0.24,0.97,-0.03,-0.12,0.0,-0.99,-0.96,0.24,0.11,TrackingSpace,0.9980469,-1.05,1.83,-0.03,-0.42793,0.5671,0.44532,0.54495,283.72,92.28,0.0,0.24,0.97,-0.01,-0.04,0.0,-1.0,-0.97,0.24,0.04,TrackingSpace,0.9980469,-0.94,2.65,0.0,0.0,0.0,0.0,1.0,-0.3276685027542218,4.754423134701687,-0.06024286429643712,1.0,0.0,-0.1100000000000001,-0.8099999999999998,0.0,-0.7223314972457782,-2.9194231347016872,0.06024286429643712,6.269089153726538,-1.4875883144798518,-1.5501640604173808,-1.5707963267948966,-1.5707963267948966,4.911843812504166
2,07/31/2023 10:30:37.073681,2,start,-1.04,1.84,0.03,-0.31552,0.6476,0.28828,0.63083,-1.04,1.83,-0.03,-0.31552,0.6476,0.28828,0.63083,-1.04,1.84,0.0,-0.31552,0.6476,0.28828,0.63083,-1.05,1.84,0.03,-0.3451,0.64569,0.40916,0.54459,295.28,99.71,0.0,0.42,0.9,-0.07,-0.17,0.0,-0.99,-0.89,0.43,0.15,TrackingSpace,0.9980469,-1.05,1.83,-0.03,-0.36897,0.61323,0.39093,0.57878,294.97,93.31,0.0,0.42,0.91,-0.02,-0.06,0.0,-1.0,-0.91,0.42,0.05,TrackingSpace,0.9980469,-0.94,2.65,0.0,0.0,0.0,0.0,1.0,-0.5472599356922967,2.918289624008266,-0.05384257968773036,1.0,0.0,-0.10000000000000009,-0.8099999999999998,0.0,-0.5027400643077033,-1.0832896240082661,0.05384257968773036,18.037029304594807,-1.4641047579988717,-1.5211343462773237,-1.5707963267948966,-1.5707963267948966,6.742767135314824
3,07/31/2023 10:30:37.088810,3,start,-1.04,1.84,0.03,-0.3136,0.64765,0.28625,0.63266,-1.04,1.83,-0.03,-0.3136,0.64765,0.28625,0.63266,-1.04,1.84,0.0,-0.3136,0.64765,0.28625,0.63266,-1.05,1.84,0.03,-0.3451,0.64569,0.40916,0.54459,295.28,99.71,0.0,0.42,0.9,-0.07,-0.17,0.0,-0.99,-0.89,0.43,0.15,TrackingSpace,0.9980469,-1.05,1.83,-0.03,-0.36897,0.61323,0.39093,0.57878,294.97,93.31,0.0,0.42,0.91,-0.02,-0.06,0.0,-1.0,-0.91,0.42,0.05,TrackingSpace,0.9980469,-0.94,2.65,0.0,0.0,0.0,0.0,1.0,-0.5472599356922967,2.918289624008266,-0.05384257968773036,1.0,0.0,-0.10000000000000009,-0.8099999999999998,0.0,-0.5027400643077033,-1.0832896240082661,0.05384257968773036,18.037029304594807,-1.4641047579988717,-1.5211343462773237,-1.5707963267948966,-1.5707963267948966,6.742767135314824
4,07/31/2023 10:30:37.103274,4,start,-1.04,1.84,0.03,-0.31134,0.64783,0.28376,0.63471,-1.04,1.83,-0.04,-0.31134,0.64783,0.28376,0.63471,-1.04,1.84,0.0,-0.31134,0.64783,0.28376,0.63471,-1.05,1.84,0.03,-0.3451,0.64569,0.40916,0.54459,295.28,99.71,0.0,0.42,0.9,-0.07,-0.17,0.0,-0.99,-0.89,0.43,0.15,TrackingSpace,0.9980469,-1.05,1.83,-0.03,-0.36897,0.61323,0.39093,0.57878,294.97,93.31,0.0,0.42,0.91,-0.02,-0.06,0.0,-1.0,-0.91,0.42,0.05,TrackingSpace,0.9980469,-0.94,2.65,0.0,0.0,0.0,0.0,1.0,-0.5472599356922967,2.918289624008266,-0.05384257968773036,1.0,0.0,-0.10000000000000009,-0.8099999999999998,0.0,-0.5027400643077033,-1.0832896240082661,0.05384257968773036,18.037029304594807,-1.4641047579988717,-1.5211343462773237,-1.5707963267948966,-1.5707963267948966,6.742767135314824
5,07/31/2023 10:30:37.117839,5,start,-1.04,1.84,0.03,-0.30868,0.64825,0.28073,0.63693,-1.04,1.83,-0.04,-0.30868,0.64825,0.28073,0.63693,-1.04,1.84,0.0,-0.30868,0.64825,0.28073,0.63693,-1.04,1.84,0.03,-0.28899,0.67272,0.32468,0.59876,308.47,96.66,0.0,0.62,0.78,-0.07,-0.12,0.0,-0.99,-0.78,0.62,0.09,TrackingSpace,0.9980469,-1.05,1.83,-0.03,-0.30013,0.65302,0.31659,0.61908,308.27,93.06,0.0,0.62,0.79,-0.03,-0.05,0.0,-1.0,-0.78,0.62,0.04,TrackingSpace,0.9980469,-0.94,2.65,0.0,0.0,0.0,0.0,1.0,-0.1385464876217829,2.982680884931479,-0.07312598363942652,1.0,0.0,-0.10000000000000009,-0.8099999999999998,0.0,-0.906453512378217,-1.147680884931479,0.07312598363942652,31.38175204741758,-1.4902980300463275,-1.507166038280265,-1.5707963267948966,-1.5707963267948966,5.879113597024466
6,07/31/2023 10:30:37.132005,6,start,-1.04,1.84,0.03,-0.30535,0.64897,0.27705,0.63941,-1.04,1.83,-0.04,-0.30535,0.64897,0.27705,0.63941,-1.04,1.84,0.0,-0.30535,0.64897,0.27705,0.63941,-1.04,1.84,0.03,-0.28899,0.67272,0.32468,0.59876,308.47,96.66,0.0,0.62,0.78,-0.07,-0.12,0.0,-0.99,-0.78,0.62,0.09,TrackingSpace,0.9980469,-1.05,1.83,-0.03,-0.30013,0.65302,0.31659,0.61908,308.27,93.06,0.0,0.62,0.79,-0.03,-0.05,0.0,-1.0,-0.78,0.62,0.04,TrackingSpace,0.9980469,-0.94,2.65,0.0,0.0,0.0,0.0,1.0,-0.1385464876217829,2.982680884931479,-0.07312598363942652,1.0,0.0,-0.10000000000000009,-0.8099999999999998,0.0,-0.906453512378217,-1.147680884931479,0.07312598363942652,31.38175204741758,-1.4902980300463275,-1.507166038280265,-1.5707963267948966,-1.5707963267948966,5.879113597024466
7,07/31/2023 10:30:37.146392,7,start,-1.03,1.84,0.03,-0.30116,0.65012,0.27249,0.64218,-1.03,1.83,-0.04,-0.30116,0.65012,0.27249,0.64218,-1.03,1.84,0.0,-0.30116,0.65012,0.27249,0.64218,-1.04,1.84,0.03,-0.27211,0.6776,0.30049,0.61361,312.17,95.67,0.0,0.67,0.74,-0.07,-0.1,0.0,-1.0,-0.74,0.67,0.07,TrackingSpace,0.9980469,-1.04,1.83,-0.03,-0.28173,0.65899,0.29347,0.63264,311.99,92.34,0.0,0.67,0.74,-0.03,-0.04,0.0,-1.0,-0.74,0.67,0.03,TrackingSpace,0.9980469,-0.94,2.65,0.0,0.0,0.0,0.0,1.0,-0.028780732564041345,2.9518690416456854,-0.07553838434520319,1.0,0.0,-0.09000000000000008,-0.8099999999999998,0.0,-1.0112192674359588,-1.1168690416456855,0.07553838434520319,35.91714635852865,-1.4962345076802297,-1.5032651153768128,-1.5707963267948966,-1.5707963267948966,5.763832791439643
8,07/31/2023 10:30:37.160770,8,start,-1.03,1.84,0.03,-0.29635,0.65156,0.26726,0.64515,-1.03,1.83,-0.04,-0.29635,0.65156,0.26726,0.64515,-1.03,1.84,0.0,-0.29635,0.65156,0.26726,0.64515,-1.04,1.84,0.03,-0.27211,0.6776,0.30049,0.61361,312.17,95.67,0.0,0.67,0.74,-0.07,-0.1,0.0,-1.0,-0.74,0.67,0.07,TrackingSpace,0.9980469,-1.04,1.83,-0.03,-0.28173,0.65899,0.29347,0.63264,311.99,92.34,0.0,0.67,0.74,-0.03,-0.04,0.0,-1.0,-0.74,0.67,0.03,TrackingSpace,0.9980469,-0.94,2.65,0.0,0.0,0.0,0.0,1.0,-0.028780732564041345,2.9518690416456854,-0.07553838434520319,1.0,0.0,-0.09000000000000008,-0.8099999999999998,0.0,-1.0112192674359588,-1.1168690416456855,0.07553838434520319,35.91714635852865,-1.4962345076802297,-1.5032651153768128,-1.5707963267948966,-1.5707963267948966,5.763832791439643
9,07/31/2023 10:30:37.174934,9,start,-1.03,1.84,0.03,-0.29069,0.6533,0.26128,0.64841,-1.03,1.83,-0.04,-0.29069,0.6533,0.26128,0.64841,-1.03,1.84,0.0,-0.29069,0.6533,0.26128,0.64841,-1.04,1.84,0.03,-0.26829,0.67493,0.2907,0.62289,313.4,94.59,0.0,0.68,0.73,-0.06,-0.08,0.0,-1.0,-0.72,0.69,0.06,TrackingSpace,0.9980469,-1.04,1.83,-0.03,-0.27617,0.65898,0.28478,0.63905,313.26,91.76,0.0,0.68,0.73,-0.02,-0.03,0.0,-1.0,-0.73,0.69,0.02,TrackingSpace,0.9980469,-0.94,2.65,0.0,0.0,0.0,0.0,1.0,-0.015012559027433259,2.9353541645734906,-0.060366723600924085,1.0,0.0,-0.09000000000000008,-0.8099999999999998,0.0,-1.0249874409725668,-1.1003541645734907,0.060366723600924085,36.69087002245735,-1.5119691944243296,-1.5159900909599004,-1.5707963267948966,-1.5707963267948966,4.606650150353641
