Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 10:02:40.176050,0,start,-0.35, 1.25, 0.52,-0.00323, 0.99960, 0.02664, -0.00846,-0.42, 1.25, 0.52,-0.00323, 0.99960, 0.02664, -0.00846,-0.39, 1.25, 0.52,-0.00323, 0.99960, 0.02664, -0.00846,-0.35, 1.25, 0.52,-0.03326, 0.96662, 0.18731, 0.17164,338.07, 159.86, 0.00,0.32, 0.37, -0.87,-0.94, 0.00, -0.34,-0.13, 0.93, 0.35,TrackingSpace,0.9980469,-0.42, 1.25, 0.52,-0.03443, 0.96554, 0.18618, 0.17855,338.17, 159.05, 0.00,0.33, 0.37, -0.87,-0.93, 0.00, -0.36,-0.13, 0.93, 0.35,TrackingSpace,0.9980469,0.15, 1.73, -0.79,-0.00320, 0.99960, 0.02666, -0.00844
07/31/2023 10:02:40.189133,1,start,-0.35, 1.25, 0.52,-0.00320, 0.99960, 0.02662, -0.00851,-0.42, 1.25, 0.52,-0.00320, 0.99960, 0.02662, -0.00851,-0.39, 1.25, 0.52,-0.00320, 0.99960, 0.02662, -0.00851,-0.35, 1.25, 0.52,-0.03335, 0.96647, 0.18938, 0.17018,337.83, 160.03, 0.00,0.32, 0.38, -0.87,-0.94, 0.00, -0.34,-0.13, 0.93, 0.35,TrackingSpace,0.9980469,-0.42, 1.25, 0.52,-0.03465, 0.96529, 0.18812, 0.17781,337.94, 159.13, 0.00,0.33, 0.38, -0.87,-0.93, 0.00, -0.36,-0.13, 0.93, 0.35,TrackingSpace,0.9980469,0.15, 1.73, -0.79,-0.00322, 0.99960, 0.02662, -0.00845
07/31/2023 10:02:40.203628,2,start,-0.35, 1.25, 0.52,-0.00323, 0.99961, 0.02656, -0.00855,-0.42, 1.25, 0.52,-0.00323, 0.99961, 0.02656, -0.00855,-0.39, 1.25, 0.52,-0.00323, 0.99961, 0.02656, -0.00855,-0.35, 1.25, 0.52,-0.03335, 0.96647, 0.18938, 0.17018,337.83, 160.03, 0.00,0.32, 0.38, -0.87,-0.94, 0.00, -0.34,-0.13, 0.93, 0.35,TrackingSpace,0.9980469,-0.42, 1.25, 0.52,-0.03465, 0.96529, 0.18812, 0.17781,337.94, 159.13, 0.00,0.33, 0.38, -0.87,-0.93, 0.00, -0.36,-0.13, 0.93, 0.35,TrackingSpace,0.9980469,0.15, 1.73, -0.79,-0.00320, 0.99960, 0.02661, -0.00851
07/31/2023 10:02:40.217875,3,start,-0.35, 1.25, 0.52,-0.00329, 0.99961, 0.02653, -0.00857,-0.42, 1.25, 0.52,-0.00329, 0.99961, 0.02653, -0.00857,-0.39, 1.25, 0.52,-0.00329, 0.99961, 0.02653, -0.00857,-0.35, 1.25, 0.52,-0.03284, 0.96699, 0.18749, 0.16939,338.05, 160.13, 0.00,0.32, 0.37, -0.87,-0.94, 0.00, -0.34,-0.13, 0.93, 0.35,TrackingSpace,0.9980469,-0.42, 1.25, 0.52,-0.03392, 0.96602, 0.18646, 0.17573,338.15, 159.38, 0.00,0.33, 0.37, -0.87,-0.94, 0.00, -0.35,-0.13, 0.93, 0.35,TrackingSpace,0.9980469,0.14, 1.73, -0.79,-0.00322, 0.99961, 0.02655, -0.00855
07/31/2023 10:02:40.231969,4,start,-0.35, 1.25, 0.52,-0.00322, 0.99961, 0.02651, -0.00861,-0.42, 1.25, 0.52,-0.00322, 0.99961, 0.02651, -0.00861,-0.39, 1.25, 0.52,-0.00322, 0.99961, 0.02651, -0.00861,-0.35, 1.25, 0.52,-0.03284, 0.96699, 0.18749, 0.16939,338.05, 160.13, 0.00,0.32, 0.37, -0.87,-0.94, 0.00, -0.34,-0.13, 0.93, 0.35,TrackingSpace,0.9980469,-0.42, 1.25, 0.52,-0.03392, 0.96602, 0.18646, 0.17573,338.15, 159.38, 0.00,0.33, 0.37, -0.87,-0.94, 0.00, -0.35,-0.13, 0.93, 0.35,TrackingSpace,0.9980469,0.14, 1.73, -0.79,-0.00328, 0.99961, 0.02651, -0.00858
07/31/2023 10:02:40.246350,5,start,-0.35, 1.25, 0.52,-0.00317, 0.99961, 0.02654, -0.00864,-0.42, 1.25, 0.52,-0.00317, 0.99961, 0.02654, -0.00864,-0.39, 1.25, 0.52,-0.00317, 0.99961, 0.02654, -0.00864,-0.35, 1.25, 0.52,-0.01274, 0.98723, 0.11614, 0.10832,346.58, 167.48, 0.00,0.21, 0.23, -0.95,-0.98, 0.00, -0.22,-0.05, 0.97, 0.23,TrackingSpace,0.9980469,-0.42, 1.25, 0.52,-0.01486, 0.98506, 0.11488, 0.12746,346.70, 165.26, 0.00,0.25, 0.23, -0.94,-0.97, 0.00, -0.25,-0.06, 0.97, 0.22,TrackingSpace,0.9980469,0.14, 1.73, -0.79,-0.00325, 0.99961, 0.02653, -0.00859
07/31/2023 10:02:40.260638,6,start,-0.35, 1.25, 0.52,-0.00303, 0.99960, 0.02661, -0.00863,-0.42, 1.25, 0.52,-0.00303, 0.99960, 0.02661, -0.00863,-0.39, 1.25, 0.52,-0.00303, 0.99960, 0.02661, -0.00863,-0.35, 1.25, 0.52,-0.01274, 0.98723, 0.11614, 0.10832,346.58, 167.48, 0.00,0.21, 0.23, -0.95,-0.98, 0.00, -0.22,-0.05, 0.97, 0.23,TrackingSpace,0.9980469,-0.42, 1.25, 0.52,-0.01486, 0.98506, 0.11488, 0.12746,346.70, 165.26, 0.00,0.25, 0.23, -0.94,-0.97, 0.00, -0.25,-0.06, 0.97, 0.22,TrackingSpace,0.9980469,0.14, 1.73, -0.79,-0.00312, 0.99961, 0.02654, -0.00862
07/31/2023 10:02:40.275025,7,start,-0.35, 1.25, 0.52,-0.00297, 0.99960, 0.02673, -0.00863,-0.42, 1.25, 0.52,-0.00297, 0.99960, 0.02673, -0.00863,-0.39, 1.25, 0.52,-0.00297, 0.99960, 0.02673, -0.00863,-0.35, 1.25, 0.52,-0.01274, 0.98723, 0.11614, 0.10832,346.58, 167.48, 0.00,0.21, 0.23, -0.95,-0.98, 0.00, -0.22,-0.05, 0.97, 0.23,TrackingSpace,0.9980469,-0.42, 1.25, 0.52,-0.01486, 0.98506, 0.11488, 0.12746,346.70, 165.26, 0.00,0.25, 0.23, -0.94,-0.97, 0.00, -0.25,-0.06, 0.97, 0.22,TrackingSpace,0.9980469,0.14, 1.73, -0.79,-0.00303, 0.99960, 0.02661, -0.00863
07/31/2023 10:02:40.288703,8,start,-0.35, 1.25, 0.52,-0.00296, 0.99960, 0.02694, -0.00866,-0.42, 1.25, 0.52,-0.00296, 0.99960, 0.02694, -0.00866,-0.39, 1.25, 0.52,-0.00296, 0.99960, 0.02694, -0.00866,-0.35, 1.25, 0.52,-0.00999, 0.98984, 0.10925, 0.09048,347.40, 169.55, 0.00,0.18, 0.22, -0.96,-0.98, 0.00, -0.18,-0.04, 0.98, 0.21,TrackingSpace,0.9980469,-0.42, 1.25, 0.52,-0.01216, 0.98783, 0.10817, 0.11107,347.50, 167.17, 0.00,0.22, 0.22, -0.95,-0.98, 0.00, -0.22,-0.05, 0.98, 0.21,TrackingSpace,0.9980469,0.15, 1.73, -0.79,-0.00298, 0.99960, 0.02676, -0.00862
07/31/2023 10:02:40.302908,9,start,-0.35, 1.25, 0.52,-0.00298, 0.99959, 0.02717, -0.00865,-0.42, 1.25, 0.52,-0.00298, 0.99959, 0.02717, -0.00865,-0.39, 1.25, 0.52,-0.00298, 0.99959, 0.02717, -0.00865,-0.35, 1.25, 0.52,-0.00999, 0.98984, 0.10925, 0.09048,347.40, 169.55, 0.00,0.18, 0.22, -0.96,-0.98, 0.00, -0.18,-0.04, 0.98, 0.21,TrackingSpace,0.9980469,-0.42, 1.25, 0.52,-0.01216, 0.98783, 0.10817, 0.11107,347.50, 167.17, 0.00,0.22, 0.22, -0.95,-0.98, 0.00, -0.22,-0.05, 0.98, 0.21,TrackingSpace,0.9980469,0.15, 1.73, -0.79,-0.00295, 0.99959, 0.02696, -0.00864
