Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 10:08:48.267637,0,start,0.10, 1.77, -0.92,-0.05244, 0.27068, 0.00127, 0.96124,0.16, 1.76, -0.95,-0.05244, 0.27068, 0.00127, 0.96124,0.13, 1.77, -0.93,-0.05244, 0.27068, 0.00127, 0.96124,0.07, 1.77, -0.93,-0.19393, 0.11892, 0.02369, 0.97349,337.47, 13.93, 0.00,0.22, 0.38, 0.90,0.97, 0.00, -0.24,-0.09, 0.92, -0.37,TrackingSpace,0.9980469,0.12, 1.77, -0.97,-0.19304, 0.10521, 0.02082, 0.97531,337.61, 12.31, 0.00,0.20, 0.38, 0.90,0.98, 0.00, -0.21,-0.08, 0.92, -0.37,TrackingSpace,0.9980469,0.33, 2.33, 0.44,-0.05268, 0.27263, -0.00024, 0.96068
07/31/2023 10:08:48.281940,1,start,0.11, 1.76, -0.91,-0.05200, 0.26835, 0.00321, 0.96191,0.17, 1.76, -0.95,-0.05200, 0.26835, 0.00321, 0.96191,0.14, 1.76, -0.93,-0.05200, 0.26835, 0.00321, 0.96191,0.07, 1.77, -0.93,-0.19393, 0.11892, 0.02369, 0.97349,337.47, 13.93, 0.00,0.22, 0.38, 0.90,0.97, 0.00, -0.24,-0.09, 0.92, -0.37,TrackingSpace,0.9980469,0.12, 1.77, -0.97,-0.19304, 0.10521, 0.02082, 0.97531,337.61, 12.31, 0.00,0.20, 0.38, 0.90,0.98, 0.00, -0.21,-0.08, 0.92, -0.37,TrackingSpace,0.9980469,0.33, 2.32, 0.44,-0.05237, 0.27065, 0.00130, 0.96125
07/31/2023 10:08:48.295534,2,start,0.12, 1.76, -0.91,-0.05183, 0.26620, 0.00488, 0.96251,0.17, 1.76, -0.94,-0.05183, 0.26620, 0.00488, 0.96251,0.15, 1.76, -0.92,-0.05183, 0.26620, 0.00488, 0.96251,0.09, 1.77, -0.92,-0.19275, 0.11763, 0.02328, 0.97389,337.61, 13.77, 0.00,0.22, 0.38, 0.90,0.97, 0.00, -0.24,-0.09, 0.92, -0.37,TrackingSpace,0.9980469,0.14, 1.77, -0.96,-0.19190, 0.10525, 0.02070, 0.97553,337.74, 12.32, 0.00,0.20, 0.38, 0.90,0.98, 0.00, -0.21,-0.08, 0.93, -0.37,TrackingSpace,0.9980469,0.33, 2.32, 0.45,-0.05200, 0.26834, 0.00326, 0.96191
07/31/2023 10:08:48.309977,3,start,0.12, 1.76, -0.90,-0.05211, 0.26390, 0.00669, 0.96312,0.18, 1.76, -0.94,-0.05211, 0.26390, 0.00669, 0.96312,0.15, 1.76, -0.92,-0.05211, 0.26390, 0.00669, 0.96312,0.09, 1.77, -0.92,-0.19275, 0.11763, 0.02328, 0.97389,337.61, 13.77, 0.00,0.22, 0.38, 0.90,0.97, 0.00, -0.24,-0.09, 0.92, -0.37,TrackingSpace,0.9980469,0.14, 1.77, -0.96,-0.19190, 0.10525, 0.02070, 0.97553,337.74, 12.32, 0.00,0.20, 0.38, 0.90,0.98, 0.00, -0.21,-0.08, 0.93, -0.37,TrackingSpace,0.9980469,0.33, 2.32, 0.45,-0.05182, 0.26622, 0.00493, 0.96250
07/31/2023 10:08:48.324292,4,start,0.13, 1.76, -0.90,-0.05298, 0.26103, 0.00867, 0.96384,0.19, 1.76, -0.93,-0.05298, 0.26103, 0.00867, 0.96384,0.16, 1.76, -0.91,-0.05298, 0.26103, 0.00867, 0.96384,0.11, 1.76, -0.91,-0.19343, 0.11122, 0.02208, 0.97454,337.55, 13.02, 0.00,0.21, 0.38, 0.90,0.97, 0.00, -0.23,-0.09, 0.92, -0.37,TrackingSpace,0.9980469,0.16, 1.76, -0.95,-0.19246, 0.09887, 0.01949, 0.97612,337.69, 11.57, 0.00,0.19, 0.38, 0.91,0.98, 0.00, -0.20,-0.08, 0.93, -0.37,TrackingSpace,0.9980469,0.33, 2.32, 0.46,-0.05220, 0.26383, 0.00677, 0.96313
07/31/2023 10:08:48.338032,5,start,0.14, 1.76, -0.89,-0.05453, 0.25847, 0.00977, 0.96443,0.20, 1.76, -0.93,-0.05453, 0.25847, 0.00977, 0.96443,0.17, 1.76, -0.91,-0.05453, 0.25847, 0.00977, 0.96443,0.11, 1.76, -0.91,-0.19343, 0.11122, 0.02208, 0.97454,337.55, 13.02, 0.00,0.21, 0.38, 0.90,0.97, 0.00, -0.23,-0.09, 0.92, -0.37,TrackingSpace,0.9980469,0.16, 1.76, -0.95,-0.19246, 0.09887, 0.01949, 0.97612,337.69, 11.57, 0.00,0.19, 0.38, 0.91,0.98, 0.00, -0.20,-0.08, 0.93, -0.37,TrackingSpace,0.9980469,0.33, 2.32, 0.47,-0.05313, 0.26098, 0.00863, 0.96384
07/31/2023 10:08:48.352462,6,start,0.15, 1.75, -0.89,-0.05600, 0.25615, 0.00981, 0.96496,0.21, 1.75, -0.92,-0.05600, 0.25615, 0.00981, 0.96496,0.18, 1.75, -0.90,-0.05600, 0.25615, 0.00981, 0.96496,0.12, 1.76, -0.90,-0.19910, 0.10431, 0.02132, 0.97418,336.90, 12.22, 0.00,0.19, 0.39, 0.90,0.98, 0.00, -0.21,-0.08, 0.92, -0.38,TrackingSpace,0.9980469,0.18, 1.76, -0.94,-0.19782, 0.09032, 0.01831, 0.97590,337.08, 10.58, 0.00,0.17, 0.39, 0.91,0.98, 0.00, -0.18,-0.07, 0.92, -0.38,TrackingSpace,0.9980469,0.33, 2.32, 0.47,-0.05479, 0.25849, 0.00945, 0.96441
07/31/2023 10:08:48.366647,7,start,0.16, 1.75, -0.88,-0.05652, 0.25415, 0.00867, 0.96547,0.21, 1.75, -0.92,-0.05652, 0.25415, 0.00867, 0.96547,0.18, 1.75, -0.90,-0.05652, 0.25415, 0.00867, 0.96547,0.12, 1.76, -0.90,-0.19910, 0.10431, 0.02132, 0.97418,336.90, 12.22, 0.00,0.19, 0.39, 0.90,0.98, 0.00, -0.21,-0.08, 0.92, -0.38,TrackingSpace,0.9980469,0.18, 1.76, -0.94,-0.19782, 0.09032, 0.01831, 0.97590,337.08, 10.58, 0.00,0.17, 0.39, 0.91,0.98, 0.00, -0.18,-0.07, 0.92, -0.38,TrackingSpace,0.9980469,0.33, 2.32, 0.47,-0.05606, 0.25612, 0.00950, 0.96497
07/31/2023 10:08:48.381093,8,start,0.16, 1.75, -0.88,-0.05626, 0.25199, 0.00815, 0.96606,0.22, 1.75, -0.91,-0.05626, 0.25199, 0.00815, 0.96606,0.19, 1.75, -0.89,-0.05626, 0.25199, 0.00815, 0.96606,0.12, 1.76, -0.90,-0.19910, 0.10431, 0.02132, 0.97418,336.90, 12.22, 0.00,0.19, 0.39, 0.90,0.98, 0.00, -0.21,-0.08, 0.92, -0.38,TrackingSpace,0.9980469,0.18, 1.76, -0.94,-0.19782, 0.09032, 0.01831, 0.97590,337.08, 10.58, 0.00,0.17, 0.39, 0.91,0.98, 0.00, -0.18,-0.07, 0.92, -0.38,TrackingSpace,0.9980469,0.33, 2.32, 0.48,-0.05646, 0.25416, 0.00858, 0.96547
07/31/2023 10:08:48.394699,9,start,0.17, 1.75, -0.87,-0.05515, 0.24980, 0.00878, 0.96669,0.23, 1.75, -0.90,-0.05515, 0.24980, 0.00878, 0.96669,0.20, 1.75, -0.89,-0.05515, 0.24980, 0.00878, 0.96669,0.14, 1.75, -0.89,-0.20117, 0.09857, 0.02035, 0.97437,336.67, 11.55, 0.00,0.18, 0.40, 0.90,0.98, 0.00, -0.20,-0.08, 0.92, -0.39,TrackingSpace,0.9980469,0.20, 1.75, -0.92,-0.19995, 0.08573, 0.01757, 0.97589,336.84, 10.04, 0.00,0.16, 0.39, 0.91,0.98, 0.00, -0.17,-0.07, 0.92, -0.39,TrackingSpace,0.9980469,0.33, 2.32, 0.49,-0.05610, 0.25194, 0.00825, 0.96608
