Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 10:06:17.052259,0,start,-0.32, 1.26, 0.81,-0.10349, 0.90287, 0.26463, 0.32263,-0.38, 1.26, 0.77,-0.10349, 0.90287, 0.26463, 0.32263,-0.35, 1.26, 0.79,-0.10349, 0.90287, 0.26463, 0.32263,-0.32, 1.26, 0.81,-0.13806, 0.86147, 0.36057, 0.32985,314.58, 138.10, 0.00,0.47, 0.71, -0.52,-0.74, 0.00, -0.67,-0.48, 0.70, 0.53,TrackingSpace,0.9980469,-0.37, 1.26, 0.77,-0.14868, 0.85132, 0.35549, 0.35605,314.67, 134.61, 0.00,0.50, 0.71, -0.49,-0.70, 0.00, -0.71,-0.51, 0.70, 0.50,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:06:17.065898,1,start,-0.32, 1.26, 0.81,-0.10349, 0.90292, 0.26436, 0.32270,-0.38, 1.26, 0.77,-0.10349, 0.90292, 0.26436, 0.32270,-0.35, 1.26, 0.79,-0.10349, 0.90292, 0.26436, 0.32270,-0.32, 1.26, 0.81,-0.13806, 0.86147, 0.36057, 0.32985,314.58, 138.10, 0.00,0.47, 0.71, -0.52,-0.74, 0.00, -0.67,-0.48, 0.70, 0.53,TrackingSpace,0.9980469,-0.37, 1.26, 0.77,-0.14868, 0.85132, 0.35549, 0.35605,314.67, 134.61, 0.00,0.50, 0.71, -0.49,-0.70, 0.00, -0.71,-0.51, 0.70, 0.50,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:06:17.080516,2,start,-0.32, 1.26, 0.81,-0.10350, 0.90295, 0.26416, 0.32279,-0.38, 1.26, 0.77,-0.10350, 0.90295, 0.26416, 0.32279,-0.35, 1.26, 0.79,-0.10350, 0.90295, 0.26416, 0.32279,-0.32, 1.26, 0.81,-0.13806, 0.86147, 0.36057, 0.32985,314.58, 138.10, 0.00,0.47, 0.71, -0.52,-0.74, 0.00, -0.67,-0.48, 0.70, 0.53,TrackingSpace,0.9980469,-0.37, 1.26, 0.77,-0.14868, 0.85132, 0.35549, 0.35605,314.67, 134.61, 0.00,0.50, 0.71, -0.49,-0.70, 0.00, -0.71,-0.51, 0.70, 0.50,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:06:17.094733,3,start,-0.32, 1.26, 0.81,-0.10354, 0.90296, 0.26404, 0.32284,-0.38, 1.26, 0.77,-0.10354, 0.90296, 0.26404, 0.32284,-0.35, 1.26, 0.79,-0.10354, 0.90296, 0.26404, 0.32284,-0.32, 1.26, 0.81,-0.13754, 0.86196, 0.36044, 0.32892,314.61, 138.23, 0.00,0.47, 0.71, -0.52,-0.75, 0.00, -0.67,-0.47, 0.70, 0.53,TrackingSpace,0.9980469,-0.37, 1.26, 0.77,-0.14826, 0.85174, 0.35536, 0.35535,314.71, 134.71, 0.00,0.50, 0.71, -0.49,-0.70, 0.00, -0.71,-0.51, 0.70, 0.50,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:06:17.108476,4,start,-0.32, 1.26, 0.81,-0.10347, 0.90296, 0.26404, 0.32286,-0.38, 1.26, 0.77,-0.10347, 0.90296, 0.26404, 0.32286,-0.35, 1.26, 0.79,-0.10347, 0.90296, 0.26404, 0.32286,-0.32, 1.26, 0.81,-0.13754, 0.86196, 0.36044, 0.32892,314.61, 138.23, 0.00,0.47, 0.71, -0.52,-0.75, 0.00, -0.67,-0.47, 0.70, 0.53,TrackingSpace,0.9980469,-0.37, 1.26, 0.77,-0.14826, 0.85174, 0.35536, 0.35535,314.71, 134.71, 0.00,0.50, 0.71, -0.49,-0.70, 0.00, -0.71,-0.51, 0.70, 0.50,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:06:17.122852,5,start,-0.32, 1.26, 0.81,-0.10326, 0.90297, 0.26402, 0.32291,-0.38, 1.26, 0.77,-0.10326, 0.90297, 0.26402, 0.32291,-0.35, 1.26, 0.79,-0.10326, 0.90297, 0.26402, 0.32291,-0.32, 1.26, 0.81,-0.13737, 0.86216, 0.35990, 0.32907,314.68, 138.22, 0.00,0.47, 0.71, -0.52,-0.75, 0.00, -0.67,-0.47, 0.70, 0.53,TrackingSpace,0.9980469,-0.37, 1.26, 0.77,-0.14805, 0.85195, 0.35483, 0.35547,314.78, 134.70, 0.00,0.50, 0.71, -0.50,-0.70, 0.00, -0.71,-0.50, 0.70, 0.50,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:06:17.137190,6,start,-0.32, 1.26, 0.81,-0.10290, 0.90297, 0.26393, 0.32311,-0.38, 1.26, 0.77,-0.10290, 0.90297, 0.26393, 0.32311,-0.35, 1.26, 0.79,-0.10290, 0.90297, 0.26393, 0.32311,-0.32, 1.26, 0.81,-0.13737, 0.86216, 0.35990, 0.32907,314.68, 138.22, 0.00,0.47, 0.71, -0.52,-0.75, 0.00, -0.67,-0.47, 0.70, 0.53,TrackingSpace,0.9980469,-0.37, 1.26, 0.77,-0.14805, 0.85195, 0.35483, 0.35547,314.78, 134.70, 0.00,0.50, 0.71, -0.50,-0.70, 0.00, -0.71,-0.50, 0.70, 0.50,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:06:17.151484,7,start,-0.32, 1.26, 0.81,-0.10292, 0.90300, 0.26367, 0.32325,-0.38, 1.26, 0.77,-0.10292, 0.90300, 0.26367, 0.32325,-0.35, 1.26, 0.79,-0.10292, 0.90300, 0.26367, 0.32325,-0.32, 1.26, 0.81,-0.13762, 0.86194, 0.35949, 0.32998,314.72, 138.10, 0.00,0.47, 0.71, -0.52,-0.74, 0.00, -0.67,-0.47, 0.70, 0.53,TrackingSpace,0.9980469,-0.37, 1.26, 0.77,-0.14814, 0.85186, 0.35447, 0.35601,314.81, 134.64, 0.00,0.50, 0.71, -0.50,-0.70, 0.00, -0.71,-0.50, 0.70, 0.50,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:06:17.165606,8,start,-0.32, 1.26, 0.81,-0.10317, 0.90298, 0.26354, 0.32330,-0.38, 1.26, 0.77,-0.10317, 0.90298, 0.26354, 0.32330,-0.35, 1.26, 0.79,-0.10317, 0.90298, 0.26354, 0.32330,-0.32, 1.26, 0.81,-0.13762, 0.86194, 0.35949, 0.32998,314.72, 138.10, 0.00,0.47, 0.71, -0.52,-0.74, 0.00, -0.67,-0.47, 0.70, 0.53,TrackingSpace,0.9980469,-0.37, 1.26, 0.77,-0.14814, 0.85186, 0.35447, 0.35601,314.81, 134.64, 0.00,0.50, 0.71, -0.50,-0.70, 0.00, -0.71,-0.50, 0.70, 0.50,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:06:17.180096,9,start,-0.32, 1.26, 0.81,-0.10327, 0.90296, 0.26353, 0.32334,-0.38, 1.26, 0.77,-0.10327, 0.90296, 0.26353, 0.32334,-0.35, 1.26, 0.79,-0.10327, 0.90296, 0.26353, 0.32334,-0.32, 1.26, 0.81,-0.13762, 0.86194, 0.35949, 0.32998,314.72, 138.10, 0.00,0.47, 0.71, -0.52,-0.74, 0.00, -0.67,-0.47, 0.70, 0.53,TrackingSpace,0.9980469,-0.37, 1.26, 0.77,-0.14814, 0.85186, 0.35447, 0.35601,314.81, 134.64, 0.00,0.50, 0.71, -0.50,-0.70, 0.00, -0.71,-0.50, 0.70, 0.50,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
