Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 10:26:44.435057,0,start,-1.22, 1.83, -0.02,0.36282, -0.54822, -0.29452, -0.69360,-1.20, 1.83, -0.08,0.36282, -0.54822, -0.29452, -0.69360,-1.21, 1.83, -0.05,0.36282, -0.54822, -0.29452, -0.69360,-1.22, 1.83, -0.02,-0.44629, 0.53590, 0.40405, 0.59193,285.97, 84.31, 0.00,0.27, 0.96, 0.03,0.10, 0.00, -1.00,-0.96, 0.28, -0.10,TrackingSpace,0.9980469,-1.20, 1.83, -0.08,-0.46801, 0.50289, 0.37994, 0.61945,285.86, 78.14, 0.00,0.27, 0.96, 0.06,0.21, 0.00, -0.98,-0.94, 0.27, -0.20,TrackingSpace,0.9980469,-0.94, 2.65, 0.00,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:26:44.449455,1,start,-1.22, 1.83, -0.02,0.36272, -0.54777, -0.29416, -0.69415,-1.20, 1.83, -0.08,0.36272, -0.54777, -0.29416, -0.69415,-1.21, 1.83, -0.05,0.36272, -0.54777, -0.29416, -0.69415,-1.22, 1.83, -0.02,-0.44629, 0.53590, 0.40405, 0.59193,285.97, 84.31, 0.00,0.27, 0.96, 0.03,0.10, 0.00, -1.00,-0.96, 0.28, -0.10,TrackingSpace,0.9980469,-1.20, 1.83, -0.08,-0.46801, 0.50289, 0.37994, 0.61945,285.86, 78.14, 0.00,0.27, 0.96, 0.06,0.21, 0.00, -0.98,-0.94, 0.27, -0.20,TrackingSpace,0.9980469,-0.94, 2.65, 0.00,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:26:44.464515,2,start,-1.22, 1.83, -0.02,0.36248, -0.54741, -0.29388, -0.69468,-1.20, 1.83, -0.08,0.36248, -0.54741, -0.29388, -0.69468,-1.21, 1.83, -0.05,0.36248, -0.54741, -0.29388, -0.69468,-1.22, 1.83, -0.02,-0.44629, 0.53590, 0.40405, 0.59193,285.97, 84.31, 0.00,0.27, 0.96, 0.03,0.10, 0.00, -1.00,-0.96, 0.28, -0.10,TrackingSpace,0.9980469,-1.20, 1.83, -0.08,-0.46801, 0.50289, 0.37994, 0.61945,285.86, 78.14, 0.00,0.27, 0.96, 0.06,0.21, 0.00, -0.98,-0.94, 0.27, -0.20,TrackingSpace,0.9980469,-0.94, 2.65, 0.00,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:26:44.478561,3,start,-1.22, 1.83, -0.02,0.36218, -0.54716, -0.29363, -0.69514,-1.20, 1.83, -0.08,0.36218, -0.54716, -0.29363, -0.69514,-1.21, 1.83, -0.05,0.36218, -0.54716, -0.29363, -0.69514,-1.22, 1.83, -0.02,-0.45347, 0.51993, 0.38434, 0.61345,287.05, 80.57, 0.00,0.29, 0.96, 0.05,0.16, 0.00, -0.99,-0.94, 0.29, -0.16,TrackingSpace,0.9980469,-1.20, 1.83, -0.08,-0.47546, 0.48265, 0.35678, 0.64319,287.06, 73.77, 0.00,0.28, 0.96, 0.08,0.28, 0.00, -0.96,-0.92, 0.29, -0.27,TrackingSpace,0.9980469,-0.94, 2.65, 0.00,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:26:44.493532,4,start,-1.22, 1.83, -0.02,0.36171, -0.54711, -0.29351, -0.69548,-1.20, 1.83, -0.08,0.36171, -0.54711, -0.29351, -0.69548,-1.21, 1.83, -0.05,0.36171, -0.54711, -0.29351, -0.69548,-1.22, 1.83, -0.02,-0.45347, 0.51993, 0.38434, 0.61345,287.05, 80.57, 0.00,0.29, 0.96, 0.05,0.16, 0.00, -0.99,-0.94, 0.29, -0.16,TrackingSpace,0.9980469,-1.20, 1.83, -0.08,-0.47546, 0.48265, 0.35678, 0.64319,287.06, 73.77, 0.00,0.28, 0.96, 0.08,0.28, 0.00, -0.96,-0.92, 0.29, -0.27,TrackingSpace,0.9980469,-0.94, 2.65, 0.00,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:26:44.508447,5,start,-1.22, 1.83, -0.02,0.36128, -0.54703, -0.29344, -0.69579,-1.20, 1.83, -0.08,0.36128, -0.54703, -0.29344, -0.69579,-1.21, 1.83, -0.05,0.36128, -0.54703, -0.29344, -0.69579,-1.22, 1.83, -0.02,-0.45401, 0.51854, 0.38261, 0.61530,287.16, 80.24, 0.00,0.29, 0.96, 0.05,0.17, 0.00, -0.99,-0.94, 0.29, -0.16,TrackingSpace,0.9980469,-1.20, 1.83, -0.08,-0.47573, 0.48140, 0.35516, 0.64482,287.16, 73.49, 0.00,0.28, 0.96, 0.08,0.28, 0.00, -0.96,-0.92, 0.30, -0.27,TrackingSpace,0.9980469,-0.94, 2.65, 0.00,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:26:44.522706,6,start,-1.22, 1.83, -0.02,0.36107, -0.54683, -0.29330, -0.69612,-1.20, 1.83, -0.08,0.36107, -0.54683, -0.29330, -0.69612,-1.21, 1.83, -0.05,0.36107, -0.54683, -0.29330, -0.69612,-1.22, 1.83, -0.02,-0.45401, 0.51854, 0.38261, 0.61530,287.16, 80.24, 0.00,0.29, 0.96, 0.05,0.17, 0.00, -0.99,-0.94, 0.29, -0.16,TrackingSpace,0.9980469,-1.20, 1.83, -0.08,-0.47573, 0.48140, 0.35516, 0.64482,287.16, 73.49, 0.00,0.28, 0.96, 0.08,0.28, 0.00, -0.96,-0.92, 0.30, -0.27,TrackingSpace,0.9980469,-0.94, 2.65, 0.00,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:26:44.536669,7,start,-1.22, 1.83, -0.02,0.36088, -0.54661, -0.29318, -0.69644,-1.20, 1.83, -0.08,0.36088, -0.54661, -0.29318, -0.69644,-1.21, 1.83, -0.05,0.36088, -0.54661, -0.29318, -0.69644,-1.22, 1.83, -0.02,-0.45295, 0.52466, 0.39351, 0.60391,286.26, 81.97, 0.00,0.28, 0.96, 0.04,0.14, 0.00, -0.99,-0.95, 0.28, -0.13,TrackingSpace,0.9980469,-1.20, 1.83, -0.08,-0.47302, 0.49253, 0.36978, 0.63003,286.20, 76.03, 0.00,0.27, 0.96, 0.07,0.24, 0.00, -0.97,-0.93, 0.28, -0.23,TrackingSpace,0.9980469,-0.94, 2.65, 0.00,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:26:44.551343,8,start,-1.22, 1.83, -0.02,0.36094, -0.54650, -0.29293, -0.69660,-1.20, 1.83, -0.08,0.36094, -0.54650, -0.29293, -0.69660,-1.21, 1.83, -0.05,0.36094, -0.54650, -0.29293, -0.69660,-1.22, 1.83, -0.02,-0.45295, 0.52466, 0.39351, 0.60391,286.26, 81.97, 0.00,0.28, 0.96, 0.04,0.14, 0.00, -0.99,-0.95, 0.28, -0.13,TrackingSpace,0.9980469,-1.20, 1.83, -0.08,-0.47302, 0.49253, 0.36978, 0.63003,286.20, 76.03, 0.00,0.27, 0.96, 0.07,0.24, 0.00, -0.97,-0.93, 0.28, -0.23,TrackingSpace,0.9980469,-0.94, 2.65, 0.00,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:26:44.565719,9,start,-1.22, 1.83, -0.02,0.36129, -0.54661, -0.29245, -0.69653,-1.20, 1.83, -0.08,0.36129, -0.54661, -0.29245, -0.69653,-1.21, 1.83, -0.05,0.36129, -0.54661, -0.29245, -0.69653,-1.22, 1.83, -0.02,-0.45295, 0.52466, 0.39351, 0.60391,286.26, 81.97, 0.00,0.28, 0.96, 0.04,0.14, 0.00, -0.99,-0.95, 0.28, -0.13,TrackingSpace,0.9980469,-1.20, 1.83, -0.08,-0.47302, 0.49253, 0.36978, 0.63003,286.20, 76.03, 0.00,0.27, 0.96, 0.07,0.24, 0.00, -0.97,-0.93, 0.28, -0.23,TrackingSpace,0.9980469,-0.94, 2.65, 0.00,0.00000, 0.00000, 0.00000, 1.00000
