Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/31/2023 10:11:38.300023,0,start,-0.38, 1.75, -0.86,0.01076, -0.30793, -0.01202, -0.95127,-0.32, 1.75, -0.90,0.01076, -0.30793, -0.01202, -0.95127,-0.35, 1.75, -0.88,0.01076, -0.30793, -0.01202, -0.95127,-0.42, 1.74, -0.84,-0.11980, 0.25908, 0.03240, 0.95785,345.74, 30.27, 0.00,0.49, 0.25, 0.84,0.86, 0.00, -0.50,-0.12, 0.97, -0.21,TrackingSpace,0.9980469,-0.37, 1.74, -0.88,-0.11925, 0.23951, 0.02966, 0.96309,345.88, 27.93, 0.00,0.45, 0.24, 0.86,0.88, 0.00, -0.47,-0.11, 0.97, -0.22,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:11:38.314125,1,start,-0.37, 1.75, -0.86,0.01328, -0.30433, -0.00722, -0.95245,-0.31, 1.75, -0.90,0.01328, -0.30433, -0.00722, -0.95245,-0.34, 1.75, -0.88,0.01328, -0.30433, -0.00722, -0.95245,-0.42, 1.74, -0.84,-0.11980, 0.25908, 0.03240, 0.95785,345.74, 30.27, 0.00,0.49, 0.25, 0.84,0.86, 0.00, -0.50,-0.12, 0.97, -0.21,TrackingSpace,0.9980469,-0.37, 1.74, -0.88,-0.11925, 0.23951, 0.02966, 0.96309,345.88, 27.93, 0.00,0.45, 0.24, 0.86,0.88, 0.00, -0.47,-0.11, 0.97, -0.22,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:11:38.328235,2,start,-0.36, 1.75, -0.87,0.01544, -0.30161, -0.00267, -0.95330,-0.30, 1.75, -0.91,0.01544, -0.30161, -0.00267, -0.95330,-0.33, 1.75, -0.89,0.01544, -0.30161, -0.00267, -0.95330,-0.40, 1.74, -0.85,-0.12046, 0.24648, 0.03089, 0.96114,345.71, 28.77, 0.00,0.47, 0.25, 0.85,0.88, 0.00, -0.48,-0.12, 0.97, -0.22,TrackingSpace,0.9980469,-0.34, 1.74, -0.89,-0.11991, 0.22712, 0.02819, 0.96605,345.85, 26.46, 0.00,0.43, 0.24, 0.87,0.90, 0.00, -0.45,-0.11, 0.97, -0.22,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:11:38.342228,3,start,-0.35, 1.75, -0.87,0.01530, -0.29722, -0.00331, -0.95468,-0.29, 1.75, -0.91,0.01530, -0.29722, -0.00331, -0.95468,-0.32, 1.75, -0.89,0.01530, -0.29722, -0.00331, -0.95468,-0.40, 1.74, -0.85,-0.12046, 0.24648, 0.03089, 0.96114,345.71, 28.77, 0.00,0.47, 0.25, 0.85,0.88, 0.00, -0.48,-0.12, 0.97, -0.22,TrackingSpace,0.9980469,-0.34, 1.74, -0.89,-0.11991, 0.22712, 0.02819, 0.96605,345.85, 26.46, 0.00,0.43, 0.24, 0.87,0.90, 0.00, -0.45,-0.11, 0.97, -0.22,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:11:38.356752,4,start,-0.34, 1.76, -0.88,0.01433, -0.29404, -0.00452, -0.95568,-0.28, 1.76, -0.92,0.01433, -0.29404, -0.00452, -0.95568,-0.31, 1.76, -0.90,0.01433, -0.29404, -0.00452, -0.95567,-0.37, 1.75, -0.86,-0.12319, 0.23730, 0.03035, 0.96312,345.42, 27.68, 0.00,0.45, 0.25, 0.86,0.89, 0.00, -0.46,-0.12, 0.97, -0.22,TrackingSpace,0.9980469,-0.32, 1.75, -0.90,-0.12285, 0.21720, 0.02757, 0.96797,345.53, 25.29, 0.00,0.41, 0.25, 0.88,0.90, 0.00, -0.43,-0.11, 0.97, -0.23,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:11:38.370964,5,start,-0.33, 1.76, -0.88,0.01308, -0.29019, -0.00651, -0.95686,-0.27, 1.76, -0.92,0.01308, -0.29019, -0.00651, -0.95686,-0.30, 1.76, -0.90,0.01308, -0.29019, -0.00651, -0.95686,-0.37, 1.75, -0.86,-0.12319, 0.23730, 0.03035, 0.96312,345.42, 27.68, 0.00,0.45, 0.25, 0.86,0.89, 0.00, -0.46,-0.12, 0.97, -0.22,TrackingSpace,0.9980469,-0.32, 1.75, -0.90,-0.12285, 0.21720, 0.02757, 0.96797,345.53, 25.29, 0.00,0.41, 0.25, 0.88,0.90, 0.00, -0.43,-0.11, 0.97, -0.23,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:11:38.384965,6,start,-0.32, 1.76, -0.89,0.01260, -0.28624, -0.00687, -0.95805,-0.26, 1.76, -0.93,0.01260, -0.28624, -0.00687, -0.95805,-0.29, 1.76, -0.91,0.01260, -0.28624, -0.00687, -0.95805,-0.37, 1.75, -0.86,-0.12319, 0.23730, 0.03035, 0.96312,345.42, 27.68, 0.00,0.45, 0.25, 0.86,0.89, 0.00, -0.46,-0.12, 0.97, -0.22,TrackingSpace,0.9980469,-0.32, 1.75, -0.90,-0.12285, 0.21720, 0.02757, 0.96797,345.53, 25.29, 0.00,0.41, 0.25, 0.88,0.90, 0.00, -0.43,-0.11, 0.97, -0.23,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:11:38.398966,7,start,-0.31, 1.76, -0.89,0.01296, -0.28229, -0.00605, -0.95922,-0.25, 1.76, -0.93,0.01296, -0.28229, -0.00605, -0.95922,-0.28, 1.76, -0.91,0.01296, -0.28229, -0.00605, -0.95922,-0.35, 1.75, -0.88,-0.12363, 0.22481, 0.02877, 0.96610,345.42, 26.20, 0.00,0.43, 0.25, 0.87,0.90, 0.00, -0.44,-0.11, 0.97, -0.23,TrackingSpace,0.9980469,-0.29, 1.75, -0.91,-0.12336, 0.20711, 0.02633, 0.97015,345.51, 24.10, 0.00,0.40, 0.25, 0.88,0.91, 0.00, -0.41,-0.10, 0.97, -0.23,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:11:38.412912,8,start,-0.30, 1.76, -0.90,0.01357, -0.27857, -0.00461, -0.96031,-0.24, 1.76, -0.93,0.01357, -0.27857, -0.00461, -0.96031,-0.27, 1.76, -0.91,0.01357, -0.27857, -0.00461, -0.96031,-0.35, 1.75, -0.88,-0.12363, 0.22481, 0.02877, 0.96610,345.42, 26.20, 0.00,0.43, 0.25, 0.87,0.90, 0.00, -0.44,-0.11, 0.97, -0.23,TrackingSpace,0.9980469,-0.29, 1.75, -0.91,-0.12336, 0.20711, 0.02633, 0.97015,345.51, 24.10, 0.00,0.40, 0.25, 0.88,0.91, 0.00, -0.41,-0.10, 0.97, -0.23,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
07/31/2023 10:11:38.426753,9,start,-0.29, 1.76, -0.90,0.01427, -0.27493, -0.00299, -0.96135,-0.23, 1.76, -0.94,0.01427, -0.27493, -0.00299, -0.96135,-0.26, 1.76, -0.92,0.01427, -0.27493, -0.00299, -0.96135,-0.32, 1.76, -0.89,-0.12044, 0.21563, 0.02681, 0.96865,345.82, 25.10, 0.00,0.41, 0.24, 0.88,0.91, 0.00, -0.42,-0.10, 0.97, -0.22,TrackingSpace,0.9980469,-0.27, 1.76, -0.92,-0.12014, 0.19792, 0.02445, 0.97252,345.92, 23.01, 0.00,0.38, 0.24, 0.89,0.92, 0.00, -0.39,-0.10, 0.97, -0.22,TrackingSpace,0.9980469,0.20, 2.00, 0.21,0.00000, 0.00000, 0.00000, 1.00000
